Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,31.28,31.12,31.32,31.07,30632200,31.12,-1.0934145966329298,-1.0917612433809414,-1.0934145966329298,-1.0945576390934157,-1.090707417817593
03.01.2014,31.15,30.91,31.17,30.65,31134800,30.91,-1.0951561658063267,-1.092839348402471,-1.0951561658063267,-1.095790620202006,-1.0942253007518872
06.01.2014,30.86,30.26,30.89,30.24,43603700,30.26,-1.1005467370573165,-1.095244351912037,-1.1005467370573165,-1.0980921849380412,-1.0976594245686984
07.01.2014,30.43,30.49,30.56,30.33,35802800,30.49,-1.09863930415312,-1.0988103915986351,-1.09863930415312,-1.10080474337694,-1.0969055925113498
08.01.2014,30.15,29.95,30.27,29.8,59971700,29.95,-1.1031176248847117,-1.101132463952699,-1.1031176248847117,-1.1031885068535479,-1.101344825737959
09.01.2014,30.05,29.76,30.07,29.65,36516300,29.76,-1.1046933303273085,-1.1019617755077218,-1.1046933303273085,-1.1048324816650017,-1.1026012125002072
10.01.2014,30.07,30.18,30.27,29.94,40548800,30.18,-1.101210191980515,-1.1017959131967174,-1.101210191980515,-1.1031885068535479,-1.1001721980931944
13.01.2014,30.14,29.3,30.17,29.17,45901900,29.3,-1.1085081961357013,-1.1012153951082015,-1.1085081961357013,-1.104010494259275,-1.1066216501394004
14.01.2014,29.09,29.97,30.05,29.0,41623300,29.97,-1.102951761153912,-1.1099231664359408,-1.102951761153912,-1.104996879146147,-1.108045555136615
15.01.2014,30.07,30.79,30.81,30.02,44812600,30.79,-1.0961513481911247,-1.1017959131967174,-1.0961513481911247,-1.0987497748626227,-1.0995021251533288
16.01.2014,30.73,30.89,30.99,30.41,38018700,30.89,-1.0953220295371262,-1.0963224569335668,-1.0953220295371262,-1.0972701975323143,-1.0962355195714841
17.01.2014,30.84,30.47,30.84,30.27,46267500,30.47,-1.0988051678839197,-1.0954102142230415,-1.0988051678839197,-1.0985031786409047,-1.0974081472162487
21.01.2014,30.84,30.29,30.84,30.2,31567300,30.29,-1.100297941461117,-1.0954102142230415,-1.100297941461117,-1.0985031786409047,-1.0979944610386314
22.01.2014,30.37,30.09,30.42,29.94,21904300,30.09,-1.1019565787691137,-1.0993079785316489,-1.1019565787691137,-1.1019555257449578,-1.1001721980931944
