Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,0.38,0.37,0.38,0.37,260092000,0.37,-0.6116582172775554,-0.6107484276627841,-0.6116582172775554,-0.6106001920165793,-0.612240922688153
03.01.2014,0.37,0.37,0.38,0.37,259332000,0.37,-0.6116582172775554,-0.6111364155270375,-0.6116582172775554,-0.6106001920165793,-0.612240922688153
06.01.2014,0.37,0.37,0.38,0.37,409492000,0.37,-0.6116582172775554,-0.6111364155270375,-0.6116582172775554,-0.6106001920165793,-0.612240922688153
07.01.2014,0.38,0.38,0.38,0.38,333288000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.6118440040877935
08.01.2014,0.38,0.39,0.39,0.38,308192000,0.39,-0.6108817459952796,-0.6107484276627841,-0.6108817459952796,-0.6102196267686733,-0.6118440040877935
09.01.2014,0.38,0.37,0.38,0.37,292172000,0.37,-0.6116582172775554,-0.6107484276627841,-0.6116582172775554,-0.6106001920165793,-0.612240922688153
10.01.2014,0.37,0.37,0.38,0.37,218492000,0.37,-0.6116582172775554,-0.6111364155270375,-0.6116582172775554,-0.6106001920165793,-0.612240922688153
13.01.2014,0.37,0.36,0.37,0.36,243332000,0.36,-0.6120464529186933,-0.6111364155270375,-0.6120464529186933,-0.6109807572644853,-0.6126378412885125
14.01.2014,0.36,0.37,0.37,0.36,241828000,0.37,-0.6116582172775554,-0.6115244033912907,-0.6116582172775554,-0.6109807572644853,-0.6126378412885125
15.01.2014,0.38,0.38,0.38,0.37,175044000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.612240922688153
16.01.2014,0.38,0.38,0.38,0.38,220652000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.6118440040877935
17.01.2014,0.38,0.38,0.38,0.37,340400000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.612240922688153
21.01.2014,0.38,0.38,0.38,0.37,246076000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.612240922688153
22.01.2014,0.38,0.38,0.38,0.37,337940000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.612240922688153
23.01.2014,0.38,0.38,0.38,0.37,185028000,0.38,-0.6112699816364174,-0.6107484276627841,-0.6112699816364174,-0.6106001920165793,-0.612240922688153
24.01.2014,0.37,0.37,0.37,0.37,246696000,0.37,-0.6116582172775554,-0.6111364155270375,-0.6116582172775554,-0.6109807572644853,-0.612240922688153
27.01.2014,0.37,0.36,0.37,0.36,233812000,0.36,-0.6120464529186933,-0.6111364155270375,-0.6120464529186933,-0.6109807572644853,-0.6126378412885125
28.01.2014,0.36,0.37,0.37,0.36,167996000,0.37,-0.6116582172775554,-0.6115244033912907,-0.6116582172775554,-0.6109807572644853,-0.6126378412885125
29.01.2014,0.37,0.36,0.37,0.36,162944000,0.36,-0.6120464529186933,-0.6111364155270375,-0.6120464529186933,-0.6109807572644853,-0.6126378412885125
30.01.2014,0.37,0.37,0.37,0.37,202896000,0.37,-0.6116582172775554,-0.6111364155270375,-0.6116582172775554,-0.6109807572644853,-0.612240922688153
