Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,32.03,32.08,32.24,31.83,18162100,32.08,-0.9484034198176339,-0.9488889115783083,-0.9484034198176339,-0.9515163701363916,-0.9484082595289326
03.01.2014,32.02,32.0,32.2,31.94,11693900,32.0,-0.9511722701213099,-0.9492349089779843,-0.9511722701213099,-0.9528851891224014,-0.9445565057221386
06.01.2014,32.01,31.87,32.15,31.83,15329400,31.87,-0.9556716518647834,-0.9495809063776606,-0.9556716518647834,-0.9545962128549139,-0.9484082595289326
07.01.2014,32.03,32.19,32.26,31.89,16792200,32.19,-0.9445962506500792,-0.9488889115783083,-0.9445962506500792,-0.9508319606433867,-0.9463073029070449
08.01.2014,32.14,32.08,32.24,31.94,16111600,32.08,-0.9484034198176339,-0.9450829401818718,-0.9484034198176339,-0.9515163701363916,-0.9445565057221386
09.01.2014,32.19,32.02,32.19,31.86,13623500,32.02,-0.9504800575453908,-0.9433529531834915,-0.9504800575453908,-0.9532273938689041,-0.9473577812179887
10.01.2014,32.11,32.41,32.44,31.97,15402900,32.41,-0.9369819123149702,-0.9461209323808999,-0.9369819123149702,-0.944672275206342,-0.9435060274111948
13.01.2014,32.28,32.11,32.49,32.06,20848300,32.11,-0.9473651009537553,-0.9402389765864069,-0.9473651009537553,-0.9429612514738295,-0.9403545924783633
14.01.2014,32.13,32.5,32.53,32.07,13486400,32.5,-0.9338669557233344,-0.9454289375815477,-0.9338669557233344,-0.9415924324878197,-0.9400044330413821
15.01.2014,32.49,32.67,32.8,32.42,17010900,32.67,-0.9279831488280228,-0.9329730311932097,-0.9279831488280228,-0.9323529043322528,-0.9277488527470377
16.01.2014,32.65,32.57,32.97,32.46,13463000,32.57,-0.9314442117076179,-0.9274370727983929,-0.9314442117076179,-0.9265354236417106,-0.9263482149991126
17.01.2014,32.42,32.5,32.72,32.34,14051100,32.5,-0.9338669557233344,-0.9353950129909421,-0.9338669557233344,-0.9350905423042726,-0.9305501282428877
