Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,54.18,53.96,54.29,53.92,10110200,53.96,-0.7255720443953532,-0.719943956513821,-0.7255720443953532,-0.7309991708260074,-0.7128179468963276
03.01.2014,53.97,53.65,54.08,53.31,7970400,53.65,-0.7327294495660951,-0.7247879583744228,-0.7327294495660951,-0.7357692971040573,-0.7271414406985627
06.01.2014,53.79,53.51,53.87,53.4,7696200,53.51,-0.7359618260948173,-0.7289399599692243,-0.7359618260948173,-0.7405394233821071,-0.7250281383342986
07.01.2014,53.58,53.9,53.95,53.43,5902700,53.9,-0.7269573486219485,-0.7337839618298261,-0.7269573486219485,-0.7387222324190403,-0.7243237042128772
08.01.2014,53.84,54.23,54.23,53.49,8976900,54.23,-0.7193381753756749,-0.7277866261928905,-0.7193381753756749,-0.7323620640483074,-0.7229148359700343
09.01.2014,54.49,54.4,54.54,54.23,9067900,54.4,-0.7154131467336552,-0.7127932871005517,-0.7154131467336552,-0.7253204490664242,-0.7055387943083066
10.01.2014,54.54,54.37,54.83,53.85,8877600,54.37,-0.7161057988469528,-0.7116399533242179,-0.7161057988469528,-0.7187331318253077,-0.7144616265129775
13.01.2014,54.3,53.89,54.66,53.6,8576300,53.89,-0.7271882326597143,-0.7171759554506201,-0.7271882326597143,-0.7225946626218244,-0.7203319108581558
14.01.2014,53.26,54.01,54.24,53.26,9924300,54.01,-0.724417624206524,-0.7411652979983622,-0.724417624206524,-0.732134915177924,-0.7283154975675984
15.01.2014,54.07,54.84,54.97,54.02,10000700,54.84,-0.7052542490719569,-0.7224812908217553,-0.7052542490719569,-0.7155530476399411,-0.7104698331582563
16.01.2014,54.81,54.99,55.11,54.47,10263200,54.99,-0.701790988505469,-0.7054119509320156,-0.701790988505469,-0.7123729634545746,-0.6999033213369353
17.01.2014,54.98,55.0,55.18,54.78,12272700,55.0,-0.7015601044677031,-0.701490616092481,-0.7015601044677031,-0.7107829213618913,-0.6926241687489142
21.01.2014,55.2,55.54,55.62,55.1,8806800,55.54,-0.6890923664283464,-0.6964159474766123,-0.6890923664283464,-0.7007883710650249,-0.685110204787086
22.01.2014,55.57,55.77,55.83,55.29,7242400,55.77,-0.6837820335597313,-0.6878812775317426,-0.6837820335597313,-0.696018244786975,-0.6806487886847505
23.01.2014,55.56,55.84,55.86,55.32,8078300,55.84,-0.6821658452953703,-0.6881119442870093,-0.6821658452953703,-0.695336798175825,-0.679944354563329
24.01.2014,55.41,54.52,55.52,54.51,11916500,54.52,-0.7126425382804646,-0.6915719456160107,-0.7126425382804646,-0.7030598597688581,-0.6989640758417068
27.01.2014,54.47,53.87,54.73,53.53,12580700,53.87,-0.7276500007352461,-0.7132546206110852,-0.7276500007352461,-0.721004620529141,-0.7219755904748058
28.01.2014,52.99,52.98,53.83,52.81,18188900,52.98,-0.7481986800964082,-0.7473933003905643,-0.7481986800964082,-0.7414480188636404,-0.7388820093889193
