Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,12.91,12.73,12.92,12.7,6029100,12.73,-1.0857423052452002,-1.0801565795100962,-1.0857423052452002,-1.0805627945623346,-1.0860828606021833
03.01.2014,12.68,12.58,12.74,12.56,11362700,12.58,-1.0893465314367945,-1.0856726792433933,-1.0893465314367945,-1.0848222954649998,-1.089495016845683
06.01.2014,12.61,12.54,12.63,12.51,10370200,12.54,-1.0903076584212197,-1.087351492205701,-1.0903076584212197,-1.0874253237944063,-1.0907136440755045
07.01.2014,12.54,12.55,12.6,12.49,13083100,12.55,-1.0900673766751134,-1.0890303051680088,-1.0900673766751134,-1.088135240611517,-1.091201094967433
08.01.2014,12.66,12.69,12.74,12.66,13428900,12.69,-1.0867034322296254,-1.0861523400897668,-1.0867034322296254,-1.0848222954649998,-1.0870577623860405
09.01.2014,12.6,12.44,12.61,12.37,9422200,12.44,-1.0927104758822828,-1.0875913226288878,-1.0927104758822828,-1.08789860167248,-1.0941258003190042
10.01.2014,12.5,12.54,12.63,12.48,11148000,12.54,-1.0903076584212197,-1.0899896268607563,-1.0903076584212197,-1.0874253237944063,-1.091444820413397
13.01.2014,12.63,12.55,12.72,12.54,10286100,12.55,-1.0900673766751134,-1.0868718313593273,-1.0900673766751134,-1.0852955733430738,-1.0899824677376118
14.01.2014,12.66,12.9,12.91,12.65,13334500,12.9,-1.0816575155613932,-1.0861523400897668,-1.0816575155613932,-1.0807994335013718,-1.0873014878320046
15.01.2014,12.97,13.03,13.14,12.94,15510900,13.03,-1.0785338528620114,-1.0787175969709755,-1.0785338528620114,-1.0753567379035218,-1.0802334498990411
16.01.2014,13.29,13.47,13.49,13.28,21768200,13.47,-1.0679614560333348,-1.0710430234289972,-1.0679614560333348,-1.0670743750372285,-1.0719467847362558
17.01.2014,13.34,13.19,13.34,13.14,14574800,13.19,-1.074689344924311,-1.0698438713130631,-1.074689344924311,-1.0706239591227829,-1.0753589409797557
21.01.2014,13.19,13.13,13.23,13.08,8371500,13.13,-1.0761310354009486,-1.0734413276608654,-1.0761310354009486,-1.0732269874521891,-1.0768212936555412
22.01.2014,13.19,13.33,13.35,13.15,12870700,13.33,-1.0713254004788229,-1.0734413276608654,-1.0713254004788229,-1.070387320183746,-1.0751152155337915
23.01.2014,13.21,13.14,13.32,13.07,8872200,13.14,-1.0758907536548423,-1.0729616668144917,-1.0758907536548423,-1.0710972370008567,-1.0770650191015054
24.01.2014,13.15,13.04,13.19,13.0,12403200,13.04,-1.0782935711159052,-1.0744006493536127,-1.0782935711159052,-1.074173543208337,-1.0787710972232554
27.01.2014,12.85,12.73,12.86,12.63,11006600,12.73,-1.0857423052452002,-1.0815955620492173,-1.0857423052452002,-1.0819826281965566,-1.0877889387239332
28.01.2014,12.76,12.74,12.81,12.66,7525700,12.74,-1.085502023499094,-1.0837540358578988,-1.085502023499094,-1.0831658228917411,-1.0870577623860405
29.01.2014,12.71,12.63,12.8,12.6,9378900,12.63,-1.088145122706263,-1.0849531879738328,-1.088145122706263,-1.0834024618307783,-1.088520115061826
30.01.2014,12.71,12.72,12.81,12.69,7230000,12.72,-1.0859825869913065,-1.0849531879738328,-1.0859825869913065,-1.0831658228917411,-1.0863265860481477
31.01.2014,12.62,12.56,12.71,12.52,13590600,12.56,-1.089827094929007,-1.0871116617825143,-1.089827094929007,-1.0855322122821107,-1.0904699186295403
03.02.2014,12.63,12.45,12.7,12.38,14171700,12.45,-1.0924701941361763,-1.0868718313593273,-1.0924701941361763,-1.0857688512211476,-1.0938820748730398
04.02.2014,12.45,12.43,12.52,12.4,12321900,12.43,-1.092950757628389,-1.0911887789766903,-1.092950757628389,-1.0900283521238128,-1.0933946239811114
05.02.2014,12.34,12.22,12.37,12.2,14334100,12.22,-1.097996674296621,-1.0938269136317456,-1.097996674296621,-1.093577936209367,-1.0982691329003966
06.02.2014,12.4,12.61,12.61,12.4,10142700,12.61,-1.0886256861984758,-1.0923879310926246,-1.0886256861984758,-1.08789860167248,-1.0933946239811114
07.02.2014,12.7,12.74,12.82,12.68,9430700,12.74,-1.085502023499094,-1.0851930183970198,-1.085502023499094,-1.0829291839527042,-1.0865703114941119
10.02.2014,12.72,12.81,12.86,12.69,8003300,12.81,-1.0838200512763498,-1.084713357550646,-1.0838200512763498,-1.0819826281965566,-1.0863265860481477
11.02.2014,12.84,12.91,12.95,12.76,9631800,12.91,-1.081417233815287,-1.0818353924724042,-1.081417233815287,-1.0798528777452239,-1.0846205079263977
12.02.2014,12.96,12.9,12.99,12.86,6962800,12.9,-1.0816575155613932,-1.0789574273941622,-1.0816575155613932,-1.078906321989076,-1.082183253466755
13.02.2014,12.8,12.95,13.0,12.8,6564600,12.95,-1.0804561068308618,-1.0827947141651513,-1.0804561068308618,-1.078669683050039,-1.0836456061425408
14.02.2014,13.07,13.28,13.33,13.06,11269900,13.28,-1.0725268092093543,-1.0763192927391072,-1.0725268092093543,-1.0708605980618198,-1.0773087445474698
18.02.2014,13.29,13.2,13.32,13.12,6412700,13.2,-1.0744490631782044,-1.0710430234289972,-1.0744490631782044,-1.0710972370008567,-1.0758463918716843
19.02.2014,13.16,13.18,13.27,13.07,8702500,13.18,-1.0749296266704171,-1.0741608189304257,-1.0749296266704171,-1.0722804316960415,-1.0770650191015054
20.02.2014,13.06,13.13,13.19,12.96,11836500,13.13,-1.0761310354009486,-1.076559123162294,-1.0761310354009486,-1.074173543208337,-1.0797459990071125
21.02.2014,13.22,13.17,13.26,13.13,6013200,13.17,-1.0751699084165234,-1.072721836391305,-1.0751699084165234,-1.0725170706350784,-1.0756026664257199
24.02.2014,13.15,13.13,13.2,13.1,5499200,13.13,-1.0761310354009486,-1.0744006493536127,-1.0761310354009486,-1.0739369042693,-1.0763338427636127
25.02.2014,13.09,13.08,13.15,13.06,5944700,13.08,-1.0773324441314802,-1.0758396318927337,-1.0773324441314802,-1.075120098964485,-1.0773087445474698
26.02.2014,13.09,13.23,13.26,13.08,9376100,13.23,-1.0737282179398857,-1.0758396318927337,-1.0737282179398857,-1.0725170706350784,-1.0768212936555412
27.02.2014,13.22,13.37,13.37,13.2,8659800,13.37,-1.0703642734943977,-1.072721836391305,-1.0703642734943977,-1.069914042305672,-1.07389658830397
28.02.2014,13.38,13.41,13.47,13.35,11279600,13.41,-1.0694031465099727,-1.0688845496203156,-1.0694031465099727,-1.0675476529153025,-1.070240706614506
03.03.2014,13.26,13.38,13.42,13.19,18168800,13.38,-1.0701239917482914,-1.0717625146985577,-1.0701239917482914,-1.068730847610487,-1.0741403137499344
04.03.2014,13.41,13.39,13.46,13.37,12548700,13.39,-1.0698837100021852,-1.0681650583507551,-1.0698837100021852,-1.0677842918543394,-1.0697532557225775
05.03.2014,13.61,13.65,13.67,13.55,9863100,13.65,-1.0636363846034216,-1.0633684498870186,-1.0636363846034216,-1.0628148741345635,-1.065366197695221
06.03.2014,13.91,14.01,14.02,13.86,14240300,14.01,-1.0549862417435951,-1.0561735371914138,-1.0549862417435951,-1.0545325112682704,-1.0578107088703286
07.03.2014,14.11,13.93,14.12,13.87,14153200,13.93,-1.0569084957124455,-1.0513769287276775,-1.0569084957124455,-1.0521661218779008,-1.0575669834243644
10.03.2014,13.88,14.07,14.07,13.86,10652100,14.07,-1.0535445512669575,-1.0568930284609743,-1.0535445512669575,-1.0533493165730854,-1.0578107088703286
11.03.2014,14.04,13.93,14.07,13.87,8748200,13.93,-1.0569084957124455,-1.0530557416899853,-1.0569084957124455,-1.0533493165730854,-1.0575669834243644
12.03.2014,13.93,14.42,14.47,13.93,21260500,14.42,-1.0451346901532372,-1.0556938763450403,-1.0451346901532372,-1.0438837590116075,-1.0561046307485786
13.03.2014,14.41,14.3,14.49,14.24,18414700,14.3,-1.0480180711065128,-1.0441820160320727,-1.0480180711065128,-1.0434104811335336,-1.0485491419236863
14.03.2014,14.21,14.03,14.32,14.02,13077400,14.03,-1.0545056782513826,-1.0489786244958093,-1.0545056782513826,-1.0474333430971616,-1.0539111017349003
17.03.2014,14.13,14.18,14.22,14.07,10786300,14.18,-1.0509014520597881,-1.0508972678813038,-1.0509014520597881,-1.0497997324875312,-1.052692474505079
18.03.2014,14.16,14.24,14.25,14.13,11987400,14.24,-1.0494597615831505,-1.0501777766117433,-1.0494597615831505,-1.0490898156704205,-1.0512301218292932
19.03.2014,14.16,14.01,14.18,13.93,10596800,14.01,-1.0549862417435951,-1.0501777766117433,-1.0549862417435951,-1.050746288243679,-1.0561046307485786
20.03.2014,13.77,13.99,13.99,13.71,13124200,13.99,-1.0554668052358076,-1.0595311631160294,-1.0554668052358076,-1.055242428085381,-1.0614665905597924
21.03.2014,13.94,13.75,13.99,13.67,12885000,13.75,-1.0612335671423587,-1.0554540459218535,-1.0612335671423587,-1.055242428085381,-1.0624414923436496
24.03.2014,13.81,13.84,13.86,13.66,7898200,13.84,-1.0590710314274019,-1.058571841423282,-1.0590710314274019,-1.0583187342928615,-1.062685217789614
25.03.2014,13.95,14.19,14.24,13.95,17129500,14.19,-1.050661170313682,-1.0552142154986668,-1.050661170313682,-1.0493264546094574,-1.05561717985665
26.03.2014,14.3,14.17,14.36,14.16,10597800,14.17,-1.0511417338058944,-1.0468201506871277,-1.0511417338058944,-1.046486787341014,-1.0504989454914007
27.03.2014,14.1,14.41,14.47,14.1,14222200,14.41,-1.0453749718993437,-1.0516167591508643,-1.0453749718993437,-1.0438837590116075,-1.051961298167186
28.03.2014,14.44,14.58,14.77,14.44,11246400,14.58,-1.0412901822155367,-1.0434625247625124,-1.0412901822155367,-1.0367845908404991,-1.043674633004401
31.03.2014,14.65,14.86,14.87,14.64,14482300,14.86,-1.0345622933245606,-1.038426085875589,-1.0345622933245606,-1.0344182014501295,-1.0388001240851157
01.04.2014,14.9,15.08,15.11,14.89,16133600,15.08,-1.0292760949102222,-1.0324303252959184,-1.0292760949102222,-1.0287388669132427,-1.0327069879360091
02.04.2014,15.07,14.87,15.1,14.84,14875200,14.87,-1.0343220115784544,-1.0283532081017424,-1.0343220115784544,-1.0289755058522796,-1.0339256151658303
03.04.2014,14.82,14.8,14.91,14.7,14904400,14.8,-1.0360039838011983,-1.034348968681413,-1.0360039838011983,-1.0334716456939819,-1.0373377714093301
04.04.2014,14.87,14.67,14.99,14.64,14585200,14.67,-1.03912764650058,-1.0331498165654789,-1.03912764650058,-1.031578534181686,-1.0388001240851157
07.04.2014,14.59,14.65,14.7,14.56,9693500,14.65,-1.0396082099927926,-1.03986506841471,-1.0396082099927926,-1.0384410634137575,-1.0407499276528298
08.04.2014,14.76,14.83,14.83,14.69,9181600,14.83,-1.0352831385628793,-1.035787951220534,-1.0352831385628793,-1.0353647572062774,-1.0375814968552945
09.04.2014,14.82,14.96,15.0,14.82,9754100,14.96,-1.0321594758634975,-1.034348968681413,-1.0321594758634975,-1.0313418952426492,-1.0344130660577588
10.04.2014,15.0,14.71,15.07,14.69,9776500,14.71,-1.038166519516155,-1.0300320210640501,-1.038166519516155,-1.0296854226693906,-1.0375814968552945
11.04.2014,14.71,14.76,14.82,14.65,8414400,14.76,-1.0369651107856235,-1.036987103336468,-1.0369651107856235,-1.0356013961453143,-1.0385563986391515
14.04.2014,14.89,15.04,15.09,14.83,9819500,15.04,-1.0302372218946474,-1.0326701557191051,-1.0302372218946474,-1.0292121447913165,-1.0341693406117947
15.04.2014,15.09,15.22,15.26,14.89,22468600,15.22,-1.0259121504647342,-1.0278735472553688,-1.0259121504647342,-1.0251892828276885,-1.0327069879360091
16.04.2014,15.15,14.96,15.16,14.88,15121500,14.96,-1.0321594758634975,-1.0264345647162478,-1.0321594758634975,-1.027555672218058,-1.0329507133819733
17.04.2014,15.28,15.38,15.53,15.27,20492800,15.38,-1.0220676425270334,-1.023316769214819,-1.0220676425270334,-1.0188000314736907,-1.023445420989367
21.04.2014,15.14,15.26,15.28,15.04,11525800,15.26,-1.024951023480309,-1.0266743951394346,-1.024951023480309,-1.0247160049496145,-1.029051106246545
22.04.2014,15.13,15.26,15.28,15.1,11191200,15.26,-1.024951023480309,-1.0269142255626214,-1.024951023480309,-1.0247160049496145,-1.0275887535707595
23.04.2014,15.12,15.15,15.19,15.07,9031700,15.15,-1.027594122687478,-1.0271540559858083,-1.027594122687478,-1.0268457554009471,-1.0283199299086523
24.04.2014,15.17,15.26,15.29,15.04,12202800,15.26,-1.024951023480309,-1.025954903869874,-1.024951023480309,-1.0244793660105775,-1.029051106246545
25.04.2014,14.9,14.78,14.96,14.73,15474700,14.78,-1.0364845472934108,-1.0324303252959184,-1.0364845472934108,-1.0322884509987968,-1.0366065950714372
