Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,28.86,28.81,28.95,28.78,9270200,28.81,-1.404417151630382,-1.3966948521672666,-1.404417151630382,-1.4161838490584011,-1.371136469772366
03.01.2014,29.01,28.47,29.01,28.35,12022200,28.47,-1.4589486399649603,-1.3726331457408074,-1.4589486399649603,-1.4066334785489778,-1.4405591663392951
06.01.2014,28.68,28.63,28.85,28.34,16054800,28.63,-1.4332867631016293,-1.4255688998790175,-1.4332867631016293,-1.4321011332407723,-1.4421736476548055
07.01.2014,28.88,28.99,29.05,28.56,17594600,28.99,-1.3755475401591348,-1.393486624643739,-1.3755475401591348,-1.4002665648760293,-1.406655058713586
08.01.2014,28.94,28.83,29.17,28.74,13110700,28.83,-1.4012094170224656,-1.383861942073155,-1.4012094170224656,-1.3811658238571833,-1.3775943950344065
09.01.2014,28.79,28.23,28.83,28.23,14567000,28.23,-1.4974414552599562,-1.4079236484996143,-1.4974414552599562,-1.435284590077247,-1.459932942125415
10.01.2014,28.44,28.38,28.58,28.19,11445900,28.38,-1.4733834457005839,-1.4640676301613516,-1.4733834457005839,-1.4750778005331757,-1.4663908673874548
13.01.2014,28.32,27.95,28.38,27.91,18784000,27.95,-1.5423497397707855,-1.4833169953025187,-1.5423497397707855,-1.5069123688979187,-1.5115963442217346
14.01.2014,27.96,27.98,28.07,27.69,19270700,27.98,-1.5375381378589108,-1.5410650907260202,-1.5375381378589108,-1.5562559498632702,-1.547114933162954
15.01.2014,28.14,28.69,28.76,28.1,21722300,28.69,-1.4236635592778797,-1.5121910430142695,-1.4236635592778797,-1.4464266890049065,-1.4809211992270448
16.01.2014,28.68,28.85,28.92,28.5,14193200,28.85,-1.398001682414549,-1.4255688998790175,-1.398001682414549,-1.4209590343131122,-1.4163419466066458
17.01.2014,28.92,28.74,28.94,28.53,15988600,28.74,-1.4156442227580894,-1.3870701695966827,-1.4156442227580894,-1.4177755774766378,-1.4114985026601157
21.01.2014,29.03,28.35,29.07,27.79,33165500,28.35,-1.478195047612458,-1.3694249182172795,-1.478195047612458,-1.3970831080395552,-1.5309701200078545
22.01.2014,28.2,28.13,28.24,27.99,17975700,28.13,-1.5134801282995383,-1.502566360443686,-1.5134801282995383,-1.5291965667532388,-1.498680493697655
23.01.2014,27.97,28.45,28.45,27.9,22638200,28.45,-1.4621563745728765,-1.5394609769642567,-1.4621563745728765,-1.4957702699702586,-1.5132108255372447
24.01.2014,28.3,28.31,28.83,28.24,25665600,28.31,-1.484610516828291,-1.4865252228260466,-1.484610516828291,-1.435284590077247,-1.4583184608099056
27.01.2014,28.36,28.35,28.74,28.18,21418600,28.35,-1.478195047612458,-1.4769005402554631,-1.478195047612458,-1.4496101458413813,-1.4680053487029652
28.01.2014,28.33,28.15,28.45,28.13,16345400,28.15,-1.510272393691622,-1.4817128815407552,-1.510272393691622,-1.4957702699702586,-1.476077755280515
