Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,8.02,7.92,8.04,7.91,13439700,7.92,-1.376914671082736,-1.365075139214786,-1.376914671082736,-1.373553256741377,-1.3675463474924048
03.01.2014,7.93,7.97,8.07,7.93,13897500,7.97,-1.371677874102116,-1.3744952568052127,-1.371677874102116,-1.3704412932208454,-1.3654328866334344
06.01.2014,8.01,7.91,8.06,7.88,15219600,7.91,-1.37796203047886,-1.3661218189470556,-1.37796203047886,-1.3714786143943558,-1.3707165387808609
07.01.2014,7.94,7.95,7.97,7.91,11527500,7.95,-1.373772592894364,-1.3734485770729428,-1.373772592894364,-1.3808145049559508,-1.3675463474924048
08.01.2014,7.93,7.92,7.97,7.87,15072000,7.92,-1.376914671082736,-1.3744952568052127,-1.376914671082736,-1.3808145049559508,-1.371773269210346
09.01.2014,7.94,8.04,8.04,7.91,13743900,8.04,-1.364346358329248,-1.3734485770729428,-1.364346358329248,-1.373553256741377,-1.3675463474924048
10.01.2014,8.07,8.1,8.12,8.03,13728600,8.1,-1.358062201952504,-1.3598417405534378,-1.358062201952504,-1.365254687353293,-1.3548655823385816
13.01.2014,8.09,7.97,8.13,7.95,20569500,7.97,-1.371677874102116,-1.3577483810888986,-1.371677874102116,-1.364217366179782,-1.3633194257744639
14.01.2014,8.03,8.1,8.13,7.97,24035100,8.1,-1.358062201952504,-1.3640284594825163,-1.358062201952504,-1.364217366179782,-1.3612059649154933
15.01.2014,8.12,8.2,8.2,8.09,36123900,8.2,-1.347588607991264,-1.3546083418920898,-1.347588607991264,-1.3569561179652085,-1.3485251997616696
16.01.2014,7.7,7.64,7.72,7.5,82080000,7.64,-1.406240734174208,-1.3985688906474139,-1.406240734174208,-1.4067475342937141,-1.4108722951013017
17.01.2014,7.68,7.64,7.68,7.59,35177700,7.64,-1.406240734174208,-1.4006622501119532,-1.406240734174208,-1.4108968189877562,-1.4013617212359342
21.01.2014,7.67,7.58,7.72,7.55,28709400,7.58,-1.412524890550952,-1.4017089298442227,-1.412524890550952,-1.4067475342937141,-1.405588642953875
22.01.2014,7.63,7.63,7.68,7.62,23527500,7.63,-1.4072880935703322,-1.4058956487733014,-1.4072880935703322,-1.4108968189877562,-1.398191529947478
23.01.2014,7.62,7.58,7.66,7.54,25808700,7.58,-1.412524890550952,-1.4069423285055709,-1.412524890550952,-1.412971461334777,-1.4066453733833606
24.01.2014,7.5,7.35,7.53,7.35,28118700,7.35,-1.4366141566618043,-1.4195024852928064,-1.4366141566618043,-1.4264566365904139,-1.426723251543581
27.01.2014,7.32,7.33,7.4,7.26,22274100,7.33,-1.4387088754540522,-1.4383427204736596,-1.4387088754540522,-1.439941811846051,-1.4362338254089486
28.01.2014,7.35,7.44,7.49,7.35,14726400,7.44,-1.427187922096688,-1.4352026812768508,-1.427187922096688,-1.4306059212844562,-1.426723251543581
29.01.2014,7.35,7.33,7.4,7.3,21857100,7.33,-1.4387088754540522,-1.4352026812768508,-1.4387088754540522,-1.439941811846051,-1.4320069036910072
30.01.2014,7.41,7.51,7.54,7.4,16594500,7.51,-1.4198564063238202,-1.428922602883233,-1.4198564063238202,-1.4254193154169035,-1.4214395993961544
31.01.2014,7.41,7.55,7.59,7.37,22281300,7.55,-1.415666968739324,-1.428922602883233,-1.415666968739324,-1.4202327095493508,-1.4246097906846102
03.02.2014,7.55,7.3,7.59,7.25,28647000,7.3,-1.4418509536424242,-1.4142690866314582,-1.4418509536424242,-1.4202327095493508,-1.437290555838434
04.02.2014,7.31,7.39,7.44,7.29,26089800,7.39,-1.432424719077308,-1.4393894002059293,-1.432424719077308,-1.4357925271520087,-1.4330636341204928
05.02.2014,7.37,7.43,7.45,7.35,20205900,7.43,-1.428235281492812,-1.4331093218123114,-1.428235281492812,-1.4347552059784983,-1.426723251543581
06.02.2014,7.47,7.58,7.59,7.46,15773700,7.58,-1.412524890550952,-1.4226425244896153,-1.412524890550952,-1.4202327095493508,-1.4150992168192427
07.02.2014,7.62,7.64,7.7,7.58,17080800,7.64,-1.406240734174208,-1.4069423285055709,-1.406240734174208,-1.4088221766407352,-1.4024184516654195
10.02.2014,7.63,7.59,7.63,7.54,13931700,7.59,-1.4114775311548282,-1.4058956487733014,-1.4114775311548282,-1.416083424855309,-1.4066453733833606
11.02.2014,7.62,7.66,7.7,7.61,12549300,7.66,-1.40414601538196,-1.4069423285055709,-1.40414601538196,-1.4088221766407352,-1.3992482603769636
