Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,16.87,17.2,17.2,16.87,2365175,17.2,-0.6044108164908093,-0.610666727152744,-0.6044108164908093,-0.6087573064110826,-0.606587613262346
03.01.2014,17.2,16.87,17.2,16.87,1800797,16.87,-0.6103004057037503,-0.604796811776876,-0.6103004057037503,-0.6087573064110826,-0.606587613262346
06.01.2014,16.97,16.87,17.06,16.73,1774315,16.87,-0.6103004057037503,-0.6088879649176324,-0.6103004057037503,-0.6111979288406918,-0.6091377364616243
07.01.2014,16.78,16.69,16.87,16.64,1764330,16.69,-0.6135129089108092,-0.6122676131643442,-0.6135129089108092,-0.6145102021380187,-0.610777101375446
08.01.2014,16.69,16.64,16.83,16.64,2132043,16.64,-0.61440527091277,-0.6138684991759444,-0.61440527091277,-0.6152075228321927,-0.610777101375446
09.01.2014,16.64,16.46,16.78,16.41,2603515,16.46,-0.6176177741198287,-0.6147578802935002,-0.6176177741198287,-0.6160791736999102,-0.6149665894885461
10.01.2014,16.46,16.46,16.6,16.36,2973834,16.46,-0.6176177741198287,-0.6179596523167009,-0.6176177741198287,-0.6192171168236935,-0.6158773477740026
13.01.2014,16.5,16.55,16.69,16.41,2581809,16.55,-0.6160115225162994,-0.6172481474226563,-0.6160115225162994,-0.6176481452618018,-0.6149665894885461
14.01.2014,16.5,16.6,16.6,16.36,1825977,16.6,-0.6151191605143386,-0.6172481474226563,-0.6151191605143386,-0.6192171168236935,-0.6158773477740026
15.01.2014,16.46,16.6,16.6,16.46,2224514,16.6,-0.6151191605143386,-0.6179596523167009,-0.6151191605143386,-0.6192171168236935,-0.6140558312030896
16.01.2014,16.64,16.41,16.64,16.41,2419442,16.41,-0.6185101361217895,-0.6147578802935002,-0.6185101361217895,-0.6185197961295195,-0.6149665894885461
17.01.2014,16.41,16.73,16.73,16.36,2346941,16.73,-0.6127990193092405,-0.6188490334342566,-0.6127990193092405,-0.6169508245676278,-0.6158773477740026
20.01.2014,16.73,16.78,16.83,16.64,2096878,16.78,-0.6119066573072798,-0.6131569942819,-0.6119066573072798,-0.6152075228321927,-0.610777101375446
21.01.2014,16.78,16.83,16.87,16.64,1942326,16.83,-0.611014295305319,-0.6122676131643442,-0.611014295305319,-0.6145102021380187,-0.610777101375446
22.01.2014,16.83,17.01,17.01,16.83,2441148,17.01,-0.6078017920982601,-0.6113782320467884,-0.6078017920982601,-0.6120695797084094,-0.6073162198907114
23.01.2014,17.01,17.06,17.11,16.92,3169195,17.06,-0.6069094300962994,-0.6081764600235878,-0.6069094300962994,-0.6103262779729741,-0.6056768549768895
24.01.2014,16.97,16.97,17.01,16.83,2267060,16.97,-0.6085156816998288,-0.6088879649176324,-0.6085156816998288,-0.6120695797084094,-0.6073162198907114
27.01.2014,16.5,16.6,16.73,16.36,4363070,16.6,-0.6151191605143386,-0.6172481474226563,-0.6151191605143386,-0.6169508245676278,-0.6158773477740026
05.02.2014,16.22,16.36,16.46,16.08,4028351,16.36,-0.6194024981237503,-0.6222286816809685,-0.6194024981237503,-0.6216577392533027,-0.6209775941725592
06.02.2014,16.22,16.22,16.32,16.13,2395130,16.22,-0.6219011117292405,-0.6222286816809685,-0.6219011117292405,-0.624098361682912,-0.6200668358871027
07.02.2014,16.41,16.46,16.5,16.22,1718311,16.46,-0.6176177741198287,-0.6188490334342566,-0.6176177741198287,-0.6209604185591286,-0.6184274709732809
10.02.2014,16.6,16.32,16.64,16.27,1360149,16.32,-0.6201163877253189,-0.6154693851875448,-0.6201163877253189,-0.6185197961295195,-0.6175167126878244
11.02.2014,16.32,16.36,16.41,16.27,406785,16.36,-0.6194024981237503,-0.6204499194458569,-0.6194024981237503,-0.6225293901210203,-0.6175167126878244
12.02.2014,16.41,16.5,16.55,16.36,1812519,16.5,-0.6169038845182601,-0.6188490334342566,-0.6169038845182601,-0.6200887676914111,-0.6158773477740026
