Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,124.56,121.83,125.86,121.66,3360000,121.83,-1.3249532216997137,-1.268839432945686,-1.3249532216997137,-1.2698295437698905,-1.3013663580787909
03.01.2014,122.32,122.07,123.03,121.95,2779600,122.07,-1.3201367858299373,-1.3137567780849848,-1.3201367858299373,-1.3260533410361082,-1.295493483465716
06.01.2014,124.38,120.91,124.65,120.51,2995000,120.91,-1.3434162258671907,-1.2724488624658084,-1.3434162258671907,-1.2938686938377786,-1.3246553436133979
07.01.2014,121.45,122.59,122.88,121.15,1702000,122.59,-1.3097011747787544,-1.3312023540989086,-1.3097011747787544,-1.3290334009618796,-1.3116945168810947
08.01.2014,122.94,122.35,123.23,122.02,1632800,122.35,-1.3145176106485312,-1.301324298626786,-1.3145176106485312,-1.3220799278017465,-1.2940758930418703
09.01.2014,122.47,123.35,123.57,121.99,1451600,123.35,-1.2944491278577954,-1.3107489201515494,-1.2944491278577954,-1.3153251253033318,-1.2946834317949472
10.01.2014,123.08,124.32,124.42,122.39,1714700,124.32,-1.2749826995507816,-1.2985169645555799,-1.2749826995507816,-1.2984381190572944,-1.2865829150872574
13.01.2014,123.21,122.46,124.43,122.24,1565200,122.46,-1.3123100775415504,-1.2959101543466027,-1.3123100775415504,-1.2982394483955764,-1.2896206088526412
14.01.2014,122.86,124.38,124.5,121.79,2344500,124.38,-1.2737785905833374,-1.302928489524618,-1.2737785905833374,-1.29684875376355,-1.2987336901487916
15.01.2014,124.45,124.25,124.77,123.72,2692200,124.25,-1.276387493346133,-1.271045195430205,-1.276387493346133,-1.2914846458971618,-1.25964869703419
16.01.2014,123.7,123.61,124.21,122.86,1928100,123.61,-1.289231322332204,-1.286084485097381,-1.289231322332204,-1.3026102029533744,-1.2770648079557223
17.01.2014,122.56,122.47,123.66,122.11,2293000,122.47,-1.312109392713643,-1.3089442053914884,-1.312109392713643,-1.313537089347869,-1.29225327678264
21.01.2014,123.52,123.9,124.31,122.73,2509000,123.9,-1.2834114623228905,-1.2896939146175033,-1.2834114623228905,-1.3006234963361936,-1.2796974758857214
22.01.2014,124.43,124.03,124.51,123.45,1337100,124.03,-1.280802559560095,-1.271446243154663,-1.280802559560095,-1.2966500831018317,-1.2651165458118803
23.01.2014,123.43,122.24,123.76,121.46,1836300,122.24,-1.316725143755512,-1.291498629377564,-1.316725143755512,-1.311550382730688,-1.3054166164326357
24.01.2014,121.3,117.31,121.5,117.3,3089300,117.31,-1.4156627639138395,-1.3342102120323438,-1.4156627639138395,-1.356449952278975,-1.3896619901926062
27.01.2014,117.4,115.01,118.35,114.26,4738700,115.01,-1.461820274332532,-1.4124145183016583,-1.461820274332532,-1.4190312107201715,-1.4512259171710462
28.01.2014,115.05,117.1,117.36,115.05,3169700,117.1,-1.4198771452998942,-1.4595376259254764,-1.4198771452998942,-1.4386996062302615,-1.4352273966733597
29.01.2014,115.78,114.93,116.8,114.66,2647600,114.93,-1.4634257529557906,-1.4448993839827584,-1.4634257529557906,-1.4498251632864743,-1.443125400463357
30.01.2014,116.01,116.6,117.52,115.98,1935900,116.6,-1.4299113866952622,-1.440287335151491,-1.4299113866952622,-1.4355208756427722,-1.4163936953279814
31.01.2014,114.93,116.21,117.64,114.87,1588500,116.21,-1.4377380949836491,-1.4619439122722242,-1.4377380949836491,-1.4331368277021552,-1.4388726291918197
03.02.2014,115.87,112.83,117.72,112.47,3184000,112.83,-1.505569566816336,-1.4430946692226971,-1.505569566816336,-1.4315474624084106,-1.4874757294379568
04.02.2014,112.86,113.68,114.12,111.72,2387000,113.68,-1.4885113564442105,-1.50345235175363,-1.4885113564442105,-1.5030689006269204,-1.5026641982648745
05.02.2014,113.18,113.29,114.12,112.61,2009200,113.29,-1.4963380647325975,-1.4970355881623014,-1.4963380647325975,-1.5030689006269204,-1.4846405485902654
06.02.2014,113.44,114.05,114.94,113.37,1908400,114.05,-1.4810860178116383,-1.4918219677443472,-1.4810860178116383,-1.4867779063660378,-1.4692495668456553
07.02.2014,114.99,114.85,115.99,114.07,2390500,114.85,-1.4650312315790497,-1.4607407690988505,-1.4650312315790497,-1.465917486885639,-1.455073662607199
10.02.2014,114.51,113.21,115.11,112.74,3602500,113.21,-1.4979435433558566,-1.4703659144858428,-1.4979435433558566,-1.4834005051168304,-1.4820078806602666
11.02.2014,113.67,116.06,116.61,113.43,3256000,116.06,-1.4407483674022592,-1.4872099189130799,-1.4407483674022592,-1.4535999058591178,-1.4680344893395019
12.02.2014,116.07,115.93,116.63,114.84,1895700,115.93,-1.4433572701650548,-1.4390841919781172,-1.4433572701650548,-1.4532025645356816,-1.4394801679448965
13.02.2014,114.99,115.99,116.23,114.19,1780700,115.99,-1.442153161197611,-1.4607407690988505,-1.442153161197611,-1.4611493910044049,-1.452643507594892
14.02.2014,115.91,116.73,117.28,115.82,1436200,116.73,-1.4273024839324662,-1.4422925737737813,-1.4273024839324662,-1.4402889715240061,-1.4196339020110575
18.02.2014,117.08,115.75,117.47,115.34,2360500,115.75,-1.4469695970673875,-1.418831281892987,-1.4469695970673875,-1.4365142289513626,-1.4293545220602846
19.02.2014,115.35,114.49,116.37,114.19,2780900,114.49,-1.4722558853837147,-1.453521910058606,-1.4722558853837147,-1.4583680017403517,-1.452643507594892
20.02.2014,114.79,115.92,116.37,114.24,1787000,115.92,-1.4435579549929622,-1.4647512463434305,-1.4435579549929622,-1.4583680017403517,-1.451630943006431
21.02.2014,116.09,117.58,117.86,116.02,1969400,117.58,-1.4102442735603409,-1.438683144253659,-1.4102442735603409,-1.4287660731443574,-1.4155836436572127
24.02.2014,117.75,117.56,119.4,117.24,2243200,117.56,-1.4106456432161556,-1.405396183123643,-1.4106456432161556,-1.3981707912397723,-1.3908770676987599
25.02.2014,117.54,115.79,117.56,115.34,2588900,115.79,-1.4461668577557578,-1.4096071842304523,-1.4461668577557578,-1.4347261929958999,-1.4293545220602846
26.02.2014,115.61,115.38,116.77,115.01,1588100,115.38,-1.4543949356999597,-1.4483082896406516,-1.4543949356999597,-1.4504211752716285,-1.4360374483441285
27.02.2014,115.09,116.41,116.66,115.01,1736100,116.41,-1.433724398425502,-1.4587355304765601,-1.433724398425502,-1.4526065525505274,-1.4360374483441285
28.02.2014,116.09,116.22,117.18,115.35,1904700,116.22,-1.4375374101557417,-1.438683144253659,-1.4375374101557417,-1.442275678141187,-1.4291520091425927
03.03.2014,115.1,116.26,117.05,115.1,1614300,116.26,-1.436734670844112,-1.4585350066143314,-1.436734670844112,-1.4448583967435222,-1.4342148320848984
04.03.2014,117.53,119.49,119.98,117.45,2250100,119.49,-1.3719134714300356,-1.4098077080926814,-1.3719134714300356,-1.3866478928601236,-1.3866242964272226
05.03.2014,119.62,119.34,119.94,118.99,1292200,119.34,-1.374923743848646,-1.3678982208868178,-1.374923743848646,-1.3874425755069961,-1.3554373071026182
06.03.2014,119.63,119.67,119.97,118.71,1581300,119.67,-1.3683011445277031,-1.3676976970245889,-1.3683011445277031,-1.3868465635218417,-1.3611076687980008
07.03.2014,120.35,119.92,120.94,119.51,1353800,119.92,-1.363284023830019,-1.3532599789441,-1.363284023830019,-1.3675755093351878,-1.3449066353826218
10.03.2014,119.57,120.3,120.76,119.38,1720700,120.3,-1.3556580003695395,-1.368900840197963,-1.3556580003695395,-1.371151581246113,-1.347539303312621
11.03.2014,120.19,119.8,120.48,119.29,1483500,119.8,-1.3656922417649076,-1.3564683607397643,-1.3656922417649076,-1.3767143597742193,-1.349361919571851
12.03.2014,119.37,120.24,120.54,118.67,1275600,120.24,-1.3568621093369837,-1.3729113174425431,-1.3568621093369837,-1.3755223358039108,-1.3619177204687696
13.03.2014,120.73,119.27,121.54,118.57,2286000,119.27,-1.3763285376439975,-1.3456400721793975,-1.3763285376439975,-1.3556552696321025,-1.3639428496456922
14.03.2014,119.0,119.34,120.2,118.69,2629200,119.34,-1.374923743848646,-1.3803307003450165,-1.374923743848646,-1.3822771383023258,-1.3615126946333853
17.03.2014,120.17,120.05,120.95,119.64,3855000,120.05,-1.3606751210672234,-1.356869408464222,-1.3606751210672234,-1.3673768386734695,-1.3422739674526227
18.03.2014,120.06,120.92,121.46,119.85,2578900,120.92,-1.3432155410392832,-1.3590751709487412,-1.3432155410392832,-1.3572446349258473,-1.3380211961810857
19.03.2014,120.51,120.75,123.18,119.67,3110400,120.75,-1.3466271831137084,-1.3500515971484357,-1.3466271831137084,-1.3230732811103367,-1.3416664286995459
20.03.2014,119.57,119.11,120.18,118.01,3377700,119.11,-1.379539494890515,-1.368900840197963,-1.379539494890515,-1.382674479625762,-1.3752835730364572
21.03.2014,119.99,119.36,120.42,118.69,5017900,119.36,-1.3745223741928312,-1.3604788379843444,-1.3745223741928312,-1.377906383744528,-1.3615126946333853
24.03.2014,119.68,117.76,119.72,117.69,3206900,117.76,-1.4066319466580084,-1.3666950777134437,-1.4066319466580084,-1.391813330064794,-1.381763986402609
25.03.2014,117.7,117.07,118.39,115.64,4336800,117.07,-1.4204791997836164,-1.406398802434788,-1.4204791997836164,-1.418236528073299,-1.4232791345295175
26.03.2014,117.35,115.29,118.07,115.26,2870700,115.29,-1.4562010991511258,-1.4134171376128037,-1.4562010991511258,-1.4245939892482777,-1.4309746254018225
27.03.2014,115.18,115.28,115.74,114.57,3042800,115.28,-1.4564017839790333,-1.456930815716499,-1.4564017839790333,-1.470884253428591,-1.4449480167225872
