Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,657.52,645.67,657.52,641.72,6514500,645.67,-0.49530212373082916,-0.48607831693659853,-0.49530212373082916,-0.49309229158080486,-0.4909935338655996
07.01.2014,641.72,633.82,649.62,629.88,9358200,633.82,-0.5042901046819366,-0.49807215622970297,-0.5042901046819366,-0.49900401471966793,-0.5001064333165607
08.01.2014,633.82,635.8,639.75,629.88,7516800,635.8,-0.5027883154597262,-0.5040690758762552,-0.5027883154597262,-0.5063899270463235,-0.5001064333165607
09.01.2014,633.82,641.72,641.72,629.88,8788800,641.72,-0.4982981173811983,-0.5040690758762552,-0.4982981173811983,-0.504915737858531,-0.5001064333165607
10.01.2014,625.93,635.8,641.72,616.05,15232200,635.8,-0.5027883154597262,-0.5100584044852802,-0.5027883154597262,-0.504915737858531,-0.5107509771853777
14.01.2014,625.93,623.95,631.85,620.0,7104900,623.95,-0.5117762964108337,-0.5100584044852802,-0.5117762964108337,-0.5123016501851866,-0.5077107784665181
15.01.2014,629.88,633.82,635.8,623.95,5121300,633.82,-0.5042901046819366,-0.507059944662004,-0.5042901046819366,-0.5093457886157551,-0.5046705797476586
16.01.2014,635.8,639.75,647.65,635.8,5154300,639.75,-0.49979232180935707,-0.5025660504458536,-0.49979232180935707,-0.5004782039074605,-0.4955499835910802
17.01.2014,635.8,645.67,647.65,631.85,5077500,645.67,-0.49530212373082916,-0.5025660504458536,-0.49530212373082916,-0.5004782039074605,-0.4985901823099396
20.01.2014,647.65,647.65,653.57,643.7,6503400,647.65,-0.49380033450861877,-0.4935706709760252,-0.49380033450861877,-0.49604815315023637,-0.4894695861533611
21.01.2014,653.57,653.57,659.49,649.62,5571600,653.57,-0.4893101364300908,-0.4890767767598746,-0.4893101364300908,-0.4916181023930124,-0.4849131364278806
22.01.2014,653.57,663.44,669.37,651.6,11130600,663.44,-0.48182394470119366,-0.4890767767598746,-0.48182394470119366,-0.4842247068725102,-0.4833891887156421
23.01.2014,667.39,661.47,669.37,661.47,6840000,661.47,-0.4833181491293525,-0.4785859628971719,-0.4833181491293525,-0.4842247068725102,-0.475792540271302
24.01.2014,657.52,655.54,659.49,653.57,4186500,655.54,-0.4878159320019321,-0.48607831693659853,-0.4878159320019321,-0.4916181023930124,-0.481872937709021
27.01.2014,631.85,643.7,647.65,627.9,9453600,643.7,-0.4967963281589879,-0.5055645102691295,-0.4967963281589879,-0.5004782039074605,-0.5016303810287992
28.01.2014,643.7,643.7,653.57,635.8,6401400,643.7,-0.4967963281589879,-0.49656913079930126,-0.4967963281589879,-0.49604815315023637,-0.4955499835910802
29.01.2014,647.65,645.67,651.6,637.77,6649800,645.67,-0.49530212373082916,-0.4935706709760252,-0.49530212373082916,-0.49752234233802883,-0.4940337325844591
30.01.2014,643.7,641.72,649.62,633.82,7305900,641.72,-0.4982981173811983,-0.49656913079930126,-0.4982981173811983,-0.49900401471966793,-0.49707393130331856
31.01.2014,639.75,633.82,661.47,633.82,9563700,633.82,-0.5042901046819366,-0.4995675906225774,-0.5042901046819366,-0.49013643001137325,-0.49707393130331856
03.02.2014,639.75,645.67,667.39,639.75,11546400,645.67,-0.49530212373082916,-0.4995675906225774,-0.49530212373082916,-0.4857063792541493,-0.49250978487222064
04.02.2014,629.88,606.18,629.88,606.18,9996300,606.18,-0.5252544754404692,-0.507059944662004,-0.5252544754404692,-0.5137758393729791,-0.5183476256297178
05.02.2014,616.05,614.08,620.0,598.28,7398600,614.08,-0.5192624881397307,-0.517558349562234,-0.5192624881397307,-0.5211692348934813,-0.5244280230674367
06.02.2014,616.05,606.18,618.03,602.23,5696100,606.18,-0.5252544754404692,-0.517558349562234,-0.5252544754404692,-0.5226434240812737,-0.5213878243485772
07.02.2014,616.05,635.8,643.7,616.05,8815500,635.8,-0.5027883154597262,-0.517558349562234,-0.5027883154597262,-0.503434065476892,-0.5107509771853777
10.02.2014,641.72,647.65,653.57,633.82,5112900,647.65,-0.49380033450861877,-0.49807215622970297,-0.49380033450861877,-0.49604815315023637,-0.49707393130331856
12.02.2014,659.49,659.49,663.44,653.57,5271300,659.49,-0.48481993835156284,-0.4845828825437241,-0.48481993835156284,-0.4886622408235808,-0.481872937709021
13.02.2014,653.57,645.67,655.54,641.72,2892900,645.67,-0.49530212373082916,-0.4890767767598746,-0.49530212373082916,-0.49457396396244396,-0.4909935338655996
14.02.2014,641.72,633.82,647.65,625.93,3476700,633.82,-0.5042901046819366,-0.49807215622970297,-0.5042901046819366,-0.5004782039074605,-0.5031466320354203
17.02.2014,631.85,637.77,639.75,623.95,3391200,637.77,-0.5012941110315674,-0.5055645102691295,-0.5012941110315674,-0.5063899270463235,-0.5046705797476586
18.02.2014,637.77,647.65,649.62,627.9,4189800,647.65,-0.49380033450861877,-0.5010706160529791,-0.49380033450861877,-0.49900401471966793,-0.5016303810287992
19.02.2014,643.7,643.7,653.57,637.77,4661700,643.7,-0.4967963281589879,-0.49656913079930126,-0.4967963281589879,-0.49604815315023637,-0.4940337325844591
20.02.2014,639.75,625.93,639.75,621.98,4291500,625.93,-0.5102745071886234,-0.4995675906225774,-0.5102745071886234,-0.5063899270463235,-0.5061868307542797
21.02.2014,627.9,633.82,635.8,623.95,3100500,633.82,-0.5042901046819366,-0.5085629700924057,-0.5042901046819366,-0.5093457886157551,-0.5046705797476586
24.02.2014,633.82,631.85,639.75,621.98,3463500,631.85,-0.5057843091100954,-0.5040690758762552,-0.5057843091100954,-0.5063899270463235,-0.5061868307542797
25.02.2014,633.82,635.8,637.77,623.95,2897100,635.8,-0.5027883154597262,-0.5040690758762552,-0.5027883154597262,-0.5078715994279627,-0.5046705797476586
26.02.2014,635.8,641.72,647.65,633.82,3332100,641.72,-0.4982981173811983,-0.5025660504458536,-0.4982981173811983,-0.5004782039074605,-0.49707393130331856
27.02.2014,637.77,643.7,647.65,633.82,3429000,643.7,-0.4967963281589879,-0.5010706160529791,-0.4967963281589879,-0.5004782039074605,-0.49707393130331856
28.02.2014,643.7,641.72,647.65,633.82,5068200,641.72,-0.4982981173811983,-0.49656913079930126,-0.4982981173811983,-0.5004782039074605,-0.49707393130331856
03.03.2014,635.8,631.85,637.77,618.03,5014800,631.85,-0.5057843091100954,-0.5025660504458536,-0.5057843091100954,-0.5078715994279627,-0.5092270294731392
04.03.2014,621.98,621.98,627.9,618.03,5037000,621.98,-0.5132705008389925,-0.5130568643085562,-0.5132705008389925,-0.5152575117546182,-0.5092270294731392
05.03.2014,629.88,625.93,633.82,623.95,4173900,625.93,-0.5102745071886234,-0.507059944662004,-0.5102745071886234,-0.5108274609973942,-0.5046705797476586
06.03.2014,627.9,635.8,637.77,623.95,3457500,635.8,-0.5027883154597262,-0.5085629700924057,-0.5027883154597262,-0.5078715994279627,-0.5046705797476586
07.03.2014,639.75,637.77,641.72,631.85,2445900,637.77,-0.5012941110315674,-0.4995675906225774,-0.5012941110315674,-0.504915737858531,-0.4985901823099396
10.03.2014,639.75,647.65,649.62,637.77,4239900,647.65,-0.49380033450861877,-0.4995675906225774,-0.49380033450861877,-0.49900401471966793,-0.4940337325844591
11.03.2014,647.65,641.72,649.62,635.8,2625600,641.72,-0.4982981173811983,-0.4935706709760252,-0.4982981173811983,-0.49900401471966793,-0.4955499835910802
12.03.2014,633.82,616.05,633.82,612.1,6630600,616.05,-0.517768283711572,-0.5040690758762552,-0.517768283711572,-0.5108274609973942,-0.5137911759042372
13.03.2014,610.13,600.26,612.1,596.31,6089700,600.26,-0.5297446735189971,-0.5220522437783846,-0.5297446735189971,-0.5270809580323443,-0.5259442740740579
14.03.2014,592.36,592.36,602.23,588.41,6114900,592.36,-0.5357366608197354,-0.5355415174643634,-0.5357366608197354,-0.534466870359,-0.5320246715117769
17.03.2014,592.36,584.46,594.33,580.51,3645600,584.46,-0.5417286481204737,-0.5355415174643634,-0.5417286481204737,-0.5403785934978631,-0.5381050689494958
18.03.2014,590.38,588.41,594.33,586.44,3273300,588.41,-0.5387326544701045,-0.5370445428947651,-0.5387326544701045,-0.5403785934978631,-0.5335409225183979
19.03.2014,586.44,580.51,588.41,568.67,6397200,580.51,-0.5447246417708429,-0.5400354116805138,-0.5447246417708429,-0.5448086442550871,-0.547217968400457
20.03.2014,578.54,568.67,582.49,568.67,3097200,568.67,-0.5537050379278988,-0.5460323313270661,-0.5537050379278988,-0.549238695012311,-0.547217968400457
24.03.2014,564.72,564.72,572.61,560.77,4805100,564.72,-0.5567010315782679,-0.5565231451897688,-0.5567010315782679,-0.5566320905328133,-0.553298365838176
25.03.2014,564.72,572.61,576.56,562.74,3608100,572.61,-0.5507166290715811,-0.5565231451897688,-0.5507166290715811,-0.5536762289633818,-0.5517821148315549
26.03.2014,574.59,580.51,582.49,572.61,2907000,580.51,-0.5447246417708429,-0.5490307911503421,-0.5447246417708429,-0.549238695012311,-0.5441854663872149
27.03.2014,580.51,588.49,592.48,574.53,4281900,588.49,-0.538671976117692,-0.5445368969341917,-0.538671976117692,-0.5417629843594955,-0.5427076989086806
28.03.2014,586.5,584.5,588.49,576.52,4519500,584.5,-0.5416983089442674,-0.5399898654553502,-0.5416983089442674,-0.5447487787043138,-0.5411760544908248
31.03.2014,588.49,598.47,598.47,588.49,5682000,598.47,-0.5311023516542276,-0.5384792489874212,-0.5311023516542276,-0.5372805512453449,-0.5319630978668379
01.04.2014,596.47,598.47,604.45,592.48,3301500,598.47,-0.5311023516542276,-0.5324216010406507,-0.5311023516542276,-0.532805601325041,-0.5288921123255089
02.04.2014,600.46,612.43,616.42,600.46,4130100,612.43,-0.5205139791582395,-0.5293927770672655,-0.5205139791582395,-0.5238482182905864,-0.522750141242851
03.04.2014,618.42,618.42,622.4,616.42,4168800,618.42,-0.5159706875213506,-0.5157592736682683,-0.5159706875213506,-0.5193732683702824,-0.5104661990775352
04.04.2014,622.4,628.39,632.38,618.41,4541700,628.39,-0.5084086478519377,-0.5127380407324104,-0.5084086478519377,-0.5119050409113135,-0.5089345546596794
07.04.2014,620.41,616.42,622.4,612.43,2936700,616.42,-0.5174876463316641,-0.5142486572003394,-0.5174876463316641,-0.5193732683702824,-0.5135371846188641
