Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,17.11,16.88,17.13,16.82,1378800,16.88,-1.02979879293967,-1.0255619194574441,-1.02979879293967,-1.0280053640501323,-1.0278451957787926
03.01.2014,16.91,16.98,17.05,16.86,1022700,16.98,-1.0282159445928647,-1.0287271664624458,-1.0282159445928647,-1.0292531092069506,-1.0272026738332833
06.01.2014,17.1,16.83,17.11,16.82,1222500,16.83,-1.0305902171130723,-1.025720181807694,-1.0305902171130723,-1.0283173003393369,-1.0278451957787926
07.01.2014,16.93,17.04,17.1,16.82,1045800,17.04,-1.0272662355847817,-1.0284106417619456,-1.0272662355847817,-1.028473268483939,-1.0278451957787926
08.01.2014,17.05,17.08,17.13,16.9,1316700,17.08,-1.02663309624606,-1.0265114935589446,-1.02663309624606,-1.0280053640501323,-1.0265601518877743
09.01.2014,17.1,17.35,17.36,17.09,1756500,17.35,-1.0223594057096863,-1.025720181807694,-1.0223594057096863,-1.0244180967242797,-1.0235081726466058
10.01.2014,17.84,17.86,18.27,17.62,3861900,17.86,-1.0142868791409811,-1.0140087678891878,-1.0142868791409811,-1.0102249955654723,-1.0149947568686095
13.01.2014,17.87,17.77,18.0,17.69,2583000,17.77,-1.0157114426531058,-1.0135339808384376,-1.0157114426531058,-1.0144361354697338,-1.0138703434639684
14.01.2014,17.86,17.9,17.92,17.75,1929300,17.9,-1.0136537398022594,-1.013692243188688,-1.0136537398022594,-1.015683880626552,-1.0129065605457048
15.01.2014,17.9,18.04,18.04,17.88,843900,18.04,-1.0114377521167324,-1.0130591937876876,-1.0114377521167324,-1.0138122628913246,-1.0108183642228001
16.01.2014,17.96,17.96,18.02,17.82,1233600,17.96,-1.0127040307941761,-1.012109619686187,-1.0127040307941761,-1.0141241991805294,-1.0117821471410637
17.01.2014,17.78,17.9,17.93,17.63,1296000,17.9,-1.0136537398022594,-1.0149583419906885,-1.0136537398022594,-1.0155279124819498,-1.0148341263822322
21.01.2014,17.98,18.14,18.14,17.94,951600,18.14,-1.0098549037699274,-1.0117930949856868,-1.0098549037699274,-1.0122525814453018,-1.0098545813045363
22.01.2014,18.13,18.42,18.42,18.1,951900,18.42,-1.0054229283988734,-1.0094191597319355,-1.0054229283988734,-1.007885473396438,-1.0072844935224996
23.01.2014,18.37,18.21,18.37,18.1,1420200,18.21,-1.0087469099271638,-1.0056208633259336,-1.0087469099271638,-1.0086653141194493,-1.0072844935224996
24.01.2014,18.11,17.83,18.29,17.73,1296300,17.83,-1.0147617336450228,-1.0097356844324357,-1.0147617336450228,-1.0099130592762675,-1.0132278215184594
27.01.2014,17.91,17.08,17.91,17.06,3830100,17.08,-1.02663309624606,-1.0129009314374375,-1.02663309624606,-1.0158398487711544,-1.0239900641057376
28.01.2014,17.08,17.23,17.3,17.08,2442900,17.23,-1.0242588237258523,-1.0260367065081943,-1.0242588237258523,-1.0253539055918937,-1.023668803132983
29.01.2014,17.12,17.27,17.35,17.05,1563300,17.27,-1.0236256843871305,-1.0254036571071938,-1.0236256843871305,-1.024574064868882,-1.024150694592115
30.01.2014,17.41,17.55,17.57,17.36,995400,17.55,-1.0191937090160765,-1.0208140489499415,-1.0191937090160765,-1.0211427656876317,-1.0191711495144191
31.01.2014,17.37,17.53,17.67,17.28,1331400,17.53,-1.0195102786854375,-1.0214470983509418,-1.0195102786854375,-1.0195830842416091,-1.0204561934054373
03.02.2014,17.56,16.81,17.64,16.59,3983400,16.81,-1.0309067867824333,-1.0184401136961903,-1.0309067867824333,-1.0200509886754159,-1.0315396969654702
04.02.2014,16.96,17.03,17.09,16.7,1854900,17.03,-1.0274245204194623,-1.0279358547111954,-1.0274245204194623,-1.0286292366285414,-1.02977276161532
05.02.2014,16.92,17.02,17.11,16.76,3083700,17.02,-1.027582805254143,-1.0285689041121955,-1.027582805254143,-1.0283173003393369,-1.0288089786970562
06.02.2014,16.8,16.97,17.15,16.08,5798100,16.97,-1.0283742294275453,-1.0304680523151966,-1.0283742294275453,-1.027693427760928,-1.039731851770712
07.02.2014,17.01,16.99,17.31,16.83,1767300,16.99,-1.0280576597581843,-1.0271445429599448,-1.0280576597581843,-1.0251979374472913,-1.0276845652924154
10.02.2014,16.96,16.93,16.99,16.74,1551600,16.93,-1.0290073687662675,-1.0279358547111954,-1.0290073687662675,-1.0301889180745643,-1.029130239669811
11.02.2014,16.91,17.09,17.17,16.88,1337400,17.09,-1.0264748114113793,-1.0287271664624458,-1.0264748114113793,-1.0273814914717232,-1.026881412860529
12.02.2014,17.09,17.2,17.21,16.99,1344000,17.2,-1.024733678229894,-1.025878444157944,-1.024733678229894,-1.026757618893314,-1.0251144775103789
13.02.2014,17.1,17.26,17.33,17.03,846900,17.26,-1.023783969221811,-1.025720181807694,-1.023783969221811,-1.0248860011580867,-1.0244719555648696
14.02.2014,17.27,17.44,17.45,17.21,832800,17.44,-1.0209348421975621,-1.0230297218534428,-1.0209348421975621,-1.0230143834228593,-1.0215806068100783
18.02.2014,17.46,17.24,17.53,17.21,1408800,17.24,-1.024100538891172,-1.0200227371986912,-1.024100538891172,-1.021766638266041,-1.0215806068100783
19.02.2014,17.17,16.9,17.35,16.89,1648500,16.9,-1.029482223270309,-1.0246123453559435,-1.029482223270309,-1.024574064868882,-1.0267207823741515
20.02.2014,16.95,17.11,17.11,16.77,1255200,17.11,-1.0261582417420183,-1.0280941170614453,-1.0261582417420183,-1.0283173003393369,-1.0286483482106792
21.02.2014,17.12,17.11,17.29,17.02,1253700,17.11,-1.0261582417420183,-1.0254036571071938,-1.0261582417420183,-1.0255098737364956,-1.0246325860512469
24.02.2014,17.16,17.06,17.26,17.06,1076700,17.06,-1.026949665915421,-1.0247706077061938,-1.026949665915421,-1.0259777781703026,-1.0239900641057376
25.02.2014,17.06,17.11,17.14,16.91,1299300,17.11,-1.0261582417420183,-1.0263532312086945,-1.0261582417420183,-1.02784939590553,-1.026399521401397
26.02.2014,17.18,17.36,17.39,17.18,1744500,17.36,-1.022201120875006,-1.0244540830056936,-1.022201120875006,-1.023950192290473,-1.0220624982692101
27.02.2014,17.39,17.06,17.44,17.0,1796100,17.06,-1.026949665915421,-1.0211305736504417,-1.026949665915421,-1.0231703515674617,-1.0249538470240014
28.02.2014,17.06,17.21,17.31,17.05,1478700,17.21,-1.0245753933952135,-1.0263532312086945,-1.0245753933952135,-1.0251979374472913,-1.024150694592115
03.03.2014,17.09,17.09,17.23,16.91,1270200,17.09,-1.0264748114113793,-1.025878444157944,-1.0264748114113793,-1.0264456826041095,-1.026399521401397
04.03.2014,17.21,17.38,17.43,17.2,1362900,17.38,-1.0218845512056451,-1.0239792959549432,-1.0218845512056451,-1.023326319712064,-1.0217412372964556
05.03.2014,17.39,17.74,17.83,17.27,1926000,17.74,-1.0161862971571471,-1.0211305736504417,-1.0161862971571471,-1.0170875939279727,-1.0206168238918147
06.03.2014,17.76,18.11,18.13,17.75,1677900,18.11,-1.0103297582739688,-1.0152748666911886,-1.0103297582739688,-1.0124085495899042,-1.0129065605457048
07.03.2014,18.14,18.23,18.27,18.1,1650900,18.23,-1.0084303402578028,-1.0092608973816855,-1.0084303402578028,-1.0102249955654723,-1.0072844935224996
10.03.2014,18.22,18.35,18.42,18.1,2566800,18.35,-1.0065309222416368,-1.0079947985796849,-1.0065309222416368,-1.007885473396438,-1.0072844935224996
11.03.2014,18.34,18.17,18.4,18.13,1315200,18.17,-1.0093800492658858,-1.0060956503766838,-1.0093800492658858,-1.0081974096856428,-1.0068026020633678
12.03.2014,18.12,18.24,18.29,18.03,1184400,18.24,-1.0082720554231224,-1.0095774220821856,-1.0082720554231224,-1.0099130592762675,-1.0084089069271407
13.03.2014,18.29,18.07,18.38,17.94,946200,18.07,-1.0109628976126908,-1.0068869621279342,-1.0109628976126908,-1.008509345974847,-1.0098545813045363
14.03.2014,18.03,18.29,18.36,17.9,1501800,18.29,-1.0074806312497198,-1.0110017832344365,-1.0074806312497198,-1.0088212822640517,-1.0104971032500454
