Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,66.5,66.0,67.07,65.81,4692200,66.0,-1.3682643665827523,-1.358796144394833,-1.3682643665827523,-1.3612181866298552,-1.3596495207507737
03.01.2014,66.12,65.89,66.65,65.66,2411600,65.89,-1.3701463223739259,-1.3652942335108185,-1.3701463223739259,-1.3683392521582862,-1.3622384036664839
06.01.2014,66.02,65.23,66.19,65.15,3741200,65.23,-1.3814380571209663,-1.3670042569623937,-1.3814380571209663,-1.3761385144037113,-1.3710406055798983
07.01.2014,65.31,65.8,65.91,65.25,3135200,65.8,-1.371686104384886,-1.3791454234685772,-1.371686104384886,-1.3808858914226656,-1.3693146836360914
08.01.2014,66.29,65.92,66.74,65.75,4462600,65.92,-1.3696330617036057,-1.3623871936431406,-1.3696330617036057,-1.3668133095450512,-1.3606850739170577
09.01.2014,66.03,66.85,66.87,65.92,4533800,66.85,-1.3537219809236851,-1.3668332546172361,-1.3537219809236851,-1.3646091702148222,-1.3577510066125864
10.01.2014,66.68,67.29,67.48,66.57,5088000,67.29,-1.346194157758991,-1.3557181021819977,-1.346194157758991,-1.3542666702806718,-1.3465325139778426
13.01.2014,67.27,66.37,67.41,66.17,4530200,66.37,-1.3619341516488053,-1.3456289638177046,-1.3619341516488053,-1.3554535145354105,-1.3534362017530694
14.01.2014,66.43,66.67,66.93,66.17,3145200,66.67,-1.356801544945605,-1.3599931608109355,-1.356801544945605,-1.3635918751393319,-1.3534362017530694
15.01.2014,66.7,67.2,67.68,66.67,4351800,67.2,-1.3477339397699513,-1.3553760974916826,-1.3477339397699513,-1.3508756866957043,-1.3448065920340357
16.01.2014,66.18,66.33,66.52,65.78,4837200,66.33,-1.362618499209232,-1.3642682194398734,-1.362618499209232,-1.3705433914885152,-1.3601672973339158
17.01.2014,66.32,66.28,66.67,66.0,4756400,66.28,-1.3634739336597654,-1.3618741866076685,-1.3634739336597654,-1.3680001537997897,-1.356370269057541
21.01.2014,66.97,66.39,66.97,66.02,3098600,66.39,-1.361591977868592,-1.35075903417243,-1.361591977868592,-1.3629136784223386,-1.3560250846687796
22.01.2014,66.77,66.54,67.14,66.39,5254600,66.54,-1.3590256745169917,-1.3541790810755803,-1.3590256745169917,-1.3600313423751165,-1.3496391734766946
23.01.2014,68.08,68.76,69.04,67.95,7353200,68.76,-1.3210443849133098,-1.331777773859946,-1.3210443849133098,-1.3278169983179264,-1.3227147911533095
24.01.2014,67.99,67.78,69.11,67.33,7066200,67.78,-1.3378109001437641,-1.3333167949663636,-1.3378109001437641,-1.326630154063188,-1.3334155072049112
27.01.2014,67.95,67.61,68.14,67.26,5458800,67.61,-1.3407193772755777,-1.3340008043469935,-1.3407193772755777,-1.3430764244502797,-1.334623652565576
28.01.2014,67.7,68.24,68.71,67.66,4187200,68.24,-1.3299409031988572,-1.3382758629759315,-1.3299409031988572,-1.333412121233123,-1.327719964790349
29.01.2014,67.99,67.91,68.39,67.61,5525600,67.91,-1.3355867705723774,-1.3333167949663636,-1.3355867705723774,-1.3388376949690706,-1.3285829257622523
30.01.2014,69.01,69.6,69.9,68.85,5357400,69.6,-1.3066730861443492,-1.315874555760297,-1.3066730861443492,-1.3132357689025669,-1.307181493659049
31.01.2014,68.98,68.81,69.44,68.39,5034000,68.81,-1.3201889504627764,-1.3163875627957697,-1.3201889504627764,-1.321035031147992,-1.3151207346005598
03.02.2014,68.95,67.82,69.43,67.58,6805000,67.82,-1.3371265525833376,-1.3169005698312422,-1.3371265525833376,-1.32120458032724,-1.3291007023453945
04.02.2014,68.35,68.42,68.58,67.71,4055000,68.42,-1.3268613391769368,-1.3271607105406933,-1.3268613391769368,-1.3356162605633515,-1.3268570038184457
05.02.2014,68.16,68.18,68.46,67.61,4348800,68.18,-1.330967424539497,-1.330409755098686,-1.330967424539497,-1.337650850714332,-1.3285829257622523
06.02.2014,68.28,69.16,69.35,68.21,3998200,69.16,-1.314200909309043,-1.3283577269567957,-1.314200909309043,-1.3225609737612274,-1.318227394099412
07.02.2014,69.42,69.86,70.13,69.3,4627200,69.86,-1.3022248270015755,-1.308863459608839,-1.3022248270015755,-1.3093361377798547,-1.2994148449119185
10.02.2014,69.76,69.02,69.81,68.94,5165400,69.02,-1.3165961257705363,-1.3030493798734837,-1.3165961257705363,-1.3147617115158023,-1.3056281639096228
11.02.2014,69.2,70.18,70.6,69.14,5403200,70.18,-1.2967500465181618,-1.3126255112023044,-1.2967500465181618,-1.3013673263551813,-1.3021763200220091
12.02.2014,70.25,70.63,70.84,70.03,3269000,70.63,-1.2890511364633617,-1.2946702649607655,-1.2890511364633617,-1.2972981460532205,-1.2868156147221292
13.02.2014,70.17,70.55,70.77,70.08,2874000,70.55,-1.290419831584215,-1.2960382837220257,-1.290419831584215,-1.2984849903079592,-1.285952653750226
14.02.2014,70.41,71.14,71.28,70.38,3817200,71.14,-1.280325705067921,-1.2919342274382455,-1.280325705067921,-1.2898379821662922,-1.2807748879188057
18.02.2014,71.18,70.41,71.24,70.03,5751200,70.41,-1.2928150480457083,-1.2787670468611168,-1.2928150480457083,-1.290516178883286,-1.2868156147221292
