Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
13.02.2012,6.52,6.53,6.57,6.52,3200,6.53,-1.1626154736440926,-1.1614931904885697,-1.1626154736440926,-1.1612752040844474,-1.1630961568436462
14.02.2012,6.43,6.31,6.43,6.25,9100,6.31,-1.1663276411750967,-1.163009932798034,-1.1663276411750967,-1.1636001105165434,-1.1677274553458807
15.02.2012,6.3,6.3,6.33,6.3,5400,6.3,-1.1664963760628697,-1.1652007828005946,-1.1664963760628697,-1.1652607579680405,-1.1668698074750965
16.02.2012,6.31,6.29,6.31,6.29,5000,6.29,-1.1666651109506423,-1.1650322558773205,-1.1666651109506423,-1.1655928874583397,-1.1670413370492532
17.02.2012,6.36,6.38,6.39,6.36,11900,6.38,-1.1651464969606864,-1.1641896212609513,-1.1651464969606864,-1.1642643694971422,-1.1658406300301556
21.02.2012,6.35,6.38,6.38,6.35,1800,6.38,-1.1651464969606864,-1.1643581481842253,-1.1651464969606864,-1.164430434242292,-1.1660121596043125
22.02.2012,6.42,6.49,6.49,6.42,4200,6.49,-1.1632904131951844,-1.1631784597213082,-1.1632904131951844,-1.1626037220456453,-1.1648114525852145
23.02.2012,6.46,6.5,6.5,6.43,6800,6.5,-1.1631216783074114,-1.1625043520282128,-1.1631216783074114,-1.1624376573004955,-1.1646399230110576
24.02.2012,6.51,6.51,6.52,6.51,3500,6.51,-1.1629529434196384,-1.1616617174118433,-1.1629529434196384,-1.1621055278101962,-1.1632676864178029
27.02.2012,6.49,6.56,6.57,6.18,29500,6.56,-1.162109268980774,-1.1619987712583912,-1.162109268980774,-1.1612752040844474,-1.1689281623649783
28.02.2012,6.45,6.48,6.48,6.45,3800,6.48,-1.1634591480829573,-1.1626728789514864,-1.1634591480829573,-1.162769786790795,-1.164296863862744
29.02.2012,6.42,6.48,6.48,6.37,11400,6.48,-1.1634591480829573,-1.1631784597213082,-1.1634591480829573,-1.162769786790795,-1.1656691004559985
01.03.2012,6.53,6.5,6.57,6.5,4700,6.5,-1.1631216783074114,-1.1613246635652956,-1.1631216783074114,-1.1612752040844474,-1.1634392159919598
02.03.2012,6.5,6.42,6.53,6.42,4400,6.42,-1.1644715574095947,-1.1618302443351172,-1.1644715574095947,-1.1619394630650464,-1.1648114525852145
05.03.2012,6.46,6.29,6.46,6.29,6600,6.29,-1.1666651109506423,-1.1625043520282128,-1.1666651109506423,-1.1631019162810943,-1.1670413370492532
06.03.2012,6.37,6.42,6.42,6.34,6400,6.42,-1.1644715574095947,-1.1640210943376774,-1.1644715574095947,-1.163766175261693,-1.1661836891784692
07.03.2012,6.42,6.41,6.42,6.41,900,6.41,-1.1646402922973675,-1.1631784597213082,-1.1646402922973675,-1.163766175261693,-1.1649829821593713
08.03.2012,6.47,6.42,6.47,6.36,2300,6.42,-1.1644715574095947,-1.162335825104939,-1.1644715574095947,-1.1629358515359445,-1.1658406300301556
09.03.2012,6.36,6.29,6.36,6.27,1100,6.29,-1.1666651109506423,-1.1641896212609513,-1.1666651109506423,-1.1647625637325913,-1.167384396197567
12.03.2012,6.37,6.3,6.41,6.3,1500,6.3,-1.1664963760628697,-1.1640210943376774,-1.1664963760628697,-1.1639322400068428,-1.1668698074750965
13.03.2012,6.23,6.3,6.3,6.23,5800,6.3,-1.1664963760628697,-1.1663804712635113,-1.1664963760628697,-1.1657589522034895,-1.1680705144941943
14.03.2012,6.3,6.42,6.42,6.3,1500,6.42,-1.1644715574095947,-1.1652007828005946,-1.1644715574095947,-1.163766175261693,-1.1668698074750965
15.03.2012,6.4,6.38,6.4,6.34,6900,6.38,-1.1651464969606864,-1.1635155135678557,-1.1651464969606864,-1.1640983047519924,-1.1661836891784692
16.03.2012,6.43,6.37,6.44,6.37,2600,6.37,-1.1653152318484592,-1.163009932798034,-1.1653152318484592,-1.1634340457713936,-1.1656691004559985
19.03.2012,6.41,6.3,6.41,6.3,2500,6.3,-1.1664963760628697,-1.163346986644582,-1.1664963760628697,-1.1639322400068428,-1.1668698074750965
20.03.2012,6.26,6.44,6.44,6.26,4900,6.44,-1.164134087634049,-1.1658748904936898,-1.164134087634049,-1.1634340457713936,-1.1675559257717236
21.03.2012,6.41,6.34,6.41,6.34,4100,6.34,-1.1658214365117778,-1.163346986644582,-1.1658214365117778,-1.1639322400068428,-1.1661836891784692
22.03.2012,6.37,6.41,6.41,6.37,9600,6.41,-1.1646402922973675,-1.1640210943376774,-1.1646402922973675,-1.1639322400068428,-1.1656691004559985
23.03.2012,6.37,6.4,6.4,6.34,2200,6.4,-1.1648090271851403,-1.1640210943376774,-1.1648090271851403,-1.1640983047519924,-1.1661836891784692
26.03.2012,6.34,6.53,6.53,6.34,8000,6.53,-1.1626154736440926,-1.164526675107499,-1.1626154736440926,-1.1619394630650464,-1.1661836891784692
27.03.2012,6.53,6.53,6.53,6.53,700,6.53,-1.1626154736440926,-1.1613246635652956,-1.1626154736440926,-1.1619394630650464,-1.1629246272694893
28.03.2012,6.53,6.77,6.77,6.53,305200,6.77,-1.1585658363375428,-1.1613246635652956,-1.1585658363375428,-1.1579539091814537,-1.1629246272694893
29.03.2012,6.62,6.7,6.7,6.6,3200,6.7,-1.1597469805519531,-1.1598079212558308,-1.1597469805519531,-1.1591163623975014,-1.1617239202503915
30.03.2012,6.68,6.69,6.7,6.68,1700,6.69,-1.1599157154397262,-1.1587967597161877,-1.1599157154397262,-1.1591163623975014,-1.1603516836571366
02.04.2012,6.75,6.67,6.8,6.67,6800,6.67,-1.160253185215272,-1.1576170712532707,-1.160253185215272,-1.1574557149460045,-1.1605232132312937
03.04.2012,6.37,6.36,6.49,6.36,6700,6.36,-1.1654839667362322,-1.1640210943376774,-1.1654839667362322,-1.1626037220456453,-1.1658406300301556
04.04.2012,6.37,6.4,6.4,6.37,2300,6.4,-1.1648090271851403,-1.1640210943376774,-1.1648090271851403,-1.1640983047519924,-1.1656691004559985
05.04.2012,6.48,6.48,6.48,6.48,600,6.48,-1.1634591480829573,-1.1621672981816649,-1.1634591480829573,-1.162769786790795,-1.1637822751402733
09.04.2012,6.37,6.37,6.37,6.34,1000,6.37,-1.1653152318484592,-1.1640210943376774,-1.1653152318484592,-1.1645964989874416,-1.1661836891784692
10.04.2012,6.34,6.37,6.37,6.34,2800,6.37,-1.1653152318484592,-1.164526675107499,-1.1653152318484592,-1.1645964989874416,-1.1661836891784692
11.04.2012,6.37,6.37,6.37,6.37,300,6.37,-1.1653152318484592,-1.1640210943376774,-1.1653152318484592,-1.1645964989874416,-1.1656691004559985
12.04.2012,6.35,6.34,6.35,6.34,1100,6.34,-1.1658214365117778,-1.1643581481842253,-1.1658214365117778,-1.1649286284777411,-1.1661836891784692
13.04.2012,6.34,6.32,6.34,6.32,4100,6.32,-1.1661589062873237,-1.164526675107499,-1.1661589062873237,-1.1650946932228907,-1.166526748326783
16.04.2012,6.24,6.28,6.28,6.22,1400,6.28,-1.1668338458384153,-1.1662119443402377,-1.1668338458384153,-1.1660910816937888,-1.1682420440683512
17.04.2012,6.26,6.26,6.26,6.26,600,6.26,-1.1671713156139611,-1.1658748904936898,-1.1671713156139611,-1.1664232111840882,-1.1675559257717236
18.04.2012,6.26,6.26,6.26,6.26,700,6.26,-1.1671713156139611,-1.1658748904936898,-1.1671713156139611,-1.1664232111840882,-1.1675559257717236
19.04.2012,6.27,6.27,6.27,6.27,300,6.27,-1.1670025807261883,-1.1657063635704161,-1.1670025807261883,-1.1662571464389386,-1.167384396197567
20.04.2012,6.24,6.24,6.24,6.24,200,6.24,-1.1675087853895072,-1.1662119443402377,-1.1675087853895072,-1.1667553406743878,-1.1678989849200376
23.04.2012,6.18,6.14,6.2,6.14,3700,6.14,-1.1691961342672361,-1.1672231058798805,-1.1691961342672361,-1.1674195996549865,-1.1696142806616059
24.04.2012,6.15,6.37,6.37,6.14,6900,6.37,-1.1653152318484592,-1.1677286866497023,-1.1653152318484592,-1.1645964989874416,-1.1696142806616059
25.04.2012,6.37,6.37,6.37,6.37,0,6.37,-1.1653152318484592,-1.1640210943376774,-1.1653152318484592,-1.1645964989874416,-1.1656691004559985
26.04.2012,6.22,6.22,6.22,6.22,400,6.22,-1.1678462551650528,-1.1665489981867854,-1.1678462551650528,-1.1670874701646872,-1.1682420440683512
27.04.2012,6.22,6.22,6.22,6.22,1800,6.22,-1.1678462551650528,-1.1665489981867854,-1.1678462551650528,-1.1670874701646872,-1.1682420440683512
