Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
03.05.2007,19.02,18.12,19.2,17.97,8052800,18.12,-0.7007978910531458,-0.6472674501506485,-0.7007978910531458,-0.6574196035018146,-0.6884030946878149
04.05.2007,18.58,18.35,18.67,18.1,5437300,18.35,-0.68689265482559,-0.6738597529702868,-0.68689265482559,-0.689196459280085,-0.6804789572511422
07.05.2007,18.54,17.8,18.62,17.66,2646300,17.8,-0.720144306674093,-0.6762772350447993,-0.720144306674093,-0.6921942758629408,-0.7072991147291113
08.05.2007,17.49,17.17,17.49,16.88,4166100,17.17,-0.7582325624278328,-0.7397361395007545,-0.7582325624278328,-0.7599449306354801,-0.7548439393491475
09.05.2007,17.27,17.31,17.66,17.17,7541100,17.31,-0.7497685055936686,-0.7530322909105734,-0.7497685055936686,-0.7497523542537706,-0.7371670173750313
10.05.2007,17.31,17.23,17.48,17.1,3170600,17.23,-0.7546051094989052,-0.7506148088360609,-0.7546051094989052,-0.7605444939520511,-0.7414338606101628
11.05.2007,17.24,16.88,17.32,16.71,3539400,16.88,-0.7757652515843163,-0.7548454024664579,-0.7757652515843163,-0.7701375070171894,-0.765206272920181
14.05.2007,16.75,16.52,16.96,16.4,1924800,16.52,-0.7975299691578819,-0.7844595578792369,-0.7975299691578819,-0.7917217864137506,-0.7841022929614775
15.05.2007,16.31,15.92,16.48,15.87,3438700,15.92,-0.8338044984471579,-0.8110518606988752,-0.8338044984471579,-0.8205008256091655,-0.8164083917417584
16.05.2007,15.79,16.04,16.16,15.76,2607600,16.04,-0.8265495925893027,-0.8424791276675387,-0.8265495925893027,-0.839686851739442,-0.8231134311112507
17.05.2007,16.44,16.63,17.27,16.33,8979000,16.63,-0.7908796387881813,-0.8031950439567093,-0.7908796387881813,-0.7731353236000452,-0.788369136196609
18.05.2007,17.03,16.89,17.04,16.21,6562200,16.89,-0.7751606760961617,-0.7675371833576489,-0.7751606760961617,-0.7869252798811815,-0.7956837245996913
21.05.2007,16.79,16.62,16.91,16.62,2077700,16.62,-0.7914842142763359,-0.7820420758047244,-0.7914842142763359,-0.7947196029966063,-0.7706922142224928
22.05.2007,16.7,17.04,17.08,16.62,4014700,17.04,-0.7660920437738428,-0.7874814104723776,-0.7660920437738428,-0.784527026614897,-0.7706922142224928
23.05.2007,17.05,16.8,17.23,16.7,2387100,16.8,-0.7806018554895531,-0.7663284423203925,-0.7806018554895531,-0.7755335768663297,-0.7658158219537712
24.05.2007,16.8,16.63,16.9,16.48,2362000,16.63,-0.7908796387881813,-0.7814377052860961,-0.7908796387881813,-0.7953191663131776,-0.7792259006927557
25.05.2007,16.63,16.41,16.66,16.34,895000,16.41,-0.8041802995275824,-0.7917120041027746,-0.8041802995275824,-0.8097086859108849,-0.7877595871630186
29.05.2007,16.54,16.69,16.79,16.48,2918800,16.69,-0.7872521858592536,-0.797151338770428,-0.7872521858592536,-0.8019143627954601,-0.7792259006927557
30.05.2007,16.66,16.6,16.75,16.45,2829300,16.6,-0.792693365252645,-0.7898988925468902,-0.792693365252645,-0.8043126160617446,-0.7810545477935263
31.05.2007,16.75,16.66,16.86,16.64,3435200,16.66,-0.7890659123237175,-0.7844595578792369,-0.7890659123237175,-0.7977174195794621,-0.7694731161553124
01.06.2007,16.7,17.1,17.32,16.66,2299400,17.1,-0.762464590844915,-0.7874814104723776,-0.762464590844915,-0.7701375070171894,-0.768254018088132
04.06.2007,16.35,16.48,16.66,16.34,5692700,16.48,-0.7999482711105003,-0.8086343786243625,-0.7999482711105003,-0.8097086859108849,-0.7877595871630186
05.06.2007,16.48,16.57,16.65,16.38,4510000,16.57,-0.7945070917171089,-0.8007775618821967,-0.7945070917171089,-0.8103082492274561,-0.7853213910286578
06.06.2007,16.35,16.55,16.55,16.31,2595300,16.55,-0.795716242693418,-0.8086343786243625,-0.795716242693418,-0.8163038823931674,-0.7895882342637893
