Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,17.05,17.05,17.05,17.05,0,17.05,1.1599012006156975,1.1612736575297358,1.1599012006156975,1.1069513744355606,1.2146860683099456
02.01.2004,17.02,16.86,17.23,16.83,3168300,16.86,1.13346300254989,1.1570983632613205,1.13346300254989,1.1313504767523486,1.1832687526970491
05.01.2004,16.81,17.4,17.68,16.71,4663400,17.4,1.2086031444211314,1.1278713033824157,1.2086031444211314,1.192348232544319,1.1661320350900153
06.01.2004,17.4,18.07,18.34,17.38,6051900,18.07,1.3018325797058201,1.2099854239945766,1.3018325797058201,1.2818116077058759,1.2618120417292897
07.01.2004,18.01,18.11,18.31,17.66,2824300,18.11,1.3073985161407269,1.2948830741190147,1.3073985161407269,1.2777450906530776,1.301797716145703
08.01.2004,18.1,18.81,18.85,17.98,4852200,18.81,1.4048024037515954,1.3074089569242597,1.4048024037515954,1.3509423976034427,1.3474956297644611
09.01.2004,18.79,19.72,20.44,18.74,5515500,19.72,1.5314274576457247,1.4034407250978036,1.5314274576457247,1.5664678014017386,1.4560281746090111
12.01.2004,19.65,20.09,20.31,19.48,4056800,20.09,1.5829123696686125,1.5231324941256992,1.5829123696686125,1.54884622750628,1.5617045998523893
13.01.2004,20.17,20.21,20.32,19.71,3186500,20.21,1.599610178973333,1.5955042614448924,1.599610178973333,1.5502017331905462,1.5945499752658716
14.01.2004,20.17,19.67,20.17,19.64,2773000,19.67,1.5244700371020916,1.5955042614448924,1.5244700371020916,1.5298691479265563,1.5845535566617683
15.01.2004,19.5,18.39,19.5,18.16,4981300,18.39,1.3463600711850745,1.5022560227836246,1.3463600711850745,1.4390502670807332,1.3732007061750124
16.01.2004,18.18,18.53,18.65,17.88,2892100,18.53,1.3658408487072484,1.318543074973366,1.3658408487072484,1.323832283918122,1.3332150317585991
19.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
20.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
21.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
22.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
23.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
26.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
27.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
28.01.2004,18.53,18.53,18.53,18.53,0,18.53,1.3658408487072484,1.3672548414382075,1.3658408487072484,1.3075662157069303,1.4260389187967015
29.01.2004,18.07,18.08,18.45,17.57,3858100,18.08,1.3032240638145467,1.3032336626558445,1.3032240638145467,1.296722170232802,1.2889451779404273
30.01.2004,18.04,17.26,18.04,17.19,3778600,17.26,1.1891223668989581,1.2990583683874295,1.1891223668989581,1.2411464371778955,1.2346789055181524
02.02.2004,16.95,17.28,17.45,16.33,9755800,17.28,1.1919053351164115,1.1473560099683524,1.1919053351164115,1.1611716018062008,1.1118657626677397
03.02.2004,17.31,17.97,18.07,17.03,3987100,17.97,1.2879177386185532,1.1974595411893318,1.2879177386185532,1.2452129542306936,1.2118299487087734
04.02.2004,18.16,19.0,19.2,18.02,8871700,19.0,1.4312406018174029,1.3157595454610893,1.4312406018174029,1.398385096552753,1.3532078689668057
05.02.2004,19.0,18.8,19.13,18.64,5504900,18.8,1.403410919642869,1.4326677849767084,1.403410919642869,1.3888965567628906,1.4417475766031496
06.02.2004,18.8,18.96,19.37,18.17,7708500,18.96,1.425674665382496,1.4048324898539422,1.425674665382496,1.4214286931852753,1.374628765975599
09.02.2004,18.93,18.88,19.21,18.76,2829000,18.88,1.4145427925126823,1.42292543168374,1.4145427925126823,1.3997406022370191,1.4588842942101838
10.02.2004,18.93,17.98,19.17,17.97,4238300,17.98,1.28930922272728,1.42292543168374,1.28930922272728,1.394318579499955,1.3460675699638747
11.02.2004,17.97,17.52,17.98,17.22,4672400,17.52,1.225300953725852,1.2893160150944611,1.225300953725852,1.2330134030722995,1.2389630849199107
12.02.2004,17.91,17.58,18.05,17.3,5435000,17.58,1.2336498583782118,1.2809654265576313,1.2336498583782118,1.2425019428621618,1.2503875633246004
13.02.2004,17.58,17.48,17.74,17.38,2176900,17.48,1.2197350172909451,1.2350371896050665,1.2197350172909451,1.200481266649915,1.2618120417292897
16.02.2004,17.67,17.87,17.97,17.53,2334100,17.87,1.2740028975312865,1.247563072410312,1.2740028975312865,1.2316578973880332,1.2832329387380828
17.02.2004,17.84,17.48,17.88,17.34,3308300,17.48,1.2197350172909451,1.271223073264663,1.2197350172909451,1.2194583462296391,1.256099802526945
