Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,9.46,9.48,9.49,9.41,1742400,9.48,-1.3242665742659536,-1.3247668428416088,-1.3242665742659536,-1.3297963111505864,-1.3214828052925103
05.01.2004,9.5,9.57,9.62,9.5,2906100,9.57,-1.319428533425809,-1.3226179955206434,-1.319428533425809,-1.3228781069437279,-1.3165966451392341
06.01.2004,9.58,9.59,9.64,9.55,2169900,9.59,-1.3183534132391102,-1.3183203008787125,-1.3183534132391102,-1.3218137678349802,-1.3138821117207475
07.01.2004,9.62,9.47,9.62,9.44,2219800,9.47,-1.324804134359303,-1.316171453557747,-1.324804134359303,-1.3228781069437279,-1.3198540852414185
08.01.2004,9.46,9.44,9.5,9.43,1769400,9.44,-1.3264168146393516,-1.3247668428416088,-1.3264168146393516,-1.3292641415962128,-1.3203969919251157
09.01.2004,9.48,9.3,9.5,9.3,1686800,9.3,-1.3339426559462433,-1.3236924191811261,-1.3339426559462433,-1.3292641415962128,-1.327454778813181
12.01.2004,9.28,9.28,9.31,9.25,2186600,9.28,-1.335017776132942,-1.3344366557859537,-1.335017776132942,-1.3393753631293142,-1.3301693122316678
13.01.2004,9.31,9.34,9.38,9.26,2483100,9.34,-1.3317924155728458,-1.3328250202952294,-1.3317924155728458,-1.3356501762486979,-1.3296264055479705
14.01.2004,9.52,9.53,9.55,9.43,5622100,9.53,-1.3215787737992066,-1.3215435718601607,-1.3215787737992066,-1.326603293824344,-1.3203969919251157
15.01.2004,9.56,9.56,9.62,9.48,4219500,9.56,-1.3199660935191582,-1.319394724539195,-1.3199660935191582,-1.3228781069437279,-1.317682458506629
16.01.2004,9.59,9.53,9.59,9.47,4427600,9.53,-1.3215787737992066,-1.317783089048471,-1.3215787737992066,-1.324474615606849,-1.3182253651903264
20.01.2004,9.56,9.59,9.64,9.55,4558900,9.59,-1.3183534132391102,-1.319394724539195,-1.3183534132391102,-1.3218137678349802,-1.3138821117207475
21.01.2004,9.65,9.7,9.77,9.65,2878700,9.7,-1.3124402522122665,-1.3145598180670228,-1.3124402522122665,-1.3148955636281214,-1.3084530448837741
22.01.2004,9.78,9.74,9.8,9.7,2858600,9.74,-1.3102900118388687,-1.3075760642738847,-1.3102900118388687,-1.313299054965,-1.3057385114652875
23.01.2004,9.83,9.73,9.83,9.72,3612300,9.73,-1.3108275719322182,-1.304890005122678,-1.3108275719322182,-1.3117025463018788,-1.3046526980978927
26.01.2004,9.76,9.7,9.78,9.69,3869400,9.7,-1.3124402522122665,-1.3086504879343677,-1.3124402522122665,-1.3143633940737476,-1.3062814181489848
27.01.2004,9.75,9.82,9.85,9.72,4369100,9.82,-1.3059895310920733,-1.309187699764609,-1.3059895310920733,-1.310638207193131,-1.3046526980978927
28.01.2004,9.88,9.88,9.94,9.81,4302400,9.88,-1.3027641705319766,-1.302203945971471,-1.3027641705319766,-1.3058486812037675,-1.2997665379446166
29.01.2004,9.9,9.74,9.92,9.67,3268000,9.74,-1.3102900118388687,-1.3011295223109884,-1.3102900118388687,-1.3069130203125148,-1.3073672315163793
30.01.2004,10.03,9.72,10.16,9.6,9925000,9.72,-1.3113651320255677,-1.2941457685178503,-1.3113651320255677,-1.2941409510075448,-1.3111675783022607
02.02.2004,9.92,9.84,9.92,9.78,4580400,9.84,-1.3049144109053745,-1.3000550986505055,-1.3049144109053745,-1.3069130203125148,-1.3013952579957087
03.02.2004,9.93,10.12,10.16,9.91,8661200,10.12,-1.2898627282915909,-1.2995178868202641,-1.2898627282915909,-1.2941409510075448,-1.2943374711076432
04.02.2004,10.13,10.31,10.4,10.02,6514100,10.31,-1.2796490865179515,-1.2887736502154366,-1.2796490865179515,-1.2813688817025746,-1.2883654975869725
05.02.2004,10.34,10.65,10.65,10.34,8126200,10.65,-1.2613720433440714,-1.2774922017803676,-1.2613720433440714,-1.2680646428432305,-1.2709924837086577
06.02.2004,10.66,10.68,10.75,10.59,4549800,10.68,-1.259759363064023,-1.2603014232126435,-1.259759363064023,-1.2627429472994929,-1.257419816616224
09.02.2004,10.83,10.52,10.83,10.49,3786100,10.52,-1.2683603245576138,-1.2511688220985402,-1.2683603245576138,-1.258485590864503,-1.2628488834531975
10.02.2004,10.52,10.46,10.52,10.29,3118700,10.46,-1.2715856851177103,-1.267822388836023,-1.2715856851177103,-1.2749828470500895,-1.2737070171271443
11.02.2004,10.46,10.54,10.58,10.36,3368900,10.54,-1.2672852043709149,-1.271045659817471,-1.2672852043709149,-1.2717898297238468,-1.269906670341263
12.02.2004,10.54,10.49,10.59,10.47,2128000,10.49,-1.2699730048376618,-1.2667479651755402,-1.2699730048376618,-1.2712576601694732,-1.2639346968205922
13.02.2004,10.52,10.54,10.6,10.47,2149400,10.54,-1.2672852043709149,-1.267822388836023,-1.2672852043709149,-1.2707254906150993,-1.2639346968205922
17.02.2004,10.7,10.93,10.96,10.66,4206800,10.93,-1.2463203607302873,-1.258152575891678,-1.2463203607302873,-1.251567386657644,-1.2536194698303427
18.02.2004,11.07,10.97,11.12,10.74,4382400,10.97,-1.2441701203568898,-1.2382757381727472,-1.2441701203568898,-1.243052673787664,-1.2492762163607638
19.02.2004,10.93,10.78,10.98,10.76,2507700,10.78,-1.2543837621305287,-1.2457967037961264,-1.2543837621305287,-1.2505030475488965,-1.2481904029933695
20.02.2004,10.78,10.7,10.79,10.63,2212400,10.7,-1.2586842428773242,-1.253854881249747,-1.2586842428773242,-1.260614269081998,-1.2552481898814345
23.02.2004,10.8,10.87,10.9,10.78,2593400,10.87,-1.249545721290384,-1.2527804575892643,-1.249545721290384,-1.2547604039838867,-1.2471045896259745
24.02.2004,10.88,10.61,10.88,10.57,3001800,10.61,-1.2635222837174689,-1.2484827629473332,-1.2635222837174689,-1.255824743092634,-1.2585056299836188
25.02.2004,10.62,10.63,10.7,10.48,3702300,10.63,-1.26244716353077,-1.2624502705336091,-1.26244716353077,-1.2654037950713617,-1.2633917901368947
26.02.2004,10.63,10.71,10.73,10.5,3346900,10.71,-1.2581466827839747,-1.2619130587033676,-1.2581466827839747,-1.2638072864082404,-1.2623059767695002
27.02.2004,10.29,10.73,10.85,10.29,2595900,10.73,-1.2570715625972757,-1.2801782609315746,-1.2570715625972757,-1.2574212517557553,-1.2737070171271443
01.03.2004,10.76,10.8,10.93,10.73,2511600,10.8,-1.2533086419438297,-1.25492930491023,-1.2533086419438297,-1.2531638953207653,-1.2498191230444613
02.03.2004,10.81,10.75,10.86,10.73,1675400,10.75,-1.255996442410577,-1.2522432457590227,-1.255996442410577,-1.2568890822013816,-1.2498191230444613
03.03.2004,10.73,10.8,10.9,10.73,1905200,10.8,-1.2533086419438297,-1.256540940400954,-1.2533086419438297,-1.2547604039838867,-1.2498191230444613
04.03.2004,10.82,10.76,10.87,10.73,1930300,10.76,-1.2554588823172277,-1.2517060339287815,-1.2554588823172277,-1.256356912647008,-1.2498191230444613
05.03.2004,10.42,10.64,10.68,10.38,3502400,10.64,-1.2619096034374206,-1.2731945071384365,-1.2619096034374206,-1.2664681341801092,-1.2688208569738681
08.03.2004,10.61,10.5,10.65,10.5,1541700,10.5,-1.2694354447443126,-1.2629874823638505,-1.2694354447443126,-1.2680646428432305,-1.2623059767695002
09.03.2004,10.5,10.36,10.52,10.17,3267000,10.36,-1.2769612860512045,-1.2688968124965057,-1.2769612860512045,-1.2749828470500895,-1.2802218973315123
10.03.2004,10.54,10.24,10.86,10.21,2654000,10.24,-1.2834120071713975,-1.2667479651755402,-1.2834120071713975,-1.2568890822013816,-1.278050270596723
11.03.2004,10.18,10.07,10.23,10.04,3084400,10.07,-1.2925505287583376,-1.2860875910642298,-1.2925505287583376,-1.2904157641269283,-1.287279684219578
12.03.2004,10.2,10.33,10.44,10.18,3007200,10.33,-1.2785739663312528,-1.285013167403747,-1.2785739663312528,-1.2792402034850796,-1.279678990647815
15.03.2004,10.29,10.22,10.37,10.17,2313400,10.22,-1.2844871273580964,-1.2801782609315746,-1.2844871273580964,-1.282965390365696,-1.2802218973315123
16.03.2004,10.34,10.48,10.53,10.27,3128800,10.48,-1.2705105649310113,-1.2774922017803676,-1.2705105649310113,-1.2744506774957156,-1.274792830494539
17.03.2004,10.48,10.57,10.58,10.38,4672100,10.57,-1.2656725240908666,-1.2699712361569884,-1.2656725240908666,-1.2717898297238468,-1.2688208569738681
18.03.2004,10.53,10.56,10.61,10.46,2360700,10.56,-1.2662100841842159,-1.2672851770057814,-1.2662100841842159,-1.2701933210607255,-1.2644776035042895
19.03.2004,10.5,10.54,10.66,10.5,3966500,10.54,-1.2672852043709149,-1.2688968124965057,-1.2672852043709149,-1.2675324732888567,-1.2623059767695002
22.03.2004,10.54,10.28,10.54,10.25,1668500,10.28,-1.2812617667979997,-1.2667479651755402,-1.2812617667979997,-1.273918507941342,-1.2758786438619336
23.03.2004,10.28,10.1,10.28,10.08,2415600,10.1,-1.2909378484782894,-1.280715472761816,-1.2909378484782894,-1.2877549163550595,-1.2851080574847886
