Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,217.69,217.69,217.69,217.69,0,217.69,-0.777601916880452,-0.7780003881650817,-0.777601916880452,-0.7798616495660706,-0.775705729616352
02.01.2004,217.69,217.69,217.69,217.69,0,217.69,-0.777601916880452,-0.7780003881650817,-0.777601916880452,-0.7798616495660706,-0.775705729616352
05.01.2004,219.96,220.96,221.47,217.69,4924000,220.96,-0.7728633536845657,-0.774708263733353,-0.7728633536845657,-0.7744407213538561,-0.775705729616352
06.01.2004,220.71,217.69,220.71,214.66,5574000,217.69,-0.777601916880452,-0.7736205574233106,-0.777601916880452,-0.7755306434282696,-0.7801489851806572
07.01.2004,219.45,214.41,219.45,212.64,8118000,214.41,-0.7823549710952862,-0.7754479040241821,-0.7823549710952862,-0.7773376194990078,-0.7831111555568606
08.01.2004,213.14,213.65,216.68,213.14,6298000,213.65,-0.7834562885353087,-0.7845991397793391,-0.7834562885353087,-0.7813100986386465,-0.7823779450677013
09.01.2004,213.9,216.42,216.68,210.87,9752000,216.42,-0.7794422762868056,-0.7834969307184961,-0.7794422762868056,-0.7813100986386465,-0.7857067206884844
12.01.2004,216.42,216.42,216.42,216.42,0,216.42,-0.7794422762868056,-0.7798422375167535,-0.7794422762868056,-0.7816829667167355,-0.7775680842588166
13.01.2004,211.38,211.63,212.64,208.86,11010000,211.63,-0.7863834743627369,-0.7871516239202387,-0.7863834743627369,-0.78710389492895,-0.7886542268549046
14.01.2004,207.6,210.37,212.89,207.34,10234000,210.37,-0.7882093427501428,-0.7926336637228527,-0.7882093427501428,-0.7867453679307878,-0.7908831867419487
15.01.2004,212.14,213.4,216.42,211.88,13824000,213.4,-0.7838185640090003,-0.7860494148593957,-0.7838185640090003,-0.7816829667167355,-0.7842256355003827
16.01.2004,212.14,211.63,213.65,210.12,10666000,211.63,-0.7863834743627369,-0.7860494148593957,-0.7863834743627369,-0.7856554458563743,-0.7868065364222233
19.01.2004,210.37,217.69,219.96,210.12,12980000,217.69,-0.777601916880452,-0.7886164017510959,-0.777601916880452,-0.7766062244227566,-0.7868065364222233
20.01.2004,217.69,214.91,217.69,214.91,6788000,214.91,-0.781630420147903,-0.7780003881650817,-0.781630420147903,-0.7798616495660706,-0.7797823799360776
21.01.2004,212.39,211.38,213.4,210.87,9644000,211.38,-0.7867457498364286,-0.7856868460893817,-0.7867457498364286,-0.7860139728545366,-0.7857067206884844
22.01.2004,212.14,210.12,212.89,207.85,11134000,210.12,-0.7885716182238344,-0.7860494148593957,-0.7885716182238344,-0.7867453679307878,-0.7901353120430062
23.01.2004,212.64,211.88,214.15,210.12,12666000,211.88,-0.7860211988890453,-0.7853242773193675,-0.7860211988890453,-0.7849383918600495,-0.7868065364222233
26.01.2004,210.12,211.88,212.64,208.86,8100000,211.88,-0.7860211988890453,-0.7889789705211101,-0.7860211988890453,-0.78710389492895,-0.7886542268549046
27.01.2004,214.41,207.09,214.41,206.59,11366000,207.09,-0.7929623969649767,-0.7827572904276673,-0.7929623969649767,-0.7845655237819606,-0.7919830024756876
28.01.2004,204.32,205.58,206.33,204.32,9878000,205.58,-0.7951505408260741,-0.7973905659854383,-0.7951505408260741,-0.7961531163625675,-0.7953117780964708
29.01.2004,203.06,201.54,203.81,199.02,9962000,201.54,-0.8010049124809308,-0.7992179125863097,-0.8010049124809308,-0.799767068504044,-0.8030838092815589
30.01.2004,203.06,202.8,206.08,201.29,10836000,202.8,-0.799179044093525,-0.7992179125863097,-0.799179044093525,-0.7965116433607298,-0.7997550336607759
02.02.2004,201.29,200.28,204.32,200.28,8774000,200.28,-0.8028307808683366,-0.80178489947801,-0.8028307808683366,-0.7990356734277928,-0.8012361188488776
03.02.2004,201.04,198.26,201.29,192.97,12008000,198.26,-0.8057579666957648,-0.8021474682480242,-0.8057579666957648,-0.8033810206455204,-0.8119556562003859
04.02.2004,199.52,194.23,199.52,194.23,7818000,194.23,-0.8115978473316736,-0.8043518863697102,-0.8115978473316736,-0.8059193917925097,-0.8101079657677046
05.02.2004,194.23,197.0,199.52,193.97,10930000,197.0,-0.8075838350831706,-0.8120238415432096,-0.8075838350831706,-0.8059193917925097,-0.8104892352220674
06.02.2004,199.52,201.54,202.3,198.51,9632000,201.54,-0.8010049124809308,-0.8043518863697102,-0.8010049124809308,-0.8019325715729445,-0.8038316839805013
09.02.2004,204.06,198.26,204.57,198.01,10408000,198.26,-0.8057579666957648,-0.797767637506253,-0.8057579666957648,-0.7986771464296305,-0.8045648944696606
10.02.2004,198.77,199.78,200.53,196.75,8336000,199.78,-0.8035553318157198,-0.8054395926797526,-0.8035553318157198,-0.8044709427199339,-0.8064125849023419
11.02.2004,199.78,199.78,199.78,199.78,0,199.78,-0.8035553318157198,-0.8039748148488954,-0.8035553318157198,-0.8055465237144209,-0.8019693293380369
12.02.2004,202.3,201.79,204.06,201.79,9020000,201.79,-0.8006426370072391,-0.8003201216471527,-0.8006426370072391,-0.7994085415058817,-0.7990218231716166
13.02.2004,203.81,206.84,208.86,203.31,10458000,206.84,-0.7933246724386683,-0.7981302062762672,-0.7933246724386683,-0.7925248231411646,-0.7967928632845726
16.02.2004,206.84,210.87,211.63,206.84,9050000,210.87,-0.7874847918027594,-0.7937358727836957,-0.7874847918027594,-0.7885523440015259,-0.791616397231108
17.02.2004,210.62,210.87,211.63,209.61,7324000,210.87,-0.7874847918027594,-0.7882538329810818,-0.7874847918027594,-0.7885523440015259,-0.7875544111211658
18.02.2004,212.39,207.85,212.39,207.85,7308000,207.85,-0.7918610795249542,-0.7856868460893817,-0.7918610795249542,-0.7874624219271124,-0.7901353120430062
19.02.2004,209.36,210.87,212.39,208.35,5390000,210.87,-0.7874847918027594,-0.7900811795819531,-0.7874847918027594,-0.7874624219271124,-0.789402101553847
20.02.2004,211.88,209.61,212.64,208.6,5874000,209.61,-0.7893106601901653,-0.7864264863802105,-0.7893106601901653,-0.78710389492895,-0.7890354963092674
23.02.2004,211.13,212.14,213.14,210.12,4852000,212.14,-0.7856444323964061,-0.7875141926902529,-0.7856444323964061,-0.7863868409326253,-0.7868065364222233
24.02.2004,212.64,206.59,212.89,204.32,6566000,206.59,-0.7936869479123599,-0.7853242773193675,-0.7936869479123599,-0.7867453679307878,-0.7953117780964708
25.02.2004,204.82,206.33,208.35,204.82,5658000,206.33,-0.7940637144049992,-0.7966654284454101,-0.7940637144049992,-0.7932562182174158,-0.7945785676073115
26.02.2004,207.85,210.37,210.37,206.84,4176000,210.37,-0.7882093427501428,-0.7922710949528385,-0.7882093427501428,-0.7903593200722641,-0.791616397231108
27.02.2004,211.88,213.14,217.18,210.37,11168000,213.14,-0.7841953305016396,-0.7864264863802105,-0.7841953305016396,-0.7805930446423218,-0.7864399311776437
01.03.2004,216.93,219.7,220.21,215.67,14394000,219.7,-0.7746892220719714,-0.7791025972259247,-0.7746892220719714,-0.7762476974245943,-0.7786678999925556
02.03.2004,223.23,223.49,225.25,220.21,16098000,223.49,-0.7691971258908065,-0.7699658642215679,-0.7691971258908065,-0.7690197931416415,-0.7720103487509893
03.03.2004,224.5,224.5,227.02,222.73,12830000,224.5,-0.7677335329770923,-0.768124014869896,-0.7677335329770923,-0.7664814219946522,-0.7683149678856267
04.03.2004,223.23,219.2,225.5,219.2,7006000,219.2,-0.7754137730193547,-0.7699658642215679,-0.7754137730193547,-0.7686612661434792,-0.773491433939091
05.03.2004,220.96,225.76,225.76,219.96,11614000,225.76,-0.7659076645896866,-0.7732579886532964,-0.7659076645896866,-0.7682883980653904,-0.7723769539955689
08.03.2004,226.51,226.51,229.54,225.76,11848000,226.51,-0.7648208381686118,-0.7652089619589822,-0.7648208381686118,-0.7628674698531758,-0.7638717123213216
09.03.2004,223.99,229.54,229.54,223.99,6786000,229.54,-0.7604300594274693,-0.7688636551607249,-0.7604300594274693,-0.7628674698531758,-0.7664672774529454
10.03.2004,229.54,223.23,229.54,221.97,8074000,223.23,-0.7695738923834458,-0.7608146284664108,-0.7695738923834458,-0.7628674698531758,-0.7694294478291488
11.03.2004,218.69,221.72,223.23,218.44,7410000,221.72,-0.7717620362445432,-0.7765501130850251,-0.7717620362445432,-0.7719166912867932,-0.7746059138826131
12.03.2004,219.2,220.96,222.48,217.94,14270000,220.96,-0.7728633536845657,-0.7758104727941961,-0.7728633536845657,-0.7729922722812802,-0.7753391243717723
15.03.2004,223.99,223.74,226.77,223.23,5088000,223.74,-0.7688348504171149,-0.7688636551607249,-0.7688348504171149,-0.7668399489928145,-0.7675817573964674
16.03.2004,223.99,220.96,225.25,220.71,5092000,220.96,-0.7728633536845657,-0.7688636551607249,-0.7728633536845657,-0.7690197931416415,-0.7712771382618301
17.03.2004,223.74,227.02,228.28,223.49,11650000,227.02,-0.7640817962022809,-0.769226223930739,-0.7640817962022809,-0.764674445923914,-0.7672004879421046
18.03.2004,232.06,225.0,232.06,225.0,10954000,225.0,-0.7670089820297091,-0.757159935264668,-0.7670089820297091,-0.7592535177116995,-0.7649861922648437
19.03.2004,224.5,225.76,228.53,223.74,5284000,225.76,-0.7659076645896866,-0.768124014869896,-0.7659076645896866,-0.7643159189257517,-0.766833882697525
22.03.2004,223.23,221.97,223.49,218.95,5820000,221.97,-0.7713997607708515,-0.7699658642215679,-0.7713997607708515,-0.7715438232087044,-0.7738580391836707
23.03.2004,221.22,223.99,227.52,219.7,7294000,223.99,-0.7684725749434232,-0.7728809171324816,-0.7684725749434232,-0.7657643679983275,-0.7727582234499317
24.03.2004,226.26,226.51,228.78,225.0,12692000,226.51,-0.7648208381686118,-0.7655715307289964,-0.7648208381686118,-0.7639573919275893,-0.7649861922648437
25.03.2004,229.54,235.09,235.09,229.04,13706000,235.09,-0.7523875439115153,-0.7608146284664108,-0.7523875439115153,-0.7549081704939717,-0.7590618515124369
26.03.2004,236.86,239.65,240.16,236.86,9582000,239.65,-0.7457796392713802,-0.7501986148803963,-0.7457796392713802,-0.7476372429712396,-0.747594439461986
29.03.2004,240.66,237.62,242.18,236.1,6172000,237.62,-0.7487213161177562,-0.7446875695761813,-0.7487213161177562,-0.7447403448260876,-0.748708919405508
30.03.2004,239.65,233.57,239.65,232.56,6620000,233.57,-0.7545901787915605,-0.7461523474070384,-0.7545901787915605,-0.7483686380474907,-0.7539000496687557
31.03.2004,233.82,236.61,239.65,233.82,11060000,236.61,-0.7501849090314703,-0.7546074511237684,-0.7501849090314703,-0.7483686380474907,-0.7520523592360744
01.04.2004,242.44,244.46,244.97,239.9,13320000,244.46,-0.7388094591575534,-0.7421060799336805,-0.7388094591575534,-0.740739183526596,-0.7431365196878977
02.04.2004,244.46,242.44,244.46,241.42,8550000,242.44,-0.7417366449849817,-0.739176524271966,-0.7417366449849817,-0.7414705786028472,-0.7409075598008535
05.04.2004,245.48,243.96,245.73,242.69,6586000,243.96,-0.7395340101049367,-0.7376972436903083,-0.7395340101049367,-0.7396492614521825,-0.739045205158389
06.04.2004,245.48,248.77,250.29,244.46,11400000,248.77,-0.7325638299911099,-0.7376972436903083,-0.7325638299911099,-0.7331097290057015,-0.7364496400267652
07.04.2004,247.76,245.98,248.26,244.46,6572000,245.98,-0.7366068242775083,-0.7343906165077793,-0.7366068242775083,-0.7360209682307797,-0.7364496400267652
08.04.2004,245.73,250.8,251.56,244.46,10118000,250.8,-0.729622153144734,-0.7373346749202941,-0.729622153144734,-0.7312884118550367,-0.7364496400267652
09.04.2004,251.05,251.05,252.06,246.49,17642000,251.05,-0.7292598776710424,-0.729619211494393,-0.7292598776710424,-0.730571357858712,-0.7334728054407786
12.04.2004,253.08,255.86,257.64,251.05,14222000,255.86,-0.7222896975572156,-0.726675153081878,-0.7222896975572156,-0.7225690352597286,-0.7267859257796461
13.04.2004,257.13,255.86,258.65,255.36,6910000,255.86,-0.7222896975572156,-0.7208015390076489,-0.7222896975572156,-0.7211205861871527,-0.7204656513630933
14.04.2004,250.8,253.84,255.36,250.8,9436000,253.84,-0.7252168833846439,-0.7299817802644072,-0.7252168833846439,-0.7258388014829691,-0.7271525310242257
15.04.2004,252.57,244.72,253.33,241.93,12342000,244.72,-0.7384326926649142,-0.727414793372707,-0.7384326926649142,-0.7287500407080473,-0.7401596851019111
16.04.2004,242.18,244.46,244.72,240.92,6908000,244.46,-0.7388094591575534,-0.7424831514544952,-0.7388094591575534,-0.7410977105247584,-0.7416407702900129
19.04.2004,242.18,237.62,243.45,234.84,6816000,237.62,-0.7487213161177562,-0.7424831514544952,-0.7487213161177562,-0.742919027675423,-0.7505566098381894
20.04.2004,236.61,240.92,243.7,235.6,8642000,240.92,-0.7439392798650268,-0.7505611836504105,-0.7439392798650268,-0.7425605006772606,-0.7494421298946673
21.04.2004,241.68,241.42,244.46,238.89,9206000,241.42,-0.7432147289176436,-0.7432082889945235,-0.7432147289176436,-0.7414705786028472,-0.7446176048759994
22.04.2004,242.69,237.12,243.96,237.12,9906000,237.12,-0.7494458670651394,-0.7417435111636663,-0.7494458670651394,-0.7421876325991719,-0.7472131700076231
23.04.2004,237.37,235.09,237.62,232.3,13926000,235.09,-0.7523875439115153,-0.7494589745895675,-0.7523875439115153,-0.7512798772725688,-0.7542813191231185
26.04.2004,235.85,233.06,235.85,231.04,10144000,233.06,-0.7553292207578914,-0.7516633927112535,-0.7553292207578914,-0.7538182484195582,-0.7561290095557999
27.04.2004,237.62,240.41,243.96,237.12,19320000,240.41,-0.7446783218313577,-0.7490964058195533,-0.7446783218313577,-0.7421876325991719,-0.7472131700076231
28.04.2004,242.94,239.9,243.2,239.9,9230000,239.9,-0.7454173637976886,-0.7413809423936522,-0.7454173637976886,-0.7432775546735854,-0.7431365196878977
29.04.2004,239.9,239.9,239.9,239.9,0,239.9,-0.7454173637976886,-0.7457897786370242,-0.7454173637976886,-0.7480101110493284,-0.7431365196878977
30.04.2004,233.06,230.53,234.58,230.53,9586000,230.53,-0.7589954485516506,-0.7557096601846114,-0.7589954485516506,-0.7556395655702228,-0.7568768842547423
03.05.2004,230.53,230.53,230.53,230.53,0,230.53,-0.7589954485516506,-0.7593788561371547,-0.7589954485516506,-0.7614477029404529,-0.7568768842547423
04.05.2004,230.53,230.53,230.53,230.53,0,230.53,-0.7589954485516506,-0.7593788561371547,-0.7589954485516506,-0.7614477029404529,-0.7568768842547423
05.05.2004,230.53,230.53,230.53,230.53,0,230.53,-0.7589954485516506,-0.7593788561371547,-0.7589954485516506,-0.7614477029404529,-0.7568768842547423
06.05.2004,230.02,224.45,230.02,223.18,12108000,224.45,-0.7678059880718306,-0.7601184964279836,-0.7678059880718306,-0.762179098016704,-0.7676550784453833
07.05.2004,221.92,219.64,225.72,219.38,14002000,219.64,-0.7747761681856575,-0.7718657245764422,-0.7747761681856575,-0.7683457623850963,-0.7732274781629938
10.05.2004,217.1,206.72,218.62,203.17,18018000,206.72,-0.7934985646660403,-0.7788560504623149,-0.7934985646660403,-0.7785279291329068,-0.7969981622215371
11.05.2004,206.97,208.24,213.05,204.44,18696000,208.24,-0.7912959297859953,-0.7935473370232884,-0.7912959297859953,-0.7865159106519639,-0.7951358075790724
12.05.2004,213.3,214.57,217.61,210.52,17110000,214.57,-0.7821231147921236,-0.78436709576653,-0.7821231147921236,-0.7799763782054827,-0.7862199680308959
13.05.2004,212.8,203.42,213.3,203.17,10744000,203.42,-0.7982806009187698,-0.7850922333065583,-0.7982806009187698,-0.7861573836538015,-0.7969981622215371
14.05.2004,200.89,204.69,205.2,199.88,14882000,204.69,-0.7964402415124162,-0.8023650095100326,-0.7964402415124162,-0.7977736583942613,-0.801822687240205
17.05.2004,203.93,195.82,203.93,195.06,7716000,195.82,-0.809293775318995,-0.7979561732666606,-0.809293775318995,-0.799594975544926,-0.8088908363557004
18.05.2004,196.58,197.6,200.13,196.58,10456000,197.6,-0.8067143739463106,-0.8086156951050766,-0.8067143739463106,-0.8050445859169936,-0.8066618764686561
19.05.2004,199.12,207.98,208.24,198.61,13160000,207.98,-0.7916726962786346,-0.8049319964017329,-0.7916726962786346,-0.7934139700966072,-0.8036850418826694
20.05.2004,202.92,204.94,208.24,201.65,9646000,204.94,-0.7960779660387246,-0.7994209510975178,-0.7960779660387246,-0.7934139700966072,-0.7992271221085812
21.05.2004,207.48,212.04,213.3,206.97,7680000,212.04,-0.7857893425858827,-0.7928076967324595,-0.7857893425858827,-0.7861573836538015,-0.7914257625039266
24.05.2004,211.02,212.04,214.06,210.26,6512000,212.04,-0.7857893425858827,-0.7876737229490591,-0.7857893425858827,-0.785067461579388,-0.7866012374852587
25.05.2004,211.02,205.2,211.53,204.69,7744000,205.2,-0.7957011995460853,-0.7876737229490591,-0.7957011995460853,-0.7886957548007909,-0.7947692023344928
26.05.2004,210.26,212.04,212.04,208.49,5880000,212.04,-0.7857893425858827,-0.7887759320099021,-0.7857893425858827,-0.7879643597245397,-0.7891968026168824
27.05.2004,211.53,210.77,214.06,208.74,6058000,210.77,-0.7876297019922361,-0.7869340826582303,-0.7876297019922361,-0.785067461579388,-0.7888301973723029
28.05.2004,213.3,213.3,214.82,212.04,5802000,213.3,-0.783963474198477,-0.78436709576653,-0.783963474198477,-0.7839775395049745,-0.7839910081438518
31.05.2004,213.3,214.82,215.33,211.53,7476000,214.82,-0.781760839318432,-0.78436709576653,-0.781760839318432,-0.7832461444287232,-0.7847388828427942
01.06.2004,213.3,214.06,215.33,212.04,5818000,214.06,-0.7828621567584545,-0.78436709576653,-0.7828621567584545,-0.7832461444287232,-0.7839910081438518
02.06.2004,215.08,214.06,215.08,211.28,4972000,214.06,-0.7828621567584545,-0.7817856061240293,-0.7828621567584545,-0.7836046714268855,-0.7851054880873738
03.06.2004,215.33,208.49,215.84,206.72,9252000,208.49,-0.7909336543123037,-0.7814230373540151,-0.7909336543123037,-0.782514749352472,-0.7917923677485063
04.06.2004,205.96,204.44,207.48,202.92,8764000,204.44,-0.7968025169861078,-0.7950121148541456,-0.7968025169861078,-0.7945038921710207,-0.7973647674661167
07.06.2004,207.73,212.8,213.3,207.73,8140000,212.8,-0.7846880251458602,-0.7924451279624454,-0.7846880251458602,-0.7861573836538015,-0.7903112825604045
08.06.2004,214.06,215.84,216.09,212.8,11990000,215.84,-0.7802827553857701,-0.783264886705687,-0.7802827553857701,-0.7821562223543097,-0.7828765282003297
09.06.2004,216.34,216.6,217.1,214.57,12334000,216.6,-0.7791814379457476,-0.7799582595231579,-0.7791814379457476,-0.7807077732817338,-0.780280963068706
10.06.2004,214.06,219.64,220.9,213.81,9468000,219.64,-0.7747761681856575,-0.783264886705687,-0.7747761681856575,-0.7752581629096663,-0.781395443012228
11.06.2004,219.64,223.94,224.45,219.13,22112000,223.94,-0.7685450300381615,-0.7751723517589711,-0.7685450300381615,-0.7701670795357609,-0.7735940834075734
14.06.2004,222.68,222.68,224.2,221.41,11006000,222.68,-0.7703708984255673,-0.7707635155155992,-0.7703708984255673,-0.7705256065339233,-0.7702506435770072
15.06.2004,223.69,220.14,223.69,218.12,11388000,220.14,-0.7740516172382742,-0.769298737684742,-0.7740516172382742,-0.7712570016101744,-0.775075168595675
16.06.2004,220.9,219.38,223.44,217.61,9986000,219.38,-0.7751529346782967,-0.7733450051580999,-0.7751529346782967,-0.7716155286083368,-0.7758230432946175
17.06.2004,220.9,221.92,222.17,220.14,8320000,221.92,-0.77147221586559,-0.7733450051580999,-0.77147221586559,-0.7734368457590016,-0.7721129982194717
18.06.2004,221.92,217.86,221.92,215.33,5518000,217.86,-0.7773555695583417,-0.7718657245764422,-0.7773555695583417,-0.7737953727571639,-0.7791664831251837
21.06.2004,219.13,222.17,224.45,219.13,11578000,222.17,-0.7711099403918983,-0.7759119920498,-0.7711099403918983,-0.7701670795357609,-0.7735940834075734
22.06.2004,222.17,220.4,222.17,217.1,5856000,220.4,-0.773674850745635,-0.771503155806428,-0.773674850745635,-0.7734368457590016,-0.7765709179935599
23.06.2004,222.68,214.82,222.68,213.3,12964000,214.82,-0.781760839318432,-0.7707635155155992,-0.781760839318432,-0.7727054506827503,-0.7821433177111704
24.06.2004,212.29,211.02,214.57,210.52,13960000,211.02,-0.7872674265185445,-0.7858318735973873,-0.7872674265185445,-0.7843360665031368,-0.7862199680308959
25.06.2004,211.28,211.02,212.04,208.74,13168000,211.02,-0.7872674265185445,-0.7872966514282445,-0.7872674265185445,-0.7879643597245397,-0.7888301973723029
28.06.2004,211.28,211.02,213.56,210.52,8560000,211.02,-0.7872674265185445,-0.7872966514282445,-0.7872674265185445,-0.7857845155757127,-0.7862199680308959
29.06.2004,210.26,208.49,210.77,206.21,15226000,208.49,-0.7909336543123037,-0.7887759320099021,-0.7909336543123037,-0.7897856768752044,-0.7925402424474487
30.06.2004,209.5,206.97,210.77,206.97,16742000,206.97,-0.7931362891923487,-0.7898781410707452,-0.7931362891923487,-0.7897856768752044,-0.7914257625039266
01.07.2004,208.74,210.01,211.28,208.49,14120000,210.01,-0.7887310194322587,-0.7909803501315882,-0.7887310194322587,-0.7890542817989532,-0.7891968026168824
02.07.2004,209.25,211.02,211.28,209.0,13524000,211.02,-0.7872674265185445,-0.7902407098407593,-0.7872674265185445,-0.7890542817989532,-0.78844892791794
05.07.2004,208.49,206.97,209.0,205.96,7094000,206.97,-0.7931362891923487,-0.7913429189016024,-0.7931362891923487,-0.7923240480221937,-0.7929068476920282
06.07.2004,206.72,205.2,207.98,205.2,5914000,205.2,-0.7957011995460853,-0.7939099057933026,-0.7957011995460853,-0.7937868381746961,-0.7940213276355503
07.07.2004,202.92,205.45,205.45,200.13,13338000,205.45,-0.7953389240723937,-0.7994209510975178,-0.7953389240723937,-0.7974151313960989,-0.8014560819956253
08.07.2004,204.69,205.2,205.96,201.9,11272000,205.2,-0.7957011995460853,-0.7968539642058176,-0.7957011995460853,-0.7966837363198478,-0.7988605168640016
09.07.2004,205.45,207.48,207.48,204.44,9358000,207.48,-0.7923972472260178,-0.7957517551449745,-0.7923972472260178,-0.7945038921710207,-0.7951358075790724
12.07.2004,208.74,211.28,212.29,208.74,12142000,211.28,-0.7868906600259052,-0.7909803501315882,-0.7868906600259052,-0.7876058327263774,-0.7888301973723029
