Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,18.09,18.02,18.16,17.9,413000,18.02,-1.2030279412863316,-1.1893117130637625,-1.2030279412863316,-1.2330674918449402,-1.1648432161179159
05.01.2004,18.48,18.35,18.5,18.2,363400,18.35,-1.1438867396413361,-1.1194654590655546,-1.1438867396413361,-1.172260804996853,-1.111049756875759
06.01.2004,18.35,18.38,18.42,18.23,372000,18.38,-1.1385102667645188,-1.1427475437316237,-1.1385102667645188,-1.1865682607258143,-1.1056704109515432
07.01.2004,18.38,18.43,18.45,18.3,224000,18.43,-1.129549478636489,-1.1373747549625313,-1.129549478636489,-1.1812029648274542,-1.0931186037950398
08.01.2004,18.48,18.55,18.56,18.42,318600,18.55,-1.108043587129218,-1.1194654590655546,-1.108043587129218,-1.161530213200132,-1.071601220098177
09.01.2004,18.23,18.38,18.4,18.23,253600,18.38,-1.1385102667645188,-1.1642386988079954,-1.1385102667645188,-1.1901451246580554,-1.1056704109515432
12.01.2004,18.33,17.89,18.35,17.83,350200,17.89,-1.2263259904192083,-1.1463294029110196,-1.2263259904192083,-1.199087284488656,-1.177395023274419
13.01.2004,17.96,18.11,18.16,17.89,275000,18.11,-1.1868985226558784,-1.2125937977298316,-1.1868985226558784,-1.2330674918449402,-1.1666363314259873
14.01.2004,18.16,18.34,18.37,18.16,409000,18.34,-1.1456788972669423,-1.176775205935879,-1.1456788972669423,-1.1955104205564158,-1.1182222181080463
15.01.2004,18.33,18.25,18.33,18.16,572800,18.25,-1.1618083158973955,-1.1463294029110196,-1.1618083158973955,-1.202664148420897,-1.1182222181080463
16.01.2004,18.3,18.13,18.35,18.08,308200,18.13,-1.1833142074046668,-1.151702191680112,-1.1833142074046668,-1.199087284488656,-1.1325671405726219
20.01.2004,18.13,18.13,18.15,17.91,438800,18.13,-1.1833142074046668,-1.182147994704972,-1.1833142074046668,-1.2348559238110608,-1.1630501008098435
21.01.2004,18.13,18.3,18.5,18.09,184200,18.3,-1.1528475277693657,-1.182147994704972,-1.1528475277693657,-1.172260804996853,-1.1307740252645497
22.01.2004,18.35,18.38,18.44,18.18,180400,18.38,-1.1385102667645188,-1.1427475437316237,-1.1385102667645188,-1.1829913967935741,-1.1146359874919027
23.01.2004,18.43,18.42,18.52,18.31,217600,18.42,-1.1313416362620947,-1.128420107014043,-1.1313416362620947,-1.1686839410646126,-1.0913254884869683
26.01.2004,18.45,18.51,18.51,18.28,236000,18.51,-1.1152122176316415,-1.1248382478346477,-1.1152122176316415,-1.1704723730307325,-1.0967048344111836
27.01.2004,18.57,18.65,18.88,18.57,347800,18.65,-1.090122010873159,-1.1033470927582758,-1.090122010873159,-1.104300390284285,-1.044704490477099
