Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
09.09.2011,1.77,1.89,1.89,1.77,2121,1.89,-1.3283745301492487,-1.3750795678927,-1.3283745301492487,-1.3326330151819263,-1.369419109315649
12.09.2011,1.78,1.85,1.85,1.78,3045,1.85,-1.3446145321895873,-1.3710183839791406,-1.3446145321895873,-1.3486733158978368,-1.3652920469597647
13.09.2011,1.78,1.85,1.85,1.76,16014,1.85,-1.3446145321895873,-1.3710183839791406,-1.3446145321895873,-1.3486733158978368,-1.3735461716715331
14.09.2011,1.85,1.85,1.85,1.85,0,1.85,-1.3446145321895873,-1.3425900965842261,-1.3446145321895873,-1.3486733158978368,-1.3364026104685762
15.09.2011,1.85,1.85,1.85,1.85,0,1.85,-1.3446145321895873,-1.3425900965842261,-1.3446145321895873,-1.3486733158978368,-1.3364026104685762
16.09.2011,1.78,1.76,1.78,1.76,400,1.76,-1.3811545367803495,-1.3710183839791406,-1.3811545367803495,-1.3767438421506806,-1.3735461716715331
19.09.2011,1.8,1.83,1.83,1.8,990,1.83,-1.3527345332097567,-1.3628960161520223,-1.3527345332097567,-1.3566934662557921,-1.3570379222479967
20.09.2011,1.83,1.83,1.83,1.83,11039,1.83,-1.3527345332097567,-1.3507124644113444,-1.3527345332097567,-1.3566934662557921,-1.3446567351803445
21.09.2011,1.7,1.83,1.83,1.7,7276,1.83,-1.3527345332097567,-1.4035078552876143,-1.3527345332097567,-1.3566934662557921,-1.3983085458068374
22.09.2011,1.83,1.83,1.83,1.83,0,1.83,-1.3527345332097567,-1.3507124644113444,-1.3527345332097567,-1.3566934662557921,-1.3446567351803445
23.09.2011,1.76,1.83,1.83,1.76,10772,1.83,-1.3527345332097567,-1.3791407518062593,-1.3527345332097567,-1.3566934662557921,-1.3735461716715331
26.09.2011,1.84,1.87,1.87,1.73,21925,1.87,-1.3364945311694179,-1.3466512804977853,-1.3364945311694179,-1.3406531655398815,-1.3859273587391852
27.09.2011,1.87,1.92,1.92,1.87,21735,1.92,-1.3161945286189947,-1.3344677287571076,-1.3161945286189947,-1.320602789644993,-1.3281484857568082
28.09.2011,1.93,1.92,1.97,1.87,151700,1.92,-1.3161945286189947,-1.3101006252757523,-1.3161945286189947,-1.3005524137501048,-1.3281484857568082
29.09.2011,1.92,1.97,1.97,1.92,25311,1.97,-1.2958945260685713,-1.3141618091893115,-1.2958945260685713,-1.3005524137501048,-1.3075131739773878
30.09.2011,1.96,2.0,2.0,1.96,200000,2.0,-1.2837145245383172,-1.2979170735350747,-1.2837145245383172,-1.2885221882131717,-1.2910049245538515
03.10.2011,1.81,1.93,1.93,1.81,1550,1.93,-1.31213452810891,-1.358834832238463,-1.31213452810891,-1.3165927144660154,-1.3529108598921127
04.10.2011,1.9,1.9,1.9,1.9,176,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
05.10.2011,1.9,1.97,1.97,1.9,1813,1.97,-1.2958945260685713,-1.32228417701643,-1.2958945260685713,-1.3005524137501048,-1.315767298689156
06.10.2011,1.95,1.95,1.95,1.95,200,1.95,-1.3040145270887404,-1.3019782574486338,-1.3040145270887404,-1.3085725641080599,-1.2951319869097355
07.10.2011,1.95,1.95,1.95,1.95,0,1.95,-1.3040145270887404,-1.3019782574486338,-1.3040145270887404,-1.3085725641080599,-1.2951319869097355
10.10.2011,1.95,1.95,1.95,1.95,0,1.95,-1.3040145270887404,-1.3019782574486338,-1.3040145270887404,-1.3085725641080599,-1.2951319869097355
11.10.2011,1.95,1.95,1.95,1.95,538,1.95,-1.3040145270887404,-1.3019782574486338,-1.3040145270887404,-1.3085725641080599,-1.2951319869097355
12.10.2011,1.9,1.93,1.93,1.87,4755,1.93,-1.31213452810891,-1.32228417701643,-1.31213452810891,-1.3165927144660154,-1.3281484857568082
13.10.2011,1.95,1.9,1.95,1.9,20250,1.9,-1.324314529639164,-1.3019782574486338,-1.324314529639164,-1.3085725641080599,-1.315767298689156
14.10.2011,1.9,1.9,1.9,1.9,0,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
17.10.2011,1.9,1.9,1.95,1.9,77464,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3085725641080599,-1.315767298689156
18.10.2011,1.9,1.93,1.93,1.86,6827,1.93,-1.31213452810891,-1.32228417701643,-1.31213452810891,-1.3165927144660154,-1.3322755481126922
19.10.2011,1.93,1.93,1.93,1.93,0,1.93,-1.31213452810891,-1.3101006252757523,-1.31213452810891,-1.3165927144660154,-1.3033861116215038
20.10.2011,1.93,1.93,1.93,1.93,0,1.93,-1.31213452810891,-1.3101006252757523,-1.31213452810891,-1.3165927144660154,-1.3033861116215038
21.10.2011,1.93,1.93,1.93,1.93,0,1.93,-1.31213452810891,-1.3101006252757523,-1.31213452810891,-1.3165927144660154,-1.3033861116215038
24.10.2011,1.93,1.93,1.93,1.93,0,1.93,-1.31213452810891,-1.3101006252757523,-1.31213452810891,-1.3165927144660154,-1.3033861116215038
25.10.2011,1.93,1.93,1.93,1.93,0,1.93,-1.31213452810891,-1.3101006252757523,-1.31213452810891,-1.3165927144660154,-1.3033861116215038
26.10.2011,1.84,1.9,1.9,1.84,6000,1.9,-1.324314529639164,-1.3466512804977853,-1.324314529639164,-1.3286229400029486,-1.3405296728244604
27.10.2011,1.9,1.9,1.9,1.9,0,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
28.10.2011,1.84,1.9,1.9,1.84,1460,1.9,-1.324314529639164,-1.3466512804977853,-1.324314529639164,-1.3286229400029486,-1.3405296728244604
31.10.2011,1.9,1.9,1.9,1.9,1000,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
01.11.2011,1.9,1.9,1.9,1.9,0,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
02.11.2011,1.9,1.9,1.9,1.9,0,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
03.11.2011,1.87,1.87,1.87,1.87,200,1.87,-1.3364945311694179,-1.3344677287571076,-1.3364945311694179,-1.3406531655398815,-1.3281484857568082
04.11.2011,1.8,1.9,1.9,1.8,1020,1.9,-1.324314529639164,-1.3628960161520223,-1.324314529639164,-1.3286229400029486,-1.3570379222479967
07.11.2011,1.9,1.9,1.9,1.9,1250,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
08.11.2011,1.9,1.9,1.9,1.9,200,1.9,-1.324314529639164,-1.32228417701643,-1.324314529639164,-1.3286229400029486,-1.315767298689156
09.11.2011,1.83,1.9,1.9,1.83,1410,1.9,-1.324314529639164,-1.3507124644113444,-1.324314529639164,-1.3286229400029486,-1.3446567351803445
10.11.2011,1.77,1.93,1.94,1.77,19611,1.93,-1.31213452810891,-1.3750795678927,-1.31213452810891,-1.3125826392870377,-1.369419109315649
