Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
05.01.2004,0.92,0.97,0.97,0.91,26574,0.97,-1.6860196147811088,-1.757601654765681,-1.6860196147811088,-1.705501732884834,-1.7524286644889135
06.01.2004,0.97,0.98,1.0,0.96,29247,0.98,-1.6721553580014146,-1.6882237621597804,-1.6721553580014146,-1.6645318003917737,-1.681976664584686
07.01.2004,0.98,0.97,0.99,0.95,27568,0.97,-1.6860196147811088,-1.6743481836386003,-1.6860196147811088,-1.6781884445561273,-1.6960670645655318
08.01.2004,0.96,0.98,0.99,0.96,30867,0.98,-1.6721553580014146,-1.7020993406809606,-1.6721553580014146,-1.6781884445561273,-1.681976664584686
09.01.2004,0.99,1.01,1.02,0.99,36502,1.01,-1.6305625876623313,-1.6604726051174201,-1.6305625876623313,-1.6372185120630671,-1.6397054646421496
12.01.2004,1.01,1.01,1.02,0.99,34689,1.01,-1.6305625876623313,-1.6327214480750598,-1.6305625876623313,-1.6372185120630671,-1.6397054646421496
13.01.2004,1.01,0.99,1.02,0.99,29384,0.99,-1.65829110122172,-1.6327214480750598,-1.65829110122172,-1.6372185120630671,-1.6397054646421496
14.01.2004,0.99,0.97,0.99,0.96,38692,0.97,-1.6860196147811088,-1.6604726051174201,-1.6860196147811088,-1.6781884445561273,-1.681976664584686
15.01.2004,0.97,0.93,1.0,0.93,34350,0.93,-1.741476641899886,-1.6882237621597804,-1.741476641899886,-1.6645318003917737,-1.7242478645272223
16.01.2004,0.93,0.98,0.98,0.93,24699,0.98,-1.6721553580014146,-1.7437260762445006,-1.6721553580014146,-1.6918450887204806,-1.7242478645272223
20.01.2004,0.98,1.02,1.02,0.98,27485,1.02,-1.616698330882637,-1.6743481836386003,-1.616698330882637,-1.6372185120630671,-1.653795864622995
21.01.2004,1.02,1.03,1.03,1.0,25720,1.03,-1.6028340741029428,-1.6188458695538797,-1.6028340741029428,-1.6235618678987136,-1.6256150646613041
22.01.2004,1.03,1.04,1.04,0.99,30409,1.04,-1.5889698173232483,-1.6049702910326995,-1.5889698173232483,-1.6099052237343603,-1.6397054646421496
