Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,74.3,74.3,74.3,74.3,0,74.3,-1.5547661366015968,-1.5566215740539238,-1.5547661366015968,-1.5702512654508456,-1.541612055202932
05.01.2004,75.4,75.4,75.4,75.4,0,75.4,-1.5149604828249597,-1.516793647971358,-1.5149604828249597,-1.5306684594327398,-1.501540652122581
06.01.2004,73.95,73.95,73.95,73.95,0,73.95,-1.567431571894163,-1.5692940959892854,-1.567431571894163,-1.5828457946384245,-1.5543620470921344
07.01.2004,75.45,75.45,75.45,75.45,0,75.45,-1.5131511349260216,-1.5149832876948777,-1.5131511349260216,-1.5288692409773714,-1.4997192247098377
08.01.2004,76.5,76.5,76.5,76.5,0,76.5,-1.4751548290483227,-1.4769657218887924,-1.4751548290483227,-1.4910856534146346,-1.4614692490422303
09.01.2004,77.8,77.8,77.8,77.8,0,77.8,-1.4281117836759338,-1.4298963547003058,-1.4281117836759338,-1.4443059735750556,-1.4141121363109066
12.01.2004,77.0,77.0,77.0,77.0,0,77.0,-1.4570613500589424,-1.4588621191239899,-1.4570613500589424,-1.4730934688609503,-1.443254974914798
13.01.2004,77.1,77.1,77.1,77.1,0,77.1,-1.4534426542610666,-1.4552413985710295,-1.4534426542610666,-1.4694950319502138,-1.4396121200893117
14.01.2004,78.6,78.6,78.6,78.6,0,78.6,-1.3991622172929252,-1.400930590276622,-1.3991622172929252,-1.415518478289161,-1.3849692977070152
15.01.2004,80.1,80.1,80.1,80.1,0,80.1,-1.344881780324784,-1.3466197819822143,-1.344881780324784,-1.361541924628108,-1.3303264753247186
16.01.2004,82.4,82.4,82.4,82.4,0,82.4,-1.2616517769736335,-1.2633432092641221,-1.2616517769736335,-1.27877787568116,-1.24654081433853
20.01.2004,83.9,83.9,83.9,83.9,0,83.9,-1.2073713400054922,-1.2090324009697144,-1.2073713400054922,-1.224801322020107,-1.1918979919562334
21.01.2004,85.4,85.4,85.4,85.4,0,85.4,-1.153090903037351,-1.1547215926753067,-1.153090903037351,-1.1708247683590542,-1.1372551695739368
22.01.2004,88.0,88.0,88.0,88.0,0,88.0,-1.059004812292573,-1.0605828582983337,-1.059004812292573,-1.0772654086798963,-1.0425409441112894
23.01.2004,86.5,86.5,86.5,86.5,0,86.5,-1.1132852492607141,-1.1148936665927414,-1.1132852492607141,-1.131241962340949,-1.097183766493586
26.01.2004,85.0,85.0,85.0,85.0,0,85.0,-1.1675656862288555,-1.169204474887149,-1.1675656862288555,-1.185218516002002,-1.1518265888758827
27.01.2004,85.2,85.2,85.2,85.2,0,85.2,-1.1603282946331033,-1.161963033781228,-1.1603282946331033,-1.178021642180528,-1.1445408792249097
28.01.2004,84.1,84.1,84.1,84.1,0,84.1,-1.2001339484097404,-1.201790959863794,-1.2001339484097404,-1.217604448198634,-1.184612282305261
29.01.2004,82.6,82.6,82.6,82.6,0,82.6,-1.2544143853778817,-1.2561017681582014,-1.2544143853778817,-1.2715810018596867,-1.2392551046875575
30.01.2004,81.1,81.1,81.1,81.1,0,81.1,-1.308694822346023,-1.3104125764526091,-1.308694822346023,-1.3255575555207395,-1.293897927069854
02.02.2004,76.53,76.53,76.53,76.53,0,76.53,-1.47406922030896,-1.4758795057229042,-1.47406922030896,-1.4900061223414136,-1.4603763925945843
03.02.2004,76.32,76.32,76.32,76.32,0,76.32,-1.4816684814845,-1.4834830188841217,-1.4816684814845,-1.4975628398539613,-1.4680263877281061
04.02.2004,74.82,74.82,74.82,74.82,0,74.82,-1.5359489184526414,-1.5377938271785292,-1.5359489184526414,-1.5515393935150141,-1.5226692101104027
05.02.2004,75.57,75.57,75.57,75.57,0,75.57,-1.5088086999685706,-1.5106384230313255,-1.5088086999685706,-1.5245511166844876,-1.4953477989192543
06.02.2004,75.45,75.45,75.45,75.45,0,75.45,-1.5131511349260216,-1.5149832876948777,-1.5131511349260216,-1.5288692409773714,-1.4997192247098377
09.02.2004,75.0,75.0,75.0,75.0,0,75.0,-1.529435266016464,-1.5312765301832,-1.529435266016464,-1.5450622070756874,-1.5161120714245269
10.02.2004,73.6,73.6,73.6,73.6,0,73.6,-1.5800970071867295,-1.5819666179246474,-1.5800970071867295,-1.5954403238260038,-1.5671120389813373
11.02.2004,75.1,75.1,75.1,75.1,0,75.1,-1.5258165702185882,-1.5276558096302397,-1.5258165702185882,-1.5414637701649507,-1.5124692165990405
12.02.2004,76.05,76.05,76.05,76.05,0,76.05,-1.4914389601387652,-1.4932589643771148,-1.4914389601387652,-1.5072786195129506,-1.4778620957569193
13.02.2004,76.12,76.12,76.12,76.12,0,76.12,-1.4889058730802518,-1.4907244599900422,-1.4889058730802518,-1.5047597136754345,-1.4753120973790785
17.02.2004,76.47,76.47,76.47,76.47,0,76.47,-1.4762404377876857,-1.4780519380546806,-1.4762404377876857,-1.4921651844878558,-1.462562105489876
18.02.2004,77.15,77.15,77.15,77.15,0,77.15,-1.451633306362128,-1.453431038294549,-1.451633306362128,-1.4676958134948448,-1.4377906926765682
19.02.2004,77.65,77.65,77.65,77.65,0,77.65,-1.4335398273727475,-1.4353274355297463,-1.4335398273727475,-1.4497036289411607,-1.419576418549136
20.02.2004,77.85,77.85,77.85,77.85,0,77.85,-1.4263024357769958,-1.4280859944238258,-1.4263024357769958,-1.4425067551196873,-1.4122907088981635
23.02.2004,78.57,78.57,78.57,78.57,0,78.57,-1.4002478260322881,-1.40201680644251,-1.4002478260322881,-1.416598009362382,-1.3860621541546612
24.02.2004,80.22,80.22,80.22,80.22,0,80.22,-1.3405393453673324,-1.3422749173186614,-1.3405393453673324,-1.3572238003352237,-1.3259550495341346
25.02.2004,81.47,81.47,81.47,81.47,0,81.47,-1.2953056478938814,-1.2970159104066552,-1.2953056478938814,-1.312243338951013,-1.2804193642155541
26.02.2004,81.65,81.65,81.65,81.65,0,81.65,-1.2887919954577043,-1.2904986134113259,-1.2887919954577043,-1.3057661525116864,-1.2738622255296783
27.02.2004,81.5,81.5,81.5,81.5,0,81.5,-1.2942200391545184,-1.295929694240767,-1.2942200391545184,-1.3111638078777919,-1.2793265077679081
01.03.2004,79.7,79.7,79.7,79.7,0,79.7,-1.3593565635162879,-1.361102664194056,-1.3593565635162879,-1.3759356722710552,-1.3448978946266639
02.03.2004,79.5,79.5,79.5,79.5,0,79.5,-1.3665939551120403,-1.3683441052999772,-1.3665939551120403,-1.383132546092529,-1.352183604277637
03.03.2004,81.0,81.0,81.0,81.0,0,81.0,-1.312313518143899,-1.3140332970055695,-1.312313518143899,-1.3291559924314762,-1.2975407818953404
04.03.2004,81.9,81.9,81.9,81.9,0,81.9,-1.279745255963014,-1.2814468120289246,-1.279745255963014,-1.2967700602348442,-1.2647550884659622
05.03.2004,81.45,81.45,81.45,81.45,0,81.45,-1.2960293870534565,-1.297740054517247,-1.2960293870534565,-1.3129630263331602,-1.2811479351806512
08.03.2004,81.5,81.5,81.5,81.5,0,81.5,-1.2942200391545184,-1.295929694240767,-1.2942200391545184,-1.3111638078777919,-1.2793265077679081
09.03.2004,82.5,82.5,82.5,82.5,0,82.5,-1.2580330811757576,-1.2597224887111618,-1.2580330811757576,-1.2751794387704234,-1.2428979595130436
10.03.2004,85.5,85.5,85.5,85.5,0,85.5,-1.1494722072394752,-1.1511008721223466,-1.1494722072394752,-1.1672263314483178,-1.1336123147484505
11.03.2004,85.45,85.45,85.45,85.45,0,85.45,-1.151281555138413,-1.1529112323988266,-1.151281555138413,-1.169025549903686,-1.1354337421611935
12.03.2004,85.15,85.15,85.15,85.15,0,85.15,-1.162137642532041,-1.163773394057708,-1.162137642532041,-1.1798208606358964,-1.1463623066376527
15.03.2004,85.1,85.1,85.1,85.1,0,85.1,-1.1639469904309796,-1.1655837543341887,-1.1639469904309796,-1.1816200790912652,-1.1481837340503964
16.03.2004,86.7,86.7,86.7,86.7,0,86.7,-1.106047857664962,-1.1076522254868202,-1.106047857664962,-1.1240450885194753,-1.089898056842613
