Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,3969.04,4018.5,4022.96,3969.04,62413600,4018.5,-1.4273919541384605,-1.4401768155834043,-1.4273919541384605,-1.4366058297903954,-1.428672801709475
05.01.2004,4019.94,4035.9,4040.98,4001.49,85539100,4035.9,-1.4229414552309216,-1.4271563636710378,-1.4229414552309216,-1.4320138573485721,-1.420339912154944
06.01.2004,4038.42,4035.44,4047.03,4003.48,94696300,4035.44,-1.423059112098592,-1.4224290954718135,-1.423059112098592,-1.430472157388914,-1.4198288967400436
07.01.2004,4039.65,4004.4,4050.99,3985.95,145580900,4004.4,-1.4309983929083627,-1.4221144558676444,-1.4309983929083627,-1.4294630446880474,-1.4243304546411508
08.01.2004,4013.15,4045.43,4070.47,4013.15,139663500,4045.43,-1.4205039118637464,-1.4288932766078744,-1.4205039118637464,-1.4244990256443892,-1.41734572133196
09.01.2004,4059.1,4016.18,4073.33,3982.83,126836800,4016.18,-1.427985353992799,-1.4171390572488718,-1.427985353992799,-1.4237702220270962,-1.4251316446383815
12.01.2004,4010.05,3995.91,4010.05,3980.19,135461600,3995.91,-1.4331699294442826,-1.4296862707322031,-1.4331699294442826,-1.4398956391257973,-1.4258095746360382
13.01.2004,4006.85,3996.22,4033.67,3990.61,107012300,3996.22,-1.4330906389465048,-1.4305048453121554,-1.4330906389465048,-1.4338766386221418,-1.4231338054786202
14.01.2004,3993.33,4055.21,4056.23,3980.33,102789200,4055.21,-1.4180024245467506,-1.4339633229124538,-1.4180024245467506,-1.4281277541444761,-1.4257736238028293
15.01.2004,4047.63,4068.75,4081.62,4026.91,108778600,4068.75,-1.4145392202244473,-1.4200731355088883,-1.4145392202244473,-1.4216577108427058,-1.4138122680108398
16.01.2004,4090.8,4111.64,4122.93,4090.8,133851600,4111.64,-1.403568996193163,-1.4090300528162192,-1.403568996193163,-1.411130830622299,-1.3974058484842145
19.01.2004,4111.89,4139.92,4151.72,4111.89,90095200,4139.92,-1.396335656589416,-1.4036351347252212,-1.396335656589416,-1.403794377425845,-1.3919901122529337
20.01.2004,4141.33,4106.41,4156.08,4101.54,110834200,4106.41,-1.4049067036234177,-1.39610424858966,-1.4049067036234177,-1.4026833341491332,-1.3946479059937473
21.01.2004,4109.64,4138.04,4138.04,4099.47,120652900,4138.04,-1.3968165150920697,-1.40421069497675,-1.3968165150920697,-1.407280403119749,-1.39517946474191
22.01.2004,4144.04,4139.86,4171.49,4129.23,113803600,4139.86,-1.3963510031373731,-1.395411018242263,-1.3963510031373731,-1.3987564587146992,-1.3875373447683248
23.01.2004,4140.76,4151.83,4164.26,4130.86,98429500,4151.83,-1.3932893668199455,-1.396250057186714,-1.3932893668199455,-1.4005988538731,-1.3871187743531048
26.01.2004,4152.09,4128.68,4152.09,4116.07,87832200,4128.68,-1.3992105765733664,-1.3933517915645703,-1.3992105765733664,-1.4037000916431883,-1.3909167230899775
27.01.2004,4141.86,4134.42,4175.48,4129.12,118343700,4134.42,-1.3977424234854772,-1.3959686721748557,-1.3977424234854772,-1.397739701220644,-1.3875655918515604
28.01.2004,4124.49,4150.24,4157.18,4105.97,118398500,4150.24,-1.393696050340807,-1.400411997316659,-1.393696050340807,-1.402403025065559,-1.3935103189143458
29.01.2004,4117.58,4095.71,4126.64,4092.05,110672100,4095.71,-1.4076435046757547,-1.4021796068002434,-1.4076435046757547,-1.4101854245313352,-1.3970848589019906
30.01.2004,4106.65,4058.6,4116.52,4048.52,98283000,4058.6,-1.4171353445871782,-1.404975550599893,-1.4171353445871782,-1.4127642681002173,-1.4082630001133538
02.02.2004,4062.79,4071.6,4087.21,4046.3,76610000,4071.6,-1.4138102591964883,-1.4161951384363642,-1.4138102591964883,-1.4202332310452699,-1.4088330776113835
03.02.2004,4074.42,4057.51,4075.8,4019.0,106026300,4057.51,-1.4174141402083977,-1.41322013144735,-1.4174141402083977,-1.4231408007212525,-1.4158434900871524
04.02.2004,4050.08,4028.37,4050.08,4008.8,111859200,4028.37,-1.424867446999529,-1.4194464143461123,-1.424867446999529,-1.4296949367480951,-1.4184627650780988
05.02.2004,4025.4,4014.79,4054.93,4009.56,100597700,4014.79,-1.4283408823538035,-1.4257596707939946,-1.4283408823538035,-1.4284590285159726,-1.418267603412107
06.02.2004,4015.02,4044.99,4053.02,4007.87,91397100,4044.99,-1.4206164532154315,-1.4284149220877145,-1.4206164532154315,-1.428945747015633,-1.4187015813272734
09.02.2004,4051.36,4098.97,4102.46,4051.36,92299400,4098.97,-1.4068096755700894,-1.4191189845141312,-1.4068096755700894,-1.4163471278411741,-1.4075337117825413
10.02.2004,4100.75,4110.8,4114.78,4083.33,81307000,4110.8,-1.4037838478645617,-1.40648479748168,-1.4037838478645617,-1.4132076661051438,-1.3993240822275843
11.02.2004,4111.89,4122.16,4125.59,4101.14,76554900,4122.16,-1.400878234784697,-1.4036351347252212,-1.400878234784697,-1.4104529922929288,-1.3947506226600588
12.02.2004,4138.17,4121.65,4150.56,4106.31,87453400,4121.65,-1.401008680442332,-1.396912590987363,-1.401008680442332,-1.4040899760957959,-1.393423009747981
13.02.2004,4121.45,4057.05,4130.75,4047.92,83264600,4057.05,-1.4175317970760681,-1.4011896431676139,-1.4175317970760681,-1.4091380878645265,-1.4084170751128213
16.02.2004,4054.96,4070.46,4070.46,4040.49,48044100,4070.46,-1.414101843607672,-1.4181980881116851,-1.414101843607672,-1.4245015739087852,-1.41032503718956
17.02.2004,4073.77,4095.86,4099.8,4070.65,103255700,4095.86,-1.407605138305862,-1.4133864044089028,-1.407605138305862,-1.417024966170544,-1.402580200549663
18.02.2004,4096.73,4095.34,4111.5,4085.29,89014200,4095.34,-1.4077381417214898,-1.4075131317977454,-1.4077381417214898,-1.4140434968270739,-1.3988207705626574
