Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,1111.92,1108.48,1118.85,1105.08,1153200000,1108.48,-0.9401691523421801,-0.9371518089781536,-0.9401691523421801,-0.9371141928743457,-0.936723045629181
05.01.2004,1108.48,1122.22,1122.22,1108.48,1578200000,1122.22,-0.9288672004120121,-0.9399819043221339,-0.9288672004120121,-0.9343553194604025,-0.9339111359735356
06.01.2004,1122.22,1123.67,1124.46,1118.44,1494500000,1123.67,-0.9276744907832826,-0.9286779769889106,-0.9276744907832826,-0.9325215282297697,-0.9256738947469982
07.01.2004,1123.67,1126.33,1126.33,1116.45,1704900000,1126.33,-0.9254864855333375,-0.9274850588933375,-0.9254864855333375,-0.9309906400149112,-0.9273196889278024
08.01.2004,1126.33,1131.92,1131.92,1124.91,1868400000,1131.92,-0.920888384274994,-0.9252966712145623,-0.920888384274994,-0.926414348506323,-0.9203229960787556
09.01.2004,1131.92,1121.86,1131.92,1120.9,1720700000,1121.86,-0.9291633214232831,-0.9206977662805943,-0.9291633214232831,-0.926414348506323,-0.9236393954079136
12.01.2004,1121.86,1127.23,1127.85,1120.9,1510200000,1127.23,-0.9247461830051605,-0.9289741497574668,-0.9247461830051605,-0.929746281679839,-0.9236393954079136
13.01.2004,1127.23,1121.22,1129.07,1115.19,1595900000,1121.22,-0.9296897587766532,-0.924556239293172,-0.9296897587766532,-0.9287475203845836,-0.9283617495648945
14.01.2004,1121.22,1130.52,1130.75,1121.22,1514600000,1130.52,-0.9220399659854914,-0.9295006791237885,-0.9220399659854914,-0.927372176961609,-0.9233747450873824
15.01.2004,1130.52,1132.05,1137.11,1124.54,1695000000,1132.05,-0.9207814516875907,-0.9218495492694235,-0.9207814516875907,-0.922165519717491,-0.92062899801187
16.01.2004,1132.05,1139.83,1139.83,1132.05,1721100000,1139.83,-0.9143819476106834,-0.9205908150030603,-0.9143819476106834,-0.9199387732231511,-0.9144179858019006
20.01.2004,1139.83,1138.77,1142.93,1135.4,1698200000,1138.77,-0.9152538594772028,-0.9141901923937097,-0.9152538594772028,-0.9174009371450431,-0.9116474277588382
21.01.2004,1138.77,1147.62,1149.21,1134.62,1757600000,1147.62,-0.9079742179501297,-0.9150622566566803,-0.9079742179501297,-0.9122597724448762,-0.9122925129151335
22.01.2004,1147.62,1143.94,1150.51,1143.01,1693700000,1143.94,-0.9110012327320085,-0.9077813427630105,-0.9110012327320085,-0.9111955186056698,-0.9053537123237028
23.01.2004,1143.94,1141.55,1150.31,1136.85,1561200000,1141.55,-0.9129671472235007,-0.9108088866193612,-0.9129671472235007,-0.9113592499655477,-0.9104482309939308
26.01.2004,1141.55,1155.37,1155.38,1141.0,1480600000,1155.37,-0.9015993906241615,-0.9127751447217196,-0.9015993906241615,-0.9072086599926421,-0.9070160471495402
27.01.2004,1155.37,1144.05,1155.37,1144.05,1673100000,1144.05,-0.9109107513118981,-0.9014054012177062,-0.9109107513118981,-0.9072168465606363,-0.904493598781976
28.01.2004,1144.05,1128.48,1149.14,1126.5,1842000000,1128.48,-0.9237179850493592,-0.9107183893845248,-0.9237179850493592,-0.9123170784208335,-0.9190080147986156
29.01.2004,1128.48,1134.11,1134.39,1122.38,1921900000,1134.11,-0.9190869814564302,-0.9235278616245746,-0.9190869814564302,-0.9243922662118306,-0.9224153876754563
30.01.2004,1134.11,1131.13,1134.17,1127.73,1635000000,1131.13,-0.9215382053830603,-0.9188960486052117,-0.9215382053830603,-0.9245723707076964,-0.9179907651290733
02.02.2004,1131.13,1135.26,1142.45,1127.87,1599200000,1135.26,-0.9181410393370929,-0.9213477009671479,-0.9181410393370929,-0.9177938924087502,-0.917874980613841
03.02.2004,1135.26,1136.03,1137.44,1131.33,1476900000,1136.03,-0.9175076693963193,-0.917949941150102,-0.9175076693963193,-0.9218953629736922,-0.9150134490230961
04.02.2004,1136.03,1126.52,1136.03,1124.74,1634800000,1126.52,-0.9253301994440557,-0.9173164605062459,-0.9253301994440557,-0.9230496690608317,-0.9204635915615379
05.02.2004,1126.52,1128.59,1131.17,1124.44,1566600000,1128.59,-0.9236275036292487,-0.9251403578089354,-0.9236275036292487,-0.9270283411058653,-0.9207117012370359
06.02.2004,1128.59,1142.76,1142.79,1128.39,1477600000,1142.76,-0.911971851602285,-0.9234373643897381,-0.911971851602285,-0.9175155490969578,-0.9174449238429774
09.02.2004,1142.76,1139.81,1144.46,1139.21,1303500000,1139.81,-0.9143983987779761,-0.9117796751385172,-0.9143983987779761,-0.9161483922419771,-0.9084964348800122
10.02.2004,1139.81,1145.54,1147.02,1138.7,1403900000,1145.54,-0.909685139348583,-0.9142066464364073,-0.909685139348583,-0.9140526308355396,-0.908918221328359
11.02.2004,1145.54,1157.76,1158.89,1142.33,1699300000,1157.76,-0.8996334761326693,-0.9094925632035565,-0.8996334761326693,-0.9043351746267846,-0.9059160942548319
12.02.2004,1157.76,1152.11,1157.76,1151.44,1464300000,1152.11,-0.9042809308928913,-0.8994391431153478,-0.9042809308928913,-0.9052602568100949,-0.8983818304422058
13.02.2004,1152.11,1145.81,1156.88,1143.24,1329200000,1145.81,-0.9094630485901298,-0.9040874101774083,-0.9094630485901298,-0.9059806747935577,-0.9051634949058209
17.02.2004,1145.81,1156.99,1158.98,1145.81,1396500000,1156.99,-0.9002668460734429,-0.9092704336271396,-0.9002668460734429,-0.9042614955148396,-0.9030380220190538
18.02.2004,1156.99,1151.82,1157.4,1149.54,1382400000,1151.82,-0.9045194728186372,-0.9000726237592038,-0.9045194728186372,-0.9055549732578752,-0.8999531917203606
19.02.2004,1151.82,1147.06,1158.57,1146.85,1562800000,1147.06,-0.9084348506343286,-0.9043259937965229,-0.9084348506343286,-0.9045971448025893,-0.902177908477327
20.02.2004,1147.06,1144.11,1149.81,1139.0,1479600000,1144.11,-0.9108613978100197,-0.908242055958542,-0.9108613978100197,-0.9117685783652426,-0.9086701116528609
23.02.2004,1144.11,1140.99,1146.69,1136.98,1380400000,1140.99,-0.9134277799076996,-0.9106690272564321,-0.9134277799076996,-0.9143227875793382,-0.9103407168012149
24.02.2004,1140.99,1139.09,1144.54,1134.43,1543600000,1139.09,-0.9149906408005177,-0.9132358579172513,-0.9149906408005177,-0.9160828996980259,-0.9124496490429488
25.02.2004,1139.09,1143.67,1145.24,1138.96,1360700000,1143.67,-0.9112233234904616,-0.9147989919735194,-0.9112233234904616,-0.9155098399384531,-0.9087031929429273
26.02.2004,1143.67,1144.91,1147.23,1138.62,1383900000,1144.91,-0.9102033511183067,-0.9110310161957782,-0.9102033511183067,-0.9138807129076678,-0.9089843839084919
27.02.2004,1145.8,1144.94,1151.68,1141.8,1540400000,1144.94,-0.9101786743673674,-0.9092786606484883,-0.9101786743673674,-0.9102376901503838,-0.9063544213482119
01.03.2004,1144.94,1155.97,1157.45,1144.94,1497100000,1155.97,-0.9011058556053767,-0.9099861844844832,-0.9011058556053767,-0.9055140404179056,-0.9037575400779982
02.03.2004,1155.97,1149.1,1156.54,1147.31,1476000000,1149.1,-0.9067568315704608,-0.9009117799367793,-0.9067568315704608,-0.9062590181053503,-0.9017974736415633
03.03.2004,1149.1,1151.03,1152.44,1143.78,1334500000,1151.03,-0.9051692939267035,-0.906563743603391,-0.9051692939267035,-0.9096155109828478,-0.9047168974899243
04.03.2004,1151.03,1154.87,1154.97,1149.81,1265800000,1154.87,-0.902010669806482,-0.9049759284830765,-0.902010669806482,-0.907544309280392,-0.8997298930124122
05.03.2004,1154.87,1156.86,1163.23,1148.77,1398200000,1156.86,-0.9003737786608463,-0.9018167522851451,-0.9003737786608463,-0.9007822041174336,-0.900590006554139
08.03.2004,1156.86,1147.2,1159.94,1146.97,1254400000,1147.2,-0.9083196924632787,-0.9001795750367381,-0.9083196924632787,-0.9034755849874254,-0.9020786646071277
09.03.2004,1147.2,1140.58,1147.32,1136.84,1499400000,1140.58,-0.9137650288372026,-0.908126877659659,-0.9137650288372026,-0.9138070337957228,-0.9104565013164474
10.03.2004,1140.58,1123.89,1141.45,1122.53,1648400000,1123.89,-0.9274935279430615,-0.9135731657925513,-0.9274935279430615,-0.9186125492081398,-0.9222913328377074
11.03.2004,1123.89,1106.78,1125.96,1105.87,1889900000,1106.78,-0.9415675015620699,-0.9273040644236643,-0.9415675015620699,-0.9312935430306852,-0.9360696901503692
12.03.2004,1106.78,1120.57,1120.63,1106.78,1388500000,1120.57,-0.9302244217136699,-0.9413804979514264,-0.9302244217136699,-0.935656983771432,-0.9353170908013583
15.03.2004,1120.57,1104.49,1120.57,1103.36,1600600000,1104.49,-0.943451160217098,-0.9300354355114593,-0.943451160217098,-0.9357061031793955,-0.9381455411020369
16.03.2004,1104.49,1110.7,1113.76,1102.61,1500700000,1110.7,-0.938343072772677,-0.943264485840297,-0.938343072772677,-0.9412811559832389,-0.9387658152907821
17.03.2004,1110.7,1123.75,1125.76,1110.7,1490100000,1123.75,-0.9276086861141114,-0.9381555055827048,-0.9276086861141114,-0.9314572743905633,-0.9320751243748495
18.03.2004,1123.75,1122.32,1125.5,1113.25,1369200000,1122.32,-0.928784944575548,-0.9274192427225474,-0.928784944575548,-0.9316701251584045,-0.9299661921331156
19.03.2004,1122.32,1109.78,1122.72,1109.69,1457400000,1109.78,-0.9390998264681468,-0.9285957067754229,-0.9390998264681468,-0.9339459910607077,-0.9329104269490265
22.03.2004,1109.78,1095.4,1109.78,1089.54,1452300000,1095.4,-0.950928215751685,-0.9389123915467925,-0.950928215751685,-0.9445394100448096,-0.9495751268199831
23.03.2004,1095.4,1093.95,1101.52,1091.57,1458200000,1093.95,-0.9521209253804146,-0.9507428482463376,-0.9521209253804146,-0.951301515207768,-0.9478962513491126
24.03.2004,1093.95,1091.33,1098.32,1087.16,1527800000,1091.33,-0.9542760282957742,-0.9519357663419107,-0.9542760282957742,-0.9539212169658149,-0.9515434635789347
25.03.2004,1091.33,1109.19,1110.38,1091.33,1471700000,1109.19,-0.939585135903285,-0.954091245935291,-0.939585135903285,-0.9440482159651757,-0.9480947390895111
26.03.2004,1109.19,1108.06,1115.27,1106.13,1319100000,1108.06,-0.9405146268553295,-0.9393977858063705,-0.9405146268553295,-0.9400449842161606,-0.9358546617649374
29.03.2004,1108.06,1122.47,1124.37,1108.06,1405500000,1122.47,-0.9286615608208518,-0.9403274392187827,-0.9286615608208518,-0.932595207341715,-0.934258489519233
30.03.2004,1122.47,1127.0,1127.6,1119.66,1332400000,1127.0,-0.9249353714290279,-0.9284723014551911,-0.9249353714290279,-0.9299509458796864,-0.9246649153999725
31.03.2004,1127.0,1126.21,1130.83,1121.46,1560700000,1126.21,-0.9255851925370944,-0.924745460784194,-0.9255851925370944,-0.9273066844176578,-0.9231762573469839
