Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
18.11.2010,26.43,25.82,27.18,25.59,457044300,25.82,-0.6026613194795474,-0.5418302448085928,-0.6026613194795474,-0.49817621092089776,-0.593538575191939
19.11.2010,25.79,25.87,26.05,25.0,107842000,25.87,-0.5975656159380887,-0.6070218947268898,-0.5975656159380887,-0.6117436842847116,-0.6545177783272791
22.11.2010,25.83,25.73,26.04,25.53,36650600,25.73,-0.611833585854173,-0.6029474166069964,-0.611833585854173,-0.6127487061728871,-0.5997398500870582
23.11.2010,25.64,25.11,25.67,25.06,31170200,25.11,-0.6750203097682608,-0.6223011876764906,-0.6750203097682608,-0.6499345160353747,-0.6483165034321599
24.11.2010,25.47,25.28,25.52,25.09,26138000,25.28,-0.6576949177273012,-0.6396177196860384,-0.6576949177273012,-0.665009844358005,-0.6452158659846001
26.11.2010,25.23,25.52,25.53,25.08,12301200,25.52,-0.6332355407282996,-0.6640645884053996,-0.6332355407282996,-0.6640048224698295,-0.6462494118004535
29.11.2010,25.52,25.52,25.53,24.97,27776900,25.52,-0.6332355407282996,-0.6345246220361714,-0.6332355407282996,-0.6640048224698295,-0.6576184157748388
30.11.2010,25.32,25.83,25.86,25.19,57476900,25.83,-0.6016421787712559,-0.6548970126356392,-0.6016421787712559,-0.6308391001600433,-0.6348804078260677
01.12.2010,26.17,26.26,26.39,25.99,34633200,26.26,-0.5578191283147108,-0.5683143525879008,-0.5578191283147108,-0.57757294008675,-0.5521967425578101
02.12.2010,26.37,26.19,26.41,26.06,23196100,26.19,-0.564953113272753,-0.5479419619884329,-0.564953113272753,-0.5755628963103993,-0.5449619218468376
03.12.2010,26.09,26.09,26.13,25.65,19395200,26.09,-0.5751445203556705,-0.576463308827688,-0.5751445203556705,-0.603703509179309,-0.5873373002968197
06.12.2010,26.04,26.04,26.26,25.98,11676500,26.04,-0.5802402238971293,-0.581556406477555,-0.5802402238971293,-0.5906382246330293,-0.5532302883736632
07.12.2010,26.24,26.19,26.35,26.02,20823000,26.19,-0.564953113272753,-0.5611840158780873,-0.564953113272753,-0.5815930276394512,-0.5490961051102504
08.12.2010,26.14,26.01,26.23,25.92,12603900,26.01,-0.5832976460220043,-0.571370211177821,-0.5832976460220043,-0.5936532902975554,-0.5594315632687824
09.12.2010,25.95,25.48,26.0,25.39,18402200,25.48,-0.6373121035614664,-0.5907239822473156,-0.6373121035614664,-0.6167687937255885,-0.6142094915090034
10.12.2010,25.56,25.53,25.67,25.32,11741700,25.53,-0.6322164000200077,-0.630450143916278,-0.6322164000200077,-0.6499345160353747,-0.621444312219976
13.12.2010,25.64,25.52,25.71,25.45,11029300,25.52,-0.6332355407282996,-0.6223011876764906,-0.6332355407282996,-0.6459144284826733,-0.6080082166138842
14.12.2010,25.47,25.59,25.61,25.26,15165600,25.59,-0.6261015557702574,-0.6396177196860384,-0.6261015557702574,-0.655964647364427,-0.6276455871150951
15.12.2010,25.53,25.38,25.68,25.38,10182700,25.38,-0.6475035106443839,-0.6335060025061978,-0.6475035106443839,-0.6489294941471995,-0.6152430373248567
16.12.2010,25.35,25.38,25.57,25.34,9885700,25.38,-0.6475035106443839,-0.6518411540457189,-0.6475035106443839,-0.6599847349171283,-0.6193772205882695
17.12.2010,25.32,25.67,25.67,25.06,35681600,25.67,-0.6179484301039233,-0.6548970126356392,-0.6179484301039233,-0.6499345160353747,-0.6483165034321599
20.12.2010,25.61,25.49,25.71,25.48,12476400,25.49,-0.6362929628531749,-0.6253570462664109,-0.6362929628531749,-0.6459144284826733,-0.6049075791663243
21.12.2010,25.57,25.56,25.63,25.46,9012400,25.56,-0.6291589778951328,-0.6294315243863043,-0.6291589778951328,-0.6539546035880763,-0.6069746707980308
22.12.2010,25.46,26.37,26.39,25.32,20935100,26.37,-0.5466085805235018,-0.6406363392160116,-0.5466085805235018,-0.57757294008675,-0.621444312219976
23.12.2010,26.18,26.29,26.82,26.14,20529200,26.29,-0.5547617061898359,-0.5672957330579276,-0.5547617061898359,-0.5343569988952102,-0.5366935553200116
27.12.2010,25.98,26.13,26.35,25.82,7368300,26.13,-0.5710679575225037,-0.5876681236573953,-0.5710679575225037,-0.5815930276394512,-0.5697670214273148
28.12.2010,26.72,26.67,26.94,26.48,23489000,26.67,-0.5160343592747496,-0.5122902784393645,-0.5160343592747496,-0.5222967362371058,-0.5015529975810021
29.12.2010,26.78,27.2,27.41,26.62,20960800,27.2,-0.46201990173528784,-0.5061785612595239,-0.46201990173528784,-0.4750607074928648,-0.4870833561590569
30.12.2010,27.26,27.8,27.92,27.2,16980800,27.8,-0.40087145923778345,-0.45728482382080105,-0.40087145923778345,-0.423804591195922,-0.4271376988395702
31.12.2010,27.82,27.83,27.91,27.62,6163900,27.83,-0.39781403711290847,-0.40024213014229126,-0.39781403711290847,-0.4248096130840975,-0.38372877457373467
03.01.2011,28.18,27.99,28.7,27.96,24874900,27.99,-0.3815077857802407,-0.3635718270632492,-0.3815077857802407,-0.3454128839182453,-0.3485882168347251
04.01.2011,28.02,28.62,28.69,27.7,32363400,28.62,-0.317301921157861,-0.3798697395428235,-0.317301921157861,-0.34641790580642046,-0.37546040804690906
05.01.2011,28.29,28.75,28.92,28.29,22503900,28.75,-0.3040530919500685,-0.35236701223354194,-0.3040530919500685,-0.3233024023783875,-0.31448120491156895
06.01.2011,28.88,29.37,29.81,28.75,38556900,29.37,-0.24086636803598074,-0.29226845996511186,-0.24086636803598074,-0.2338554543307821,-0.2669380973823206
07.01.2011,29.33,29.44,29.7,29.08,19901100,29.44,-0.23373238307793856,-0.24643058111630933,-0.23373238307793856,-0.2449106951007108,-0.23283108545916442
10.01.2011,29.71,29.12,29.72,29.03,18341600,29.12,-0.26634488574327414,-0.2077230389773202,-0.26634488574327414,-0.24290065132436017,-0.23799881453843025
11.01.2011,29.19,29.26,29.77,29.08,14856500,29.26,-0.2520769158271898,-0.2606912545359365,-0.2520769158271898,-0.23787554188348337,-0.23283108545916442
12.01.2011,29.41,29.16,29.73,28.97,16773900,29.16,-0.2622683229101073,-0.23828162487652202,-0.2622683229101073,-0.24189562943618467,-0.24420008943354982
13.01.2011,29.19,28.9,29.23,28.78,11358300,28.9,-0.28876598132569264,-0.2606912545359365,-0.28876598132569264,-0.29214672384495194,-0.2638374599347608
14.01.2011,28.83,28.85,29.05,28.73,5894200,28.85,-0.29386168486715103,-0.2973615576149789,-0.29386168486715103,-0.3102371178321081,-0.269005189014027
18.01.2011,28.73,28.72,28.94,28.18,8918200,28.72,-0.30711051407494383,-0.3075477529147126,-0.30711051407494383,-0.32129235860203686,-0.32585020888595434
19.01.2011,28.53,28.24,28.64,28.14,12667700,28.24,-0.35602926807294727,-0.32792014351418036,-0.35602926807294727,-0.35144301524729726,-0.32998439214936715
20.01.2011,28.02,28.08,28.16,27.39,15844900,28.08,-0.3723355194056151,-0.3798697395428235,-0.3723355194056151,-0.3996840658797139,-0.4075003283383588
21.01.2011,28.19,28.12,28.58,27.8,9548500,28.12,-0.36825895657244784,-0.3625532075332757,-0.36825895657244784,-0.35747314657634954,-0.3651249498883767
24.01.2011,28.48,28.42,28.59,27.96,12202800,28.42,-0.3376847353236957,-0.3330132411640474,-0.3376847353236957,-0.35646812468817407,-0.3485882168347251
25.01.2011,28.58,29.0,29.07,28.48,12318700,29.0,-0.2785745742427751,-0.3228270458643137,-0.2785745742427751,-0.30822707405575744,-0.29484383441035755
26.01.2011,29.26,28.61,29.38,28.59,11534600,28.61,-0.3183210618661529,-0.2535609178261227,-0.3183210618661529,-0.2770713955223219,-0.28347483043597216
27.01.2011,28.85,29.2,29.41,28.72,13950000,29.2,-0.25819176007694045,-0.29532431855503183,-0.25819176007694045,-0.27405632985779577,-0.2700387348298804
28.01.2011,28.7,27.64,28.71,27.19,37134600,27.64,-0.4171777105704513,-0.3106036115046329,-0.4171777105704513,-0.34440786203006984,-0.4281712446554232
31.01.2011,27.86,27.55,27.98,27.1,13954800,27.55,-0.42634997694507687,-0.3961676520223978,-0.42634997694507687,-0.41777445986687006,-0.4374731569981022
01.02.2011,27.89,27.52,28.11,27.28,28091600,27.52,-0.42940739906995223,-0.3931117934324775,-0.42940739906995223,-0.4047091753205907,-0.4188693323127442
02.02.2011,27.53,26.94,27.61,26.87,17434700,26.94,-0.4885175601508728,-0.4297820965115195,-0.4885175601508728,-0.45496026972935794,-0.46124471076272633
03.02.2011,27.16,27.23,27.23,26.53,19350000,27.23,-0.4589624796104125,-0.4674710191205351,-0.4589624796104125,-0.49315110148002095,-0.4963852685017359
04.02.2011,27.37,27.63,27.74,27.1,11115000,27.63,-0.4181968512787432,-0.4460800089910938,-0.4181968512787432,-0.44189498518307857,-0.4374731569981022
