Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,459.16,459.16,459.16,459.16,0,459.16,-1.40012912872689,-1.4006371612326112,-1.40012912872689,-1.4182600154322513,-1.3832120395192575
02.01.2004,459.16,459.16,459.16,459.16,0,459.16,-1.40012912872689,-1.4006371612326112,-1.40012912872689,-1.4182600154322513,-1.3832120395192575
05.01.2004,471.7,469.77,474.6,466.88,13662000,469.77,-1.3586560540211934,-1.351669430422778,-1.3586560540211934,-1.3584373341518774,-1.3527759767047083
06.01.2004,467.85,458.2,467.85,457.23,27043200,458.2,-1.4038816406701011,-1.3667033828643933,-1.4038816406701011,-1.3845903845820926,-1.390821055222895
07.01.2004,459.16,447.59,460.13,440.84,40143600,447.59,-1.445354715375798,-1.4006371612326112,-1.445354715375798,-1.4145017252222798,-1.4554385512760644
08.01.2004,448.55,448.55,454.34,447.59,29000400,448.55,-1.4416022034325868,-1.4420683912080763,-1.4416022034325868,-1.4369352307024201,-1.4288267087892497
09.01.2004,458.2,463.99,469.78,458.2,51379200,463.99,-1.3812493030126096,-1.404385887036235,-1.3812493030126096,-1.3771125494220462,-1.3869968348951602
12.01.2004,463.99,463.99,463.99,463.99,0,463.99,-1.3812493030126096,-1.38177638453313,-1.3812493030126096,-1.3995460549021863,-1.364169787784248
13.01.2004,459.16,447.59,459.16,444.69,35498400,447.59,-1.445354715375798,-1.4006371612326112,-1.445354715375798,-1.4182600154322513,-1.440259944820622
14.01.2004,448.55,441.8,449.52,441.8,36591600,441.8,-1.4679870530332892,-1.4420683912080763,-1.4679870530332892,-1.4556104459725887,-1.4516537559001617
15.01.2004,449.52,429.26,452.41,428.3,62707200,429.26,-1.5170042402914834,-1.4382806161773318,-1.5170042402914834,-1.4444130658624668,-1.504877440873791
16.01.2004,438.91,446.62,446.62,436.98,51723600,446.62,-1.4491463159850841,-1.4797118461527967,-1.4491463159850841,-1.466846571342607,-1.4706565826833389
19.01.2004,445.66,450.48,454.34,439.87,33132000,450.48,-1.4340580908800897,-1.4533536178460682,-1.4340580908800897,-1.4369352307024201,-1.4592627716037991
20.01.2004,454.34,461.09,464.95,451.45,31323600,461.09,-1.3925850161743931,-1.4194588887049715,-1.3925850161743931,-1.3958265099521112,-1.413608677381975
21.01.2004,451.45,457.23,458.2,446.62,31177200,457.23,-1.4076732412793873,-1.4307441153429634,-1.4076732412793873,-1.4219795603823266,-1.4326509291169844
22.01.2004,458.2,452.41,460.13,450.48,21862800,452.41,-1.4265139783275926,-1.404385887036235,-1.4265139783275926,-1.4145017252222798,-1.4174328977097097
23.01.2004,457.23,442.77,457.23,439.87,51693600,442.77,-1.4641954524240033,-1.4081736620669796,-1.4641954524240033,-1.4257378505922982,-1.4592627716037991
26.01.2004,437.94,434.08,439.87,429.26,50353200,434.08,-1.498163503243278,-1.4834996211835414,-1.498163503243278,-1.4929996217728223,-1.5010926454978886
27.01.2004,443.73,432.15,444.69,432.15,37448400,432.15,-1.5057076157957752,-1.4608901186804364,-1.5057076157957752,-1.4743244065026537,-1.4896988344183486
28.01.2004,431.19,427.33,431.19,425.4,32457600,427.33,-1.5245483528439805,-1.50985784949027,-1.5245483528439805,-1.5266305073630846,-1.5163106769051633
29.01.2004,424.44,422.51,429.26,414.79,43424400,422.51,-1.5433890898921858,-1.5362160777969984,-1.5433890898921858,-1.5341083425231312,-1.5581405507992525
30.01.2004,422.51,419.61,425.4,415.76,41451600,419.61,-1.554724803053969,-1.5437525786313666,-1.554724803053969,-1.549064012843225,-1.5543163304715177
02.02.2004,427.33,426.37,430.23,426.37,36006000,426.37,-1.5283008647871914,-1.5249308511590065,-1.5283008647871914,-1.5303500523131595,-1.5124864565774283
03.02.2004,423.47,429.26,431.19,422.51,36774000,429.26,-1.5170042402914834,-1.5400038528277429,-1.5170042402914834,-1.5266305073630846,-1.5277044879847033
04.02.2004,422.51,420.58,426.37,417.68,45234000,420.58,-1.550933202444683,-1.5437525786313666,-1.550933202444683,-1.5453057226332532,-1.5467467397197128
05.02.2004,424.44,427.33,428.3,421.54,30536400,427.33,-1.5245483528439805,-1.5362160777969984,-1.5245483528439805,-1.5378278874732063,-1.5315287083124378
06.02.2004,425.4,429.26,432.15,423.47,31700400,429.26,-1.5170042402914834,-1.532467351993375,-1.5170042402914834,-1.5229109624130095,-1.5239196926088006
09.02.2004,432.15,427.33,433.12,424.44,26930400,427.33,-1.5245483528439805,-1.5061091236866464,-1.5245483528439805,-1.5191526722030377,-1.5200954722810658
10.02.2004,432.15,433.12,435.05,431.19,22219200,433.12,-1.501916015186489,-1.5061091236866464,-1.501916015186489,-1.5116748370429909,-1.493483629794251
11.02.2004,433.12,433.12,433.12,433.12,0,433.12,-1.501916015186489,-1.5023213486559015,-1.501916015186489,-1.5191526722030377,-1.4858746140906138
12.02.2004,440.84,434.08,442.77,434.08,28969200,434.08,-1.498163503243278,-1.4721753453184285,-1.498163503243278,-1.4817634964028041,-1.4820898187147113
13.02.2004,430.23,432.15,432.15,427.33,29761200,432.15,-1.5057076157957752,-1.5136065752938934,-1.5057076157957752,-1.5229109624130095,-1.508701661201526
16.02.2004,433.12,432.15,439.87,431.19,28374000,432.15,-1.5057076157957752,-1.5023213486559015,-1.5057076157957752,-1.4929996217728223,-1.493483629794251
17.02.2004,434.08,441.8,442.77,434.08,19128000,441.8,-1.4679870530332892,-1.498572622852278,-1.4679870530332892,-1.4817634964028041,-1.4820898187147113
18.02.2004,440.84,436.98,441.8,436.98,19222800,436.98,-1.4868277900814946,-1.4721753453184285,-1.4868277900814946,-1.4855217866127757,-1.4706565826833389
19.02.2004,441.8,445.66,448.55,439.87,30894000,445.66,-1.452898827928295,-1.4684266195148048,-1.452898827928295,-1.4593687361825602,-1.4592627716037991
20.02.2004,450.48,449.52,451.45,446.62,26796000,449.52,-1.4378106028233009,-1.434531890373708,-1.4378106028233009,-1.4481326108125419,-1.4326509291169844
23.02.2004,450.48,463.02,463.99,450.48,59706000,463.02,-1.385040903621896,-1.434531890373708,-1.385040903621896,-1.3995460549021863,-1.4174328977097097
24.02.2004,454.34,453.38,458.2,450.48,29550000,453.38,-1.4227223777183065,-1.4194588887049715,-1.4227223777183065,-1.4219795603823266,-1.4174328977097097
25.02.2004,447.59,441.8,448.55,439.87,23940000,441.8,-1.4679870530332892,-1.4458171170117,-1.4679870530332892,-1.4593687361825602,-1.4592627716037991
26.02.2004,451.45,450.48,454.34,448.55,26041200,450.48,-1.4340580908800897,-1.4307441153429634,-1.4340580908800897,-1.4369352307024201,-1.425041913413347
27.02.2004,453.38,459.16,463.02,451.45,38217600,459.16,-1.40012912872689,-1.423207614508595,-1.40012912872689,-1.403304345112158,-1.413608677381975
01.03.2004,454.34,460.13,463.02,454.34,39078000,460.13,-1.396337528117604,-1.4194588887049715,-1.396337528117604,-1.403304345112158,-1.4022148663024352
02.03.2004,463.99,470.74,471.7,462.06,49046400,470.74,-1.3548644534119072,-1.38177638453313,-1.3548644534119072,-1.3696734595218958,-1.3717788034878855
03.03.2004,470.74,471.7,480.39,467.85,50462400,471.7,-1.3511119414686963,-1.3554181562264016,-1.3511119414686963,-1.3360038286717373,-1.3489517563769733
04.03.2004,471.7,470.74,480.39,469.78,32955600,470.74,-1.3548644534119072,-1.351669430422778,-1.3548644534119072,-1.3360038286717373,-1.341342740673336
05.03.2004,480.39,489.07,489.07,479.42,42602400,489.07,-1.283214928496222,-1.3177356520545602,-1.283214928496222,-1.302372943081475,-1.3033370871069814
08.03.2004,487.14,485.21,495.82,485.21,43029600,485.21,-1.2983031536012162,-1.2913774237478317,-1.2983031536012162,-1.2762198926512598,-1.2805100399960694
09.03.2004,485.21,490.03,490.03,481.35,30031200,490.03,-1.279462416553011,-1.2989139245822001,-1.279462416553011,-1.2986533981314001,-1.2957280714033441
10.03.2004,482.32,480.39,483.28,476.53,26013600,480.39,-1.3171438906494215,-1.3101991512201918,-1.3171438906494215,-1.3248064485616153,-1.3147308981865216
11.03.2004,471.7,463.02,472.67,462.06,46653600,463.02,-1.385040903621896,-1.351669430422778,-1.385040903621896,-1.365915169311924,-1.3717788034878855
12.03.2004,456.27,461.09,463.99,454.34,76270800,461.09,-1.3925850161743931,-1.4119223878706033,-1.3925850161743931,-1.3995460549021863,-1.4022148663024352
15.03.2004,465.92,463.02,467.85,463.02,17508000,463.02,-1.385040903621896,-1.3742398836987617,-1.385040903621896,-1.3845903845820926,-1.367994008111983
16.03.2004,455.31,453.38,458.2,451.45,26284800,453.38,-1.4227223777183065,-1.4156711136742268,-1.4227223777183065,-1.4219795603823266,-1.413608677381975
17.03.2004,455.31,463.02,468.81,454.34,28314000,463.02,-1.385040903621896,-1.4156711136742268,-1.385040903621896,-1.3808708396320177,-1.4022148663024352
18.03.2004,472.67,461.09,474.6,459.16,21715200,461.09,-1.3925850161743931,-1.3478816553920332,-1.3925850161743931,-1.3584373341518774,-1.3832120395192575
19.03.2004,456.27,462.06,468.81,456.27,21050400,462.06,-1.388793415565107,-1.4119223878706033,-1.388793415565107,-1.3808708396320177,-1.3946058505987977
22.03.2004,453.38,458.2,462.06,452.41,19857600,458.2,-1.4038816406701011,-1.423207614508595,-1.4038816406701011,-1.407023890062233,-1.4098238820060722
23.03.2004,448.55,457.23,462.06,448.55,28304400,457.23,-1.4076732412793873,-1.4420683912080763,-1.4076732412793873,-1.407023890062233,-1.425041913413347
