Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,32159.09,32159.09,32159.09,32159.09,0,32159.09,-1.4695526901685478,-1.4685967363122359,-1.4695526901685478,-1.4774883551455966,-1.4597776163455543
02.01.2004,32668.53,33942.16,34005.84,32541.17,1406700,33942.16,-1.4376765921417074,-1.4594986762847166,-1.4376765921417074,-1.4449266990379661,-1.4528627269869834
05.01.2004,33814.81,34069.53,34515.3,33560.08,981000,34069.53,-1.4353995875341046,-1.4390273268650697,-1.4353995875341046,-1.4359439664966944,-1.434422479090361
06.01.2004,34069.54,34451.62,34706.35,33560.09,1346700,34451.62,-1.4285689312530414,-1.4344781182618782,-1.4285689312530414,-1.4325753977140423,-1.4344222981102166
07.01.2004,34069.53,33114.31,34324.26,33114.31,1293300,33114.31,-1.452476138851326,-1.4344782968513101,-1.452476138851326,-1.4393123589606454,-1.4424900309888382
08.01.2004,33432.72,32923.27,33878.49,32923.27,1813600,32923.27,-1.4558913776064215,-1.4458510504751414,-1.4558913776064215,-1.4471721176952328,-1.4459474756681234
09.01.2004,33241.67,32604.86,33432.72,32350.13,2426000,32604.86,-1.4615836209691195,-1.449263001574893,-1.4615836209691195,-1.4550318764298196,-1.4563201716662688
12.01.2004,32604.87,33050.64,34005.86,32413.82,1671200,33050.64,-1.4536143729988182,-1.4606355766092924,-1.4536143729988182,-1.4449263464005642,-1.4551675091263627
13.01.2004,33177.99,33241.68,33496.4,32413.82,1242200,33241.68,-1.4501991342437233,-1.450400259078333,-1.4501991342437233,-1.4539090789418359,-1.4551675091263627
14.01.2004,33305.36,34133.22,34451.63,33050.64,1613800,34133.22,-1.4342609958448667,-1.448125565482021,-1.4342609958448667,-1.4370665876659772,-1.4436423315684555
15.01.2004,33751.12,33177.99,34069.53,33177.99,1207800,33177.99,-1.4513377259329612,-1.4401647629579417,-1.4513377259329612,-1.4438037252312814,-1.4413375494290763
16.01.2004,33560.09,33369.04,33942.18,33178.0,783000,33369.04,-1.4479223084069928,-1.4435763568788296,-1.4479223084069928,-1.4460491438885479,-1.441337368448932
19.01.2004,33814.81,34069.53,34515.3,33623.76,1167600,34069.53,-1.4353995875341046,-1.4390273268650697,-1.4353995875341046,-1.4359439664966944,-1.4332699975305994
20.01.2004,33751.12,34069.53,34069.53,33496.4,995500,34069.53,-1.4353995875341046,-1.4401647629579417,-1.4353995875341046,-1.4438037252312814,-1.4355749606501227
21.01.2004,34069.53,34069.53,34069.53,34069.53,0,34069.53,-1.4353995875341046,-1.4344782968513101,-1.4353995875341046,-1.4438037252312814,-1.425202445632122
22.01.2004,34069.53,34069.53,34069.53,34069.53,0,34069.53,-1.4353995875341046,-1.4344782968513101,-1.4353995875341046,-1.4438037252312814,-1.425202445632122
23.01.2004,34069.53,34069.53,34069.53,34069.53,0,34069.53,-1.4353995875341046,-1.4344782968513101,-1.4353995875341046,-1.4438037252312814,-1.425202445632122
26.01.2004,34515.3,34069.53,34515.3,33623.76,1170400,34069.53,-1.4353995875341046,-1.4265173157377986,-1.4353995875341046,-1.4359439664966944,-1.4332699975305994
27.01.2004,34387.94,33432.71,34387.94,33241.67,949900,33432.71,-1.446784074259501,-1.4287918307446785,-1.446784074259501,-1.4381895614726619,-1.4401850678693144
28.01.2004,33432.71,33942.16,33942.16,33177.98,1204000,33942.16,-1.4376765921417074,-1.4458512290645733,-1.4376765921417074,-1.4460494965259498,-1.4413377304092208
