Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
10.06.2004,6.33,6.12,6.34,6.03,35097600,6.12,-1.2268269051924507,-1.2189805420314022,-1.2268269051924507,-1.225430085989059,-1.2223871638390076
14.06.2004,6.08,6.07,6.13,6.05,2313600,6.07,-1.228733957800709,-1.2285188460057963,-1.228733957800709,-1.2333647004252437,-1.2216169063135913
15.06.2004,6.07,6.25,6.25,6.07,2499600,6.25,-1.221868568410979,-1.2289003781647718,-1.221868568410979,-1.2288306350331382,-1.2208466487881753
16.06.2004,6.25,6.33,6.37,6.25,2810100,6.33,-1.2188172842377656,-1.222032799303208,-1.2188172842377656,-1.2242965696410326,-1.21391433105943
17.06.2004,6.35,6.35,6.37,6.27,1390200,6.35,-1.2180544631944623,-1.2182174777134505,-1.2180544631944623,-1.2242965696410326,-1.2131440735340138
18.06.2004,6.35,6.34,6.4,6.33,708300,6.34,-1.218435873716114,-1.2182174777134505,-1.218435873716114,-1.2231630532930062,-1.2108333009577654
21.06.2004,6.33,6.36,6.37,6.3,508500,6.36,-1.2176730526728106,-1.2189805420314022,-1.2176730526728106,-1.2242965696410326,-1.2119886872458896
22.06.2004,6.33,6.35,6.36,6.3,1125900,6.35,-1.2180544631944623,-1.2189805420314022,-1.2180544631944623,-1.224674408423708,-1.2119886872458896
23.06.2004,6.28,6.3,6.3,6.16,1033500,6.3,-1.2199615158027206,-1.2208882028262809,-1.2199615158027206,-1.226941441119761,-1.2173804899238025
24.06.2004,6.27,6.33,6.35,6.25,857700,6.33,-1.2188172842377656,-1.2212697349852566,-1.2188172842377656,-1.2250522472063834,-1.21391433105943
25.06.2004,6.33,6.33,6.35,6.25,809100,6.33,-1.2188172842377656,-1.2189805420314022,-1.2188172842377656,-1.2250522472063834,-1.21391433105943
28.06.2004,6.25,6.33,6.36,6.22,1184400,6.33,-1.2188172842377656,-1.222032799303208,-1.2188172842377656,-1.224674408423708,-1.2150697173475542
29.06.2004,6.33,6.37,6.37,6.33,608700,6.37,-1.2172916421511588,-1.2189805420314022,-1.2172916421511588,-1.2242965696410326,-1.2108333009577654
30.06.2004,6.35,6.37,6.4,6.35,552600,6.37,-1.2172916421511588,-1.2182174777134505,-1.2172916421511588,-1.2231630532930062,-1.2100630434323492
01.07.2004,6.35,6.37,6.38,6.33,380100,6.37,-1.2172916421511588,-1.2182174777134505,-1.2172916421511588,-1.223918730858357,-1.2108333009577654
02.07.2004,6.35,6.38,6.38,6.27,246600,6.38,-1.2169102316295073,-1.2182174777134505,-1.2169102316295073,-1.223918730858357,-1.2131440735340138
06.07.2004,6.35,6.36,6.37,6.33,137100,6.36,-1.2176730526728106,-1.2182174777134505,-1.2176730526728106,-1.2242965696410326,-1.2108333009577654
07.07.2004,6.34,6.35,6.35,6.33,181200,6.35,-1.2180544631944623,-1.2185990098724262,-1.2180544631944623,-1.2250522472063834,-1.2108333009577654
08.07.2004,6.36,6.35,6.36,6.34,190500,6.35,-1.2180544631944623,-1.2178359455544747,-1.2180544631944623,-1.224674408423708,-1.2104481721950573
09.07.2004,6.35,6.33,6.36,6.33,226500,6.33,-1.2188172842377656,-1.2182174777134505,-1.2188172842377656,-1.224674408423708,-1.2108333009577654
12.07.2004,6.33,6.3,6.35,6.3,176700,6.3,-1.2199615158027206,-1.2189805420314022,-1.2199615158027206,-1.2250522472063834,-1.2119886872458896
13.07.2004,6.28,6.35,6.35,6.26,578100,6.35,-1.2180544631944623,-1.2208882028262809,-1.2180544631944623,-1.2250522472063834,-1.213529202296722
14.07.2004,6.34,6.37,6.37,6.32,303600,6.37,-1.2172916421511588,-1.2185990098724262,-1.2172916421511588,-1.2242965696410326,-1.2112184297204733
15.07.2004,6.34,6.35,6.35,6.3,312900,6.35,-1.2180544631944623,-1.2185990098724262,-1.2180544631944623,-1.2250522472063834,-1.2119886872458896
16.07.2004,6.34,6.3,6.36,6.3,268800,6.3,-1.2199615158027206,-1.2185990098724262,-1.2199615158027206,-1.224674408423708,-1.2119886872458896
19.07.2004,6.3,6.33,6.33,6.29,212700,6.33,-1.2188172842377656,-1.2201251385083294,-1.2188172842377656,-1.2258079247717344,-1.2123738160085977
20.07.2004,6.33,6.33,6.35,6.29,505200,6.33,-1.2188172842377656,-1.2189805420314022,-1.2188172842377656,-1.2250522472063834,-1.2123738160085977
21.07.2004,6.33,6.34,6.35,6.32,165000,6.34,-1.218435873716114,-1.2189805420314022,-1.218435873716114,-1.2250522472063834,-1.2112184297204733
22.07.2004,6.33,6.41,6.41,6.32,231000,6.41,-1.2157660000645523,-1.2189805420314022,-1.2157660000645523,-1.2227852145103304,-1.2112184297204733
23.07.2004,6.25,6.3,6.3,6.16,1555800,6.3,-1.2199615158027206,-1.222032799303208,-1.2199615158027206,-1.226941441119761,-1.2173804899238025
26.07.2004,6.22,6.26,6.26,6.21,420900,6.26,-1.2214871578893274,-1.2231773957801355,-1.2214871578893274,-1.2284527962504628,-1.2154548461102623
27.07.2004,6.26,6.26,6.28,6.26,113700,6.26,-1.2214871578893274,-1.2216512671442326,-1.2214871578893274,-1.2276971186851118,-1.213529202296722
28.07.2004,6.25,6.29,6.3,6.23,131100,6.29,-1.2203429263243724,-1.222032799303208,-1.2203429263243724,-1.226941441119761,-1.214684588584846
29.07.2004,6.26,6.3,6.3,6.26,91800,6.3,-1.2199615158027206,-1.2216512671442326,-1.2199615158027206,-1.226941441119761,-1.213529202296722
30.07.2004,6.3,6.31,6.35,6.28,1072200,6.31,-1.219580105281069,-1.2201251385083294,-1.219580105281069,-1.2250522472063834,-1.2127589447713056
02.08.2004,6.3,6.34,6.35,6.28,203100,6.34,-1.218435873716114,-1.2201251385083294,-1.218435873716114,-1.2250522472063834,-1.2127589447713056
03.08.2004,6.34,6.39,6.41,6.33,222900,6.39,-1.2165288211078555,-1.2185990098724262,-1.2165288211078555,-1.2227852145103304,-1.2108333009577654
04.08.2004,6.35,6.35,6.37,6.33,386400,6.35,-1.2180544631944623,-1.2182174777134505,-1.2180544631944623,-1.2242965696410326,-1.2108333009577654
05.08.2004,6.5,6.57,6.67,6.39,1145100,6.57,-1.2096634317181256,-1.212494495328814,-1.2096634317181256,-1.2129614061607683,-1.2085225283815169
06.08.2004,6.53,6.47,6.53,6.43,144900,6.47,-1.2134775369346422,-1.2113498988518867,-1.2134775369346422,-1.2182511491182249,-1.2069820133306846
09.08.2004,6.44,6.36,6.44,6.36,469800,6.36,-1.2176730526728106,-1.2147836882826686,-1.2176730526728106,-1.2216516981623042,-1.2096779146696413
10.08.2004,6.33,6.43,6.48,6.33,328800,6.43,-1.215003179021249,-1.2189805420314022,-1.215003179021249,-1.2201403430316025,-1.2108333009577654
