Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
29.10.2004,5.36,5.36,5.37,5.36,5951800,5.36,-1.3337909671381296,-1.3333662729373634,-1.3337909671381296,-1.3356287996402483,-1.3308552004300769
01.11.2004,5.36,5.36,5.37,5.36,764400,5.36,-1.3337909671381296,-1.3333662729373634,-1.3337909671381296,-1.3356287996402483,-1.3308552004300769
02.11.2004,5.36,5.36,5.37,5.36,950100,5.36,-1.3337909671381296,-1.3333662729373634,-1.3337909671381296,-1.3356287996402483,-1.3308552004300769
03.11.2004,5.37,5.43,5.45,5.37,433600,5.43,-1.3321621238117922,-1.3331336116043864,-1.3321621238117922,-1.3337866567361836,-1.3306199333391684
04.11.2004,5.44,5.39,5.44,5.38,311200,5.39,-1.3330928914268423,-1.3315049822735467,-1.3330928914268423,-1.3340169245991917,-1.3303846662482597
05.11.2004,5.38,5.4,5.41,5.36,391800,5.4,-1.3328601995230798,-1.3329009502714093,-1.3328601995230798,-1.3347077281882158,-1.3308552004300769
08.11.2004,5.42,5.37,5.42,5.36,91100,5.37,-1.3335582752343673,-1.3319703049395009,-1.3335582752343673,-1.3344774603252079,-1.3308552004300769
09.11.2004,5.36,5.37,5.39,5.36,97600,5.37,-1.3335582752343673,-1.3333662729373634,-1.3335582752343673,-1.335168263914232,-1.3308552004300769
10.11.2004,5.36,5.37,5.38,5.36,177500,5.37,-1.3335582752343673,-1.3333662729373634,-1.3335582752343673,-1.33539853177724,-1.3308552004300769
11.11.2004,5.36,5.37,5.37,5.36,92700,5.37,-1.3335582752343673,-1.3333662729373634,-1.3335582752343673,-1.3356287996402483,-1.3308552004300769
12.11.2004,5.37,5.49,5.53,5.37,354900,5.49,-1.3307659723892173,-1.3331336116043864,-1.3307659723892173,-1.331944513832119,-1.3306199333391684
15.11.2004,5.5,5.53,5.56,5.45,268100,5.53,-1.3298352047741675,-1.3301090142756842,-1.3298352047741675,-1.3312537102430948,-1.3287377966118996
16.11.2004,5.58,5.58,5.65,5.5,252500,5.58,-1.3286717452553551,-1.3282477236118673,-1.3286717452553551,-1.3291812994760224,-1.327561461157357
17.11.2004,5.61,5.59,5.63,5.52,425000,5.59,-1.3284390533515926,-1.327549739612936,-1.3284390533515926,-1.3296418352020383,-1.3270909269755398
18.11.2004,5.58,5.68,5.69,5.58,179700,5.68,-1.3263448262177302,-1.3282477236118673,-1.3263448262177302,-1.32826022802399,-1.3256793244300884
19.11.2004,5.68,5.68,5.69,5.58,202600,5.68,-1.3263448262177302,-1.3259211102820962,-1.3263448262177302,-1.32826022802399,-1.3256793244300884
22.11.2004,5.63,5.64,5.69,5.59,105200,5.64,-1.3272755938327803,-1.3270844169469818,-1.3272755938327803,-1.32826022802399,-1.3254440573391797
23.11.2004,5.61,5.72,5.79,5.59,204200,5.72,-1.3254140586026804,-1.327549739612936,-1.3254140586026804,-1.3259575493939093,-1.3254440573391797
24.11.2004,5.7,5.71,5.79,5.67,141700,5.71,-1.3256467505064429,-1.3254557876161421,-1.3256467505064429,-1.3259575493939093,-1.3235619206119114
26.11.2004,5.54,5.65,5.71,5.54,42900,5.65,-1.3270429019290177,-1.3291783689437757,-1.3270429019290177,-1.3277996922979738,-1.3266203927937226
29.11.2004,5.65,5.66,5.7,5.61,174200,5.66,-1.3268102100252552,-1.3266190942810276,-1.3268102100252552,-1.3280299601609817,-1.3249735231573627
30.11.2004,5.66,5.7,5.74,5.65,148800,5.7,-1.3258794424102052,-1.3263864329480504,-1.3258794424102052,-1.3271088887089495,-1.3240324547937286
01.12.2004,5.66,5.87,5.88,5.66,162500,5.87,-1.3219236800462433,-1.3263864329480504,-1.3219236800462433,-1.3238851386268367,-1.3237971877028198
02.12.2004,5.83,5.79,5.84,5.71,212800,5.79,-1.323785215276343,-1.32243119028744,-1.323785215276343,-1.3248062100788691,-1.322620852248277
03.12.2004,5.76,5.87,5.9,5.76,138300,5.87,-1.3219236800462433,-1.3240598196182796,-1.3219236800462433,-1.3234246029008205,-1.3214445167937343
06.12.2004,5.88,5.86,5.89,5.83,126600,5.86,-1.3221563719500056,-1.3212678836225544,-1.3221563719500056,-1.3236548707638285,-1.3197976471573742
07.12.2004,5.83,5.81,5.9,5.81,116200,5.81,-1.323319831468818,-1.32243119028744,-1.323319831468818,-1.3234246029008205,-1.3202681813391914
08.12.2004,5.72,5.74,5.81,5.67,112300,5.74,-1.3249486747951553,-1.324990464950188,-1.3249486747951553,-1.3254970136678932,-1.3235619206119114
09.12.2004,5.74,5.74,5.79,5.58,139200,5.74,-1.3249486747951553,-1.3245251422842337,-1.3249486747951553,-1.3259575493939093,-1.3256793244300884
10.12.2004,5.7,5.79,5.83,5.61,186000,5.79,-1.323785215276343,-1.3254557876161421,-1.323785215276343,-1.325036477941877,-1.3249735231573627
13.12.2004,5.75,5.77,5.83,5.67,215700,5.77,-1.324250599083868,-1.3242924809512566,-1.324250599083868,-1.325036477941877,-1.3235619206119114
14.12.2004,5.72,5.76,5.85,5.71,169400,5.76,-1.3244832909876305,-1.324990464950188,-1.3244832909876305,-1.3245759422158607,-1.322620852248277
15.12.2004,5.81,5.83,5.87,5.76,200300,5.83,-1.3228544476612931,-1.322896512953394,-1.3228544476612931,-1.3241154064898448,-1.3214445167937343
16.12.2004,5.82,5.83,5.85,5.78,230000,5.83,-1.3228544476612931,-1.322663851620417,-1.3228544476612931,-1.3245759422158607,-1.3209739826119171
17.12.2004,5.83,5.99,6.05,5.78,887700,5.99,-1.3191313772010933,-1.32243119028744,-1.3191313772010933,-1.3199705849556995,-1.3209739826119171
20.12.2004,6.03,5.96,6.03,5.81,222800,5.96,-1.3198294529123809,-1.317777963627898,-1.3198294529123809,-1.3204311206817156,-1.3202681813391914
21.12.2004,5.99,6.01,6.03,5.94,82700,6.01,-1.3186659933935685,-1.3187086089598063,-1.3186659933935685,-1.3204311206817156,-1.3172097091573802
22.12.2004,5.99,6.12,6.12,5.9,194000,6.12,-1.3161063824521813,-1.3187086089598063,-1.3161063824521813,-1.318358709914643,-1.3181507775210144
23.12.2004,6.12,6.23,6.3,6.1,107900,6.23,-1.3135467715107938,-1.3156840116311042,-1.3135467715107938,-1.3142138883804977,-1.3134454357028431
27.12.2004,6.25,6.08,6.27,6.04,112500,6.08,-1.317037150067231,-1.3126594143024017,-1.317037150067231,-1.3149046919695218,-1.3148570382482945
28.12.2004,6.11,6.04,6.15,6.02,111100,6.04,-1.317967917682281,-1.3159166729640812,-1.317967917682281,-1.3176679063256187,-1.3153275724301117
29.12.2004,5.85,6.0,6.09,5.85,109400,6.0,-1.3188986852973308,-1.3219658676214856,-1.3188986852973308,-1.3190495135036673,-1.319327112975557
30.12.2004,6.02,6.01,6.13,5.97,48900,6.01,-1.3186659933935685,-1.318010624960875,-1.3186659933935685,-1.3181284420516348,-1.3165039078846543
31.12.2004,6.01,6.09,6.19,6.01,55500,6.09,-1.3168044581634686,-1.3182432862938522,-1.3168044581634686,-1.3167468348735865,-1.3155628395210202
03.01.2005,6.12,6.14,6.15,6.05,189100,6.14,-1.3156409986446562,-1.3156840116311042,-1.3156409986446562,-1.3176679063256187,-1.314621771157386
04.01.2005,6.15,6.17,6.22,6.12,154400,6.17,-1.3149429229333687,-1.3149860276321728,-1.3149429229333687,-1.3160560312845624,-1.312974901521026
05.01.2005,6.15,5.97,6.17,5.65,302600,5.97,-1.3195967610086183,-1.3149860276321728,-1.3195967610086183,-1.3172073705996026,-1.3240324547937286
06.01.2005,5.92,6.05,6.17,5.88,93300,6.05,-1.3177352257785186,-1.320337238290646,-1.3177352257785186,-1.3172073705996026,-1.3186213117028314
07.01.2005,6.07,5.99,6.07,5.91,124300,5.99,-1.3191313772010933,-1.3168473182959894,-1.3191313772010933,-1.3195100492296834,-1.317915510430106
10.01.2005,5.97,6.01,6.21,5.92,79800,6.01,-1.3186659933935685,-1.3191739316257605,-1.3186659933935685,-1.3162862991475703,-1.3176802433391972
11.01.2005,6.01,5.99,6.11,5.9,136400,5.99,-1.3191313772010933,-1.3182432862938522,-1.3191313772010933,-1.3185889777776512,-1.3181507775210144
12.01.2005,6.0,6.01,6.06,5.97,111600,6.01,-1.3186659933935685,-1.3184759476268293,-1.3186659933935685,-1.3197403170926914,-1.3165039078846543
13.01.2005,6.01,6.04,6.15,6.0,77500,6.04,-1.317967917682281,-1.3182432862938522,-1.317967917682281,-1.3176679063256187,-1.3157981066119286
14.01.2005,6.05,6.14,6.22,6.05,28100,6.14,-1.3156409986446562,-1.3173126409619438,-1.3156409986446562,-1.3160560312845624,-1.314621771157386
18.01.2005,6.1,6.19,6.24,5.98,185900,6.19,-1.3144775391258439,-1.3161493342970583,-1.3144775391258439,-1.315595495558546,-1.3162686407937456
19.01.2005,6.19,6.17,6.27,6.1,233600,6.17,-1.3149429229333687,-1.3140553823002643,-1.3149429229333687,-1.3149046919695218,-1.3134454357028431
20.01.2005,6.15,6.13,6.17,6.06,42100,6.13,-1.3158736905484185,-1.3149860276321728,-1.3158736905484185,-1.3172073705996026,-1.3143865040664773
21.01.2005,6.15,6.15,6.16,6.08,51400,6.15,-1.3154083067408937,-1.3149860276321728,-1.3154083067408937,-1.3174376384626105,-1.3139159698846603
24.01.2005,6.19,6.11,6.21,6.08,48000,6.11,-1.3163390743559436,-1.3140553823002643,-1.3163390743559436,-1.3162862991475703,-1.3139159698846603
25.01.2005,6.1,6.1,6.17,6.1,61100,6.1,-1.316571766259706,-1.3161493342970583,-1.316571766259706,-1.3172073705996026,-1.3134454357028431
26.01.2005,6.12,6.2,6.25,6.12,105300,6.2,-1.3142448472220811,-1.3156840116311042,-1.3142448472220811,-1.315365227695538,-1.312974901521026
27.01.2005,6.16,6.19,6.24,6.13,106000,6.19,-1.3144775391258439,-1.3147533662991955,-1.3144775391258439,-1.315595495558546,-1.3127396344301172
28.01.2005,6.19,6.24,6.25,6.17,48100,6.24,-1.3133140796070313,-1.3140553823002643,-1.3133140796070313,-1.315365227695538,-1.311798566066483
31.01.2005,6.26,6.24,6.33,6.23,64800,6.24,-1.3133140796070313,-1.3124267529694247,-1.3133140796070313,-1.3135230847914736,-1.3103869635210317
01.02.2005,6.21,6.24,6.25,6.15,102900,6.24,-1.3133140796070313,-1.3135900596343102,-1.3133140796070313,-1.315365227695538,-1.3122691002483002
02.02.2005,6.26,6.3,6.34,6.25,118100,6.3,-1.3119179281844566,-1.3124267529694247,-1.3119179281844566,-1.3132928169284654,-1.3099164293392145
03.02.2005,6.31,6.32,6.35,6.26,51200,6.32,-1.3114525443769316,-1.3112634463045392,-1.3114525443769316,-1.3130625490654573,-1.309681162248306
04.02.2005,6.32,6.31,6.35,6.3,122900,6.31,-1.311685236280694,-1.3110307849715621,-1.311685236280694,-1.3130625490654573,-1.3087400938846718
07.02.2005,6.28,6.35,6.39,6.28,48300,6.35,-1.310754468665644,-1.3119614303034703,-1.310754468665644,-1.312141477613425,-1.3092106280664888
08.02.2005,6.3,6.33,6.37,6.3,251800,6.33,-1.311219852473169,-1.3114961076375162,-1.311219852473169,-1.3126020133394414,-1.3087400938846718
09.02.2005,6.34,6.26,6.35,6.25,122000,6.26,-1.3128486957995065,-1.310565462305608,-1.3128486957995065,-1.3130625490654573,-1.3099164293392145
10.02.2005,6.28,6.38,6.43,6.28,75400,6.38,-1.3100563929543565,-1.3119614303034703,-1.3100563929543565,-1.3112204061613928,-1.3092106280664888
11.02.2005,6.35,6.58,6.6,6.33,125800,6.58,-1.305402554879107,-1.3103328009726307,-1.305402554879107,-1.3073058524902557,-1.3080342926119461
14.02.2005,6.6,6.55,6.61,6.51,120600,6.55,-1.3061006305903946,-1.3045162676482032,-1.3061006305903946,-1.3070755846272475,-1.303799484975592
15.02.2005,6.56,6.54,6.6,6.46,89700,6.54,-1.306333322494157,-1.3054469129801116,-1.306333322494157,-1.3073058524902557,-1.3049758204301347
16.02.2005,6.51,6.55,6.58,6.51,115600,6.55,-1.3061006305903946,-1.3066102196449971,-1.3061006305903946,-1.3077663882162718,-1.303799484975592
17.02.2005,6.53,6.33,6.53,6.31,70000,6.33,-1.311219852473169,-1.306144896979043,-1.311219852473169,-1.3089177275313122,-1.3085048267937631
18.02.2005,6.35,6.33,6.37,6.29,78800,6.33,-1.311219852473169,-1.3103328009726307,-1.311219852473169,-1.3126020133394414,-1.3089753609755803
22.02.2005,6.3,6.27,6.32,6.19,47100,6.27,-1.312616003895744,-1.3114961076375162,-1.312616003895744,-1.3137533526544816,-1.311328031884666
23.02.2005,6.27,6.26,6.3,6.24,55400,6.26,-1.3128486957995065,-1.3121940916364474,-1.3128486957995065,-1.3142138883804977,-1.3101516964301232
24.02.2005,6.28,6.32,6.33,6.21,25100,6.32,-1.3114525443769316,-1.3119614303034703,-1.3114525443769316,-1.3135230847914736,-1.3108574977028489
25.02.2005,6.33,6.35,6.36,6.33,54000,6.35,-1.310754468665644,-1.310798123638585,-1.310754468665644,-1.3128322812024493,-1.3080342926119461
28.02.2005,6.33,6.48,6.53,6.33,66600,6.48,-1.3077294739167318,-1.310798123638585,-1.3077294739167318,-1.3089177275313122,-1.3080342926119461
01.03.2005,6.49,6.44,6.49,6.21,129900,6.44,-1.3086602415317818,-1.3070755423109512,-1.3086602415317818,-1.3098387989833444,-1.3108574977028489
02.03.2005,6.42,6.55,6.63,6.42,57100,6.55,-1.3061006305903946,-1.308704171641791,-1.3061006305903946,-1.3066150489012314,-1.3059168887937689
03.03.2005,6.58,6.51,6.67,6.46,21300,6.51,-1.3070313982054445,-1.3049815903141575,-1.3070313982054445,-1.3056939774491991,-1.3049758204301347
04.03.2005,6.53,6.55,6.62,6.51,181100,6.55,-1.3061006305903946,-1.306144896979043,-1.3061006305903946,-1.3068453167642395,-1.303799484975592
07.03.2005,6.55,6.56,6.64,6.53,43300,6.56,-1.3058679386866319,-1.305679574313089,-1.3058679386866319,-1.3063847810382234,-1.3033289507937746
08.03.2005,6.58,6.44,6.58,6.44,16200,6.44,-1.3086602415317818,-1.3049815903141575,-1.3086602415317818,-1.3077663882162718,-1.305446354611952
09.03.2005,6.39,6.44,6.5,6.33,46300,6.44,-1.3086602415317818,-1.3094021556407223,-1.3086602415317818,-1.3096085311203363,-1.3080342926119461
10.03.2005,6.44,6.47,6.51,6.42,61900,6.47,-1.3079621658204943,-1.308238848975837,-1.3079621658204943,-1.3093782632573283,-1.3059168887937689
11.03.2005,6.51,6.43,6.53,6.4,204300,6.43,-1.3088929334355441,-1.3066102196449971,-1.3088929334355441,-1.3089177275313122,-1.306387422975586
14.03.2005,6.45,6.73,6.73,6.43,23900,6.73,-1.3019121763226698,-1.3080061876428597,-1.3019121763226698,-1.3043123702711508,-1.3056816217028604
15.03.2005,6.75,6.52,6.81,6.43,111600,6.52,-1.306798706301682,-1.3010263476535469,-1.306798706301682,-1.302470227367086,-1.3056816217028604
16.03.2005,6.54,6.44,6.54,6.42,70400,6.44,-1.3086602415317818,-1.305912235646066,-1.3086602415317818,-1.308687459668304,-1.3059168887937689
17.03.2005,6.46,6.42,6.46,6.41,32200,6.42,-1.3091256253393067,-1.3077735263098826,-1.3091256253393067,-1.3105296025723685,-1.3061521558846776
18.03.2005,6.46,6.48,6.48,6.4,100100,6.48,-1.3077294739167318,-1.3077735263098826,-1.3077294739167318,-1.3100690668463526,-1.306387422975586
21.03.2005,6.55,6.5,6.57,6.39,112500,6.5,-1.3072640901092067,-1.305679574313089,-1.3072640901092067,-1.30799665607928,-1.3066226900664946
22.03.2005,6.48,6.4,6.51,6.32,142000,6.4,-1.3095910091468317,-1.3073082036439285,-1.3095910091468317,-1.3093782632573283,-1.3082695597028546
23.03.2005,6.4,6.55,6.55,6.34,60700,6.55,-1.3061006305903946,-1.3091694943077452,-1.3061006305903946,-1.308457191805296,-1.3077990255210374
24.03.2005,6.57,6.67,6.76,6.57,78200,6.67,-1.3033083277452446,-1.3052142516471346,-1.3033083277452446,-1.3036215666821265,-1.3023878824301405
28.03.2005,6.63,6.67,6.69,6.58,44300,6.67,-1.3033083277452446,-1.303818283649272,-1.3033083277452446,-1.305233441723183,-1.302152615339232
29.03.2005,6.68,6.67,6.71,6.63,52200,6.67,-1.3033083277452446,-1.3026549769843865,-1.3033083277452446,-1.3047729059971669,-1.3009762798846891
30.03.2005,6.71,6.75,6.75,6.5,62100,6.75,-1.3014467925151447,-1.3019569929854553,-1.3014467925151447,-1.3038518345451346,-1.3040347520665005
31.03.2005,6.74,6.61,6.77,6.55,41100,6.61,-1.3047044791678195,-1.301259008986524,-1.3047044791678195,-1.3033912988191183,-1.3028584166119577
01.04.2005,6.65,6.58,6.67,6.51,88600,6.58,-1.305402554879107,-1.3033529609833179,-1.305402554879107,-1.3056939774491991,-1.303799484975592
04.04.2005,6.6,6.58,6.61,6.37,68300,6.58,-1.305402554879107,-1.3045162676482032,-1.305402554879107,-1.3070755846272475,-1.3070932242483118
05.04.2005,6.58,6.51,6.59,6.46,127700,6.51,-1.3070313982054445,-1.3049815903141575,-1.3070313982054445,-1.3075361203532638,-1.3049758204301347
06.04.2005,6.55,6.71,6.71,6.53,65100,6.71,-1.3023775601301948,-1.305679574313089,-1.3023775601301948,-1.3047729059971669,-1.3033289507937746
07.04.2005,6.67,6.63,6.71,6.56,25200,6.63,-1.3042390953602945,-1.3028876383173635,-1.3042390953602945,-1.3047729059971669,-1.302623149521049
08.04.2005,6.68,6.45,6.68,6.45,46700,6.45,-1.308427549628019,-1.3026549769843865,-1.308427549628019,-1.3054637095861912,-1.3052110875210432
11.04.2005,6.47,6.41,6.49,6.39,67100,6.41,-1.3093583172430692,-1.3075408649769056,-1.3093583172430692,-1.3098387989833444,-1.3066226900664946
12.04.2005,6.42,6.62,6.62,6.29,49000,6.62,-1.3044717872640572,-1.308704171641791,-1.3044717872640572,-1.3068453167642395,-1.3089753609755803
13.04.2005,6.6,6.51,6.6,6.34,39600,6.51,-1.3070313982054445,-1.3045162676482032,-1.3070313982054445,-1.3073058524902557,-1.3077990255210374
14.04.2005,6.52,6.39,6.58,6.39,39100,6.39,-1.3098237010505942,-1.30637755831202,-1.3098237010505942,-1.3077663882162718,-1.3066226900664946
15.04.2005,6.39,6.36,6.44,6.35,64900,6.36,-1.3105217767618815,-1.3094021556407223,-1.3105217767618815,-1.3109901382983848,-1.307563758430129
18.04.2005,6.38,6.36,6.44,6.33,88300,6.36,-1.3105217767618815,-1.3096348169736993,-1.3105217767618815,-1.3109901382983848,-1.3080342926119461
19.04.2005,6.39,6.44,6.52,6.39,70600,6.44,-1.3086602415317818,-1.3094021556407223,-1.3086602415317818,-1.3091479953943201,-1.3066226900664946
20.04.2005,6.42,6.43,6.44,6.37,98700,6.43,-1.3088929334355441,-1.308704171641791,-1.3088929334355441,-1.3109901382983848,-1.3070932242483118
21.04.2005,6.44,6.47,6.55,6.39,106300,6.47,-1.3079621658204943,-1.308238848975837,-1.3079621658204943,-1.308457191805296,-1.3066226900664946
22.04.2005,6.48,6.44,6.48,6.37,77200,6.44,-1.3086602415317818,-1.3073082036439285,-1.3086602415317818,-1.3100690668463526,-1.3070932242483118
25.04.2005,6.46,6.49,6.54,6.4,212000,6.49,-1.3074967820129693,-1.3077735263098826,-1.3074967820129693,-1.308687459668304,-1.306387422975586
26.04.2005,6.47,6.45,6.51,6.39,39200,6.45,-1.308427549628019,-1.3075408649769056,-1.308427549628019,-1.3093782632573283,-1.3066226900664946
27.04.2005,6.44,6.51,6.54,6.42,73400,6.51,-1.3070313982054445,-1.308238848975837,-1.3070313982054445,-1.308687459668304,-1.3059168887937689
28.04.2005,6.5,6.48,6.6,6.44,39900,6.48,-1.3077294739167318,-1.3068428809779742,-1.3077294739167318,-1.3073058524902557,-1.305446354611952
29.04.2005,6.53,6.56,6.6,6.43,100200,6.56,-1.3058679386866319,-1.306144896979043,-1.3058679386866319,-1.3073058524902557,-1.3056816217028604
02.05.2005,6.58,6.62,6.65,6.58,72300,6.62,-1.3044717872640572,-1.3049815903141575,-1.3044717872640572,-1.3061545131752152,-1.302152615339232
03.05.2005,6.58,6.7,6.7,6.58,37200,6.7,-1.302610252033957,-1.3049815903141575,-1.302610252033957,-1.3050031738601748,-1.302152615339232
04.05.2005,6.7,6.85,6.87,6.67,216800,6.85,-1.29911987347752,-1.3021896543184321,-1.29911987347752,-1.301088620189038,-1.300035211521055
05.05.2005,6.87,6.85,6.96,6.82,61600,6.85,-1.29911987347752,-1.2982344116578217,-1.29911987347752,-1.299016209421965,-1.2965062051574263
06.05.2005,6.87,6.74,6.94,6.62,39700,6.74,-1.3016794844189072,-1.2982344116578217,-1.3016794844189072,-1.2994767451479814,-1.3012115469755978
09.05.2005,6.72,6.89,6.89,6.71,14600,6.89,-1.2981891058624702,-1.3017243316524783,-1.2981891058624702,-1.3006280844630216,-1.2990941431574206
10.05.2005,6.91,6.84,6.91,6.63,69000,6.84,-1.2993525653812825,-1.2973037663259133,-1.2993525653812825,-1.3001675487370055,-1.3009762798846891
11.05.2005,6.84,6.71,6.84,6.66,31500,6.71,-1.3023775601301948,-1.2989323956567531,-1.3023775601301948,-1.301779423778062,-1.3002704786119634
12.05.2005,6.69,6.67,6.71,6.59,74400,6.67,-1.3033083277452446,-1.3024223156514094,-1.3033083277452446,-1.3047729059971669,-1.3019173482483233
13.05.2005,6.67,6.58,6.67,6.53,80700,6.58,-1.305402554879107,-1.3028876383173635,-1.305402554879107,-1.3056939774491991,-1.3033289507937746
16.05.2005,6.58,6.69,6.76,6.34,83800,6.69,-1.3028429439377198,-1.3049815903141575,-1.3028429439377198,-1.3036215666821265,-1.3077990255210374
17.05.2005,6.78,6.65,6.78,6.61,150000,6.65,-1.3037737115527697,-1.3003283636546155,-1.3037737115527697,-1.3031610309561104,-1.3014468140665063
18.05.2005,6.68,6.71,6.78,6.67,117300,6.71,-1.3023775601301948,-1.3026549769843865,-1.3023775601301948,-1.3031610309561104,-1.300035211521055
19.05.2005,6.74,6.76,6.78,6.74,82100,6.76,-1.3012141006113824,-1.301259008986524,-1.3012141006113824,-1.3031610309561104,-1.2983883418846949
20.05.2005,6.78,6.89,6.9,6.76,47100,6.89,-1.2981891058624702,-1.3003283636546155,-1.2981891058624702,-1.3003978166000136,-1.297917807702878
23.05.2005,6.89,7.0,7.1,6.86,72200,7.0,-1.2956294949210827,-1.2977690889918674,-1.2956294949210827,-1.2957924593398522,-1.2955651367937921
24.05.2005,6.96,6.92,7.0,6.86,160200,6.92,-1.2974910301511826,-1.2961404596610278,-1.2974910301511826,-1.2980951379699328,-1.2955651367937921
25.05.2005,6.91,6.9,6.98,6.87,33300,6.9,-1.2979564139587076,-1.2973037663259133,-1.2979564139587076,-1.2985556736959492,-1.2953298697028837
26.05.2005,6.94,6.92,6.97,6.91,45400,6.92,-1.2974910301511826,-1.296605782326982,-1.2974910301511826,-1.298785941558957,-1.2943888013392495
27.05.2005,6.94,6.96,6.98,6.9,47000,6.96,-1.2965602625361328,-1.296605782326982,-1.2965602625361328,-1.2985556736959492,-1.294624068430158
31.05.2005,6.99,6.9,6.99,6.83,24600,6.9,-1.2979564139587076,-1.2954424756620964,-1.2979564139587076,-1.298325405832941,-1.2962709380665178
01.06.2005,6.92,6.93,6.98,6.89,44700,6.93,-1.29725833824742,-1.2970711049929362,-1.29725833824742,-1.2985556736959492,-1.2948593355210665
02.06.2005,6.92,6.97,7.03,6.85,38100,6.97,-1.2963275706323703,-1.2970711049929362,-1.2963275706323703,-1.2974043343809087,-1.2958004038847006
03.06.2005,7.01,6.97,7.09,6.92,43700,6.97,-1.2963275706323703,-1.2949771529961422,-1.2963275706323703,-1.2960227272028604,-1.2941535342483408
06.06.2005,7.0,6.99,7.07,6.89,83500,6.99,-1.2958621868248452,-1.2952098143291193,-1.2958621868248452,-1.2964832629288763,-1.2948593355210665
07.06.2005,7.02,7.01,7.06,6.94,90500,7.01,-1.2953968030173204,-1.2947444916631652,-1.2953968030173204,-1.2967135307918845,-1.2936830000665236
08.06.2005,7.06,7.26,7.31,7.06,74000,7.26,-1.2895795054232584,-1.2938138463312567,-1.2895795054232584,-1.2909568342166826,-1.2908597949756209
09.06.2005,7.24,7.36,7.39,7.1,148000,7.36,-1.2872525863856334,-1.289625942337669,-1.2872525863856334,-1.2891146913126181,-1.2899187266119865
10.06.2005,7.36,7.37,7.43,7.33,180700,7.37,-1.2870198944818712,-1.286834006341944,-1.2870198944818712,-1.288193619860586,-1.2845075835210897
13.06.2005,7.36,7.31,7.47,7.07,220700,7.31,-1.2884160459044458,-1.286834006341944,-1.2884160459044458,-1.2872725484085537,-1.2906245278847124
14.06.2005,7.26,7.34,7.47,7.24,62000,7.34,-1.2877179701931585,-1.289160619671715,-1.2877179701931585,-1.2872725484085537,-1.2866249873392666
15.06.2005,7.39,7.59,7.59,7.38,108800,7.59,-1.2819006725990965,-1.2861360223430125,-1.2819006725990965,-1.284509334052457,-1.2833312480665469
16.06.2005,7.56,7.6,7.72,7.53,70600,7.6,-1.281667980695334,-1.2821807796824018,-1.281667980695334,-1.2815158518333518,-1.2798022417029182
17.06.2005,7.59,7.52,7.6,7.42,189100,7.52,-1.2835295159254339,-1.2814827956834707,-1.2835295159254339,-1.2842790661894488,-1.2823901797029125
20.06.2005,7.49,7.47,7.53,7.42,27600,7.47,-1.2846929754442462,-1.2838094090132415,-1.2846929754442462,-1.285890941230505,-1.2823901797029125
21.06.2005,7.43,7.65,7.8,7.43,131900,7.65,-1.2805045211765216,-1.285205377011104,-1.2805045211765216,-1.2796737089292873,-1.282154912612004
22.06.2005,7.71,7.61,7.8,7.59,85500,7.61,-1.2814352887915714,-1.2786908596877453,-1.2814352887915714,-1.2796737089292873,-1.2783906391574669
23.06.2005,7.61,7.72,8.0,7.59,230100,7.72,-1.2788756778501842,-1.2810174730175163,-1.2788756778501842,-1.275068351669126,-1.2783906391574669
