Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,12.29,12.32,12.34,12.28,175800,12.32,-1.2682300874702548,-1.2693307789989972,-1.2682300874702548,-1.2735805846753943,-1.2619841498553253
05.01.2004,12.32,12.38,12.44,12.32,201100,12.38,-1.2657255914001098,-1.2680783944706875,-1.2657255914001098,-1.2694452245486734,-1.260298532996035
06.01.2004,12.39,12.4,12.44,12.3,137600,12.4,-1.2648907593767282,-1.2651561639046311,-1.2648907593767282,-1.2694452245486734,-1.2611413414256802
07.01.2004,12.37,12.41,12.46,12.36,177600,12.41,-1.2644733433650375,-1.2659910869235045,-1.2644733433650375,-1.268618152523329,-1.2586129161367448
08.01.2004,12.48,12.44,12.49,12.43,166900,12.44,-1.263221095329965,-1.261399010319702,-1.263221095329965,-1.2673775444853128,-1.2556630866329868
09.01.2004,12.41,12.38,12.44,12.32,140400,12.38,-1.2657255914001098,-1.264321240885758,-1.2657255914001098,-1.2694452245486734,-1.260298532996035
12.01.2004,12.39,12.46,12.47,12.35,151400,12.46,-1.2623862633065832,-1.2651561639046311,-1.2623862633065832,-1.268204616510657,-1.2590343203515673
13.01.2004,12.46,12.44,12.47,12.37,208800,12.44,-1.263221095329965,-1.262233933338575,-1.263221095329965,-1.268204616510657,-1.2581915119219222
14.01.2004,12.43,12.53,12.53,12.43,174700,12.53,-1.2594643512247476,-1.263486317866885,-1.2594643512247476,-1.2657234004346245,-1.2556630866329868
15.01.2004,12.53,12.59,12.59,12.42,128200,12.59,-1.2569598551546028,-1.259311702772519,-1.2569598551546028,-1.263242184358592,-1.2560844908478093
16.01.2004,12.61,12.49,12.63,12.49,192800,12.49,-1.261134015271511,-1.2559720106970262,-1.261134015271511,-1.2615880403079034,-1.2531346613440513
20.01.2004,12.53,12.56,12.56,12.45,191600,12.56,-1.2582121031896751,-1.259311702772519,-1.2582121031896751,-1.264482792396608,-1.2548202782033417
21.01.2004,12.56,12.5,12.56,12.48,135600,12.5,-1.2607165992598202,-1.2580593182442092,-1.2607165992598202,-1.264482792396608,-1.253556065558874
22.01.2004,12.51,12.53,12.6,12.48,210500,12.53,-1.2594643512247476,-1.2601466257913922,-1.2594643512247476,-1.2628286483459197,-1.253556065558874
23.01.2004,12.56,12.7,12.7,12.51,170800,12.7,-1.252368279026004,-1.2580593182442092,-1.252368279026004,-1.258693288219199,-1.2522918529144063
26.01.2004,12.74,13.02,13.02,12.67,169100,13.02,-1.2390109666518978,-1.2505450110743506,-1.2390109666518978,-1.2454601358136919,-1.245549385477245
27.01.2004,13.02,13.23,13.25,12.91,237700,13.23,-1.2302452304063909,-1.2388560888101263,-1.2302452304063909,-1.2359488075222338,-1.2354356843215035
28.01.2004,13.16,13.07,13.27,12.95,261700,13.07,-1.2369238865934438,-1.2330116276780139,-1.2369238865934438,-1.2351217354968895,-1.2337500674622133
29.01.2004,13.04,12.99,13.11,12.91,139300,12.99,-1.2402632146869703,-1.238021165791253,-1.2402632146869703,-1.241738311699643,-1.2354356843215035
30.01.2004,12.99,13.49,13.49,12.99,181700,13.49,-1.2193924141024297,-1.240108473338436,-1.2193924141024297,-1.2260239432181035,-1.2320644506029228
02.02.2004,12.95,13.37,13.46,12.95,373500,13.37,-1.2244014062427195,-1.2417783193761824,-1.2244014062427195,-1.2272645512561198,-1.2337500674622133
03.02.2004,13.3,12.91,13.3,12.79,472900,12.91,-1.2436025427804969,-1.2271671665459016,-1.2436025427804969,-1.2338811274588732,-1.2404925348993743
04.02.2004,12.83,12.75,12.85,12.67,349500,12.75,-1.2502811989675497,-1.2467878574894216,-1.2502811989675497,-1.2524902480291173,-1.245549385477245
05.02.2004,12.68,12.65,12.74,12.64,258600,12.65,-1.254455359084458,-1.2530497801309701,-1.254455359084458,-1.2570391441685105,-1.2468135981217128
06.02.2004,12.69,12.79,12.96,12.69,216300,12.79,-1.2486115349207867,-1.2526323186215338,-1.2486115349207867,-1.2479413518897244,-1.2447065770476
09.02.2004,12.83,12.9,12.94,12.8,166500,12.9,-1.2440199587921876,-1.2467878574894216,-1.2440199587921876,-1.2487684239150687,-1.2400711306845518
10.02.2004,12.93,12.94,13.0,12.86,120000,12.94,-1.2423502947454246,-1.2426132423950556,-1.2423502947454246,-1.2462872078390361,-1.2375427053956163
11.02.2004,12.9,12.9,12.97,12.85,117000,12.9,-1.2440199587921876,-1.2438656269233652,-1.2440199587921876,-1.2475278158770524,-1.2379641096104388
