Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,4.11,3.92,4.13,3.84,50230600,3.92,-0.8010154287587118,-0.7998238411419314,-0.8010154287587118,-0.8011405940479104,-0.7999050361478948
05.01.2004,3.89,3.99,4.06,3.88,25207000,3.99,-0.8006564760277805,-0.800951886896201,-0.8006564760277805,-0.8014947054981957,-0.7996969996940683
06.01.2004,3.95,4.26,4.34,3.94,52633000,4.26,-0.7992719440656169,-0.8006442380541275,-0.7992719440656169,-0.800078259697054,-0.7993849450133285
07.01.2004,4.31,4.45,4.47,4.25,68432000,4.45,-0.7982976437959461,-0.7987983450016863,-0.7982976437959461,-0.799420624146524,-0.7977726624961728
08.01.2004,4.54,4.43,4.56,4.29,37178400,4.43,-0.7984002017190693,-0.7976190244404047,-0.7984002017190693,-0.7989653379961571,-0.7975646260423465
09.01.2004,4.34,4.43,4.58,4.32,33030200,4.43,-0.7984002017190693,-0.7986445205806496,-0.7984002017190693,-0.7988641632960755,-0.7974085987019766
12.01.2004,4.45,4.57,4.61,4.37,26857600,4.57,-0.7976822962572068,-0.7980804977035149,-0.7976822962572068,-0.7987124012459532,-0.7971485531346933
13.01.2004,4.6,4.66,4.68,4.53,32963000,4.66,-0.7972207856031522,-0.7973113755983311,-0.7972207856031522,-0.7983582897956678,-0.7963164073193872
14.01.2004,4.64,4.65,4.72,4.59,23070600,4.65,-0.7972720645647138,-0.7971062763702821,-0.7972720645647138,-0.7981559403955047,-0.7960043526386474
15.01.2004,4.64,4.63,4.68,4.54,16013200,4.63,-0.7973746224878371,-0.7971062763702821,-0.7973746224878371,-0.7983582897956678,-0.7962643982059306
16.01.2004,4.64,4.68,4.68,4.59,24075800,4.68,-0.7971182276800289,-0.7971062763702821,-0.7971182276800289,-0.7983582897956678,-0.7960043526386474
20.01.2004,4.7,4.84,4.94,4.66,40924800,4.84,-0.7962977642950431,-0.7967986275282086,-0.7962977642950431,-0.7970430186946078,-0.795640288844451
21.01.2004,4.86,4.7,4.88,4.69,40915000,4.7,-0.7970156697569057,-0.7959782306160125,-0.7970156697569057,-0.7973465427948524,-0.7954842615040811
