Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,0.65,0.65,0.65,0.65,0,0.65,-1.099426544412619,-1.099552664919219,-1.099426544412619,-1.1020526120033958,-1.0963356095296426
02.01.2004,0.65,0.65,0.66,0.65,7364117,0.65,-1.099426544412619,-1.099552664919219,-1.099426544412619,-1.0991121996691082,-1.0963356095296426
05.01.2004,0.66,0.68,0.69,0.65,21352166,0.68,-1.0905314977234815,-1.0965867061931363,-1.0905314977234815,-1.0902909626662458,-1.0963356095296426
06.01.2004,0.68,0.68,0.68,0.67,15351360,0.68,-1.0905314977234815,-1.090654788740971,-1.0905314977234815,-1.0932313750005334,-1.090359859160257
07.01.2004,0.68,0.68,0.68,0.67,17260253,0.68,-1.0905314977234815,-1.090654788740971,-1.0905314977234815,-1.0932313750005334,-1.090359859160257
08.01.2004,0.68,0.69,0.7,0.68,22872510,0.69,-1.0875664821604358,-1.090654788740971,-1.0875664821604358,-1.0873505503319585,-1.0873719839755642
09.01.2004,0.7,0.69,0.7,0.68,22151450,0.69,-1.0875664821604358,-1.0847228712888057,-1.0875664821604358,-1.0873505503319585,-1.0873719839755642
12.01.2004,0.69,0.69,0.7,0.68,16076058,0.69,-1.0875664821604358,-1.0876888300148884,-1.0875664821604358,-1.0873505503319585,-1.0873719839755642
13.01.2004,0.69,0.7,0.71,0.69,22965108,0.7,-1.0846014665973898,-1.0876888300148884,-1.0846014665973898,-1.084410137997671,-1.0843841087908714
14.01.2004,0.71,0.71,0.72,0.7,25262328,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.0814697256633836,-1.0813962336061786
15.01.2004,0.7,0.71,0.71,0.7,15529473,0.71,-1.0816364510343441,-1.0847228712888057,-1.0816364510343441,-1.084410137997671,-1.0813962336061786
16.01.2004,0.71,0.71,0.71,0.7,22299395,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.0813962336061786
19.01.2004,0.71,0.71,0.71,0.7,15649657,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.0813962336061786
20.01.2004,0.71,0.71,0.71,0.71,18241355,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.078408358421486
21.01.2004,0.71,0.71,0.71,0.71,10796057,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.078408358421486
22.01.2004,0.71,0.71,0.71,0.7,11132399,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.0813962336061786
23.01.2004,0.7,0.71,0.71,0.7,12692883,0.71,-1.0816364510343441,-1.0847228712888057,-1.0816364510343441,-1.084410137997671,-1.0813962336061786
26.01.2004,0.71,0.72,0.73,0.71,15267236,0.72,-1.0786714354712983,-1.081756912562723,-1.0786714354712983,-1.078529313329096,-1.078408358421486
27.01.2004,0.73,0.73,0.74,0.73,18810955,0.73,-1.0757064199082524,-1.0758249951105578,-1.0757064199082524,-1.0755889009948085,-1.0724326080521005
28.01.2004,0.72,0.73,0.74,0.72,20365811,0.73,-1.0757064199082524,-1.0787909538366405,-1.0757064199082524,-1.0755889009948085,-1.0754204832367933
29.01.2004,0.72,0.71,0.72,0.71,13880459,0.71,-1.0816364510343441,-1.0787909538366405,-1.0816364510343441,-1.0814697256633836,-1.078408358421486
30.01.2004,0.72,0.71,0.72,0.7,14638520,0.71,-1.0816364510343441,-1.0787909538366405,-1.0816364510343441,-1.0814697256633836,-1.0813962336061786
02.02.2004,0.72,0.71,0.72,0.71,15224031,0.71,-1.0816364510343441,-1.0787909538366405,-1.0816364510343441,-1.0814697256633836,-1.078408358421486
03.02.2004,0.71,0.71,0.71,0.69,11821603,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.0843841087908714
04.02.2004,0.69,0.69,0.7,0.68,18201809,0.69,-1.0875664821604358,-1.0876888300148884,-1.0875664821604358,-1.0873505503319585,-1.0873719839755642
05.02.2004,0.69,0.7,0.71,0.68,22636674,0.7,-1.0846014665973898,-1.0876888300148884,-1.0846014665973898,-1.084410137997671,-1.0873719839755642
06.02.2004,0.7,0.69,0.71,0.69,12708137,0.69,-1.0875664821604358,-1.0847228712888057,-1.0875664821604358,-1.084410137997671,-1.0843841087908714
09.02.2004,0.69,0.7,0.71,0.69,12543340,0.7,-1.0846014665973898,-1.0876888300148884,-1.0846014665973898,-1.084410137997671,-1.0843841087908714
10.02.2004,0.71,0.71,0.71,0.7,6909258,0.71,-1.0816364510343441,-1.081756912562723,-1.0816364510343441,-1.084410137997671,-1.0813962336061786
11.02.2004,0.71,0.72,0.74,0.7,31926166,0.72,-1.0786714354712983,-1.081756912562723,-1.0786714354712983,-1.0755889009948085,-1.0813962336061786
