Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,18.76,18.9,19.1,18.73,6756006,18.9,-1.1603513107065477,-1.1624813283833126,-1.1603513107065477,-1.1591779935485644,-1.1598954357335918
05.01.2004,18.9,19.27,19.32,18.85,10508667,19.27,-1.1521981206012497,-1.1593996929949486,-1.1521981206012497,-1.1543779438161712,-1.157225519715537
06.01.2004,19.16,19.32,19.38,19.16,9587937,19.32,-1.1510963381545878,-1.1536766558451295,-1.1510963381545878,-1.1530688393437005,-1.1503282366688958
07.01.2004,19.55,19.64,19.67,19.37,9880791,19.64,-1.1440449304959515,-1.1450921001204009,-1.1440449304959515,-1.1467415010600912,-1.1456558836372999
08.01.2004,19.64,19.93,19.94,19.6,9703092,19.93,-1.1376545923053125,-1.1431110487993095,-1.1376545923053125,-1.1408505309339725,-1.140538544602695
09.01.2004,19.76,19.86,19.95,19.73,7512215,19.86,-1.1391970877306392,-1.1404696470378544,-1.1391970877306392,-1.140632346855227,-1.1376461355831358
12.01.2004,19.79,19.87,19.92,19.64,6523974,19.87,-1.1389767312413066,-1.1398092965974909,-1.1389767312413066,-1.1412868990914626,-1.139648572596677
13.01.2004,19.81,19.71,19.95,19.64,11992803,19.71,-1.142502435070625,-1.1393690629705815,-1.142502435070625,-1.140632346855227,-1.139648572596677
14.01.2004,19.87,19.88,19.98,19.71,13034871,19.88,-1.1387563747519744,-1.138048362089854,-1.1387563747519744,-1.1399777946189917,-1.138091121586145
15.01.2004,19.9,19.82,20.02,19.73,9030309,19.82,-1.1400785136879688,-1.1373880116494903,-1.1400785136879688,-1.1391050583040112,-1.1376461355831358
16.01.2004,19.9,19.84,19.91,19.78,8133401,19.84,-1.139637800709304,-1.1373880116494903,-1.139637800709304,-1.1415050831702078,-1.136533670575613
20.01.2004,19.8,19.54,19.83,19.41,9000304,19.54,-1.1462484953892753,-1.1395891797840363,-1.1462484953892753,-1.1432505558001689,-1.1447659116312818
21.01.2004,19.41,19.63,19.64,19.37,7283933,19.63,-1.144265286985284,-1.148173735508765,-1.144265286985284,-1.1473960532963265,-1.1456558836372999
22.01.2004,19.63,19.72,19.79,19.55,4894273,19.72,-1.1422820785812926,-1.1433311656127643,-1.1422820785812926,-1.1441232921151494,-1.141651009610218
23.01.2004,19.72,19.2,19.83,18.96,10101673,19.2,-1.1537406160265762,-1.1413501142916729,-1.1537406160265762,-1.1432505558001689,-1.154778096698987
26.01.2004,19.1,19.48,19.51,19.1,6054638,19.48,-1.1475706343252696,-1.154997356725857,-1.1475706343252696,-1.1502324463200133,-1.151663194677923
27.01.2004,19.51,19.29,19.55,19.22,4783071,19.29,-1.151757407622585,-1.145972567374219,-1.151757407622585,-1.149359710005033,-1.1489932786598684
28.01.2004,19.22,18.9,19.27,18.77,7406488,18.9,-1.1603513107065477,-1.152355954964402,-1.1603513107065477,-1.1554688642098971,-1.1590054637275735
29.01.2004,19.0,19.52,19.68,18.35,15629194,19.52,-1.1466892083679403,-1.1571985248604029,-1.1466892083679403,-1.146523316981346,-1.168350169790765
30.01.2004,18.94,19.16,19.31,18.92,17266092,19.16,-1.154622041983906,-1.1585192257411303,-1.154622041983906,-1.1545961278949164,-1.1556680687050052
02.02.2004,19.0,19.0,19.19,18.84,9368779,19.0,-1.1581477458132239,-1.1571985248604029,-1.1581477458132239,-1.1572143368398582,-1.1574480127170415
03.02.2004,18.71,18.57,19.07,18.44,10141510,18.57,-1.1676230748545164,-1.1635819124505857,-1.1676230748545164,-1.1598325457847998,-1.166347732777224
04.02.2004,18.41,18.52,18.94,18.4,9086163,18.52,-1.1687248573011784,-1.1701854168542232,-1.1687248573011784,-1.1626689388084868,-1.1672377047832423
05.02.2004,18.6,18.52,18.78,18.48,7445413,18.52,-1.1687248573011784,-1.166003197398586,-1.1687248573011784,-1.1661598840684089,-1.1654577607712056
06.02.2004,18.44,18.64,18.79,18.28,10139280,18.64,-1.1660805794291897,-1.1695250664138594,-1.1660805794291897,-1.165941699989664,-1.1699076208012968
09.02.2004,18.64,18.98,19.15,18.59,10452712,18.98,-1.1585884587918887,-1.1651227301447677,-1.1585884587918887,-1.1580870731548387,-1.1630103377546555
10.02.2004,19.04,19.23,19.4,18.96,7386721,19.23,-1.153079546558579,-1.1563180576065846,-1.153079546558579,-1.1526324711862102,-1.154778096698987
11.02.2004,22.29,22.04,22.36,21.77,116588748,22.04,-1.0911593730561802,-1.0847800932338454,-1.0911593730561802,-1.0880499838776476,-1.092257563276206
12.02.2004,22.32,22.36,22.68,22.04,58656462,22.36,-1.0841079653975438,-1.0841197427934814,-1.0841079653975438,-1.0810680933578032,-1.0862502522355828
13.02.2004,22.04,21.49,22.16,21.44,43279372,21.49,-1.1032789799694611,-1.09028301357021,-1.1032789799694611,-1.0924136654525507,-1.0995998323258562
17.02.2004,21.88,21.48,21.96,21.15,28662443,21.48,-1.1034993364587933,-1.0938048825854831,-1.1034993364587933,-1.0967773470274533,-1.1060521293694885
18.02.2004,21.4,21.33,21.45,21.21,11731272,21.33,-1.1068046837987793,-1.1043704896313031,-1.1068046837987793,-1.1079047350434557,-1.104717171360461
19.02.2004,21.56,21.56,21.6,21.32,9971617,21.56,-1.1017364845441344,-1.1008486206160297,-1.1017364845441344,-1.1046319738622785,-1.102269748343911
20.02.2004,21.55,21.2,21.55,21.07,13148606,21.2,-1.1096693181601,-1.1010687374294845,-1.1096693181601,-1.1057228942560042,-1.107832073381525
23.02.2004,21.2,21.36,21.36,20.78,13657273,21.36,-1.1061436143307821,-1.1087728259003946,-1.1061436143307821,-1.109868391752162,-1.114284370425157
24.02.2004,21.07,20.73,21.1,20.6,15822301,20.73,-1.120026073158722,-1.1116343444753043,-1.120026073158722,-1.1155411777995357,-1.1182892444522392
25.02.2004,20.76,21.0,21.07,20.69,12067005,21.0,-1.1140764479467478,-1.1184579656923963,-1.1140764479467478,-1.1161957300357712,-1.1162868074386982
26.02.2004,21.2,21.34,21.54,21.1,11430512,21.34,-1.1065843273094467,-1.1087728259003946,-1.1065843273094467,-1.1059410783347494,-1.1071645943770112
27.02.2004,21.46,21.18,21.46,21.17,9962088,21.18,-1.1101100311387648,-1.1030497887505755,-1.1101100311387648,-1.1076865509647105,-1.1056071433664794
01.03.2004,21.4,21.45,21.59,21.27,10602534,21.45,-1.1041604059267904,-1.1043704896313031,-1.1041604059267904,-1.1048501579410237,-1.103382213351434
02.03.2004,21.32,21.37,21.6,21.32,8528434,21.37,-1.1059232578414495,-1.1061314241389397,-1.1059232578414495,-1.1046319738622785,-1.102269748343911
03.03.2004,21.32,21.28,21.48,21.22,10618956,21.28,-1.107906466245441,-1.1061314241389397,-1.107906466245441,-1.10725018280722,-1.1044946783589566
04.03.2004,21.29,21.4,21.55,21.29,7669336,21.4,-1.1052621883734526,-1.1067917745793034,-1.1052621883734526,-1.1057228942560042,-1.1029372273484246
05.03.2004,21.37,21.14,21.44,21.09,8566346,21.14,-1.1109914570960944,-1.1050308400716666,-1.1109914570960944,-1.1081229191222008,-1.1073870873785157
08.03.2004,21.2,20.95,21.28,20.92,6776685,20.95,-1.1151782303934097,-1.1087728259003946,-1.1151782303934097,-1.1116138643821232,-1.1111694684040934
09.03.2004,20.95,20.94,21.09,20.74,8949924,20.94,-1.115398586882742,-1.1142757462367592,-1.115398586882742,-1.1157593618782808,-1.1151743424311755
10.03.2004,20.88,20.32,20.97,20.3,13667917,20.32,-1.1290606892213497,-1.1158165639309414,-1.1290606892213497,-1.1183775708232226,-1.1249640344973761
11.03.2004,20.32,19.92,20.38,19.76,13086265,19.92,-1.137874948794645,-1.128143105484398,-1.137874948794645,-1.1312504314691862,-1.136978656578622
12.03.2004,20.1,20.84,20.84,19.88,15635378,20.84,-1.1176021517760657,-1.1329856753803986,-1.1176021517760657,-1.1212139638469094,-1.1343087405605676
15.03.2004,20.28,20.22,20.35,20.04,11247339,20.22,-1.1312642541146736,-1.1290235727382163,-1.1312642541146736,-1.1319049837054214,-1.1307488525364946
16.03.2004,20.24,20.28,20.36,20.14,9534921,20.28,-1.1299421151786793,-1.1299040399920348,-1.1299421151786793,-1.1316867996266764,-1.128523922521449
17.03.2004,20.33,20.6,20.72,20.25,6608211,20.6,-1.122890707520043,-1.1279229886709434,-1.122890707520043,-1.1238321727918512,-1.1260764995048989
18.03.2004,20.64,20.54,20.81,20.42,7416523,20.54,-1.1242128464560373,-1.1210993674538514,-1.1242128464560373,-1.1218685160831448,-1.1222941184793211
19.03.2004,20.55,20.27,20.71,20.24,8135834,20.27,-1.1301624716680116,-1.1230804187749426,-1.1301624716680116,-1.1240503568705962,-1.1262989925064035
22.03.2004,20.04,19.88,20.18,19.86,8648657,19.88,-1.1387563747519744,-1.1343063762611263,-1.1387563747519744,-1.1356141130440889,-1.1347537265635765
23.03.2004,20.04,20.04,20.24,19.89,7539888,20.04,-1.1352306709226563,-1.1343063762611263,-1.1352306709226563,-1.1343050085716182,-1.134086247559063
24.03.2004,20.04,19.78,20.04,19.6,8691333,19.78,-1.1409599396452983,-1.1343063762611263,-1.1409599396452983,-1.1386686901465208,-1.140538544602695
25.03.2004,19.94,20.0,20.09,19.81,7136036,20.0,-1.1361120968799858,-1.136507544395672,-1.1361120968799858,-1.1375777697527951,-1.1358661915710992
26.03.2004,19.96,20.04,20.15,19.89,5351951,20.04,-1.1352306709226563,-1.1360673107687629,-1.1352306709226563,-1.1362686652803244,-1.134086247559063
29.03.2004,20.08,20.12,20.18,20.01,4739280,20.12,-1.1334678190079972,-1.133425909007308,-1.1334678190079972,-1.1356141130440889,-1.1314163315410082
30.03.2004,20.08,20.1,20.14,20.0,4771515,20.1,-1.133908531986662,-1.133425909007308,-1.133908531986662,-1.1364868493590694,-1.1316388245425129
31.03.2004,20.14,19.95,20.17,19.88,8251495,19.95,-1.1372138793266477,-1.1321052081265803,-1.1372138793266477,-1.135832297122834,-1.1343087405605676
01.04.2004,20.04,20.24,20.26,19.39,8350431,20.24,-1.1308235411360088,-1.1343063762611263,-1.1308235411360088,-1.1338686404141276,-1.145210897634291
02.04.2004,20.66,20.72,20.75,20.4,9080791,20.72,-1.1202464296480545,-1.1206591338269423,-1.1202464296480545,-1.1231776205556157,-1.1227391044823305
05.04.2004,20.62,21.16,21.22,20.53,8187836,21.16,-1.1105507441174298,-1.1215396010807603,-1.1105507441174298,-1.112922968854594,-1.119846695462771
06.04.2004,21.0,21.23,21.28,20.94,6810846,21.23,-1.109008248692103,-1.1131751621694863,-1.109008248692103,-1.1116138643821232,-1.1107244824010842
07.04.2004,21.03,20.77,21.13,20.77,6403345,20.77,-1.1191446472013926,-1.1125148117291226,-1.1191446472013926,-1.1148866255633003,-1.1145068634266617
08.04.2004,21.15,20.96,21.15,20.7,4120426,20.96,-1.1149578739040773,-1.1098734099676677,-1.1149578739040773,-1.11445025740581,-1.1160643144371936
12.04.2004,20.64,20.52,20.68,20.37,6510694,20.52,-1.124653559434702,-1.1210993674538514,-1.124653559434702,-1.1247049091068317,-1.123406583486844
13.04.2004,20.48,19.96,20.55,19.93,10035783,19.96,-1.1369935228373154,-1.1246212364691246,-1.1369935228373154,-1.1275413021305187,-1.1331962755530447
14.04.2004,19.88,19.96,20.07,19.8,9546376,19.96,-1.1369935228373154,-1.1378282452763997,-1.1369935228373154,-1.1380141379102855,-1.136088684572604
15.04.2004,20.08,19.72,20.1,19.67,7704410,19.72,-1.1422820785812926,-1.133425909007308,-1.1422820785812926,-1.13735958567405,-1.1389810935921632
16.04.2004,19.72,19.88,19.88,19.51,11856868,19.88,-1.1387563747519744,-1.1413501142916729,-1.1387563747519744,-1.1421596354064434,-1.142540981616236
19.04.2004,19.66,19.93,20.03,19.63,5867816,19.93,-1.1376545923053125,-1.1426708151724003,-1.1376545923053125,-1.138886874225266,-1.1398710655981816
20.04.2004,20.01,19.8,20.19,19.75,8467511,19.8,-1.1405192266666335,-1.1349667267014898,-1.1405192266666335,-1.135395928965344,-1.1372011495801266
21.04.2004,19.72,19.96,19.99,19.68,8370907,19.96,-1.1369935228373154,-1.1413501142916729,-1.1369935228373154,-1.1397596105402468,-1.1387586005906587
22.04.2004,20.04,19.87,20.16,19.87,7473188,19.87,-1.1389767312413066,-1.1343063762611263,-1.1389767312413066,-1.1360504812015793,-1.1345312335620719
23.04.2004,19.87,19.68,19.91,19.61,8110289,19.68,-1.1431635045386221,-1.138048362089854,-1.1431635045386221,-1.1415050831702078,-1.1403160516011905
26.04.2004,19.74,19.47,19.85,19.24,9158135,19.47,-1.147790990814602,-1.1409098806647637,-1.147790990814602,-1.1428141876426785,-1.1485482926568593
27.04.2004,19.56,19.31,19.59,19.31,9646629,19.31,-1.1513166946439202,-1.144871983306946,-1.1513166946439202,-1.1484869736900523,-1.1469908416463273
28.04.2004,18.96,19.12,19.12,18.84,28449062,19.12,-1.1555034679412353,-1.1580789921142212,-1.1555034679412353,-1.158741625391074,-1.1574480127170415
29.04.2004,19.32,18.92,19.48,18.91,17104815,18.92,-1.159910597727883,-1.150154786829856,-1.159910597727883,-1.1508869985562489,-1.1558905617065098
30.04.2004,18.92,18.39,18.96,18.28,16997364,18.39,-1.1715894916624991,-1.1589594593680395,-1.1715894916624991,-1.1622325706509964,-1.1699076208012968
03.05.2004,18.51,18.47,18.56,18.32,9411252,18.47,-1.1698266397478403,-1.1679842487196772,-1.1698266397478403,-1.170959933800802,-1.1690176487952786
04.05.2004,18.32,18.38,18.57,18.25,10831221,18.38,-1.1718098481518318,-1.1721664681753143,-1.1718098481518318,-1.170741749722057,-1.1705750998058106
05.05.2004,18.36,18.36,18.65,18.24,10128839,18.36,-1.1722505611304963,-1.171286000921496,-1.1722505611304963,-1.1689962770920959,-1.1707975928073153
06.05.2004,18.21,18.16,18.34,17.94,9461632,18.16,-1.176657690917144,-1.1745877531233146,-1.176657690917144,-1.175759983533195,-1.177472382852452
07.05.2004,18.0,17.92,18.3,17.83,7841764,17.92,-1.181946246661121,-1.179210206205861,-1.181946246661121,-1.1766327198481759,-1.1799198058690021
10.05.2004,17.65,17.65,18.04,17.08,12047035,17.65,-1.1878958718730954,-1.1869142946767715,-1.1878958718730954,-1.1823055058955496,-1.1966067809818441
11.05.2004,18.04,18.35,18.52,18.04,14412570,18.35,-1.1724709176198287,-1.1783297389520426,-1.1724709176198287,-1.1718326701157828,-1.1752474528374064
12.05.2004,18.36,18.36,18.52,18.08,10148201,18.36,-1.1722505611304963,-1.171286000921496,-1.1722505611304963,-1.1718326701157828,-1.1743574808313881
13.05.2004,18.67,18.6,18.83,18.44,18058692,18.6,-1.1669620053865193,-1.164462379704404,-1.1669620053865193,-1.1650689636746834,-1.166347732777224
14.05.2004,18.64,18.56,18.72,18.41,7104004,18.56,-1.1678434313438486,-1.1651227301447677,-1.1678434313438486,-1.1674689885408798,-1.1670152117817376
17.05.2004,18.32,18.28,18.36,18.12,6658692,18.28,-1.1740134130451554,-1.1721664681753143,-1.1740134130451554,-1.175323615375705,-1.1734675088253697
