Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,39.02,39.02,39.02,39.02,0,39.02,-1.9974969971457313,-1.9963023971604996,-1.9974969971457313,-2.0118536849099975,-1.9812164447549465
02.01.2004,39.02,39.13,39.13,38.9,1802406,39.13,-1.9951242224498575,-1.9963023971604996,-1.9951242224498575,-2.0094966461131545,-1.9838220447417787
05.01.2004,39.02,38.56,39.24,38.33,3185942,38.56,-2.007419509510296,-1.9963023971604996,-2.007419509510296,-2.007139607316311,-1.9961986446792317
06.01.2004,38.56,38.56,38.56,38.56,0,38.56,-2.007419509510296,-2.0062160366512134,-2.007419509510296,-2.021710392605888,-1.9912045780378034
07.01.2004,38.79,37.99,38.9,37.88,6035824,37.99,-2.019714796570734,-2.001259216905857,-2.019714796570734,-2.0144249999610992,-2.0059696446298525
08.01.2004,38.1,37.99,38.33,37.76,5530054,37.99,-2.019714796570734,-2.016129676141927,-2.019714796570734,-2.026638746453833,-2.0085752446166847
09.01.2004,37.76,37.53,38.22,37.53,5515958,37.53,-2.0296373089352984,-2.0234571488089768,-2.0296373089352984,-2.028995785250676,-2.0135693112581126
12.01.2004,37.65,37.53,37.65,37.31,6300768,37.53,-2.0296373089352984,-2.0258278017306686,-2.0296373089352984,-2.0412095317434096,-2.0183462445673053
13.01.2004,37.53,37.53,37.88,37.53,4706018,37.53,-2.0296373089352984,-2.028413968554333,-2.0296373089352984,-2.036281177895465,-2.0135693112581126
14.01.2004,37.65,38.56,38.67,37.53,5532338,38.56,-2.007419509510296,-2.0258278017306686,-2.007419509510296,-2.0193533538090445,-2.0135693112581126
15.01.2004,38.56,38.67,39.13,38.33,4111652,38.67,-2.005046734814422,-2.0062160366512134,-2.005046734814422,-2.0094966461131545,-1.9961986446792317
16.01.2004,38.79,38.79,38.9,38.45,5569504,38.79,-2.002458253328014,-2.001259216905857,-2.002458253328014,-2.0144249999610992,-1.9935930446923995
19.01.2004,38.9,38.1,39.02,38.1,6697936,38.1,-2.0173420218748603,-1.9988885639841643,-2.0173420218748603,-2.0118536849099975,-2.0011927113206602
20.01.2004,38.1,37.65,38.22,37.65,5770972,37.65,-2.02704882744889,-2.016129676141927,-2.02704882744889,-2.028995785250676,-2.0109637112712804
21.01.2004,37.88,38.22,38.33,37.76,4515690,38.22,-2.014753540388452,-2.020870981985312,-2.014753540388452,-2.026638746453833,-2.0085752446166847
22.01.2004,38.33,38.56,38.67,38.22,3848210,38.56,-2.007419509510296,-2.0111728563965703,-2.007419509510296,-2.0193533538090445,-1.9985871113338278
23.01.2004,38.33,39.24,39.24,38.33,4707446,39.24,-1.9927514477539832,-2.0111728563965703,-1.9927514477539832,-2.007139607316311,-1.9961986446792317
