Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,11.67,11.67,11.67,11.67,0,11.67,-0.9883612575731366,-0.9880691059366862,-0.9883612575731366,-0.9954784752204271,-0.980533134563809
02.01.2004,11.71,12.05,12.17,11.71,891300,12.05,-0.9709234657629637,-0.9862348955645097,-0.9709234657629637,-0.9728350520640727,-0.9786742983105163
05.01.2004,12.23,12.07,12.25,12.0,960190,12.07,-0.9700056872466388,-0.962390160726216,-0.9700056872466388,-0.969212104359056,-0.9651977354741444
06.01.2004,12.17,12.2,12.24,12.04,1261210,12.2,-0.9640401268905271,-0.9651414762844807,-0.9640401268905271,-0.969664972822183,-0.9633388992208518
07.01.2004,12.23,12.05,12.26,11.97,1162420,12.05,-0.9709234657629637,-0.962390160726216,-0.9709234657629637,-0.968759235895929,-0.966591862664114
08.01.2004,11.99,12.09,12.14,11.72,2202550,12.09,-0.969087908730314,-0.9733954229592746,-0.969087908730314,-0.974193657453454,-0.9782095892471933
09.01.2004,12.13,11.94,12.13,11.91,810880,11.94,-0.9759712476027508,-0.966975686656657,-0.9759712476027508,-0.974646525916581,-0.969380117044053
12.01.2004,12.0,12.02,12.07,11.85,548780,12.02,-0.9723001335374512,-0.9729368703662306,-0.9723001335374512,-0.9773637366953436,-0.9721683714239919
13.01.2004,12.09,11.93,12.1,11.93,457850,11.93,-0.9764301368609131,-0.9688098970288336,-0.9764301368609131,-0.9760051313059623,-0.9684506989174066
14.01.2004,11.95,11.68,12.04,11.57,1147400,11.68,-0.9879023683149742,-0.9752296333314512,-0.9879023683149742,-0.978722342084725,-0.9851802251970407
15.01.2004,11.66,11.75,11.84,11.39,1521790,11.75,-0.9846901435078371,-0.9885276585297303,-0.9846901435078371,-0.9877797113472667,-0.9935449883368578
16.01.2004,11.71,12.04,12.17,11.68,1208360,12.04,-0.9713823550211262,-0.9862348955645097,-0.9713823550211262,-0.9728350520640727,-0.9800684255004859
19.01.2004,12.1,12.15,12.16,11.96,627750,12.15,-0.9663345731813394,-0.9683513444357894,-0.9663345731813394,-0.9732879205271998,-0.9670565717274371
20.01.2004,12.15,12.09,12.31,12.09,641590,12.09,-0.969087908730314,-0.966058581470569,-0.969087908730314,-0.9664948935802934,-0.961015353904236
21.01.2004,12.05,12.07,12.27,12.05,633640,12.07,-0.9700056872466388,-0.97064410740101,-0.9700056872466388,-0.9683063674328019,-0.9628741901575286
22.01.2004,12.13,12.09,12.21,12.01,573260,12.09,-0.969087908730314,-0.966975686656657,-0.969087908730314,-0.9710235782115644,-0.9647330264108214
23.01.2004,12.2,11.98,12.49,11.96,1908800,11.98,-0.9741356905701009,-0.9637658185053484,-0.9741356905701009,-0.9583432612440058,-0.9670565717274371
26.01.2004,12.09,11.81,12.11,11.61,2177480,11.81,-0.9819368079588623,-0.9688098970288336,-0.9819368079588623,-0.9755522628428354,-0.9833213889437481
27.01.2004,11.84,11.85,11.9,11.81,1144460,11.85,-0.9801012509262126,-0.9802737118549364,-0.9801012509262126,-0.9850625005685042,-0.9740272076772846
28.01.2004,11.76,11.76,11.88,11.75,1244910,11.76,-0.9842312542496747,-0.9839421325992893,-0.9842312542496747,-0.9859682374947581,-0.9768154620572237
29.01.2004,11.67,11.84,12.04,11.59,1975240,11.84,-0.9805601401843751,-0.9880691059366862,-0.9805601401843751,-0.978722342084725,-0.9842508070703945
30.01.2004,12.09,12.25,12.31,12.0,5795590,12.25,-0.9617456805997149,-0.9688098970288336,-0.9617456805997149,-0.9664948935802934,-0.9651977354741444
02.02.2004,12.38,12.76,12.99,12.38,3967170,12.76,-0.9383423284334302,-0.9555118718305543,-0.9383423284334302,-0.9356998380876514,-0.9475387910678639
03.02.2004,12.82,12.84,12.92,12.68,1725330,12.84,-0.9346712143681306,-0.9353355577366135,-0.9346712143681306,-0.9388699173295411,-0.9335975191681689
04.02.2004,12.87,12.88,12.97,12.8,859290,12.88,-0.9328356573354807,-0.9330427947713931,-0.9328356573354807,-0.9366055750139057,-0.9280210104082908
05.02.2004,12.89,12.85,13.0,12.82,1249880,12.85,-0.9342123251099681,-0.9321256895853047,-0.9342123251099681,-0.9352469696245245,-0.9270915922816445
06.02.2004,12.94,13.0,13.2,12.92,1026190,13.0,-0.9273289862375315,-0.9298329266200843,-0.9273289862375315,-0.9261896003619827,-0.9224445016484127
09.02.2004,13.18,13.51,13.59,13.13,1545890,13.51,-0.9039256340712469,-0.9188276643870256,-0.9039256340712469,-0.9085277303000262,-0.9126856113186261
10.02.2004,13.62,13.44,13.74,13.39,1773620,13.44,-0.907137858878384,-0.8986513502930848,-0.907137858878384,-0.9017347033531199,-0.9006031756722238
11.02.2004,13.51,13.32,13.65,13.25,880180,13.32,-0.9126445299763333,-0.9036954288165701,-0.9126445299763333,-0.9058105195212638,-0.9071091025587482
12.02.2004,13.42,13.64,13.77,13.34,1319410,13.64,-0.897960073715135,-0.9078224021539668,-0.897960073715135,-0.9003760979637386,-0.9029267209888396
13.02.2004,13.73,13.69,13.75,13.6,575680,13.69,-0.8956656274243229,-0.8936072717695995,-0.8956656274243229,-0.9012818348899928,-0.8908442853424372
16.02.2004,13.63,13.7,13.92,13.55,516840,13.7,-0.8952067381661604,-0.8981927977000405,-0.8952067381661604,-0.8935830710168323,-0.893167830659053
17.02.2004,13.75,13.8,13.84,13.61,583530,13.8,-0.8906178455845359,-0.8926901665835113,-0.8906178455845359,-0.897206018721849,-0.890379576279114
18.02.2004,13.82,13.67,13.82,13.61,622720,13.67,-0.8965834059406477,-0.8894802984322026,-0.8965834059406477,-0.8981117556481032,-0.890379576279114
19.02.2004,13.67,13.5,13.75,13.31,1663270,13.5,-0.9043845233294093,-0.8963585873278641,-0.9043845233294093,-0.9012818348899928,-0.9043208481788091
20.02.2004,13.43,13.52,13.54,13.35,749410,13.52,-0.9034667448130844,-0.9073638495609229,-0.9034667448130844,-0.9107920726156618,-0.9024620119255164
23.02.2004,13.63,13.59,13.68,13.49,987030,13.59,-0.9002545200059473,-0.8981927977000405,-0.9002545200059473,-0.9044519141318824,-0.895956085038992
24.02.2004,13.65,13.64,13.67,13.49,1097730,13.64,-0.897960073715135,-0.8972756925139524,-0.897960073715135,-0.9049047825950095,-0.895956085038992
25.02.2004,13.69,13.33,13.69,13.3,1379120,13.33,-0.9121856407181709,-0.8954414821417761,-0.9121856407181709,-0.9039990456687554,-0.9047855572421323
26.02.2004,13.4,12.97,13.45,12.95,2017040,12.97,-0.9287056540120189,-0.9087395073400553,-0.9287056540120189,-0.9148678887838055,-0.9210503744584433
27.02.2004,13.05,13.75,13.96,13.05,4696290,13.75,-0.8929122918753482,-0.924788848096599,-0.8929122918753482,-0.891771597164324,-0.9164032838252115
01.03.2004,14.0,14.56,14.56,13.84,2547820,14.56,-0.85574226196419,-0.8812263517574085,-0.85574226196419,-0.8645994893766986,-0.8796912678226811
02.03.2004,14.67,14.31,14.89,14.31,2898210,14.31,-0.8672144934182512,-0.8505033280234531,-0.8672144934182512,-0.8496548300935047,-0.857849941846492
03.03.2004,14.27,14.02,14.4,13.96,1596030,14.02,-0.8805222819049622,-0.8688454317452176,-0.8805222819049622,-0.8718453847867322,-0.874114759062803
04.03.2004,14.1,14.38,14.55,14.1,1447060,14.38,-0.8640022686111141,-0.8766408258269673,-0.8640022686111141,-0.8650523578398258,-0.8676088321762786
05.03.2004,14.42,14.75,14.87,14.42,952700,14.75,-0.8470233660591037,-0.8619671428495558,-0.8470233660591037,-0.8505605670197591,-0.8527381421499372
08.03.2004,14.82,14.7,14.87,14.52,860350,14.7,-0.8493178123499159,-0.8436250391277915,-0.8493178123499159,-0.8505605670197591,-0.8480910515167056
09.03.2004,14.68,14.67,14.77,14.53,1387430,14.67,-0.8506944801244032,-0.850044775430409,-0.8506944801244032,-0.8550892516510299,-0.8476263424533823
10.03.2004,14.67,14.32,14.71,14.25,1136500,14.32,-0.8667556041600888,-0.8505033280234531,-0.8667556041600888,-0.8578064624297923,-0.8606381962264311
11.03.2004,14.25,14.06,14.25,13.9,1328730,14.06,-0.8786867248723123,-0.8697625369313058,-0.8786867248723123,-0.8786384117336384,-0.8769030134427421
12.03.2004,13.96,14.45,14.46,13.94,1544340,14.45,-0.8607900438039771,-0.883060562129585,-0.8607900438039771,-0.8691281740079696,-0.8750441771894495
15.03.2004,14.47,14.15,14.49,14.13,888090,14.15,-0.8745567215488504,-0.8596743798843354,-0.8745567215488504,-0.8677695686185882,-0.866214704986309
16.03.2004,14.08,14.09,14.38,13.92,1161710,14.09,-0.8773100570978251,-0.8775579310130557,-0.8773100570978251,-0.8727511217129862,-0.8759735953160956
17.03.2004,14.17,14.44,14.55,14.13,643020,14.44,-0.8612489330621396,-0.8734309576756586,-0.8612489330621396,-0.8650523578398258,-0.866214704986309
18.03.2004,14.39,14.17,14.44,14.16,791110,14.17,-0.8736389430325254,-0.8633428006286882,-0.8736389430325254,-0.8700339109342239,-0.8648205777963397
