Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,17.68,17.63,17.7,17.56,2972500,17.63,-1.427314530063455,-1.4161895017703687,-1.427314530063455,-1.4506995225536201,-1.4013561255139846
05.01.2004,17.61,17.81,17.86,17.6,4142800,17.81,-1.391440420681922,-1.4301104213169813,-1.391440420681922,-1.418869169208991,-1.39338021265971
06.01.2004,17.88,17.92,17.99,17.83,3172900,17.92,-1.369517353837651,-1.3764154459229045,-1.369517353837651,-1.39300700711648,-1.3475187137476339
07.01.2004,17.53,17.5,17.54,17.4,5830200,17.5,-1.453223609061229,-1.4460200436559667,-1.453223609061229,-1.4825298758982492,-1.4332597769310815
08.01.2004,17.56,17.51,17.61,17.46,2941100,17.51,-1.4512306029844768,-1.4400539352788475,-1.4512306029844768,-1.468604096309974,-1.4212959076496696
09.01.2004,17.24,17.52,17.59,17.17,7391700,17.52,-1.4492375969077254,-1.5036924246347905,-1.4492375969077254,-1.4725828904780525,-1.4791212758431573
12.01.2004,17.72,17.73,17.81,17.58,3558500,17.73,-1.4073844692959365,-1.408234690600876,-1.4073844692959365,-1.4288161546291878,-1.3973681690868476
13.01.2004,17.75,17.63,17.81,17.63,3690600,17.63,-1.427314530063455,-1.4022685822237562,-1.427314530063455,-1.4288161546291878,-1.3873982780190048
14.01.2004,17.34,17.35,17.42,17.31,4396800,17.35,-1.4831187002125064,-1.483805396711058,-1.4831187002125064,-1.5064026409067206,-1.4512055808531983
15.01.2004,17.31,17.22,17.32,17.18,3261800,17.22,-1.5090277792102809,-1.489771505088178,-1.5090277792102809,-1.5262966117471142,-1.4771272976295893
16.01.2004,16.89,17.14,17.14,16.85,5719700,17.14,-1.5249718278242954,-1.5732970223678526,-1.5249718278242954,-1.562105759259822,-1.542928578677351
