Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
17.03.2004,1.14,1.14,1.14,1.14,0,1.14,-1.4721436039176972,-1.4729356256692985,-1.4721436039176972,-1.4752082482328641,-1.467009968877505
18.03.2004,1.13,1.13,1.13,1.13,0,1.13,-1.475208552418983,-1.476001588203168,-1.475208552418983,-1.4782294660799322,-1.47011533117083
19.03.2004,1.13,1.13,1.13,1.13,0,1.13,-1.475208552418983,-1.476001588203168,-1.475208552418983,-1.4782294660799322,-1.47011533117083
22.03.2004,1.13,1.13,1.13,1.13,0,1.13,-1.475208552418983,-1.476001588203168,-1.475208552418983,-1.4782294660799322,-1.47011533117083
23.03.2004,1.13,1.13,1.13,1.13,0,1.13,-1.475208552418983,-1.476001588203168,-1.475208552418983,-1.4782294660799322,-1.47011533117083
24.03.2004,1.11,1.11,1.11,1.11,0,1.11,-1.4813384494215551,-1.4821335132709073,-1.4813384494215551,-1.4842719017740684,-1.4763260557574798
25.03.2004,1.1,1.1,1.1,1.1,0,1.1,-1.4844033979228415,-1.4851994758047773,-1.4844033979228415,-1.4872931196211367,-1.4794314180508052
26.03.2004,1.11,1.11,1.11,1.11,0,1.11,-1.4813384494215551,-1.4821335132709073,-1.4813384494215551,-1.4842719017740684,-1.4763260557574798
29.03.2004,1.07,1.07,1.07,1.07,0,1.07,-1.4935982434266994,-1.494397363406386,-1.4935982434266994,-1.4963567731623408,-1.4887475049307801
30.03.2004,1.07,1.07,1.07,1.07,0,1.07,-1.4935982434266994,-1.494397363406386,-1.4935982434266994,-1.4963567731623408,-1.4887475049307801
31.03.2004,1.08,1.13,1.13,1.08,17474000,1.13,-1.475208552418983,-1.4913314008725165,-1.475208552418983,-1.4782294660799322,-1.485642142637455
01.04.2004,1.1,1.09,1.13,1.08,13520500,1.09,-1.4874683464241274,-1.4851994758047773,-1.4874683464241274,-1.4782294660799322,-1.485642142637455
02.04.2004,1.11,1.08,1.12,1.08,58619760,1.08,-1.4905332949254133,-1.4821335132709073,-1.4905332949254133,-1.4812506839270003,-1.485642142637455
05.04.2004,1.09,1.09,1.09,1.09,0,1.09,-1.4874683464241274,-1.4882654383386469,-1.4874683464241274,-1.4903143374682049,-1.48253678034413
06.04.2004,1.12,1.1,1.13,1.08,86205466,1.1,-1.4844033979228415,-1.4790675507370377,-1.4844033979228415,-1.4782294660799322,-1.485642142637455
07.04.2004,1.11,1.08,1.11,1.08,56417800,1.08,-1.4905332949254133,-1.4821335132709073,-1.4905332949254133,-1.4842719017740684,-1.485642142637455
08.04.2004,1.09,1.1,1.11,1.08,35816067,1.1,-1.4844033979228415,-1.4882654383386469,-1.4844033979228415,-1.4842719017740684,-1.485642142637455
09.04.2004,1.1,1.1,1.1,1.1,0,1.1,-1.4844033979228415,-1.4851994758047773,-1.4844033979228415,-1.4872931196211367,-1.4794314180508052
12.04.2004,1.1,1.1,1.1,1.1,0,1.1,-1.4844033979228415,-1.4851994758047773,-1.4844033979228415,-1.4872931196211367,-1.4794314180508052
13.04.2004,1.13,1.14,1.15,1.13,88035500,1.14,-1.4721436039176972,-1.476001588203168,-1.4721436039176972,-1.4721870303857958,-1.47011533117083
14.04.2004,1.14,1.13,1.16,1.13,51782258,1.13,-1.475208552418983,-1.4729356256692985,-1.475208552418983,-1.4691658125387277,-1.47011533117083
15.04.2004,1.13,1.1,1.13,1.07,94700126,1.1,-1.4844033979228415,-1.476001588203168,-1.4844033979228415,-1.4782294660799322,-1.4887475049307801
16.04.2004,1.09,1.16,1.16,1.08,80664475,1.16,-1.466013706915125,-1.4882654383386469,-1.466013706915125,-1.4691658125387277,-1.485642142637455
19.04.2004,1.14,1.13,1.14,1.08,103109900,1.13,-1.475208552418983,-1.4729356256692985,-1.475208552418983,-1.4752082482328641,-1.485642142637455
20.04.2004,1.1,1.09,1.12,1.07,88464700,1.09,-1.4874683464241274,-1.4851994758047773,-1.4874683464241274,-1.4812506839270003,-1.4887475049307801
21.04.2004,1.03,1.03,1.06,1.03,93503895,1.03,-1.5058580374318435,-1.5066612135418649,-1.5058580374318435,-1.499377991009409,-1.5011689541040805
22.04.2004,1.03,1.06,1.08,1.03,77484039,1.06,-1.4966631919279854,-1.5066612135418649,-1.4966631919279854,-1.4933355553152727,-1.5011689541040805
23.04.2004,1.09,1.1,1.11,1.08,52006410,1.1,-1.4844033979228415,-1.4882654383386469,-1.4844033979228415,-1.4842719017740684,-1.485642142637455
26.04.2004,1.1,1.04,1.1,1.03,44275350,1.04,-1.5027930889305576,-1.4851994758047773,-1.5027930889305576,-1.4872931196211367,-1.5011689541040805
27.04.2004,1.05,1.03,1.07,1.03,34447977,1.03,-1.5058580374318435,-1.5005292884741257,-1.5058580374318435,-1.4963567731623408,-1.5011689541040805
28.04.2004,1.04,1.05,1.06,1.03,44800305,1.05,-1.4997281404292717,-1.5035952510079953,-1.4997281404292717,-1.499377991009409,-1.5011689541040805
29.04.2004,1.03,1.01,1.03,0.97,70559444,1.01,-1.5119879344344158,-1.5066612135418649,-1.5119879344344158,-1.5084416445506135,-1.5198011278640309
30.04.2004,1.0,0.97,1.0,0.92,138264800,0.97,-1.5242477284395601,-1.515859101143474,-1.5242477284395601,-1.517505298091818,-1.535327939330656
03.05.2004,0.97,0.99,0.99,0.97,29946096,0.99,-1.5181178314369879,-1.5250569887450833,-1.5181178314369879,-1.520526515938886,-1.5198011278640309
04.05.2004,1.0,1.03,1.05,0.99,84978593,1.03,-1.5058580374318435,-1.515859101143474,-1.5058580374318435,-1.5023992088564773,-1.5135904032773806
05.05.2004,1.04,1.03,1.04,0.97,46802496,1.03,-1.5058580374318435,-1.5035952510079953,-1.5058580374318435,-1.5054204267035454,-1.5198011278640309
06.05.2004,1.03,1.04,1.05,1.03,53140435,1.04,-1.5027930889305576,-1.5066612135418649,-1.5027930889305576,-1.5023992088564773,-1.5011689541040805
07.05.2004,1.02,1.03,1.03,1.01,34581679,1.03,-1.5058580374318435,-1.509727176075735,-1.5058580374318435,-1.5084416445506135,-1.5073796786907308
10.05.2004,0.98,0.95,1.02,0.94,70021646,0.95,-1.5303776254421322,-1.5219910262112133,-1.5303776254421322,-1.5114628623976818,-1.5291172147440062
11.05.2004,0.96,0.97,1.01,0.91,68054050,0.97,-1.5242477284395601,-1.528122951278953,-1.5242477284395601,-1.51448408024475,-1.538433301623981
12.05.2004,1.01,0.97,1.02,0.97,70784075,0.97,-1.5242477284395601,-1.5127931386096045,-1.5242477284395601,-1.5114628623976818,-1.5198011278640309
13.05.2004,0.97,0.98,1.0,0.97,61798757,0.98,-1.521182779938274,-1.5250569887450833,-1.521182779938274,-1.517505298091818,-1.5198011278640309
14.05.2004,1.0,0.95,1.0,0.95,65489511,0.95,-1.5303776254421322,-1.515859101143474,-1.5303776254421322,-1.517505298091818,-1.526011852450681
17.05.2004,0.95,0.91,0.97,0.88,69718987,0.91,-1.5426374194472765,-1.5311889138128225,-1.5426374194472765,-1.5265689516330225,-1.5477493885039564
