Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,19.9,19.77,20.01,19.68,4864400,19.77,-1.4282077068801826,-1.4241907556513145,-1.4282077068801826,-1.427275479894618,-1.424434452396304
05.01.2004,19.92,20.15,20.17,19.9,4926400,20.15,-1.4179451509034273,-1.4236508322416799,-1.4179451509034273,-1.4229933133872672,-1.41843767733906
06.01.2004,19.94,20.04,20.09,19.84,7413600,20.04,-1.4209158907914354,-1.4231109088320453,-1.4209158907914354,-1.4251343966409427,-1.4200731614455808
07.01.2004,19.99,19.78,19.99,19.67,8500200,19.78,-1.4279376396176364,-1.421761100307959,-1.4279376396176364,-1.4278107507080369,-1.4247070330807239
08.01.2004,19.68,19.81,19.81,19.58,6397400,19.81,-1.4271274378299978,-1.430129913157294,-1.4271274378299978,-1.432628188028806,-1.4271602592405057
09.01.2004,19.77,19.59,19.77,19.41,8581800,19.59,-1.4330689176060138,-1.4277002578139388,-1.4330689176060138,-1.433698729655644,-1.4317941308756488
12.01.2004,19.64,19.49,19.72,19.46,6554200,19.49,-1.435769590231476,-1.431209759976563,-1.435769590231476,-1.435036906689191,-1.4304312274535478
13.01.2004,19.53,19.49,19.59,19.4,5363400,19.49,-1.435769590231476,-1.434179338729553,-1.435769590231476,-1.4385161669764133,-1.432066711560069
14.01.2004,19.49,19.7,19.76,19.41,4140000,19.7,-1.430098177718006,-1.4352591855488221,-1.430098177718006,-1.433966365062353,-1.4317941308756488
15.01.2004,19.77,19.43,19.77,19.43,6490400,19.43,-1.4373899938067531,-1.4277002578139388,-1.4373899938067531,-1.433698729655644,-1.4312489695068085
16.01.2004,19.44,19.5,19.55,19.33,6196000,19.5,-1.4354995229689298,-1.4366089940729083,-1.4354995229689298,-1.439586708603251,-1.4339747763510102
20.01.2004,19.58,19.8,19.86,19.57,4270200,19.8,-1.427397505092544,-1.4328295302054666,-1.427397505092544,-1.431290010995259,-1.4274328399249259
21.01.2004,19.84,19.97,20.05,19.83,5420800,19.97,-1.4228063616292588,-1.4258105258802178,-1.4228063616292588,-1.4262049382677804,-1.4203457421300012
22.01.2004,20.16,20.06,20.24,19.96,6254600,20.06,-1.420375756266343,-1.4171717513260658,-1.420375756266343,-1.4211198655403017,-1.4168021932325388
23.01.2004,20.06,20.0,20.11,19.94,4802400,20.0,-1.4219961598416202,-1.419871368374238,-1.4219961598416202,-1.424599125827524,-1.4173473546013793
26.01.2004,19.99,20.16,20.17,19.88,5293800,20.16,-1.4176750836408814,-1.421761100307959,-1.4176750836408814,-1.4229933133872672,-1.4189828387079004
27.01.2004,20.16,20.19,20.37,20.14,5513600,20.19,-1.4168648818532426,-1.4171717513260658,-1.4168648818532426,-1.417640605253079,-1.4118957409129755
28.01.2004,20.19,19.96,20.29,19.89,5539000,19.96,-1.423076428891805,-1.416361866211614,-1.423076428891805,-1.4197816885067545,-1.41871025802348
29.01.2004,20.06,20.1,20.21,19.86,5505600,20.1,-1.4192954872161583,-1.419871368374238,-1.4192954872161583,-1.4219227717604297,-1.4195280000767405
30.01.2004,20.1,19.87,20.1,19.75,5792200,19.87,-1.4255070342547205,-1.4187915215549691,-1.4255070342547205,-1.4248667612342332,-1.4225263876053627
02.02.2004,19.87,19.84,19.95,19.7,5396600,19.84,-1.4263172360423593,-1.425000640765766,-1.4263172360423593,-1.4288812923348744,-1.4238892910274634
03.02.2004,19.79,19.76,19.89,19.73,3890600,19.76,-1.4284777741427286,-1.4271603344043042,-1.4284777741427286,-1.4304871047751309,-1.4230715489742027
04.02.2004,19.73,19.6,19.73,19.55,4416000,19.6,-1.4327988503434679,-1.4287801046332076,-1.4327988503434679,-1.4347692712824813,-1.4279780012937662
05.02.2004,19.63,19.57,19.64,19.4,3663000,19.57,-1.4336090521311065,-1.4314797216813804,-1.4336090521311065,-1.4371779899428663,-1.432066711560069
06.02.2004,19.53,19.66,19.71,19.5,5917200,19.66,-1.4311784467681907,-1.434179338729553,-1.4311784467681907,-1.4353045420959003,-1.4293409047158672
09.02.2004,19.67,19.74,19.8,19.64,3973000,19.74,-1.4290179086678214,-1.4303998748621112,-1.4290179086678214,-1.4328958234355156,-1.4255247751339846
10.02.2004,19.7,19.92,20.0,19.62,4509200,19.92,-1.4241566979419897,-1.4295899897476594,-1.4241566979419897,-1.4275431153013274,-1.4260699365028249
11.02.2004,19.93,20.16,20.25,19.88,5651600,20.16,-1.4176750836408814,-1.4233808705368625,-1.4176750836408814,-1.420852230133592,-1.4189828387079004
12.02.2004,20.15,20.12,20.21,20.06,3955400,20.12,-1.418755352691066,-1.417441713030883,-1.418755352691066,-1.4219227717604297,-1.414076386388337
13.02.2004,20.23,20.08,20.24,20.05,4212800,20.08,-1.4198356217412507,-1.4152820193923448,-1.4198356217412507,-1.4211198655403017,-1.4143489670727574
17.02.2004,20.25,20.27,20.32,20.22,3986000,20.27,-1.4147043437528732,-1.4147420959827104,-1.4147043437528732,-1.4189787822866262,-1.409715095437614
18.02.2004,20.29,20.1,20.29,20.07,3480600,20.1,-1.4192954872161583,-1.4136622491634414,-1.4192954872161583,-1.4197816885067545,-1.4138038057039168
19.02.2004,20.2,20.1,20.3,20.08,3801200,20.1,-1.4192954872161583,-1.4160919045067966,-1.4192954872161583,-1.419514053100045,-1.4135312250194967
20.02.2004,20.23,20.1,20.27,19.97,4234000,20.1,-1.4192954872161583,-1.4152820193923448,-1.4192954872161583,-1.4203169593201732,-1.4165296125481186
23.02.2004,20.16,20.5,20.55,20.16,6272600,20.5,-1.4084927967143106,-1.4171717513260658,-1.4084927967143106,-1.4128231679323098,-1.4113505795441352
24.02.2004,20.51,20.47,20.65,20.41,5530200,20.47,-1.4093029985019492,-1.4077230916574615,-1.4093029985019492,-1.4101468138652156,-1.4045360624336307
25.02.2004,20.47,20.39,20.52,20.34,3647600,20.39,-1.4114635366023187,-1.4088029384767307,-1.4114635366023187,-1.413626074152438,-1.4064441272245718
26.02.2004,20.39,20.45,20.49,20.29,4201400,20.45,-1.4098431330270416,-1.4109626321152686,-1.4098431330270416,-1.4144289803725663,-1.4078070306466728
27.02.2004,20.49,20.51,20.63,20.47,4430400,20.51,-1.4082227294517644,-1.4082630150670963,-1.4082227294517644,-1.4106820846786345,-1.4029005783271096
01.03.2004,20.6,20.95,21.02,20.6,6581400,20.95,-1.396339769899732,-1.4052934363141063,-1.396339769899732,-1.4002443038169674,-1.3993570294296473
02.03.2004,20.84,20.72,20.9,20.67,5277000,20.72,-1.4025513169382946,-1.398814355398492,-1.4025513169382946,-1.4034559286974801,-1.397448964638706
03.03.2004,20.72,20.85,20.89,20.61,4035400,20.85,-1.3990404425251939,-1.4020538958562991,-1.3990404425251939,-1.4037235641041896,-1.3990844487452272
04.03.2004,20.85,20.73,20.85,20.7,2974800,20.73,-1.4022812496757482,-1.3985443936936748,-1.4022812496757482,-1.4047941057310271,-1.3966312225854454
05.03.2004,20.7,20.94,20.98,20.69,4360600,20.94,-1.3966098371622784,-1.4025938192659337,-1.3966098371622784,-1.4013148454438047,-1.3969038032698657
08.03.2004,20.97,21.05,21.22,20.95,5735400,21.05,-1.3936390972742703,-1.3953048532358678,-1.3936390972742703,-1.394891595682779,-1.3898167054749408
09.03.2004,21.05,20.89,21.05,20.87,5343400,20.89,-1.3979601734750093,-1.3931451595973299,-1.3979601734750093,-1.3994413975968392,-1.3919973509503023
10.03.2004,20.89,20.59,21.01,20.55,6830000,20.59,-1.4060621913513949,-1.3974645468744058,-1.4060621913513949,-1.4005119392236764,-1.4007199328517483
11.03.2004,20.53,20.18,20.6,20.14,6864400,20.18,-1.4171349491157887,-1.407183168247827,-1.4171349491157887,-1.4114849908987626,-1.4118957409129755
12.03.2004,20.22,20.53,20.53,20.12,4950800,20.53,-1.407682594926672,-1.4155519810971622,-1.407682594926672,-1.4133584387457285,-1.4124409022818158
