Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,4.25,4.25,4.25,4.25,0,4.25,-1.9767671905740472,-1.9767858433277186,-1.9767671905740472,-2.00230464799025,-1.9473318039628744
02.01.2004,4.28,4.38,4.38,4.27,9341510,4.38,-1.9169181597045175,-1.9629862380292618,-1.9169181597045175,-1.9428444851632325,-1.938084096686397
05.01.2004,4.39,4.4,4.4,4.35,10511081,4.4,-1.9077106164938205,-1.9123876852682538,-1.9077106164938205,-1.9336967678052295,-1.9010932675804861
06.01.2004,4.38,4.38,4.39,4.34,0,4.38,-1.9169181597045175,-1.9169875537010725,-1.9169181597045175,-1.938270626484231,-1.905717121218725
07.01.2004,4.36,4.24,4.37,4.22,27037656,4.24,-1.9813709621793953,-1.9261872905667103,-1.9813709621793953,-1.9474183438422337,-1.961203364877591
08.01.2004,4.26,4.26,4.28,4.22,16663582,4.26,-1.9721634189686987,-1.9721859748948998,-1.9721634189686987,-1.9885830719532458,-1.961203364877591
09.01.2004,4.27,4.19,4.27,4.16,26789138,4.19,-2.0043898202061374,-1.967586106462081,-2.0043898202061374,-1.9931569306322474,-1.988946486707024
12.01.2004,4.19,4.19,4.21,4.17,15726990,4.19,-2.0043898202061374,-2.004385053924632,-2.0043898202061374,-2.0206000827062556,-1.9843226330687853
13.01.2004,4.2,4.23,4.23,4.19,14087662,4.23,-1.9859747337847438,-1.9997851854918132,-1.9859747337847438,-2.0114523653482523,-1.9750749257923073
14.01.2004,4.21,4.19,4.22,4.18,13598479,4.19,-2.0043898202061374,-1.9951853170589942,-2.0043898202061374,-2.016026224027254,-1.9796987794305465
15.01.2004,4.18,4.22,4.22,4.16,13089929,4.22,-1.9905785053900924,-2.008984922357451,-1.9905785053900924,-2.016026224027254,-1.988946486707024
16.01.2004,4.2,4.22,4.22,4.19,13763472,4.22,-1.9905785053900924,-1.9997851854918132,-1.9905785053900924,-2.016026224027254,-1.9750749257923073
19.01.2004,4.22,4.27,4.28,4.22,13139370,4.27,-1.9675596473633503,-1.9905854486261754,-1.9675596473633503,-1.9885830719532458,-1.961203364877591
20.01.2004,4.28,4.27,4.33,4.26,16373156,4.27,-1.9675596473633503,-1.9629862380292618,-1.9675596473633503,-1.965713778558239,-1.9427079503246356
21.01.2004,4.29,4.35,4.35,4.28,17362892,4.35,-1.930729474520563,-1.958386369596443,-1.930729474520563,-1.9565660612002367,-1.9334602430481578
22.01.2004,4.36,4.3,4.36,4.3,14903956,4.3,-1.953748332547305,-1.9261872905667103,-1.953748332547305,-1.9519922025212348,-1.9242125357716802
23.01.2004,4.31,4.31,4.33,4.28,12395267,4.31,-1.9491445609419566,-1.9491866327308052,-1.9491445609419566,-1.965713778558239,-1.9334602430481578
26.01.2004,4.31,4.29,4.32,4.28,10103189,4.29,-1.9583521041526533,-1.9491866327308052,-1.9583521041526533,-1.9702876372372404,-1.9334602430481578
27.01.2004,4.29,4.25,4.32,4.24,25123242,4.25,-1.9767671905740472,-1.958386369596443,-1.9767671905740472,-1.9702876372372404,-1.9519556576011132
28.01.2004,4.2,4.27,4.28,4.2,18989420,4.27,-1.9675596473633503,-1.9997851854918132,-1.9675596473633503,-1.9885830719532458,-1.9704510721540687
29.01.2004,4.26,4.26,4.28,4.25,14697661,4.26,-1.9721634189686987,-1.9721859748948998,-1.9721634189686987,-1.9885830719532458,-1.9473318039628744
30.01.2004,4.27,4.25,4.28,4.23,15168402,4.25,-1.9767671905740472,-1.967586106462081,-1.9767671905740472,-1.9885830719532458,-1.9565795112393518
02.02.2004,4.27,4.26,4.29,4.24,13935972,4.26,-1.9721634189686987,-1.967586106462081,-1.9721634189686987,-1.9840092132742446,-1.9519556576011132
03.02.2004,4.26,4.26,4.28,4.23,14995508,4.26,-1.9721634189686987,-1.9721859748948998,-1.9721634189686987,-1.9885830719532458,-1.9565795112393518
04.02.2004,4.26,4.26,4.28,4.24,13934420,4.26,-1.9721634189686987,-1.9721859748948998,-1.9721634189686987,-1.9885830719532458,-1.9519556576011132
05.02.2004,4.26,4.24,4.29,4.23,17684506,4.24,-1.9813709621793953,-1.9721859748948998,-1.9813709621793953,-1.9840092132742446,-1.9565795112393518
06.02.2004,4.25,4.26,4.26,4.22,15904105,4.26,-1.9721634189686987,-1.9767858433277186,-1.9721634189686987,-1.9977307893112488,-1.961203364877591
09.02.2004,4.26,4.3,4.3,4.26,10613295,4.3,-1.953748332547305,-1.9721859748948998,-1.953748332547305,-1.9794353545952432,-1.9427079503246356
10.02.2004,4.28,4.29,4.29,4.26,12403598,4.29,-1.9583521041526533,-1.9629862380292618,-1.9583521041526533,-1.9840092132742446,-1.9427079503246356
11.02.2004,4.29,4.31,4.32,4.28,12231592,4.31,-1.9491445609419566,-1.958386369596443,-1.9491445609419566,-1.9702876372372404,-1.9334602430481578
12.02.2004,4.32,4.29,4.34,4.27,16451209,4.29,-1.9583521041526533,-1.944586764297986,-1.9583521041526533,-1.9611399198792379,-1.938084096686397
13.02.2004,4.27,4.23,4.3,4.23,15648614,4.23,-1.9859747337847438,-1.967586106462081,-1.9859747337847438,-1.9794353545952432,-1.9565795112393518
16.02.2004,4.24,4.26,4.27,4.23,16989835,4.26,-1.9721634189686987,-1.9813857117605373,-1.9721634189686987,-1.9931569306322474,-1.9565795112393518
17.02.2004,4.26,4.29,4.29,4.25,21191313,4.29,-1.9583521041526533,-1.9721859748948998,-1.9583521041526533,-1.9840092132742446,-1.9473318039628744
18.02.2004,4.28,4.3,4.3,4.28,16632245,4.3,-1.953748332547305,-1.9629862380292618,-1.953748332547305,-1.9794353545952432,-1.9334602430481578
19.02.2004,4.31,4.33,4.35,4.29,17778523,4.33,-1.9399370177312596,-1.9491866327308052,-1.9399370177312596,-1.9565660612002367,-1.928836389409919
20.02.2004,4.33,4.34,4.4,4.33,25030502,4.34,-1.9353332461259112,-1.9399868958651671,-1.9353332461259112,-1.9336967678052295,-1.9103409748569635
23.02.2004,4.36,4.43,4.43,4.36,20179305,4.43,-1.8938993016777754,-1.9261872905667103,-1.8938993016777754,-1.9199751917682257,-1.8964694139422469
24.02.2004,4.43,4.41,4.47,4.39,28752990,4.41,-1.9031068448884723,-1.8939882115369782,-1.9031068448884723,-1.9016797570522204,-1.8825978530275307
25.02.2004,4.41,4.44,4.46,4.39,21368682,4.44,-1.8892955300724268,-1.9031879484026157,-1.8892955300724268,-1.9062536157312215,-1.8825978530275307
26.02.2004,4.46,4.5,4.53,4.44,35554550,4.5,-1.8616729004403365,-1.8801886062385214,-1.8616729004403365,-1.874236604978212,-1.8594785848363362
27.02.2004,4.53,4.48,4.55,4.47,34622129,4.48,-1.8708804436510331,-1.8479895272087887,-1.8708804436510331,-1.8650888876202094,-1.84560702392162
01.03.2004,4.53,4.6,4.6,4.52,28056922,4.6,-1.8156351843868523,-1.8479895272087887,-1.8156351843868523,-1.8422195942252027,-1.8224877557304258
02.03.2004,4.61,4.62,4.63,4.6,20780349,4.62,-1.8064276411761553,-1.8111905797462373,-1.8064276411761553,-1.8284980181881985,-1.7854969266245149
03.03.2004,4.61,4.6,4.63,4.58,25257036,4.6,-1.8156351843868523,-1.8111905797462373,-1.8156351843868523,-1.8284980181881985,-1.7947446339009925
04.03.2004,4.59,4.6,4.61,4.56,20300614,4.6,-1.8156351843868523,-1.8203903166118753,-1.8156351843868523,-1.837645735546201,-1.8039923411774703
05.03.2004,4.61,4.58,4.61,4.53,39387341,4.58,-1.824842727597549,-1.8111905797462373,-1.824842727597549,-1.837645735546201,-1.8178639020921865
08.03.2004,4.59,4.65,4.65,4.58,15380012,4.65,-1.7926163263601098,-1.8203903166118753,-1.7926163263601098,-1.8193503008301957,-1.7947446339009925
09.03.2004,4.62,4.63,4.65,4.62,13697267,4.63,-1.8018238695708069,-1.8065907113134185,-1.8018238695708069,-1.8193503008301957,-1.776249219348037
10.03.2004,4.62,4.73,4.74,4.61,26778787,4.73,-1.7557861535173225,-1.8065907113134185,-1.7557861535173225,-1.7781855727191835,-1.7808730729862758
11.03.2004,4.7,4.61,4.7,4.61,31237778,4.61,-1.8110314127815037,-1.7697917638508671,-1.8110314127815037,-1.796481007435189,-1.7808730729862758
12.03.2004,4.59,4.56,4.59,4.48,31046779,4.56,-1.834050270808246,-1.8203903166118753,-1.834050270808246,-1.846793452904204,-1.8409831702833808
15.03.2004,4.57,4.56,4.62,4.49,30534733,4.56,-1.834050270808246,-1.829590053477513,-1.834050270808246,-1.8330718768671999,-1.836359316645142
16.03.2004,4.54,4.54,4.58,4.51,22873763,4.54,-1.8432578140189426,-1.84338965877597,-1.8432578140189426,-1.8513673115832052,-1.8271116093686646
17.03.2004,4.53,4.56,4.56,4.48,28029821,4.56,-1.834050270808246,-1.8479895272087887,-1.834050270808246,-1.8605150289412082,-1.8409831702833808
18.03.2004,4.56,4.56,4.6,4.53,32495763,4.56,-1.834050270808246,-1.8341899219103321,-1.834050270808246,-1.8422195942252027,-1.8178639020921865
19.03.2004,4.61,4.65,4.67,4.6,38496260,4.65,-1.7926163263601098,-1.8111905797462373,-1.7926163263601098,-1.810202583472193,-1.7854969266245149
22.03.2004,4.62,4.56,4.65,4.55,21463947,4.56,-1.834050270808246,-1.8065907113134185,-1.834050270808246,-1.8193503008301957,-1.8086161948157091
