Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,1.82,1.82,1.82,1.82,0,1.82,-1.5317399591444754,-1.5324185557141123,-1.5317399591444754,-1.5450929602091301,-1.5176740006402636
02.01.2004,1.84,1.97,1.99,1.83,211448000,1.97,-1.4316232181083275,-1.5190625180532094,-1.4316232181083275,-1.4332457926662443,-1.510902193629749
05.01.2004,1.98,1.98,2.02,1.93,212846600,1.98,-1.4249487687059175,-1.4255702544268873,-1.4249487687059175,-1.4135080572174998,-1.4431841235246032
06.01.2004,1.94,1.86,1.95,1.84,295035352,1.86,-1.5050421615348357,-1.4522823297486938,-1.5050421615348357,-1.4595627732645704,-1.5041303866192346
07.01.2004,1.78,1.81,1.91,1.78,419331000,1.81,-1.5384144085468854,-1.5591306310359185,-1.5384144085468854,-1.4858797538628965,-1.544761228682322
08.01.2004,1.73,1.74,1.79,1.68,591136731,1.74,-1.5851355543637544,-1.5925207251881766,-1.5851355543637544,-1.564830695657875,-1.6124792987874685
09.01.2004,1.76,1.73,1.79,1.7,306680719,1.73,-1.5918100037661644,-1.572486668696822,-1.5918100037661644,-1.564830695657875,-1.5989356847664389
12.01.2004,1.71,1.64,1.71,1.63,310954192,1.64,-1.6518800483878535,-1.6058767628490798,-1.6518800483878535,-1.6174646568545272,-1.6463383338400415
13.01.2004,1.57,1.6,1.63,1.56,4117606200,1.6,-1.6785778459974927,-1.6993690264754013,-1.6785778459974927,-1.6700986180511794,-1.6937409829136436
14.01.2004,1.58,1.64,1.65,1.58,366459388,1.64,-1.6518800483878535,-1.69269100764495,-1.6518800483878535,-1.6569401277520164,-1.6801973688926144
15.01.2004,1.65,1.61,1.66,1.59,347952922,1.61,-1.6719033965950827,-1.6459448758317892,-1.6719033965950827,-1.6503608826024347,-1.6734255618821
16.01.2004,1.6,1.55,1.62,1.53,505749000,1.55,-1.7119500930095424,-1.6793349699840467,-1.7119500930095424,-1.6766778632007608,-1.7140564039451873
19.01.2004,1.52,1.58,1.59,1.49,463619595,1.58,-1.6919267448023125,-1.7327591206276594,-1.6919267448023125,-1.6964155986495058,-1.7411436319872458
20.01.2004,1.61,1.62,1.64,1.58,320408600,1.62,-1.6652289471926731,-1.6726569511535951,-1.6652289471926731,-1.6635193729015982,-1.6801973688926144
21.01.2004,1.65,1.65,1.66,1.63,207743711,1.65,-1.6452055989854435,-1.6459448758317892,-1.6452055989854435,-1.6503608826024347,-1.6463383338400415
22.01.2004,1.65,1.65,1.65,1.65,0,1.65,-1.6452055989854435,-1.6459448758317892,-1.6452055989854435,-1.6569401277520164,-1.6327947198190123
23.01.2004,1.65,1.65,1.65,1.65,0,1.65,-1.6452055989854435,-1.6459448758317892,-1.6452055989854435,-1.6569401277520164,-1.6327947198190123
26.01.2004,1.65,1.6,1.65,1.6,239588630,1.6,-1.6785778459974927,-1.6459448758317892,-1.6785778459974927,-1.6569401277520164,-1.6666537548715852
27.01.2004,1.6,1.62,1.62,1.57,176378500,1.62,-1.6652289471926731,-1.6793349699840467,-1.6652289471926731,-1.6766778632007608,-1.6869691759031287
28.01.2004,1.6,1.58,1.61,1.57,198493500,1.58,-1.6919267448023125,-1.6793349699840467,-1.6919267448023125,-1.6832571083503423,-1.6869691759031287
29.01.2004,1.54,1.58,1.58,1.53,221634000,1.58,-1.6919267448023125,-1.7194030829667561,-1.6919267448023125,-1.7029948437990872,-1.7140564039451873
30.01.2004,1.57,1.57,1.58,1.55,86582500,1.57,-1.6986011942047223,-1.6993690264754013,-1.6986011942047223,-1.7029948437990872,-1.7005127899241583
02.02.2004,1.55,1.52,1.55,1.51,206986485,1.52,-1.731973441216772,-1.7127250641363048,-1.731973441216772,-1.7227325792478319,-1.7276000179662168
03.02.2004,1.52,1.57,1.58,1.52,240202605,1.57,-1.6986011942047223,-1.7327591206276594,-1.6986011942047223,-1.7029948437990872,-1.720828210955702
04.02.2004,1.58,1.57,1.6,1.55,175131000,1.57,-1.6986011942047223,-1.69269100764495,-1.6986011942047223,-1.689836353499924,-1.7005127899241583
05.02.2004,1.55,1.54,1.56,1.53,161339000,1.54,-1.7186245424119522,-1.7127250641363048,-1.7186245424119522,-1.7161533340982502,-1.7140564039451873
