Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,3.51,3.6,3.6,3.51,377600,3.6,-0.9998547381266679,-1.0028930257411268,-0.9998547381266679,-1.0025813540307031,-0.9999461971580409
05.01.2004,3.65,3.56,3.67,3.53,796000,3.56,-1.001301388928326,-0.997829798283742,-1.001301388928326,-1.0000797637461747,-0.9992136779835743
06.01.2004,3.55,3.44,3.55,3.44,1331200,3.44,-1.0056413413333003,-1.0014463893247312,-1.0056413413333003,-1.0043682042339377,-1.0025100142686743
07.01.2004,3.47,3.37,3.47,3.34,2072000,3.37,-1.0081729802362018,-1.0043396621575227,-1.0081729802362018,-1.007227164559113,-1.0061726101410078
08.01.2004,3.37,3.34,3.39,3.34,1966400,3.34,-1.0092579683374454,-1.0079562531985118,-1.0092579683374454,-1.0100861248842883,-1.0061726101410078
09.01.2004,3.35,3.34,3.37,3.28,1595200,3.34,-1.0092579683374454,-1.0086795714067098,-1.0092579683374454,-1.0108008649655822,-1.008370167664408
12.01.2004,3.31,3.29,3.35,3.26,686400,3.29,-1.011066281839518,-1.0101262078231055,-1.011066281839518,-1.011515605046876,-1.0091026868388744
13.01.2004,3.31,3.42,3.42,3.3,2204800,3.42,-1.0063646667341293,-1.0101262078231055,-1.0063646667341293,-1.0090140147623476,-1.0076376484899412
14.01.2004,3.46,3.49,3.52,3.38,1832000,3.49,-1.0038330278312277,-1.0047013212616216,-1.0038330278312277,-1.0054403143558786,-1.0047075717920744
15.01.2004,3.46,3.47,3.49,3.42,636800,3.47,-1.0045563532320567,-1.0047013212616216,-1.0045563532320567,-1.0065124244778192,-1.0032425334431412
16.01.2004,3.48,3.57,3.58,3.47,1098400,3.57,-1.0009397262279116,-1.0039780030534238,-1.0009397262279116,-1.0032960941119968,-1.0014112355069744
20.01.2004,3.56,3.81,3.81,3.56,2650400,3.81,-0.9922598214179632,-1.0010847302206323,-0.9922598214179632,-0.9950765831771179,-0.9981148992218744
21.01.2004,3.78,3.78,3.79,3.74,1120800,3.78,-0.9933448095192067,-0.9931282299304558,-0.9933448095192067,-0.9957913232584117,-0.9915222266516742
22.01.2004,3.79,3.84,3.85,3.79,554400,3.84,-0.9911748333167196,-0.992766570826357,-0.9911748333167196,-0.9936471030145302,-0.9896909287155075
23.01.2004,3.86,3.95,3.97,3.82,923200,3.95,-0.9871965436121599,-0.9902349570976645,-0.9871965436121599,-0.9893586625267672,-0.9885921499538074
26.01.2004,3.95,3.99,4.04,3.92,1155200,3.99,-0.9857498928105018,-0.9869800251607741,-0.9857498928105018,-0.9868570722422388,-0.9849295540814741
27.01.2004,3.99,4.0,4.0,3.97,1139200,4.0,-0.9853882301100874,-0.9855333887443785,-0.9853882301100874,-0.9882865524048264,-0.9830982561453073
28.01.2004,4.0,3.97,4.0,3.94,516800,3.97,-0.9864732182113309,-0.9851717296402794,-0.9864732182113309,-0.9882865524048264,-0.9841970349070073
29.01.2004,3.99,3.92,3.99,3.89,638400,3.92,-0.9882815317134035,-0.9855333887443785,-0.9882815317134035,-0.9886439224454734,-0.986028332843174
30.01.2004,3.94,3.98,3.98,3.92,547200,3.98,-0.9861115555109163,-0.987341684264873,-0.9861115555109163,-0.9890012924861202,-0.9849295540814741
02.02.2004,3.97,3.95,3.97,3.9,408800,3.95,-0.9871965436121599,-0.9862567069525763,-0.9871965436121599,-0.9893586625267672,-0.9856620732559407
03.02.2004,3.95,3.98,3.98,3.92,448800,3.98,-0.9861115555109163,-0.9869800251607741,-0.9861115555109163,-0.9890012924861202,-0.9849295540814741
04.02.2004,3.96,3.81,3.99,3.81,1142400,3.81,-0.9922598214179632,-0.9866183660566752,-0.9922598214179632,-0.9886439224454734,-0.9889584095410408
05.02.2004,3.84,3.75,3.84,3.7,828800,3.75,-0.9944297976204503,-0.9909582753058623,-0.9944297976204503,-0.9940044730551771,-0.9929872650006075
06.02.2004,3.74,3.88,3.88,3.72,1292000,3.88,-0.9897281825150616,-0.9945748663468517,-0.9897281825150616,-0.9925749928925894,-0.9922547458261408
09.02.2004,3.88,3.81,3.9,3.79,1878400,3.81,-0.9922598214179632,-0.9895116388894666,-0.9922598214179632,-0.9918602528112956,-0.9896909287155075
10.02.2004,3.81,3.99,4.02,3.81,1452000,3.99,-0.9857498928105018,-0.9920432526181592,-0.9857498928105018,-0.9875718123235326,-0.9889584095410408
11.02.2004,4.02,4.02,4.06,4.01,1616800,4.02,-0.9846649047092583,-0.9844484114320816,-0.9846649047092583,-0.9861423321609449,-0.9816332177963739
12.02.2004,4.01,3.91,4.01,3.88,1096800,3.91,-0.988643194413818,-0.9848100705361805,-0.988643194413818,-0.9879291823641795,-0.9863945924304074
13.02.2004,3.93,3.8,3.93,3.78,962400,3.8,-0.9926214841183776,-0.9877033433689719,-0.9926214841183776,-0.9907881426893549,-0.9900571883027407
17.02.2004,3.83,3.83,3.84,3.83,887200,3.83,-0.991536496017134,-0.9913199344099611,-0.991536496017134,-0.9940044730551771,-0.988225890366574
18.02.2004,3.84,3.82,3.85,3.79,1353600,3.82,-0.9918981587175486,-0.9909582753058623,-0.9918981587175486,-0.9936471030145302,-0.9896909287155075
19.02.2004,3.82,3.78,3.86,3.78,1022400,3.78,-0.9933448095192067,-0.9916815935140602,-0.9933448095192067,-0.9932897329738833,-0.9900571883027407
20.02.2004,3.78,3.74,3.78,3.72,602400,3.74,-0.9947914603208649,-0.9931282299304558,-0.9947914603208649,-0.9961486932990585,-0.9922547458261408
23.02.2004,3.74,3.62,3.75,3.62,896000,3.62,-0.9991314127258389,-0.9945748663468517,-0.9991314127258389,-0.9972208034209994,-0.9959173416984742
24.02.2004,3.62,3.63,3.67,3.6,703200,3.63,-0.9987697500254245,-0.9989147755960387,-0.9987697500254245,-1.0000797637461747,-0.9966498608729408
25.02.2004,3.63,3.69,3.71,3.61,599200,3.69,-0.9965997738229373,-0.9985531164919398,-0.9965997738229373,-0.998650283583587,-0.9962836012857076
26.02.2004,3.67,3.67,3.69,3.64,572800,3.67,-0.9973230992237664,-0.9971064800755441,-0.9973230992237664,-0.9993650236648808,-0.9951848225240075
27.02.2004,3.69,3.78,3.87,3.68,804800,3.78,-0.9933448095192067,-0.9963831618673462,-0.9933448095192067,-0.9929323629332363,-0.9937197841750742
01.03.2004,3.76,3.91,4.01,3.74,1872000,3.91,-0.988643194413818,-0.9938515481386537,-0.988643194413818,-0.9879291823641795,-0.9915222266516742
02.03.2004,3.91,4.0,4.0,3.87,842400,4.0,-0.9853882301100874,-0.9884266615771699,-0.9853882301100874,-0.9882865524048264,-0.9867608520176406
03.03.2004,4.0,4.04,4.06,3.97,1248800,4.04,-0.9839415793084293,-0.9851717296402794,-0.9839415793084293,-0.9861423321609449,-0.9830982561453073
04.03.2004,4.04,4.02,4.04,4.0,463200,4.02,-0.9846649047092583,-0.9837250932238838,-0.9846649047092583,-0.9868570722422388,-0.9819994773836073
05.03.2004,4.01,4.11,4.11,4.01,473600,4.11,-0.9814099404055276,-0.9848100705361805,-0.9814099404055276,-0.9843554819577104,-0.9816332177963739
08.03.2004,4.11,4.09,4.12,4.05,394400,4.09,-0.9821332658063566,-0.9811934794951913,-0.9821332658063566,-0.9839981119170634,-0.9801681794474405
09.03.2004,4.09,4.11,4.12,4.07,985600,4.11,-0.9814099404055276,-0.9819167977033891,-0.9814099404055276,-0.9839981119170634,-0.9794356602729739
10.03.2004,4.11,3.98,4.11,3.97,1040000,3.98,-0.9861115555109163,-0.9811934794951913,-0.9861115555109163,-0.9843554819577104,-0.9830982561453073
11.03.2004,3.97,3.85,3.97,3.85,678400,3.85,-0.990813170616305,-0.9862567069525763,-0.990813170616305,-0.9893586625267672,-0.9874933711921073
12.03.2004,3.85,3.88,3.88,3.83,452800,3.88,-0.9897281825150616,-0.9905966162017633,-0.9897281825150616,-0.9925749928925894,-0.988225890366574
15.03.2004,3.88,3.82,3.88,3.82,628000,3.82,-0.9918981587175486,-0.9895116388894666,-0.9918981587175486,-0.9925749928925894,-0.9885921499538074
16.03.2004,3.82,3.81,3.85,3.79,515200,3.81,-0.9922598214179632,-0.9916815935140602,-0.9922598214179632,-0.9936471030145302,-0.9896909287155075
17.03.2004,3.81,3.87,3.88,3.81,1020000,3.87,-0.990089845215476,-0.9920432526181592,-0.990089845215476,-0.9925749928925894,-0.9889584095410408
18.03.2004,3.87,3.9,3.91,3.84,1844800,3.9,-0.9890048571142326,-0.9898732979935655,-0.9890048571142326,-0.9915028827706487,-0.9878596307793407
19.03.2004,3.9,3.88,3.9,3.87,452000,3.88,-0.9897281825150616,-0.9887883206812688,-0.9897281825150616,-0.9918602528112956,-0.9867608520176406
22.03.2004,3.86,3.68,3.86,3.64,1059200,3.68,-0.9969614365233519,-0.9902349570976645,-0.9969614365233519,-0.9932897329738833,-0.9951848225240075
23.03.2004,3.71,3.77,3.8,3.71,608800,3.77,-0.9937064722196213,-0.9956598436591484,-0.9937064722196213,-0.9954339532177647,-0.9926210054133742
24.03.2004,3.76,3.74,3.76,3.7,521600,3.74,-0.9947914603208649,-0.9938515481386537,-0.9947914603208649,-0.9968634333803524,-0.9929872650006075
25.03.2004,3.74,3.77,3.77,3.74,771200,3.77,-0.9937064722196213,-0.9945748663468517,-0.9937064722196213,-0.9965060633397056,-0.9915222266516742
26.03.2004,3.77,3.78,3.79,3.77,947200,3.78,-0.9933448095192067,-0.9934898890345548,-0.9933448095192067,-0.9957913232584117,-0.9904234478899742
29.03.2004,3.78,3.86,3.86,3.77,557600,3.86,-0.9904515079158905,-0.9931282299304558,-0.9904515079158905,-0.9932897329738833,-0.9904234478899742
30.03.2004,3.86,3.87,3.92,3.85,740800,3.87,-0.990089845215476,-0.9902349570976645,-0.990089845215476,-0.9911455127300018,-0.9874933711921073
31.03.2004,3.87,3.82,3.88,3.82,848000,3.82,-0.9918981587175486,-0.9898732979935655,-0.9918981587175486,-0.9925749928925894,-0.9885921499538074
01.04.2004,3.91,4.28,4.32,3.9,4878400,4.28,-0.9752616744984808,-0.9884266615771699,-0.9752616744984808,-0.976850711104125,-0.9856620732559407
02.04.2004,4.28,4.24,4.41,4.16,2022400,4.24,-0.976708325300139,-0.9750452747255094,-0.976708325300139,-0.9736343807383028,-0.9761393239878738
05.04.2004,4.24,4.24,4.27,4.2,1054400,4.24,-0.976708325300139,-0.9764919111419053,-0.976708325300139,-0.9786375613073597,-0.9746742856389404
06.04.2004,4.24,4.21,4.27,4.2,326400,4.21,-0.9777933134013824,-0.9764919111419053,-0.9777933134013824,-0.9786375613073597,-0.9746742856389404
07.04.2004,4.21,4.16,4.21,4.12,766400,4.16,-0.9796016269034551,-0.977576888454202,-0.9796016269034551,-0.9807817815512412,-0.9776043623368071
08.04.2004,4.17,4.07,4.19,4.05,508800,4.07,-0.9828565912071857,-0.9790235248705977,-0.9828565912071857,-0.981496521632535,-0.9801681794474405
12.04.2004,4.05,4.18,4.24,4.05,572000,4.18,-0.978878301502626,-0.9833634341197848,-0.978878301502626,-0.9797096714293004,-0.9801681794474405
13.04.2004,4.2,4.03,4.22,4.02,386400,4.03,-0.9843032420088438,-0.9779385475583009,-0.9843032420088438,-0.9804244115105943,-0.9812669582091406
14.04.2004,4.0,4.06,4.11,4.0,512000,4.06,-0.9832182539076003,-0.9851717296402794,-0.9832182539076003,-0.9843554819577104,-0.9819994773836073
15.04.2004,4.07,3.99,4.07,3.93,577600,3.99,-0.9857498928105018,-0.982640115911587,-0.9857498928105018,-0.985784962120298,-0.9845632944942406
16.04.2004,4.0,4.03,4.07,3.97,480000,4.03,-0.9843032420088438,-0.9851717296402794,-0.9843032420088438,-0.985784962120298,-0.9830982561453073
19.04.2004,4.03,4.15,4.15,3.99,748800,4.15,-0.9799632896038695,-0.9840867523279826,-0.9799632896038695,-0.9829260017951226,-0.9823657369708406
20.04.2004,4.17,3.97,4.19,3.97,1020800,3.97,-0.9864732182113309,-0.9790235248705977,-0.9864732182113309,-0.981496521632535,-0.9830982561453073
21.04.2004,3.97,4.01,4.02,3.97,488800,4.01,-0.9850265674096728,-0.9862567069525763,-0.9850265674096728,-0.9875718123235326,-0.9830982561453073
22.04.2004,4.01,4.19,4.23,4.01,1157600,4.19,-0.9785166388022115,-0.9848100705361805,-0.9785166388022115,-0.9800670414699473,-0.9816332177963739
23.04.2004,4.2,4.14,4.2,4.12,1379200,4.14,-0.9803249523042841,-0.9779385475583009,-0.9803249523042841,-0.9811391515918881,-0.9776043623368071
26.04.2004,4.16,4.06,4.16,4.06,442400,4.06,-0.9832182539076003,-0.9793851839746966,-0.9832182539076003,-0.9825686317544757,-0.9798019198602073
27.04.2004,4.09,4.12,4.14,4.07,1885600,4.12,-0.981048277705113,-0.9819167977033891,-0.981048277705113,-0.9832833718357695,-0.9794356602729739
28.04.2004,4.12,4.1,4.14,4.09,1028000,4.1,-0.9817716031059422,-0.9808318203910923,-0.9817716031059422,-0.9832833718357695,-0.9787031410985072
29.04.2004,4.11,4.12,4.14,4.09,1294400,4.12,-0.981048277705113,-0.9811934794951913,-0.981048277705113,-0.9832833718357695,-0.9787031410985072
30.04.2004,4.12,4.19,4.24,4.1,2465600,4.19,-0.9785166388022115,-0.9808318203910923,-0.9785166388022115,-0.9797096714293004,-0.978336881511274
03.05.2004,4.19,4.16,4.19,4.11,1429600,4.16,-0.9796016269034551,-0.9783002066623998,-0.9796016269034551,-0.981496521632535,-0.9779706219240405
04.05.2004,4.17,4.15,4.17,4.11,1346400,4.15,-0.9799632896038695,-0.9790235248705977,-0.9799632896038695,-0.9822112617138289,-0.9779706219240405
05.05.2004,4.15,4.09,4.15,4.09,573600,4.09,-0.9821332658063566,-0.9797468430787954,-0.9821332658063566,-0.9829260017951226,-0.9787031410985072
06.05.2004,4.07,4.03,4.07,3.98,1216000,4.03,-0.9843032420088438,-0.982640115911587,-0.9843032420088438,-0.985784962120298,-0.982731996558074
07.05.2004,4.03,3.87,4.05,3.87,646400,3.87,-0.990089845215476,-0.9840867523279826,-0.990089845215476,-0.9864997022015918,-0.9867608520176406
10.05.2004,3.84,3.77,3.86,3.76,554400,3.77,-0.9937064722196213,-0.9909582753058623,-0.9937064722196213,-0.9932897329738833,-0.9907897074772074
11.05.2004,3.77,3.75,3.78,3.74,695200,3.75,-0.9944297976204503,-0.9934898890345548,-0.9944297976204503,-0.9961486932990585,-0.9915222266516742
12.05.2004,3.75,3.75,3.76,3.67,1494400,3.75,-0.9944297976204503,-0.9942132072427526,-0.9944297976204503,-0.9968634333803524,-0.9940860437623076
13.05.2004,3.75,3.92,3.95,3.75,1108800,3.92,-0.9882815317134035,-0.9942132072427526,-0.9882815317134035,-0.9900734026080611,-0.9911559670644408
14.05.2004,3.88,3.89,3.96,3.82,956000,3.89,-0.989366519814647,-0.9895116388894666,-0.989366519814647,-0.989716032567414,-0.9885921499538074
17.05.2004,3.89,3.88,3.9,3.86,672800,3.88,-0.9897281825150616,-0.9891499797853677,-0.9897281825150616,-0.9918602528112956,-0.9871271116048741
18.05.2004,3.89,3.96,3.97,3.88,531200,3.96,-0.9868348809117453,-0.9891499797853677,-0.9868348809117453,-0.9893586625267672,-0.9863945924304074
19.05.2004,3.97,3.88,3.98,3.88,828800,3.88,-0.9897281825150616,-0.9862567069525763,-0.9897281825150616,-0.9890012924861202,-0.9863945924304074
20.05.2004,3.88,3.92,3.93,3.88,851200,3.92,-0.9882815317134035,-0.9895116388894666,-0.9882815317134035,-0.9907881426893549,-0.9863945924304074
21.05.2004,3.94,3.99,4.0,3.91,714400,3.99,-0.9857498928105018,-0.987341684264873,-0.9857498928105018,-0.9882865524048264,-0.9852958136687073
24.05.2004,4.12,4.21,4.22,4.11,1618400,4.21,-0.9777933134013824,-0.9808318203910923,-0.9777933134013824,-0.9804244115105943,-0.9779706219240405
25.05.2004,4.21,4.36,4.41,4.21,1772000,4.36,-0.9723683728951648,-0.977576888454202,-0.9723683728951648,-0.9736343807383028,-0.9743080260517071
26.05.2004,4.36,4.51,4.62,4.35,1752000,4.51,-0.966943432388947,-0.9721520018927181,-0.966943432388947,-0.9661296098847175,-0.9691803918304404
27.05.2004,4.51,4.52,4.55,4.45,740800,4.52,-0.9665817696885325,-0.9667271153312341,-0.9665817696885325,-0.968631200169246,-0.9655177959581069
28.05.2004,4.51,4.51,4.52,4.47,395200,4.51,-0.966943432388947,-0.9667271153312341,-0.966943432388947,-0.9697033102911867,-0.9647852767836402
01.06.2004,4.49,4.61,4.62,4.48,764800,4.61,-0.9633268053848019,-0.967450433539432,-0.9633268053848019,-0.9661296098847175,-0.9644190171964069
02.06.2004,4.62,4.54,4.66,4.54,976000,4.54,-0.9658584442877035,-0.9627488651861459,-0.9658584442877035,-0.9647001297221299,-0.9622214596730069
03.06.2004,4.55,4.53,4.61,4.49,668800,4.53,-0.9662201069881179,-0.9652804789148384,-0.9662201069881179,-0.9664869799253645,-0.9640527576091736
04.06.2004,4.55,4.62,4.68,4.55,868000,4.62,-0.9629651426843873,-0.9652804789148384,-0.9629651426843873,-0.963985389640836,-0.9618552000857734
07.06.2004,4.65,4.67,4.76,4.64,1002400,4.67,-0.9611568291823148,-0.961663887873849,-0.9611568291823148,-0.9611264293156606,-0.9585588638006733
08.06.2004,4.69,4.74,4.74,4.68,781600,4.74,-0.9586251902794132,-0.9602172514574534,-0.9586251902794132,-0.9618411693969546,-0.95709382545174
09.06.2004,4.78,4.68,4.79,4.68,865600,4.68,-0.9607951664819002,-0.9569623195205631,-0.9607951664819002,-0.96005431919372,-0.95709382545174
10.06.2004,4.7,4.68,4.72,4.67,776800,4.68,-0.9607951664819002,-0.9598555923533545,-0.9607951664819002,-0.9625559094782484,-0.9574600850389735
14.06.2004,4.67,4.62,4.73,4.6,1570400,4.62,-0.9629651426843873,-0.9609405696656513,-0.9629651426843873,-0.9621985394376015,-0.9600239021496069
15.06.2004,4.69,4.69,4.71,4.64,2321600,4.69,-0.9604335037814856,-0.9602172514574534,-0.9604335037814856,-0.9629132795188953,-0.9585588638006733
