Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,38.08,38.29,38.78,38.0,3780500,38.29,-0.46724153013892467,-0.46810018263261827,-0.46724153013892467,-0.46617590195361497,-0.4668974656738553
05.01.2004,37.84,37.72,38.27,37.57,6774200,37.72,-0.4705361531061785,-0.4694866886793225,-0.4705361531061785,-0.4690891538979678,-0.46941374968270544
06.01.2004,37.62,37.69,37.75,37.35,5398600,37.69,-0.47070955431498135,-0.4707576525554681,-0.47070955431498135,-0.4720595284294647,-0.4707011508035125
07.01.2004,37.39,37.53,37.56,37.23,4336100,37.53,-0.47163436076192977,-0.472086387516893,-0.47163436076192977,-0.47314485758520397,-0.47140336959667994
08.01.2004,37.39,36.6,37.45,36.5,5579100,36.6,-0.4770097982348177,-0.472086387516893,-0.4770097982348177,-0.47377320604378986,-0.4756752005884487
09.01.2004,36.49,36.32,36.64,36.27,4468400,36.32,-0.47862820951697754,-0.47728578519203396,-0.47862820951697754,-0.4784001356024678,-0.4770211199420196
12.01.2004,36.52,36.99,37.13,36.44,4530300,36.99,-0.4747555825203808,-0.4771124719361959,-0.4747555825203808,-0.47560112883240335,-0.4760263099850324
13.01.2004,36.93,36.87,37.04,36.66,3662100,36.87,-0.47544918735559216,-0.4747438574397428,-0.47544918735559216,-0.4761152321167009,-0.47473890886422543
14.01.2004,36.74,37.19,37.32,36.55,3862000,37.19,-0.47359957446169526,-0.4758415080600503,-0.47359957446169526,-0.4745157996766641,-0.47538260942462895
15.01.2004,37.25,37.36,37.36,36.96,3355400,37.36,-0.47261696761181254,-0.47289518271080383,-0.47261696761181254,-0.47428730932808744,-0.4729833618813067
16.01.2004,37.52,37.66,37.71,37.43,4237600,37.66,-0.4708829555237842,-0.4713353634082615,-0.4708829555237842,-0.47228801877804144,-0.47023300494140075
20.01.2004,37.68,37.49,37.73,37.41,3605500,37.49,-0.47186556237366684,-0.470411026043792,-0.47186556237366684,-0.472173773603753,-0.4703500414069287
