Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,14.86,14.91,15.08,14.83,17461513,14.91,-0.5659040394546984,-0.5710993556516337,-0.5659040394546984,-0.5623160884690594,-0.5612610681734471
05.01.2004,15.09,15.31,15.31,15.08,32349052,15.31,-0.5277362845636567,-0.5491448810868971,-0.5277362845636567,-0.5406045001676857,-0.5371309908959953
06.01.2004,15.43,15.3,15.43,15.2,24440047,15.3,-0.5286904784359328,-0.5166904404259821,-0.5286904784359328,-0.529276714966969,-0.5255485538028184
07.01.2004,15.19,15.43,15.43,15.16,17674631,15.43,-0.5162859580963443,-0.5395994573630986,-0.5162859580963443,-0.529276714966969,-0.5294093661672107
08.01.2004,15.43,15.29,15.44,15.13,19021116,15.29,-0.5296446723082089,-0.5166904404259821,-0.5296446723082089,-0.5283327328669093,-0.5323049754405048
09.01.2004,15.15,15.12,15.41,15.08,16779996,15.12,-0.5458659681369016,-0.543417626852618,-0.5458659681369016,-0.5311646791670884,-0.5371309908959953
12.01.2004,15.1,14.94,15.16,14.9,20106209,14.94,-0.5630414578378703,-0.5481903387145173,-0.5630414578378703,-0.5547642316685817,-0.5545046465357606
13.01.2004,14.93,14.74,14.98,14.47,21907812,14.74,-0.582125335283391,-0.5644175590449747,-0.582125335283391,-0.5717559094696567,-0.5960083794529777
14.01.2004,14.58,14.74,14.77,14.51,23145102,14.74,-0.582125335283391,-0.5978265420782696,-0.582125335283391,-0.5915795335709111,-0.5921475670885855
15.01.2004,14.71,14.6,14.76,14.53,18907706,14.6,-0.5954840494952557,-0.5854174912373314,-0.5954840494952557,-0.5925235156709708,-0.5902171609063894
16.01.2004,14.64,14.68,14.68,14.59,18138602,14.68,-0.5878504985170474,-0.5920992878439904,-0.5878504985170474,-0.6000753724714486,-0.5844259423598009
20.01.2004,14.69,14.48,14.73,14.47,19742369,14.48,-0.6069343759625682,-0.5873265759820913,-0.6069343759625682,-0.59535546197115,-0.5960083794529777
21.01.2004,14.6,14.94,14.95,14.57,20758319,14.94,-0.5630414578378703,-0.5959174573335099,-0.5630414578378703,-0.5745878557698361,-0.586356348541997
22.01.2004,15.29,15.16,15.34,15.07,25562451,15.16,-0.5420491926477974,-0.5300540336393001,-0.5420491926477974,-0.5377725538675066,-0.5380961939870933
23.01.2004,15.3,15.16,15.3,15.11,17836315,15.16,-0.5420491926477974,-0.5290994912669201,-0.5420491926477974,-0.5415484822677454,-0.5342353816227011
26.01.2004,15.16,15.45,15.45,15.15,19244248,15.45,-0.5143775703517922,-0.5424630844802381,-0.5143775703517922,-0.5273887507668495,-0.5303745692583087
27.01.2004,15.45,15.18,15.46,15.16,16866530,15.18,-0.5401408049032453,-0.5147813556812224,-0.5401408049032453,-0.5264447686667897,-0.5294093661672107
28.01.2004,15.2,15.04,15.27,14.93,20128449,15.04,-0.55349951911511,-0.5386449149907188,-0.55349951911511,-0.5443804285679247,-0.5516090372624664
29.01.2004,15.08,15.4,15.42,15.02,19302956,15.4,-0.5191485397131723,-0.5500994234592769,-0.5191485397131723,-0.5302206970670287,-0.5429222094425837
30.01.2004,15.32,15.36,15.39,15.17,18643363,15.36,-0.5229653152022766,-0.5271904065221604,-0.5229653152022766,-0.5330526433672078,-0.5284441630761126
02.02.2004,15.47,15.69,15.77,15.35,33855112,15.69,-0.4914769174171672,-0.5128722709364626,-0.4914769174171672,-0.49718132356493827,-0.5110705074363473
