Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,17.65,17.58,17.7,17.57,1715400,17.58,-1.0697468459377095,-1.0685297957442976,-1.0697468459377095,-1.07177542553155,-1.0661876263210859
05.01.2004,17.63,17.43,17.63,17.28,3405300,17.43,-1.0713919277193158,-1.0687490963944397,-1.0713919277193158,-1.0725355478669718,-1.0694004525152971
06.01.2004,17.42,17.58,17.64,17.37,2151900,17.58,-1.0697468459377095,-1.0710517532209325,-1.0697468459377095,-1.0724269589619113,-1.0684033685239902
07.01.2004,17.58,17.63,17.72,17.42,3050100,17.63,-1.0691984853438408,-1.0692973480197951,-1.0691984853438408,-1.0715582477214294,-1.0678494329732642
08.01.2004,17.7,17.6,17.71,17.55,3618300,17.6,-1.0695275017001618,-1.0679815441189422,-1.0695275017001618,-1.0716668366264896,-1.0664092005413763
09.01.2004,17.54,17.55,17.67,17.52,1559400,17.55,-1.0700758622940307,-1.0697359493200795,-1.0700758622940307,-1.0721011922467305,-1.0667415618718121
12.01.2004,17.58,17.61,17.75,17.54,1928700,17.61,-1.069417829581388,-1.0692973480197951,-1.069417829581388,-1.0712324810062486,-1.0665199876515217
13.01.2004,17.73,17.66,17.81,17.57,2643000,17.66,-1.0688694689875196,-1.0676525931437288,-1.0688694689875196,-1.070580947575887,-1.0661876263210859
14.01.2004,17.77,17.58,17.77,17.44,4113300,17.58,-1.0697468459377095,-1.0672139918434447,-1.0697468459377095,-1.071015303196128,-1.0676278587529737
15.01.2004,17.61,17.63,17.69,17.24,2558100,17.63,-1.0691984853438408,-1.068968397044582,-1.0691984853438408,-1.0718840144366102,-1.0698436009558783
16.01.2004,17.63,17.9,17.9,17.62,3822900,17.9,-1.0662373381369494,-1.0687490963944397,-1.0662373381369494,-1.0696036474303448,-1.0656336907703596
20.01.2004,17.93,17.95,18.21,17.91,3653400,17.95,-1.0656889775430807,-1.0654595866423073,-1.0656889775430807,-1.0662373913734766,-1.0624208645761484
21.01.2004,17.95,17.93,17.95,17.63,3390600,17.93,-1.0659083217806282,-1.065240285992165,-1.0659083217806282,-1.0690607029050434,-1.0655229036602145
22.01.2004,17.93,18.1,18.15,17.87,2723400,18.1,-1.0640438957614744,-1.0654595866423073,-1.0640438957614744,-1.0668889248038382,-1.0628640130167293
23.01.2004,18.45,18.56,18.76,18.35,3579300,18.56,-1.058998978297882,-1.0597577697386107,-1.058998978297882,-1.0602650015951622,-1.0575462317297588
