Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,9.87,9.87,9.87,9.87,0,9.87,-1.2700255024813103,-1.2703761156604838,-1.2700255024813103,-1.2738659918262134,-1.2666718047066714
02.01.2004,9.87,9.9,9.91,9.86,217474,9.9,-1.2689988088945137,-1.2703761156604838,-1.2689988088945137,-1.2725046780695577,-1.26701636153325
05.01.2004,9.86,9.82,9.87,9.79,1394598,9.82,-1.2717366584593044,-1.2707184236416764,-1.2717366584593044,-1.2738659918262134,-1.269428259319299
06.01.2004,9.86,9.89,9.91,9.83,1683136,9.89,-1.2693410400901124,-1.2707184236416764,-1.2693410400901124,-1.2725046780695577,-1.2680500320129853
07.01.2004,9.91,9.98,9.98,9.89,2206246,9.98,-1.266260959329723,-1.269006883735713,-1.266260959329723,-1.270122378995411,-1.2659826910535146
08.01.2004,10.01,10.14,10.15,9.99,5906637,10.14,-1.2607852602001415,-1.2655838039237866,-1.2607852602001415,-1.2643367955296256,-1.2625371227877302
09.01.2004,10.17,10.22,10.27,10.17,4687121,10.22,-1.2580474106353507,-1.2601068762247039,-1.2580474106353507,-1.2602528542596594,-1.2563350999093186
12.01.2004,10.18,10.24,10.27,10.18,2427667,10.24,-1.257362948244153,-1.2597645682435112,-1.257362948244153,-1.2602528542596594,-1.2559905430827403
13.01.2004,10.25,10.32,10.32,10.24,3734948,10.32,-1.2546250986793623,-1.2573684123751625,-1.2546250986793623,-1.2585512120638402,-1.2539232021232696
14.01.2004,10.32,10.37,10.39,10.28,2452570,10.37,-1.2529139427013682,-1.2549722565068138,-1.2529139427013682,-1.2561689129896934,-1.252544974816956
15.01.2004,10.37,10.35,10.37,10.31,3093390,10.35,-1.2535984050925657,-1.2532607166008507,-1.2535984050925657,-1.256849569868021,-1.2515113043372206
16.01.2004,10.35,10.27,10.37,10.23,3729486,10.27,-1.2563362546573564,-1.2539453325632357,-1.2563362546573564,-1.256849569868021,-1.2542677589498479
19.01.2004,10.28,10.25,10.3,10.23,2497343,10.25,-1.2570207170485541,-1.2563414884315844,-1.2570207170485541,-1.2592318689421678,-1.2542677589498479
20.01.2004,10.23,10.21,10.23,10.18,3013008,10.21,-1.2583896418309495,-1.258053028337548,-1.2583896418309495,-1.2616141680163149,-1.2559905430827403
21.01.2004,10.21,10.26,10.3,10.18,3579979,10.26,-1.2566784858529554,-1.2587376442999332,-1.2566784858529554,-1.2592318689421678,-1.2559905430827403
22.01.2004,10.3,10.36,10.37,10.29,2445505,10.36,-1.253256173896967,-1.255656872469199,-1.253256173896967,-1.256849569868021,-1.2522004179903776
23.01.2004,10.34,10.37,10.39,10.32,1978300,10.37,-1.2529139427013682,-1.2542876405444285,-1.2529139427013682,-1.2561689129896934,-1.2511667475106423
26.01.2004,10.37,10.37,10.37,10.37,0,10.37,-1.2529139427013682,-1.2532607166008507,-1.2529139427013682,-1.256849569868021,-1.24944396337775
27.01.2004,10.37,10.27,10.4,10.27,2938061,10.27,-1.2563362546573564,-1.2532607166008507,-1.2563362546573564,-1.2558285845505295,-1.2528895316435344
28.01.2004,10.17,10.16,10.23,10.16,4199422,10.16,-1.2601007978089436,-1.2601068762247039,-1.2601007978089436,-1.2616141680163149,-1.256679656735897
29.01.2004,10.09,10.15,10.18,10.08,3583110,10.15,-1.2604430290045427,-1.2628453400742452,-1.2604430290045427,-1.263315810212134,-1.2594361113485246
30.01.2004,10.21,10.23,10.28,10.17,13640010,10.23,-1.257705179439752,-1.2587376442999332,-1.257705179439752,-1.2599125258204955,-1.2563350999093186
02.02.2004,10.23,10.18,10.3,10.17,1979546,10.18,-1.2594163354177461,-1.258053028337548,-1.2594163354177461,-1.2592318689421678,-1.2563350999093186
03.02.2004,10.18,10.2,10.22,10.16,1575557,10.2,-1.2587318730265487,-1.2597645682435112,-1.2587318730265487,-1.2619544964554787,-1.256679656735897
04.02.2004,10.23,10.19,10.24,10.17,1821806,10.19,-1.2590741042221474,-1.258053028337548,-1.2590741042221474,-1.261273839577151,-1.2563350999093186
05.02.2004,10.21,10.19,10.21,10.16,3666009,10.19,-1.2590741042221474,-1.2587376442999332,-1.2590741042221474,-1.2622948248946424,-1.256679656735897
06.02.2004,10.19,10.25,10.26,10.19,1688841,10.25,-1.2570207170485541,-1.2594222602623186,-1.2570207170485541,-1.2605931826988233,-1.2556459862561618
09.02.2004,10.27,10.35,10.36,10.26,4197063,10.35,-1.2535984050925657,-1.256683796412777,-1.2535984050925657,-1.2571898983071847,-1.2532340884701128
10.02.2004,10.35,10.38,10.41,10.34,3025429,10.38,-1.252571711505769,-1.2539453325632357,-1.252571711505769,-1.2554882561113654,-1.2504776338574852
11.02.2004,10.52,10.62,10.65,10.41,9060654,10.62,-1.244358162811397,-1.2481260968829604,-1.244358162811397,-1.2473203735714333,-1.2480657360714364
12.02.2004,10.71,10.8,10.81,10.67,12355714,10.8,-1.2381980012906177,-1.2416222452402998,-1.2381980012906177,-1.2418751185448118,-1.2391072585803973
13.02.2004,10.76,10.79,10.8,10.73,5796916,10.79,-1.2385402324862167,-1.2399107053343368,-1.2385402324862167,-1.2422154469839755,-1.2370399176209266
16.02.2004,10.76,10.75,10.78,10.73,28532902,10.75,-1.239909157268612,-1.2399107053343368,-1.239909157268612,-1.2428961038623032,-1.2370399176209266
17.02.2004,10.75,10.79,10.81,10.74,3111553,10.79,-1.2385402324862167,-1.2402530133155294,-1.2385402324862167,-1.2418751185448118,-1.2366953607943483
18.02.2004,10.84,10.86,10.88,10.82,3738334,10.86,-1.236144614117025,-1.2371722414847954,-1.236144614117025,-1.2394928194706647,-1.233938906181721
19.02.2004,10.81,10.86,10.89,10.81,1683859,10.86,-1.236144614117025,-1.2381991654283733,-1.236144614117025,-1.239152491031501,-1.2342834630082993
20.02.2004,10.82,10.86,10.88,10.82,1842845,10.86,-1.236144614117025,-1.2378568574471807,-1.236144614117025,-1.2394928194706647,-1.233938906181721
23.02.2004,10.85,10.78,10.85,10.75,2433906,10.78,-1.2388824636818156,-1.2368299335036026,-1.2388824636818156,-1.2405138047881563,-1.23635080396777
24.02.2004,10.77,10.71,10.77,10.68,2080085,10.71,-1.2412780820510074,-1.239568397353144,-1.2412780820510074,-1.243236432301467,-1.238762701753819
25.02.2004,10.68,10.79,10.81,10.68,1619985,10.79,-1.2385402324862167,-1.242649169183878,-1.2385402324862167,-1.2418751185448118,-1.238762701753819
26.02.2004,10.74,10.79,10.79,10.74,1979017,10.79,-1.2385402324862167,-1.240595321296722,-1.2385402324862167,-1.2425557754231396,-1.2366953607943483
27.02.2004,10.76,10.89,10.89,10.76,3466525,10.89,-1.2351179205302283,-1.2399107053343368,-1.2351179205302283,-1.239152491031501,-1.2360062471411914
01.03.2004,10.89,10.97,10.98,10.88,1934256,10.97,-1.2323800709654378,-1.235460701578832,-1.2323800709654378,-1.2360895350790266,-1.2318715652222503
02.03.2004,11.01,11.0,11.03,10.97,2152615,11.0,-1.2313533773786411,-1.2313530058045201,-1.2313533773786411,-1.2343878928832073,-1.2287705537830445
03.03.2004,11.0,10.9,11.02,10.89,1951966,10.9,-1.2347756893346296,-1.2316953137857127,-1.2347756893346296,-1.234728221322371,-1.231527008395672
04.03.2004,10.84,10.92,10.97,10.84,1959517,10.92,-1.2340912269434319,-1.2371722414847954,-1.2340912269434319,-1.2364298635181903,-1.233249792528564
