Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,27.39,27.35,27.54,27.32,445700,27.35,-0.12350784392318301,-0.11535255077932578,-0.12350784392318301,-0.11834294570468265,-0.09823899357437485
05.01.2004,27.64,27.69,27.74,27.52,519300,27.69,-0.06434233386764522,-0.0718814440778828,-0.06434233386764522,-0.08355295364253448,-0.06344885561246053
06.01.2004,27.81,27.95,28.0,27.76,452100,27.95,-0.019098120295763694,-0.0423210915209019,-0.019098120295763694,-0.03832596396174142,-0.021700690058162848
07.01.2004,27.94,28.06,28.1,27.83,654100,28.06,4.366236926314865e-05,-0.019716116036151105,4.366236926314865e-05,-0.020930967930667024,-0.00952414177149336
08.01.2004,28.24,28.25,28.28,28.18,302300,28.25,0.03310674151794627,0.03244921200557998,0.03310674151794627,0.010380024925266396,0.051358599661857164
09.01.2004,27.74,27.82,28.08,27.62,923700,27.82,-0.041720227081704454,-0.054493001397305986,-0.041720227081704454,-0.0244099671368824,-0.04605378663150306
12.01.2004,27.78,27.86,27.88,27.6,434000,27.86,-0.034759578839876626,-0.04753762432507464,-0.034759578839876626,-0.05919995919903057,-0.04953280042769443
13.01.2004,27.6,27.25,27.6,27.16,902400,27.25,-0.14090946452775321,-0.07883682115011353,-0.14090946452775321,-0.10790594808603778,-0.12607110394390642
14.01.2004,27.33,27.44,27.5,27.29,462400,27.44,-0.10784638537907008,-0.1257856163876725,-0.10784638537907008,-0.12530094411711218,-0.10345751426866222
15.01.2004,27.22,27.08,27.28,26.93,453500,27.08,-0.1704922195555224,-0.14491290333630732,-0.1704922195555224,-0.1635699353854751,-0.16607976260010812
16.01.2004,26.75,26.8,26.94,26.73,508900,26.8,-0.21921675724831785,-0.22663858393501993,-0.21921675724831785,-0.22271292189112718,-0.20086990056202242
20.01.2004,27.47,27.43,27.52,27.27,858200,27.43,-0.10958654743952735,-0.10144179663486433,-0.10958654743952735,-0.12182194491089741,-0.10693652806485358
21.01.2004,27.44,27.81,27.81,27.42,558600,27.81,-0.04346038914216172,-0.10665832943903707,-0.04346038914216172,-0.07137645642078252,-0.08084392459341738
22.01.2004,27.76,27.51,27.76,27.42,261800,27.51,-0.09566525095587107,-0.05101531286119,-0.09566525095587107,-0.08007395443631911,-0.08084392459341738
23.01.2004,27.32,27.21,27.34,27.16,394000,27.21,-0.14787011276958104,-0.12752446065572987,-0.14787011276958104,-0.15313293776683082,-0.12607110394390642
26.01.2004,27.18,27.21,27.52,26.98,350400,27.21,-0.14787011276958104,-0.15186828040853803,-0.14787011276958104,-0.12182194491089741,-0.15738222810962937
27.01.2004,26.96,27.0,27.05,26.9,392700,27.0,-0.18441351603917808,-0.19012285430580766,-0.18441351603917808,-0.20357842625694572,-0.17129828329439548
28.01.2004,27.1,26.68,27.19,26.68,327700,26.68,-0.24009870197380195,-0.1657790345529995,-0.24009870197380195,-0.1792254318134418,-0.20956743505250117
29.01.2004,26.76,26.74,26.79,26.55,1068400,26.74,-0.2296577296110602,-0.22489973966696195,-0.2296577296110602,-0.24880541593773878,-0.23218102472774538
30.01.2004,26.76,26.76,26.82,26.64,442500,26.76,-0.22617740549014567,-0.22489973966696195,-0.22617740549014567,-0.24358691712841632,-0.2165254626448839
02.02.2004,26.27,26.19,26.36,26.04,626400,26.19,-0.32536664293619444,-0.31010310880179054,-0.32536664293619444,-0.32360389887135754,-0.3208958765306275
03.02.2004,26.45,26.51,26.64,26.43,327300,26.51,-0.26968145700157053,-0.27880391197675164,-0.26968145700157053,-0.27489790998434976,-0.25305510750489424
04.02.2004,26.42,26.34,26.48,26.3,318900,26.34,-0.2992642120293398,-0.28402044478092436,-0.2992642120293398,-0.30272990363406843,-0.2756686971801384
05.02.2004,26.55,26.47,26.56,26.44,259800,26.47,-0.276642105243399,-0.2614154692961742,-0.276642105243399,-0.2888139068092094,-0.25131560060679825
06.02.2004,27.05,27.17,27.25,27.01,426800,27.17,-0.15483076101140886,-0.17447325589328821,-0.15483076101140886,-0.16878843419479753,-0.15216370741534202
09.02.2004,27.65,27.66,27.76,27.59,743100,27.66,-0.0695628200490164,-0.07014259980982543,-0.0695628200490164,-0.08007395443631911,-0.05127230732579042
10.02.2004,27.73,27.55,27.77,27.5,342000,27.55,-0.08870460271404323,-0.05623184566536336,-0.08870460271404323,-0.07833445483321204,-0.06692786940865189
11.02.2004,27.55,28.04,28.05,27.46,925700,28.04,-0.003436661751650767,-0.08753104249040225,-0.003436661751650767,-0.029628465946204222,-0.07388589700103464
12.02.2004,27.65,27.6,27.77,27.57,280500,27.6,-0.08000379241175815,-0.07014259980982543,-0.08000379241175815,-0.07833445483321204,-0.05475132112198179
13.02.2004,28.07,27.95,28.1,27.88,454600,27.95,-0.019098120295763694,0.0028888594485990734,-0.019098120295763694,-0.020930967930667024,-0.000826607281014626
17.02.2004,28.42,28.45,28.57,28.32,378700,28.45,0.06790998272708605,0.0637484088306195,0.06790998272708605,0.06082551341538128,0.07571169623519737
18.02.2004,28.2,27.99,28.2,27.95,504000,27.99,-0.012137472053935864,0.025493834933349252,-0.012137472053935864,-0.003535971899593245,0.011349941005655478
19.02.2004,28.33,28.29,28.59,28.23,435700,28.29,0.04006738975977411,0.04809881041809943,0.04006738975977411,0.06430451262159603,0.0600561341523359
20.02.2004,28.27,27.9,28.27,27.82,449000,27.9,-0.027798930598048794,0.037665744809753335,-0.027798930598048794,0.008640525322158709,-0.011263648669588736
23.02.2004,28.36,28.03,28.38,27.97,377200,28.03,-0.005176823812107416,0.053315343222272785,-0.005176823812107416,0.027775020956340175,0.01482895480184685
24.02.2004,28.14,28.23,28.33,28.14,326500,28.23,0.029626417397032357,0.015060769325003158,0.029626417397032357,0.019077522940802977,0.044400572069474425
25.02.2004,28.21,28.11,28.24,28.05,330200,28.11,0.008744472671548245,0.02723267920140724,0.008744472671548245,0.003422026512836266,0.02874500998661295
26.02.2004,28.03,28.09,28.17,27.91,225100,28.09,0.005264148550634331,-0.004066517623631655,0.005264148550634331,-0.00875447070891507,0.004391913413272738
27.02.2004,28.21,28.19,28.32,28.09,242900,28.19,0.022665769155204525,0.02723267920140724,0.022665769155204525,0.017338023337695907,0.03570303757899569
01.03.2004,27.86,28.04,28.12,27.85,628300,28.04,-0.003436661751650767,-0.03362687018061318,-0.003436661751650767,-0.017451968724452267,-0.006045127975301373
02.03.2004,27.17,27.17,27.22,27.0,972700,27.17,-0.15483076101140886,-0.1536071246765954,-0.15483076101140886,-0.17400693300411998,-0.153903214313438
03.03.2004,26.74,26.87,26.93,26.59,781900,26.87,-0.20703562282511884,-0.2283774282030779,-0.20703562282511884,-0.22445242149423486,-0.22522299713536265
04.03.2004,26.78,26.9,26.94,26.7,497300,26.9,-0.20181513664374828,-0.22142205113084656,-0.20181513664374828,-0.22271292189112718,-0.2060884212563098
05.03.2004,26.81,27.03,27.13,26.81,636300,27.03,-0.17919302985780688,-0.21620551832667384,-0.17919302985780688,-0.1896624294320867,-0.18695384537725696
08.03.2004,27.04,27.05,27.32,27.02,547100,27.05,-0.175712705736893,-0.17621210016134622,-0.175712705736893,-0.1566119369730456,-0.15042420051724664
09.03.2004,26.89,26.9,27.07,26.88,373600,26.9,-0.20181513664374828,-0.20229476418221176,-0.20181513664374828,-0.20009942705073097,-0.17477729709058684
10.03.2004,26.56,26.39,26.61,26.39,610100,26.39,-0.29056340172705464,-0.25967662502811684,-0.29056340172705464,-0.28011640879367217,-0.26001313509727697
11.03.2004,26.14,26.07,26.32,25.89,530100,26.07,-0.34624858766167854,-0.3327080842865407,-0.34624858766167854,-0.3305618972837871,-0.34698848000206306
12.03.2004,26.26,26.42,26.44,26.15,296700,26.42,-0.2853429155456835,-0.3118419530698479,-0.2853429155456835,-0.30968790204649793,-0.30176130065157464
15.03.2004,26.22,26.04,26.26,26.04,441700,26.04,-0.3514690738430497,-0.3187973301420792,-0.3514690738430497,-0.34099889490243135,-0.3208958765306275
16.03.2004,26.45,26.4,26.49,26.28,557000,26.4,-0.288823239666598,-0.27880391197675164,-0.288823239666598,-0.30099040403096133,-0.2791477109763298
17.03.2004,26.54,26.73,26.73,26.5,425700,26.73,-0.23139789167151686,-0.2631543135642322,-0.23139789167151686,-0.25924241355638306,-0.24087855921822413
18.03.2004,26.61,26.49,26.61,26.35,509500,26.49,-0.27316178112248507,-0.2509824036878281,-0.27316178112248507,-0.28011640879367217,-0.2669711626896597
19.03.2004,26.28,26.33,26.39,26.21,365800,26.33,-0.301004374089797,-0.30836426453373256,-0.301004374089797,-0.31838540006203514,-0.29132425926299993
22.03.2004,26.1,25.76,26.1,25.75,468200,25.76,-0.40019361153584515,-0.33966346135877146,-0.40019361153584515,-0.36883088855215,-0.3713415765754033
23.03.2004,26.35,26.14,26.36,26.06,499100,26.14,-0.33406745323847953,-0.29619235465732846,-0.33406745323847953,-0.32360389887135754,-0.3174168627344361
24.03.2004,25.96,25.75,26.01,25.75,357600,25.75,-0.40193377359630245,-0.3640072811115796,-0.40193377359630245,-0.3844863849801167,-0.3713415765754033
25.03.2004,25.81,26.24,26.24,25.75,361000,26.24,-0.31666583263390996,-0.39008994513244577,-0.31666583263390996,-0.3444778941086467,-0.3713415765754033
26.03.2004,25.81,25.75,25.92,25.68,381100,25.75,-0.40193377359630245,-0.39008994513244577,-0.40193377359630245,-0.40014188140808343,-0.3835181248620734
29.03.2004,26.01,26.2,26.26,25.98,251600,26.2,-0.3236264808757378,-0.35531305977129085,-0.3236264808757378,-0.34099889490243135,-0.3313329179192016
30.03.2004,26.15,26.28,26.34,26.11,245800,26.28,-0.3097051843920815,-0.3309692400184833,-0.3097051843920815,-0.32708289807757235,-0.30871932824395737
31.03.2004,26.19,26.21,26.21,26.03,697600,26.21,-0.3218863188152805,-0.324013862946252,-0.3218863188152805,-0.34969639291796856,-0.3226353834287229
01.04.2004,26.37,26.52,26.54,26.28,457700,26.52,-0.2679412949411139,-0.2927146661212131,-0.2679412949411139,-0.2922929060154241,-0.2791477109763298
02.04.2004,26.41,26.28,26.41,26.22,548600,26.28,-0.3097051843920815,-0.28575928904898235,-0.3097051843920815,-0.3149064008558204,-0.28958475236490455
05.04.2004,26.14,26.29,26.34,26.04,684400,26.29,-0.30796502233162487,-0.3327080842865407,-0.30796502233162487,-0.32708289807757235,-0.3208958765306275
06.04.2004,26.4,26.5,26.54,26.36,226600,26.5,-0.27142161906202783,-0.2874981333170403,-0.27142161906202783,-0.2922929060154241,-0.2652316557915643
07.04.2004,26.7,26.48,26.7,26.37,256000,26.48,-0.27490194318294175,-0.23533280527530864,-0.27490194318294175,-0.26446091236570546,-0.26349214889346834
08.04.2004,26.49,26.35,26.49,26.28,130000,26.35,-0.2975240499688825,-0.2718485349045209,-0.2975240499688825,-0.30099040403096133,-0.2791477109763298
12.04.2004,26.43,26.56,26.56,26.39,163300,26.56,-0.26098064669928606,-0.282281600512867,-0.26098064669928606,-0.2888139068092094,-0.26001313509727697
13.04.2004,26.47,26.24,26.47,26.22,318900,26.24,-0.31666583263390996,-0.2753262234406363,-0.31666583263390996,-0.3044694032371761,-0.28958475236490455
14.04.2004,25.95,26.04,26.11,25.93,507400,26.04,-0.3514690738430497,-0.3657461253796376,-0.3514690738430497,-0.3670913889490429,-0.34003045240968033
15.04.2004,25.81,25.77,25.83,25.58,381000,25.77,-0.3984534494753885,-0.39008994513244577,-0.3984534494753885,-0.41579737783605075,-0.40091319384303087
16.04.2004,25.79,25.88,25.94,25.76,372200,25.88,-0.37931166681036166,-0.3935676336685611,-0.37931166681036166,-0.3966628822018687,-0.3696020696773073
19.04.2004,25.87,25.98,25.98,25.82,376400,25.98,-0.3619100462057915,-0.37965687952409904,-0.3619100462057915,-0.3897048837894392,-0.3591650282887332
20.04.2004,25.95,25.7,26.05,25.69,359100,25.7,-0.41063458389858754,-0.3657461253796376,-0.41063458389858754,-0.3775283865676872,-0.3817786179639774
21.04.2004,25.69,25.73,25.75,25.57,446900,25.73,-0.40541409771721637,-0.41095607634913794,-0.40541409771721637,-0.42971337466090975,-0.40265270074112625
22.04.2004,25.55,25.96,25.96,25.51,406300,25.96,-0.3653903703267054,-0.43529989610194614,-0.3653903703267054,-0.39318388299565393,-0.41308974212970034
23.04.2004,25.99,26.04,26.09,25.86,507000,26.04,-0.3514690738430497,-0.35879074830740687,-0.3514690738430497,-0.37057038815525767,-0.3522070006963504
26.04.2004,25.96,25.9,26.07,25.87,276700,25.9,-0.37583134268944773,-0.3640072811115796,-0.37583134268944773,-0.3740493873614725,-0.3504674937982544
27.04.2004,25.99,26.01,26.15,25.99,316800,26.01,-0.3566895600244203,-0.35879074830740687,-0.3566895600244203,-0.3601333905366134,-0.32959341102110623
