Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,20.8,20.83,21.09,20.78,9280500,20.83,-0.9120594627223727,-0.9129241466450007,-0.9120594627223727,-0.912671305401822,-0.9070296220659151
05.01.2004,20.85,20.79,20.97,20.65,9715400,20.79,-0.9129113184139709,-0.9118587376822194,-0.9129113184139709,-0.9152071704170962,-0.9098217550492809
06.01.2004,21.13,21.32,21.37,21.1,21209800,21.32,-0.9016242305002955,-0.9058924474906438,-0.9016242305002955,-0.9067542870328488,-0.9001566793376301
07.01.2004,21.33,21.63,21.67,21.33,14472600,21.63,-0.89502234889041,-0.9016308116395184,-0.89502234889041,-0.9004146244946633,-0.8952167517516755
08.01.2004,21.67,22.0,22.05,21.65,11834300,22.0,-0.8871426837431272,-0.8943860306926051,-0.8871426837431272,-0.8923843852796284,-0.8883438090233905
09.01.2004,21.84,22.05,22.26,21.82,10569000,22.05,-0.8860778641286295,-0.8907636402191487,-0.8860778641286295,-0.8879466215028984,-0.8846925581989891
12.01.2004,21.9,22.07,22.27,21.86,7044400,22.07,-0.8856519362828305,-0.889485149463811,-0.8856519362828305,-0.8877352994182923,-0.8838334403579535
13.01.2004,22.07,22.13,22.16,21.87,7205200,22.13,-0.8843741527454333,-0.8858627589903544,-0.8843741527454333,-0.8900598423489604,-0.8836186608976947
14.01.2004,22.23,22.31,22.37,22.15,8672300,22.31,-0.8805408021332418,-0.8824534503094541,-0.8805408021332418,-0.8856220785722303,-0.8776048360104454
15.01.2004,22.67,22.14,22.73,22.01,50329900,22.14,-0.8841611888225338,-0.8730778514369781,-0.8841611888225338,-0.8780144835264077,-0.88061174845407
16.01.2004,22.19,22.34,22.34,22.16,18767200,22.34,-0.8799019103645431,-0.883305777479679,-0.8799019103645431,-0.8862560448260489,-0.8773900565501863
20.01.2004,22.41,22.24,22.48,22.12,18914100,22.24,-0.8820315495935384,-0.8786179780434411,-0.8820315495935384,-0.8832975356415623,-0.8782491743912221
21.01.2004,22.24,22.81,22.81,22.17,20679600,22.81,-0.8698926059882651,-0.8822403685168977,-0.8698926059882651,-0.8763239068495583,-0.8771752770899275
22.01.2004,22.78,22.72,23.06,22.61,15683600,22.72,-0.8718092812943609,-0.8707339517188591,-0.8718092812943609,-0.8710408547344036,-0.8677249808385358
23.01.2004,22.72,22.53,22.92,22.4,10503600,22.53,-0.8758555958294519,-0.8720124424741968,-0.8758555958294519,-0.8739993639188902,-0.8722353495039727
26.01.2004,22.44,22.9,22.91,22.37,12289900,22.9,-0.8679759306821693,-0.8779787326657723,-0.8679759306821693,-0.8742106860034965,-0.8728796878847495
27.01.2004,22.84,22.77,22.88,22.69,9141000,22.77,-0.8707444616798631,-0.8694554609635217,-0.8707444616798631,-0.8748446522573151,-0.8660067451564644
28.01.2004,22.75,22.25,22.86,22.15,14578500,22.25,-0.8818185856706389,-0.8713731970965279,-0.8818185856706389,-0.8752672964265275,-0.8776048360104454
29.01.2004,22.28,22.21,22.41,21.84,12886900,22.21,-0.882670441362237,-0.8813880413466727,-0.882670441362237,-0.8847767902338057,-0.8842629992784714
