Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,19.79,19.52,19.82,19.4,3699600,19.52,-0.8030686508647867,-0.8013918716866038,-0.8030686508647867,-0.8025645751588166,-0.8023242376625092
05.01.2004,19.62,19.87,19.96,19.2,9367400,19.87,-0.8011703746809091,-0.8023138104748463,-0.8011703746809091,-0.801814212794626,-0.8034229910838452
06.01.2004,19.89,19.89,19.96,19.54,5390400,19.89,-0.8010619017561161,-0.8008495547523433,-0.8010619017561161,-0.801814212794626,-0.8015551102675741
07.01.2004,19.69,19.69,19.82,19.53,5457800,19.69,-0.8021466310040463,-0.8019341886208641,-0.8021466310040463,-0.8025645751588166,-0.8016100479386408
08.01.2004,19.68,18.98,19.91,18.93,13034800,18.98,-0.805997419834198,-0.8019884203142901,-0.805997419834198,-0.8020821993532655,-0.8049063082026486
09.01.2004,18.9,18.54,18.96,18.37,12157200,18.54,-0.8083838241796443,-0.806218492401521,-0.8083838241796443,-0.8071739439674162,-0.8079828177823892
12.01.2004,18.63,18.66,18.8,18.16,10290000,18.66,-0.8077329866308861,-0.8076827481240241,-0.8077329866308861,-0.8080315009550626,-0.809136508874792
13.01.2004,18.53,18.57,18.73,18.43,8316600,18.57,-0.8082211147924547,-0.8082250650582844,-0.8082211147924547,-0.808406682137158,-0.8076531917559885
14.01.2004,18.77,18.55,18.91,18.49,5898000,18.55,-0.8083295877172476,-0.8069235044160594,-0.8083295877172476,-0.8074419305260557,-0.8073235657295876
15.01.2004,18.3,19.2,19.36,18.3,10103000,19.2,-0.8048042176614749,-0.8094723940070832,-0.8048042176614749,-0.8050300514983,-0.8083673814798569
16.01.2004,19.47,19.13,19.51,18.99,6686800,19.13,-0.8051838728982504,-0.8031272858762368,-0.8051838728982504,-0.8042260918223816,-0.8045766821762478
20.01.2004,19.62,19.23,19.62,19.04,6494600,19.23,-0.8046415082742855,-0.8023138104748463,-0.8046415082742855,-0.8036365213933746,-0.8043019938209139
21.01.2004,19.24,19.24,19.3,18.88,5783200,19.24,-0.8045872718118888,-0.8043746148250357,-0.8045872718118888,-0.8053516353686675,-0.8051809965579827
22.01.2004,19.11,18.58,19.21,18.58,5726200,18.58,-0.8081668783300583,-0.8050796268395741,-0.8081668783300583,-0.8058340111742186,-0.8068291266899866
23.01.2004,18.83,19.0,19.08,18.63,7971400,19.0,-0.805888946909405,-0.8065981142555033,-0.805888946909405,-0.8065307762266815,-0.8065544383346526
26.01.2004,18.84,19.15,19.15,18.77,4365000,19.15,-0.8050753999734575,-0.8065438825620772,-0.8050753999734575,-0.806155595044586,-0.8057853109397174
27.01.2004,19.19,18.77,19.26,18.71,5251400,18.77,-0.8071363855445245,-0.8046457732921659,-0.8071363855445245,-0.8055660246155791,-0.8061149369661181
28.01.2004,18.84,18.3,18.96,18.18,7204000,18.3,-0.8096854992771603,-0.8065438825620772,-0.8096854992771603,-0.8071739439674162,-0.8090266335326585
29.01.2004,18.5,18.04,18.5,17.87,10593400,18.04,-0.8110956472994695,-0.8083877601385625,-0.8110956472994695,-0.8096394203068997,-0.8107297013357292
30.01.2004,19.1,19.13,19.47,18.77,16114400,19.13,-0.8051838728982504,-0.8051338585330002,-0.8051838728982504,-0.8044404810692932,-0.8057853109397174
02.02.2004,19.27,18.89,19.31,18.68,7617000,18.89,-0.8064855479957667,-0.8042119197447576,-0.8064855479957667,-0.8052980380569396,-0.8062797499793185
03.02.2004,18.85,18.87,19.09,18.45,4035000,18.87,-0.8065940209205595,-0.8064896508686512,-0.8065940209205595,-0.8064771789149534,-0.807543316413855
04.02.2004,18.77,18.94,19.25,18.58,8140000,18.94,-0.806214365683784,-0.8069235044160594,-0.806214365683784,-0.8056196219273071,-0.8068291266899866
05.02.2004,18.91,18.85,19.14,18.69,4703200,18.85,-0.8067024938453526,-0.806164260708095,-0.8067024938453526,-0.806209192356314,-0.8062248123082518
06.02.2004,18.82,19.43,19.57,18.73,6473800,19.43,-0.8035567790263553,-0.8066523459489293,-0.8035567790263553,-0.8039045079520142,-0.8060050616239847
09.02.2004,19.38,19.41,19.75,19.37,5233600,19.41,-0.8036652519511484,-0.8036153711170713,-0.8036652519511484,-0.8029397563409119,-0.8024890506757095
10.02.2004,19.4,19.34,19.55,19.28,3618000,19.34,-0.8040449071879239,-0.803506907730219,-0.8040449071879239,-0.8040117025754698,-0.8029834897153107
11.02.2004,19.58,19.72,19.79,19.37,5494800,19.72,-0.8019839216168567,-0.8025307372485505,-0.8019839216168567,-0.8027253670940003,-0.8024890506757095
12.02.2004,19.79,19.7,19.82,19.63,4558000,19.7,-0.8020923945416497,-0.8013918716866038,-0.8020923945416497,-0.8025645751588166,-0.8010606712279729
13.02.2004,19.58,19.24,19.68,19.16,4511800,19.24,-0.8045872718118888,-0.8025307372485505,-0.8045872718118888,-0.8033149375230072,-0.8036427417681123
17.02.2004,19.47,19.57,19.63,19.24,3224000,19.57,-0.8027974685528043,-0.8031272858762368,-0.8027974685528043,-0.8035829240816468,-0.8032032403995779
18.02.2004,19.56,19.86,19.89,19.35,6689400,19.86,-0.8012246111433056,-0.8026392006354025,-0.8012246111433056,-0.8021893939767213,-0.8025989260178432
19.02.2004,19.87,19.13,20.04,19.04,6949800,19.13,-0.8051838728982504,-0.8009580181391953,-0.8051838728982504,-0.8013854343008028,-0.8043019938209139
20.02.2004,19.23,18.95,19.29,18.78,6456600,18.95,-0.8061601292213876,-0.8044288465184618,-0.8061601292213876,-0.8054052326803954,-0.8057303732686506
23.02.2004,19.03,18.28,19.06,18.09,5915200,18.28,-0.8097939722019533,-0.8055134803869825,-0.8097939722019533,-0.8066379708501371,-0.8095210725722596
24.02.2004,18.33,18.12,18.47,18.0,6555600,18.12,-0.8106617556002973,-0.8093096989268053,-0.8106617556002973,-0.8098002122420834,-0.8100155116118608
25.02.2004,18.15,17.98,18.28,17.75,6699200,17.98,-0.8114210660738485,-0.8102858694084738,-0.8114210660738485,-0.8108185611649136,-0.8113889533885308
26.02.2004,18.18,18.83,18.91,18.07,9185800,18.83,-0.8068109667701456,-0.8101231743281957,-0.8068109667701456,-0.8074419305260557,-0.8096309479143933
27.02.2004,18.86,18.6,18.96,18.4,4506400,18.6,-0.8080584054052652,-0.8064354191752251,-0.8080584054052652,-0.8071739439674162,-0.8078180047691889
01.03.2004,18.73,18.71,18.91,18.52,4644200,18.71,-0.8074618043189036,-0.8071404311897636,-0.8074618043189036,-0.8074419305260557,-0.8071587527163873
02.03.2004,18.7,18.75,18.88,18.66,5128400,18.75,-0.8072448584693176,-0.8073031262700417,-0.8072448584693176,-0.8076027224612394,-0.8063896253214522
03.03.2004,18.6,18.45,18.68,18.34,4747000,18.45,-0.8088719523412128,-0.8078454432043022,-0.8088719523412128,-0.8086746686957974,-0.8081476307955897
04.03.2004,18.38,18.32,18.4,18.14,4559400,18.32,-0.8095770263523673,-0.8090385404596749,-0.8095770263523673,-0.8101753934241787,-0.8092463842169257
05.03.2004,18.26,18.21,18.48,18.1,4051600,18.21,-0.8101736274387288,-0.8096893207807875,-0.8101736274387288,-0.8097466149303556,-0.8094661349011929
08.03.2004,18.22,17.89,18.31,17.88,4926400,17.89,-0.8119091942354171,-0.8099062475544916,-0.8119091942354171,-0.8106577692297299,-0.8106747636646624
09.03.2004,17.89,18.02,18.21,17.87,6282200,18.02,-0.8112041202242624,-0.8116958934375509,-0.8112041202242624,-0.8111937423470088,-0.8107297013357292
10.03.2004,17.95,17.5,18.06,17.46,6031000,17.5,-0.8140244162688807,-0.8113705032769946,-0.8140244162688807,-0.8119977020229274,-0.8129821458494678
11.03.2004,17.43,17.17,17.54,17.13,6695400,17.17,-0.8158142195279652,-0.8141905513351485,-0.8158142195279652,-0.8147847622327784,-0.8147950889946722
12.03.2004,17.38,17.83,17.85,17.28,6603200,17.83,-0.812234613009796,-0.8144617098022787,-0.812234613009796,-0.8131232455692134,-0.8139710239286703
15.03.2004,17.9,17.5,17.91,17.42,5678600,17.5,-0.8140244162688807,-0.8116416617441247,-0.8140244162688807,-0.8128016616988459,-0.813201896533735
16.03.2004,17.62,17.65,17.86,17.51,5949600,17.65,-0.8132108693329331,-0.8131601491600537,-0.8132108693329331,-0.8130696482574854,-0.812707457494134
17.03.2004,17.78,18.11,18.21,17.68,5608800,18.11,-0.8107159920626938,-0.8122924420652372,-0.8107159920626938,-0.8111937423470088,-0.8117735170859983
18.03.2004,18.08,18.11,18.25,17.83,11964200,18.11,-0.8107159920626938,-0.8106654912624561,-0.8107159920626938,-0.8109793531000973,-0.8109494520199965
19.03.2004,19.72,19.9,20.01,19.25,39667000,19.9,-0.8010076652937196,-0.801771493540586,-0.8010076652937196,-0.8015462262359865,-0.8031483027285111
22.03.2004,19.65,19.61,19.91,19.37,14856000,19.61,-0.8025805227032181,-0.8021511153945682,-0.8025805227032181,-0.8020821993532655,-0.8024890506757095
23.03.2004,19.69,19.28,19.85,19.26,7369800,19.28,-0.8043703259623028,-0.8019341886208641,-0.8043703259623028,-0.8024037832236329,-0.8030933650574443
24.03.2004,19.23,19.39,19.69,19.19,8072400,19.39,-0.8037737248759415,-0.8044288465184618,-0.8037737248759415,-0.8032613402112794,-0.803477928754912
25.03.2004,19.49,20.0,20.04,19.46,7529000,20.0,-0.8004653006697545,-0.8030188224893847,-0.8004653006697545,-0.8013854343008028,-0.8019946116361083
26.03.2004,19.93,19.73,20.11,19.7,4849200,19.73,-0.8019296851544603,-0.8006326279786391,-0.8019296851544603,-0.8010102531187073,-0.8006761075305053
