Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,10.73,10.64,10.78,10.61,20730800,10.64,-0.9735623331046145,-0.9699089676821531,-0.9735623331046145,-0.9722558562805251,-0.9709221952404691
05.01.2004,10.75,10.97,10.98,10.74,35329600,10.97,-0.96241165075641,-0.9692331364357766,-0.96241165075641,-0.9655646499836446,-0.9664851265308229
06.01.2004,10.95,11.01,11.1,10.85,40106000,11.01,-0.9610600528960217,-0.9624748239720115,-0.9610600528960217,-0.9615499262055162,-0.9627306837765071
07.01.2004,11.07,11.31,11.33,11.0,45151100,11.31,-0.9509230689431084,-0.9584198364937524,-0.9509230689431084,-0.9538550389641036,-0.9576109891115309
08.01.2004,11.33,11.53,11.64,11.13,70741300,11.53,-0.943489280710972,-0.9496340302908578,-0.943489280710972,-0.9434836692039387,-0.9531739204018848
09.01.2004,11.39,11.47,11.63,11.33,41121800,11.47,-0.9455166775015548,-0.9476065365517282,-0.9455166775015548,-0.9438182295187826,-0.9463476608485832
12.01.2004,11.56,11.87,12.56,11.53,62729400,11.87,-0.9320006988976707,-0.9418619709575278,-0.9320006988976707,-0.912704120238288,-0.9395214012952815
13.01.2004,11.69,11.63,11.72,11.37,78363800,11.63,-0.940110286060001,-0.9374690678560806,-0.940110286060001,-0.9408071866851865,-0.944982408937923
14.01.2004,11.72,11.81,11.88,11.65,30545500,11.81,-0.9340280956882532,-0.9364553209865158,-0.9340280956882532,-0.9354542216476819,-0.9354256455633007
15.01.2004,11.69,12.06,12.13,11.69,50439200,12.06,-0.9255806090608255,-0.9374690678560806,-0.9255806090608255,-0.9270902137765812,-0.9340603936526404
16.01.2004,12.14,12.02,12.17,11.88,46809800,12.02,-0.926932206921214,-0.9222628648126091,-0.926932206921214,-0.9257519725172051,-0.9275754470770037
20.01.2004,12.07,11.91,12.12,11.79,40751300,11.91,-0.9306491010372822,-0.9246282741749269,-0.9306491010372822,-0.9274247740914254,-0.9306472638759895
21.01.2004,11.84,11.91,12.08,11.75,36834500,11.91,-0.9306491010372822,-0.9324003335082568,-0.9306491010372822,-0.9287630153508014,-0.9320125157866498
22.01.2004,11.97,11.76,12.07,11.67,34476800,11.76,-0.9357175930137388,-0.9280074304068094,-0.9357175930137388,-0.9290975756656454,-0.9347430196079703
23.01.2004,11.78,11.77,11.88,11.62,28790500,11.77,-0.9353796935486416,-0.9344278272473863,-0.9353796935486416,-0.9354542216476819,-0.9364495844962959
26.01.2004,11.71,11.72,11.77,11.56,33787100,11.72,-0.9370691908741272,-0.936793236609704,-0.9370691908741272,-0.9391343851109664,-0.9384974623622863
27.01.2004,11.67,11.5,11.89,11.48,32503900,11.5,-0.9445029791062635,-0.938144899102457,-0.9445029791062635,-0.935119661332838,-0.9412279661836069
28.01.2004,11.59,11.29,11.66,11.22,44593900,11.29,-0.9515988678733027,-0.9408482240879631,-0.9515988678733027,-0.9428145485742506,-0.9501021036028992
29.01.2004,11.38,11.49,11.51,11.12,50196100,11.49,-0.9448408785713605,-0.9479444521749164,-0.9448408785713605,-0.9478329532969111,-0.95351523337955
30.01.2004,11.42,11.22,11.58,11.16,45136500,11.22,-0.9539641641289824,-0.9465927896821634,-0.9539641641289824,-0.9454910310930029,-0.9521499814688895
02.02.2004,11.14,11.04,11.25,10.94,42162300,11.04,-0.9600463545007303,-0.9560544271314346,-0.9600463545007303,-0.9565315214828558,-0.9596588669775215
03.02.2004,10.99,11.26,11.33,10.95,32484300,11.26,-0.952612566268594,-0.9611231614792584,-0.952612566268594,-0.9538550389641036,-0.9593175539998563
04.02.2004,10.68,10.74,11.08,10.62,47107800,10.74,-0.9701833384536434,-0.9715985457980943,-0.9701833384536434,-0.9622190468352043,-0.970580882262804
05.02.2004,10.88,10.98,11.15,10.78,39729800,10.98,-0.9620737512913129,-0.9648402333343291,-0.9620737512913129,-0.9598771246312962,-0.9651198746201626
06.02.2004,10.99,10.87,11.14,10.82,41298900,10.87,-0.9657906454073811,-0.9611231614792584,-0.9657906454073811,-0.9602116849461401,-0.9637546227095023
09.02.2004,10.96,10.75,11.04,10.73,33219100,10.75,-0.9698454389885464,-0.9621369083488231,-0.9698454389885464,-0.9635572880945804,-0.966826439508488
10.02.2004,10.74,10.84,10.95,10.74,30386400,10.84,-0.9668043438026723,-0.9695710520589648,-0.9668043438026723,-0.9665683309281767,-0.9664851265308229
11.02.2004,10.95,11.09,11.16,10.79,38713100,11.09,-0.9583568571752448,-0.9624748239720115,-0.9583568571752448,-0.959542564316452,-0.9647785616424975
12.02.2004,11.03,11.11,11.21,10.94,27981100,11.11,-0.9576810582450506,-0.9597714989865054,-0.9576810582450506,-0.9578697627422319,-0.9596588669775215
13.02.2004,11.16,11.16,11.42,11.06,41834100,11.16,-0.955991560919565,-0.9553785958850581,-0.955991560919565,-0.9508439961305073,-0.9555631112455403
17.02.2004,11.26,11.14,11.32,11.12,21836800,11.14,-0.9566673598497591,-0.9519994396531756,-0.9566673598497591,-0.9541895992789475,-0.95351523337955
18.02.2004,11.24,11.38,11.46,11.1,38796400,11.38,-0.9485577726874286,-0.952675270899552,-0.9485577726874286,-0.9495057548711312,-0.95419785933488
