Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,4.27,4.35,4.38,4.24,10085323,4.35,-0.7371524610944354,-0.7386640943626915,-0.7371524610944354,-0.7360378502261999,-0.7398987057164261
05.01.2004,4.4,4.44,4.46,4.38,8401173,4.44,-0.7348654711332362,-0.7353650513991865,-0.7348654711332362,-0.7340325272209443,-0.7362946527315198
06.01.2004,4.44,4.45,4.45,4.36,7615352,4.45,-0.7346113611375473,-0.7343499612565695,-0.7346113611375473,-0.7342831925966012,-0.7368095174436493
07.01.2004,4.42,4.4,4.42,4.28,10438088,4.4,-0.7358819111159914,-0.7348575063278779,-0.7358819111159914,-0.735035188723572,-0.7388689762921672
08.01.2004,4.52,4.56,4.56,4.45,10189530,4.56,-0.7318161511849705,-0.7323197809713357,-0.7318161511849705,-0.7315258734643747,-0.7344926262390667
09.01.2004,4.6,4.62,4.66,4.56,10287045,4.62,-0.7302914912108376,-0.7302896006861018,-0.7302914912108376,-0.7290192197078051,-0.7316608703223546
12.01.2004,4.66,4.55,4.66,4.55,7368776,4.55,-0.7320702611806592,-0.7287669654721765,-0.7320702611806592,-0.7290192197078051,-0.7319183026784193
13.01.2004,4.52,4.37,4.53,4.36,14175880,4.37,-0.7366442411030578,-0.7323197809713357,-0.7366442411030578,-0.7322778695913456,-0.7368095174436493
14.01.2004,4.42,4.44,4.49,4.4,7003497,4.44,-0.7348654711332362,-0.7348575063278779,-0.7348654711332362,-0.7332805310939733,-0.7357797880193904
15.01.2004,4.44,4.48,4.53,4.4,7373237,4.48,-0.733849031150481,-0.7343499612565695,-0.733849031150481,-0.7322778695913456,-0.7357797880193904
16.01.2004,4.53,4.62,4.63,4.48,12189768,4.62,-0.7302914912108376,-0.7320660084356815,-0.7302914912108376,-0.7297712158347761,-0.7337203291708725
20.01.2004,4.72,4.74,4.75,4.68,11065803,4.74,-0.7272421712625717,-0.7272443302582511,-0.7272421712625717,-0.7267632313268926,-0.7285716820495778
21.01.2004,4.75,4.68,4.75,4.65,8123373,4.68,-0.7287668312367047,-0.7264830126512883,-0.7287668312367047,-0.7267632313268926,-0.7293439791177719
22.01.2004,4.68,4.62,4.7,4.54,7740003,4.62,-0.7302914912108376,-0.728259420400868,-0.7302914912108376,-0.7280165582051774,-0.7321757350344841
