Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,11.18,11.23,11.3,11.18,8096426,11.23,-1.3430561554855753,-1.3477841466525535,-1.3430561554855753,-1.3462663262704162,-1.3373508254941704
05.01.2004,11.31,11.56,11.56,11.28,16918064,11.56,-1.3150295974780748,-1.336740803264068,-1.3150295974780748,-1.3243272814637013,-1.3288013312782254
06.01.2004,11.55,11.75,11.77,11.52,11114586,11.75,-1.2988930943828474,-1.316353092393018,-1.2988930943828474,-1.3066072837352005,-1.3082825451599576
07.01.2004,11.73,11.77,11.77,11.59,10416283,11.77,-1.2971945151096655,-1.3010623092397307,-1.2971945151096655,-1.3066072837352005,-1.302297899208796
08.01.2004,11.85,11.95,11.95,11.79,10160535,11.95,-1.2819073016510292,-1.2908684538042057,-1.2819073016510292,-1.2914187142536286,-1.2851989107769062
09.01.2004,11.9,11.6,11.9,11.59,9437769,11.6,-1.3116324389317113,-1.2866210140394034,-1.3116324389317113,-1.295637761331843,-1.302297899208796
12.01.2004,11.54,11.83,11.87,11.49,8130007,11.83,-1.29209877729012,-1.3172025803459786,-1.29209877729012,-1.2981691895787717,-1.3108473934247409
13.01.2004,11.88,11.78,11.9,11.59,8752364,11.78,-1.2963452254730747,-1.2883199899453242,-1.2963452254730747,-1.295637761331843,-1.302297899208796
14.01.2004,11.83,11.87,11.9,11.77,6320089,11.87,-1.2887016187437565,-1.2925674297101264,-1.2887016187437565,-1.295637761331843,-1.2869088096200951
15.01.2004,11.9,11.87,11.93,11.79,8471708,11.87,-1.2887016187437565,-1.2866210140394034,-1.2887016187437565,-1.2931063330849144,-1.2851989107769062
16.01.2004,11.91,11.9,11.99,11.82,7526886,11.9,-1.2861537498339837,-1.285771526086443,-1.2861537498339837,-1.2880434765910571,-1.2826340625121224
20.01.2004,11.91,11.97,12.07,11.91,7331406,11.97,-1.280208722377847,-1.285771526086443,-1.280208722377847,-1.2812930012659138,-1.274939517717772
21.01.2004,11.97,11.92,11.97,11.78,9250183,11.92,-1.2844551705608018,-1.2806745983686805,-1.2844551705608018,-1.2897310954223429,-1.2860538601985005
22.01.2004,11.91,12.07,12.1,11.84,9170679,12.07,-1.2717158260119379,-1.285771526086443,-1.2717158260119379,-1.2787615730189854,-1.2809241636689335
23.01.2004,12.07,12.11,12.12,12.03,5670378,12.11,-1.2683186674655744,-1.2721797188390764,-1.2683186674655744,-1.2770739541876996,-1.264680124658638
26.01.2004,12.07,12.16,12.19,12.03,6491329,12.16,-1.2640722192826197,-1.2721797188390764,-1.2640722192826197,-1.2711672882781992,-1.264680124658638
27.01.2004,12.16,11.94,12.16,11.91,8578566,11.94,-1.28275659128762,-1.2645343272624325,-1.28275659128762,-1.273698716525128,-1.274939517717772
28.01.2004,11.99,11.83,12.09,11.78,8833758,11.83,-1.29209877729012,-1.2789756224627598,-1.29209877729012,-1.2796053824346283,-1.2860538601985005
29.01.2004,11.88,11.94,11.96,11.65,9394291,11.94,-1.28275659128762,-1.2883199899453242,-1.28275659128762,-1.2905749048379858,-1.297168202679229
30.01.2004,11.98,11.87,11.98,11.78,6906086,11.87,-1.2887016187437565,-1.2798251104157201,-1.2887016187437565,-1.2888872860067,-1.2860538601985005
02.02.2004,11.83,12.07,12.15,11.67,8820637,12.07,-1.2717158260119379,-1.2925674297101264,-1.2717158260119379,-1.2745425259407708,-1.29545830383604
03.02.2004,12.16,11.99,12.17,11.89,5546285,11.99,-1.2785101431046653,-1.2645343272624325,-1.2785101431046653,-1.272854907109485,-1.276649416560961
04.02.2004,11.85,11.81,11.96,11.7,7692455,11.81,-1.2937973565633019,-1.2908684538042057,-1.2937973565633019,-1.2905749048379858,-1.2928934555712566
05.02.2004,11.77,11.88,11.88,11.72,5736650,11.88,-1.2878523291071655,-1.297664357427889,-1.2878523291071655,-1.2973253801631288,-1.2911835567280674
