Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
09.07.2018,16.6,16.8,17.0,16.0,462182642,16.8,0.2268540548796822,0.1887404260307101,0.2268540548796822,0.20178741494312671,0.14415663184348776
10.07.2018,17.0,19.0,19.34,17.0,534072218,19.0,0.603860537574295,0.2570329384067683,0.603860537574295,0.5924039391586075,0.319470991030649
11.07.2018,18.5,19.0,19.8,18.3,374721138,19.0,0.603860537574295,0.5131298598169873,0.603860537574295,0.6691918028932747,0.5473796579739588
12.07.2018,19.4,19.26,19.7,19.02,132592630,19.26,0.6484158491654769,0.6667880126631185,0.6484158491654769,0.652498789037912,0.6736059965887148
13.07.2018,19.6,21.45,21.8,19.52,364065075,21.45,1.0237086660296595,0.7009342688511482,1.0237086660296595,1.0030520800005234,0.7612631761822954
16.07.2018,19.94,21.05,21.3,19.4,211621432,21.05,0.9551620328124573,0.7589829043707977,0.9551620328124573,0.9195870107237112,0.7402254530798359
17.07.2018,21.45,20.9,21.7,20.55,97690237,20.9,0.929457045356006,1.016787138590418,0.929457045356006,0.9863590661451606,0.9418369661450717
18.07.2018,21.4,21.55,22.2,21.4,142583771,21.55,1.0408453243339602,1.0082505745434105,1.0408453243339602,1.0698241354219726,1.0908541714541584
19.07.2018,21.7,20.1,21.9,19.82,153563433,20.1,0.7923637789216018,1.0594699588254544,0.7923637789216018,1.0197450938558854,0.8138574839384439
20.07.2018,20.1,19.88,20.45,19.5,111713800,19.88,0.7546631306521401,0.7862999093212212,0.7546631306521401,0.7776963929531303,0.7577568889985523
23.07.2018,19.88,19.02,19.98,19.0,82544900,19.02,0.6072878692351551,0.7487390275143886,0.6072878692351551,0.699239227832927,0.6700997094049717
24.07.2018,19.1,18.24,19.7,18.2,113828488,18.24,0.4736219344616103,0.6155686283810752,0.4736219344616103,0.652498789037912,0.5298482220552425
25.07.2018,18.56,18.58,18.88,18.18,72027810,18.58,0.5318865726962323,0.5233737366733958,0.5318865726962323,0.5156160754239402,0.5263419348714993
26.07.2018,18.8,18.3,18.84,18.12,40951672,18.3,0.483903929444191,0.5643492440990312,0.483903929444191,0.5089388698817953,0.5158230733202699
27.07.2018,18.32,19.04,19.12,18.3,68204685,19.04,0.6107152008960152,0.48239822924776105,0.6107152008960152,0.5556793086768103,0.5473796579739588
30.07.2018,18.86,18.68,18.92,18.32,43124305,18.68,0.5490232310005331,0.5745931209554398,0.5490232310005331,0.5222932809660855,0.550885945157702
31.07.2018,18.42,17.6,18.48,17.42,100190678,17.6,0.363947321314087,0.4994713573417759,0.363947321314087,0.4488440200024907,0.3931030218892571
01.08.2018,17.94,17.86,18.26,17.56,42088808,17.86,0.4085026329052682,0.41752034249050574,0.4085026329052682,0.41211938952069355,0.4176470321754591
02.08.2018,18.0,17.26,18.14,16.96,80125110,17.26,0.30568268307946506,0.4277642193469143,0.30568268307946506,0.39208777289425845,0.31245841666316276
03.08.2018,17.32,17.0,17.68,16.9,47386901,17.0,0.26112737148828324,0.31166694830761504,0.26112737148828324,0.31529990915959116,0.30193955511193266
06.08.2018,17.2,17.22,17.68,17.1,39896098,17.22,0.29882801975774437,0.29117919459479735,0.29882801975774437,0.31529990915959116,0.33700242694936544
07.08.2018,17.3,17.42,17.62,17.22,29000537,17.42,0.33310133636634603,0.3082523226888122,0.33310133636634603,0.3052841008463739,0.3580401500518243
08.08.2018,17.5,17.14,17.62,17.02,37947677,17.14,0.28511869311430416,0.3423985788768413,0.28511869311430416,0.3052841008463739,0.3229772782143922
09.08.2018,17.4,18.08,18.6,17.26,109541974,18.08,0.44620328117472935,0.32532545078282643,0.44620328117472935,0.4688756366289258,0.36505272441931125
10.08.2018,18.3,18.16,18.6,18.0,54535948,18.16,0.4599126078181701,0.4789836036289582,0.4599126078181701,0.4688756366289258,0.49478535021781034
13.08.2018,17.98,17.44,18.06,17.24,49053111,17.44,0.33652866802720605,0.42434959372811143,0.33652866802720605,0.3787333618099682,0.3615464372355675
14.08.2018,17.6,17.16,17.6,17.0,51105928,17.16,0.2885460247751642,0.3594717069708561,0.2885460247751642,0.3019454980753015,0.319470991030649
15.08.2018,17.28,16.3,17.34,16.22,79753065,16.3,0.14117076335817924,0.30483769707000935,0.14117076335817924,0.2585436620513589,0.18272579086466303
16.08.2018,16.16,16.24,16.6,15.52,60546391,16.24,0.13088876837559849,0.11361866241704562,0.13088876837559849,0.13501535952167723,0.06000573943365025
17.08.2018,16.6,16.36,16.74,16.26,26655983,16.36,0.15145275834075939,0.1887404260307101,0.15145275834075939,0.15838557891918414,0.18973836523214996
20.08.2018,16.6,16.46,16.68,16.28,34082872,16.46,0.16858941664506022,0.1887404260307101,0.16858941664506022,0.1483697706059669,0.19324465241589311
21.08.2018,16.8,17.4,17.44,16.56,75830829,17.4,0.32967400470548536,0.22288668221873917,0.32967400470548536,0.2752366759067216,0.24233267298829786
22.08.2018,17.78,17.68,17.78,17.08,47002451,17.68,0.37765664795752724,0.39020333754008235,0.37765664795752724,0.3319929230149538,0.33349613976562165
23.08.2018,18.22,17.44,18.96,17.44,115613435,17.44,0.33652866802720605,0.4653251011537462,0.33652866802720605,0.5289704865082304,0.39660930907300024
24.08.2018,17.2,17.04,17.34,16.92,38150978,17.04,0.2679820348100033,0.29117919459479735,0.2679820348100033,0.2585436620513589,0.30544584229567645
27.08.2018,17.34,17.32,17.48,17.08,29085179,17.32,0.3159646780620452,0.3150815739264179,0.3159646780620452,0.2819138814488664,0.33349613976562165
28.08.2018,17.6,17.12,17.62,16.94,26264447,17.12,0.28169136145344414,0.3594717069708561,0.28169136145344414,0.3052841008463739,0.3089521294794196
29.08.2018,17.12,17.14,17.28,17.02,15457732,17.14,0.28511869311430416,0.27752069211958597,0.28511869311430416,0.24852785373814168,0.3229772782143922
30.08.2018,17.28,17.14,17.28,17.04,16052634,17.14,0.28511869311430416,0.30483769707000935,0.28511869311430416,0.24852785373814168,0.32648356539813533
31.08.2018,16.88,16.8,16.98,16.62,28107696,16.8,0.2268540548796822,0.23654518469395056,0.2268540548796822,0.1984488121720543,0.2528515345395279
03.09.2018,16.8,16.5,16.86,16.38,20242557,16.5,0.1754440799667803,0.22288668221873917,0.1754440799667803,0.17841719554561922,0.21077608833460887
04.09.2018,16.62,16.74,16.94,16.5,15882122,16.74,0.21657205989710146,0.19215505164951294,0.21657205989710146,0.19177160662990947,0.2318138114370684
05.09.2018,16.7,16.56,16.74,16.52,16304906,16.56,0.18572607494936044,0.20581355412472432,0.18572607494936044,0.15838557891918414,0.23532009862081155
06.09.2018,16.56,16.46,16.82,16.42,26331333,16.46,0.16858941664506022,0.18191117479310379,0.16858941664506022,0.1717399900034744,0.2177886627020958
07.09.2018,16.5,16.5,16.78,16.36,15029354,16.5,0.1754440799667803,0.17166729793669525,0.1754440799667803,0.16506278446132958,0.2072698011508657
