Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,1.41,1.41,1.42,1.4,15301800,1.41,-1.0372170726720065,-1.0369216125208656,-1.0372170726720065,-1.0386556690752602,-1.035169748551829
05.01.2004,1.41,1.42,1.42,1.41,15093000,1.42,-1.0363099435758507,-1.0369216125208656,-1.0363099435758507,-1.0386556690752602,-1.0342541893139277
06.01.2004,1.41,1.4,1.41,1.39,18496800,1.4,-1.0381242017681624,-1.0369216125208656,-1.0381242017681624,-1.0395541626692422,-1.0360853077897303
07.01.2004,1.4,1.38,1.4,1.34,27158400,1.38,-1.0399384599604746,-1.037828661440942,-1.0399384599604746,-1.0404526562632244,-1.040663103979237
08.01.2004,1.38,1.39,1.39,1.38,16628400,1.39,-1.0390313308643184,-1.039642759281095,-1.0390313308643184,-1.0413511498572066,-1.0370008670276316
09.01.2004,1.38,1.37,1.38,1.37,11601000,1.37,-1.0408455890566304,-1.039642759281095,-1.0408455890566304,-1.0422496434511888,-1.037916426265533
12.01.2004,1.37,1.36,1.37,1.35,15908400,1.36,-1.0417527181527864,-1.0405498082011715,-1.0417527181527864,-1.0431481370451707,-1.0397475447413356
13.01.2004,1.37,1.36,1.37,1.35,16264800,1.36,-1.0417527181527864,-1.0405498082011715,-1.0417527181527864,-1.0431481370451707,-1.0397475447413356
14.01.2004,1.37,1.35,1.37,1.35,17616600,1.35,-1.0426598472489423,-1.0405498082011715,-1.0426598472489423,-1.0431481370451707,-1.0397475447413356
15.01.2004,1.35,1.34,1.35,1.33,19888200,1.34,-1.0435669763450983,-1.0423639060413246,-1.0435669763450983,-1.0449451242331351,-1.0415786632171382
16.01.2004,1.35,1.33,1.35,1.33,11631600,1.33,-1.0444741054412543,-1.0423639060413246,-1.0444741054412543,-1.0449451242331351,-1.0415786632171382
20.01.2004,1.33,1.34,1.35,1.33,16003800,1.34,-1.0435669763450983,-1.0441780038814774,-1.0435669763450983,-1.0449451242331351,-1.0415786632171382
21.01.2004,1.35,1.38,1.38,1.34,18151200,1.38,-1.0399384599604746,-1.0423639060413246,-1.0399384599604746,-1.0422496434511888,-1.040663103979237
22.01.2004,1.37,1.39,1.39,1.37,12688200,1.39,-1.0390313308643184,-1.0405498082011715,-1.0390313308643184,-1.0413511498572066,-1.037916426265533
23.01.2004,1.39,1.39,1.39,1.38,12191400,1.39,-1.0390313308643184,-1.0387357103610184,-1.0390313308643184,-1.0413511498572066,-1.0370008670276316
26.01.2004,1.38,1.41,1.41,1.38,17987400,1.41,-1.0372170726720065,-1.039642759281095,-1.0372170726720065,-1.0395541626692422,-1.0370008670276316
27.01.2004,1.41,1.35,1.42,1.35,38656800,1.35,-1.0426598472489423,-1.0369216125208656,-1.0426598472489423,-1.0386556690752602,-1.0397475447413356
28.01.2004,1.34,1.3,1.34,1.3,33595200,1.3,-1.047195492729722,-1.043270954961401,-1.047195492729722,-1.0458436178271173,-1.0443253409308422
29.01.2004,1.26,1.26,1.28,1.26,40482000,1.26,-1.050824009114346,-1.0505273463220128,-1.050824009114346,-1.0512345793910103,-1.0479875778824477
30.01.2004,1.25,1.24,1.25,1.22,45586800,1.24,-1.0526382673066579,-1.0514343952420893,-1.0526382673066579,-1.0539300601729567,-1.051649814834053
02.02.2004,1.24,1.23,1.24,1.22,36016200,1.23,-1.0535453964028139,-1.052341444162166,-1.0535453964028139,-1.0548285537669388,-1.051649814834053
03.02.2004,1.22,1.24,1.26,1.22,31975200,1.24,-1.0526382673066579,-1.0541555420023188,-1.0526382673066579,-1.0530315665789747,-1.051649814834053
04.02.2004,1.23,1.22,1.24,1.21,27189000,1.22,-1.0544525254989698,-1.0532484930822423,-1.0544525254989698,-1.0548285537669388,-1.0525653740719545
05.02.2004,1.22,1.22,1.23,1.21,27889200,1.22,-1.0544525254989698,-1.0541555420023188,-1.0544525254989698,-1.055727047360921,-1.0525653740719545
06.02.2004,1.22,1.23,1.24,1.21,34047000,1.23,-1.0535453964028139,-1.0541555420023188,-1.0535453964028139,-1.0548285537669388,-1.0525653740719545
09.02.2004,1.24,1.26,1.26,1.24,24523200,1.26,-1.050824009114346,-1.052341444162166,-1.050824009114346,-1.0530315665789747,-1.0498186963582503
10.02.2004,1.26,1.26,1.27,1.25,25642800,1.26,-1.050824009114346,-1.0505273463220128,-1.050824009114346,-1.0521330729849925,-1.048903137120349
11.02.2004,1.26,1.28,1.28,1.26,15346800,1.28,-1.0490097509220342,-1.0505273463220128,-1.0490097509220342,-1.0512345793910103,-1.0479875778824477
12.02.2004,1.28,1.26,1.28,1.26,14765400,1.26,-1.050824009114346,-1.04871324848186,-1.050824009114346,-1.0512345793910103,-1.0479875778824477
13.02.2004,1.26,1.24,1.26,1.23,18871200,1.24,-1.0526382673066579,-1.0505273463220128,-1.0526382673066579,-1.0530315665789747,-1.0507342555961516
17.02.2004,1.24,1.23,1.24,1.19,30115800,1.23,-1.0535453964028139,-1.052341444162166,-1.0535453964028139,-1.0548285537669388,-1.0543964925477571
18.02.2004,1.23,1.23,1.24,1.23,22267800,1.23,-1.0535453964028139,-1.0532484930822423,-1.0535453964028139,-1.0548285537669388,-1.0507342555961516
19.02.2004,1.24,1.23,1.25,1.23,12891600,1.23,-1.0535453964028139,-1.052341444162166,-1.0535453964028139,-1.0539300601729567,-1.0507342555961516
20.02.2004,1.25,1.23,1.25,1.22,12695400,1.23,-1.0535453964028139,-1.0514343952420893,-1.0535453964028139,-1.0539300601729567,-1.051649814834053
23.02.2004,1.23,1.22,1.23,1.21,16097400,1.22,-1.0544525254989698,-1.0532484930822423,-1.0544525254989698,-1.055727047360921,-1.0525653740719545
24.02.2004,1.2,1.22,1.22,1.2,18820800,1.22,-1.0544525254989698,-1.0559696398424718,-1.0544525254989698,-1.0566255409549032,-1.0534809333098558
25.02.2004,1.22,1.22,1.23,1.21,19310400,1.22,-1.0544525254989698,-1.0541555420023188,-1.0544525254989698,-1.055727047360921,-1.0525653740719545
26.02.2004,1.22,1.21,1.22,1.2,17409600,1.21,-1.0553596545951258,-1.0541555420023188,-1.0553596545951258,-1.0566255409549032,-1.0534809333098558
27.02.2004,1.22,1.24,1.25,1.22,23563800,1.24,-1.0526382673066579,-1.0541555420023188,-1.0526382673066579,-1.0539300601729567,-1.051649814834053
01.03.2004,1.24,1.21,1.24,1.21,29219400,1.21,-1.0553596545951258,-1.052341444162166,-1.0553596545951258,-1.0548285537669388,-1.0525653740719545
02.03.2004,1.21,1.21,1.22,1.2,18721800,1.21,-1.0553596545951258,-1.0550625909223954,-1.0553596545951258,-1.0566255409549032,-1.0534809333098558
03.03.2004,1.21,1.2,1.21,1.2,13467600,1.2,-1.0562667836912818,-1.0550625909223954,-1.0562667836912818,-1.0575240345488852,-1.0534809333098558
04.03.2004,1.2,1.2,1.22,1.2,14477400,1.2,-1.0562667836912818,-1.0559696398424718,-1.0562667836912818,-1.0566255409549032,-1.0534809333098558
05.03.2004,1.19,1.23,1.23,1.19,31905000,1.23,-1.0535453964028139,-1.0568766887625483,-1.0535453964028139,-1.055727047360921,-1.0543964925477571
08.03.2004,1.23,1.23,1.23,1.21,20815200,1.23,-1.0535453964028139,-1.0532484930822423,-1.0535453964028139,-1.055727047360921,-1.0525653740719545
09.03.2004,1.22,1.21,1.22,1.21,21810600,1.21,-1.0553596545951258,-1.0541555420023188,-1.0553596545951258,-1.0566255409549032,-1.0525653740719545
10.03.2004,1.21,1.18,1.21,1.18,21547800,1.18,-1.0580810418835938,-1.0550625909223954,-1.0580810418835938,-1.0575240345488852,-1.0553120517856585
11.03.2004,1.18,1.19,1.21,1.18,16383600,1.19,-1.0571739127874378,-1.057783737682625,-1.0571739127874378,-1.0575240345488852,-1.0553120517856585
