Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,56.11,56.27,56.88,55.98,1398300,56.27,-1.1640026104785304,-1.1659485154927742,-1.1640026104785304,-1.1641839761161716,-1.1578282291418391
05.01.2004,56.69,56.32,56.85,56.2,3520700,56.32,-1.163255706620891,-1.1572861465457294,-1.163255706620891,-1.164627771076898,-1.1545113760291659
06.01.2004,56.33,56.03,56.37,55.98,3129300,56.03,-1.1675877489952002,-1.1626627893404469,-1.1675877489952002,-1.1717284904485195,-1.1578282291418391
07.01.2004,56.03,55.48,56.15,55.27,3475500,55.48,-1.1758036914292356,-1.1671433250027115,-1.1758036914292356,-1.1749829868271795,-1.1685326187327383
08.01.2004,55.51,55.02,55.72,54.62,3543200,55.02,-1.182675206919519,-1.1749095868173036,-1.182675206919519,-1.181344047930924,-1.1783324120201815
09.01.2004,54.87,53.91,55.09,53.74,3394100,53.91,-1.1992564725591173,-1.1844680628968014,-1.1992564725591173,-1.1906637421061774,-1.1915998244708736
12.01.2004,55.12,56.52,56.72,54.73,4607500,56.52,-1.1602680911903325,-1.1807342831782475,-1.1602680911903325,-1.1665508825733788,-1.176673985463845
13.01.2004,57.11,57.19,57.63,56.59,3985700,57.19,-1.1502595794979629,-1.1510133966185587,-1.1502595794979629,-1.1530891020980125,-1.1486315000567
14.01.2004,57.51,57.22,57.68,56.93,1221900,57.22,-1.149811437183379,-1.1450393490688728,-1.149811437183379,-1.1523494438301352,-1.1435054543371144
15.01.2004,57.36,57.46,57.69,57.01,1339800,57.46,-1.146226298666709,-1.147279616900005,-1.146226298666709,-1.1522015121765599,-1.1422993259325063
16.01.2004,57.61,57.97,57.98,57.23,1866400,57.97,-1.138607879318786,-1.143545837181451,-1.138607879318786,-1.1479114942228719,-1.1389824728198332
20.01.2004,58.02,57.36,58.35,57.29,1186400,57.36,-1.1477201063819884,-1.1374224384430225,-1.1477201063819884,-1.14243802304058,-1.138077876516377
21.01.2004,57.35,58.02,58.28,57.2,1317400,58.02,-1.1378609754611462,-1.1474289680887473,-1.1378609754611462,-1.1434735446156081,-1.139434770971561
22.01.2004,57.96,57.64,57.96,57.2,1495700,57.64,-1.1435374447792068,-1.1383185455754756,-1.1435374447792068,-1.1482073575300225,-1.139434770971561
23.01.2004,57.72,57.71,57.85,57.36,1118900,57.71,-1.1424917793785114,-1.1419029741052873,-1.1424917793785114,-1.1498346057193527,-1.1370225141623445
26.01.2004,57.59,57.65,57.75,56.61,1454800,57.65,-1.1433880640076788,-1.1438445395589354,-1.1433880640076788,-1.1513139222551072,-1.148329967955548
27.01.2004,57.44,57.4,58.13,57.2,1267900,57.4,-1.1471225832958767,-1.1460848073900678,-1.1471225832958767,-1.14569251941924,-1.139434770971561
28.01.2004,57.36,56.64,57.36,56.53,1644700,56.64,-1.1584755219319978,-1.147279616900005,-1.1584755219319978,-1.1570832567445497,-1.1495360963601564
29.01.2004,56.64,56.61,56.85,56.0,1248300,56.61,-1.1589236642465817,-1.15803290248944,-1.1589236642465817,-1.164627771076898,-1.157526697040687
30.01.2004,56.62,55.77,56.62,55.67,1006700,55.77,-1.1714716490549257,-1.1583316048669243,-1.1714716490549257,-1.168030199109133,-1.1625019767096965
02.02.2004,55.82,55.67,56.01,55.29,1642100,55.67,-1.172965456770205,-1.1702796999662968,-1.172965456770205,-1.177054029977236,-1.1682310866315864
03.02.2004,55.67,55.34,56.24,55.01,1140300,55.34,-1.177895022230626,-1.1725199677974292,-1.177895022230626,-1.1736516019450003,-1.1724525360477158
04.02.2004,54.95,54.07,55.3,53.97,2541100,54.07,-1.1968663802146706,-1.1832732533868642,-1.1968663802146706,-1.1875571773810931,-1.1881322053076246
05.02.2004,54.2,53.81,54.46,53.8,2537200,53.81,-1.2007502802743961,-1.1944745925425257,-1.2007502802743961,-1.199983436281431,-1.1906952281674175
06.02.2004,53.9,54.81,55.04,53.84,1820600,54.81,-1.1858122031216052,-1.1989551282047903,-1.1858122031216052,-1.191403400374055,-1.1900921639651132
09.02.2004,55.62,56.07,56.4,55.19,2427600,56.07,-1.1669902259090887,-1.1732667237411398,-1.1669902259090887,-1.1712846954877931,-1.1697387471373468
10.02.2004,56.15,56.86,56.86,55.86,1562500,56.86,-1.1551891449583838,-1.1653511107378056,-1.1551891449583838,-1.1644798394233224,-1.1596374217487517
11.02.2004,56.65,57.86,57.99,56.38,1950200,57.86,-1.1402510678055928,-1.1578835513006978,-1.1402510678055928,-1.1477635625692961,-1.1517975871187973
12.02.2004,57.44,57.5,57.54,56.86,1000200,57.5,-1.1456287755805976,-1.1460848073900678,-1.1456287755805976,-1.1544204869801917,-1.144560816691147
13.02.2004,57.4,57.12,57.77,56.94,1260600,57.12,-1.151305244898658,-1.1466822121450362,-1.151305244898658,-1.151018058947956,-1.1433546882865384
17.02.2004,57.36,57.42,57.52,56.72,1068200,57.42,-1.1468238217528208,-1.147279616900005,-1.1468238217528208,-1.1547163502873423,-1.1466715413992115
18.02.2004,57.17,56.94,57.27,56.79,916300,56.94,-1.1539940987861605,-1.1501172894861058,-1.1539940987861605,-1.1584146416267287,-1.1456161790451793
19.02.2004,57.22,57.0,57.65,56.95,918900,57.0,-1.153097814156993,-1.1493705335423952,-1.153097814156993,-1.1527932387908615,-1.1432039222359625
20.02.2004,57.11,57.2,57.45,56.97,1217100,57.2,-1.1501101987264348,-1.1510133966185587,-1.1501101987264348,-1.1557518718623707,-1.1429023901348103
23.02.2004,57.22,56.89,57.4,56.52,921600,56.89,-1.1547410026438,-1.1493705335423952,-1.1547410026438,-1.1564915301302479,-1.1496868624107324
24.02.2004,56.4,57.0,57.11,56.4,1370300,57.0,-1.153097814156993,-1.1616173310192517,-1.153097814156993,-1.160781548083936,-1.151496055017645
25.02.2004,56.61,56.83,57.09,56.59,1173500,56.83,-1.1556372872729677,-1.1584809560556666,-1.1556372872729677,-1.1610774113910869,-1.1486315000567
26.02.2004,56.88,57.01,57.27,56.67,1177500,57.01,-1.1529484333854654,-1.1544484739596284,-1.1529484333854654,-1.1584146416267287,-1.1474253716520917
27.02.2004,57.11,56.93,57.61,56.82,1229300,56.93,-1.1541434795576884,-1.1510133966185587,-1.1541434795576884,-1.1533849654051636,-1.1451638808934512
01.03.2004,56.93,57.34,57.35,56.58,1435300,57.34,-1.148018867925044,-1.1537017180159175,-1.148018867925044,-1.1572311883981252,-1.1487822661072762
02.03.2004,57.35,57.56,57.77,57.18,1295700,57.56,-1.14473249095143,-1.1474289680887473,-1.14473249095143,-1.151018058947956,-1.1397363030727132
03.03.2004,57.5,57.39,57.69,56.88,997300,57.39,-1.1472719640674045,-1.1451887002576149,-1.1472719640674045,-1.1522015121765599,-1.1442592845899948
04.03.2004,57.4,56.98,57.4,56.67,998700,56.98,-1.153396575700049,-1.1466822121450362,-1.153396575700049,-1.1564915301302479,-1.1474253716520917
05.03.2004,56.57,57.61,57.71,56.53,1400800,57.61,-1.1439855870937905,-1.1590783608106352,-1.1439855870937905,-1.1519056488694088,-1.1495360963601564
08.03.2004,57.53,57.21,57.94,57.16,864700,57.21,-1.1499608179549068,-1.1447406466913883,-1.1499608179549068,-1.1485032208371735,-1.1400378351738656
09.03.2004,57.21,56.87,57.51,56.59,1198200,56.87,-1.1550397641868557,-1.1495198847311372,-1.1550397641868557,-1.154864281940918,-1.1486315000567
10.03.2004,56.82,54.92,56.82,54.75,2332400,54.92,-1.1841690146347983,-1.1553445810920815,-1.1841690146347983,-1.1650715660376243,-1.176372453362693
11.03.2004,54.92,54.98,56.08,54.65,2076200,54.98,-1.183272730005631,-1.1837213069530907,-1.183272730005631,-1.1760185084022077,-1.1778801138684534
12.03.2004,55.25,56.28,56.38,55.2,1492700,56.28,-1.1638532297070026,-1.1787927177245996,-1.1638532297070026,-1.1715805587949442,-1.1695879810867706
15.03.2004,56.19,55.66,56.19,55.58,1343000,55.66,-1.173114837541733,-1.164753705982837,-1.173114837541733,-1.1743912602128777,-1.163858871164881
16.03.2004,56.41,56.77,56.83,55.91,1983200,56.77,-1.1565335719021348,-1.1614679798305096,-1.1565335719021348,-1.1649236343840488,-1.1588835914958715
17.03.2004,57.03,59.39,60.11,57.03,5887100,59.39,-1.1173958097618226,-1.152208206128496,-1.1173958097618226,-1.1164020520113003,-1.1419977938313541
18.03.2004,59.44,59.71,59.94,59.01,2303200,59.71,-1.1126156250729293,-1.1162145696416368,-1.1126156250729293,-1.118916890122083,-1.1121461158172967
19.03.2004,59.31,59.13,59.77,59.12,1539100,59.13,-1.1212797098215483,-1.1181561350952847,-1.1212797098215483,-1.1214317282328654,-1.11048768926096
22.03.2004,59.14,58.96,59.51,58.82,1634300,58.96,-1.1238191829375226,-1.1206951053039014,-1.1238191829375226,-1.1252779512258275,-1.1150106707782417
23.03.2004,59.27,59.39,59.79,58.98,1717600,59.39,-1.1173958097618226,-1.1187535398502533,-1.1173958097618226,-1.1211358649257148,-1.112598413969025
24.03.2004,59.4,58.94,59.53,58.51,1766300,58.94,-1.1241179444805787,-1.1168119743966052,-1.1241179444805787,-1.1249820879186765,-1.1196844183460992
25.03.2004,59.31,60.57,60.6,59.21,1915500,60.57,-1.0997688787215294,-1.1181561350952847,-1.0997688787215294,-1.109153400986103,-1.1091307948057756
26.03.2004,60.23,60.38,60.88,59.92,1570800,60.38,-1.1026071133805597,-1.1044158257310066,-1.1026071133805597,-1.1050113146859903,-1.0984264052148762
29.03.2004,60.56,61.38,62.0,60.37,2161800,61.38,-1.0876690362277688,-1.0994872365025155,-1.0876690362277688,-1.0884429694855398,-1.0916419329389542
30.03.2004,61.55,61.9,62.01,60.79,1471400,61.9,-1.0799012361083173,-1.0847014688170422,-1.0799012361083173,-1.0882950378319645,-1.0853097588147602
31.03.2004,61.9,62.35,62.43,61.58,1678000,62.35,-1.0731791013895615,-1.0794741772110665,-1.0731791013895615,-1.0820819083817952,-1.0733992408192525
01.04.2004,62.19,62.05,62.67,61.78,1815700,62.05,-1.0776605245353987,-1.0751429927375442,-1.0776605245353987,-1.0785315486959843,-1.0703839198077314
02.04.2004,62.67,63.11,63.11,62.33,1470500,63.11,-1.0618261627534402,-1.0679741356779207,-1.0618261627534402,-1.0720225559386645,-1.062091787026049
05.04.2004,62.63,62.67,63.05,62.14,1379300,62.67,-1.0683989167006682,-1.0685715404328895,-1.0683989167006682,-1.0729101458601171,-1.0649563419869938
06.04.2004,62.53,62.83,63.01,62.03,1499000,62.83,-1.0660088243562218,-1.070065052320311,-1.0660088243562218,-1.073501872474419,-1.0666147685433303
07.04.2004,62.83,62.27,62.83,61.89,1222600,62.27,-1.0743741475617845,-1.0655845166580462,-1.0743741475617845,-1.0761646422387772,-1.068725493251395
08.04.2004,62.72,61.24,62.72,60.82,2577200,61.24,-1.0897603670291593,-1.06722737973421,-1.0897603670291593,-1.0777918904281072,-1.0848574606630321
12.04.2004,61.62,62.06,62.38,61.33,954200,62.06,-1.0775111437638707,-1.083656010495847,-1.0775111437638707,-1.0828215666496726,-1.0771683920836537
13.04.2004,62.34,61.65,62.51,61.51,1169900,61.65,-1.083635755396515,-1.0729027249064118,-1.083635755396515,-1.0808984551531917,-1.074454603173285
14.04.2004,61.35,62.02,62.22,61.24,1112600,62.02,-1.0781086668499822,-1.0876884925918853,-1.0781086668499822,-1.0851884731068797,-1.078525286538838
15.04.2004,62.18,62.18,62.75,61.79,1023800,62.18,-1.0757185745055358,-1.0752923439262863,-1.0757185745055358,-1.0773480954673806,-1.0702331537571557
16.04.2004,62.46,61.8,62.47,61.5,1263900,61.8,-1.0813950438235964,-1.071110510641506,-1.0813950438235964,-1.0814901817674933,-1.0746053692238609
19.04.2004,61.55,61.29,61.7,61.03,877500,61.29,-1.08901346317152,-1.0847014688170422,-1.08901346317152,-1.0928809190928033,-1.081691373600935
