Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
22.02.2010,1.09,1.1,1.11,1.09,6184600,1.1,-0.7960934976614626,-0.8028867379201771,-0.7960934976614626,-0.7946201012321321,-0.7951096520901588
23.02.2010,1.1,1.09,1.1,1.08,2515600,1.09,-0.8060132101666475,-0.792951847419732,-0.8060132101666475,-0.8044528003536194,-0.8051392119275544
24.02.2010,1.08,1.08,1.09,1.08,5130720,1.08,-0.8159329226718324,-0.812821628420622,-0.8159329226718324,-0.8142854994751066,-0.8051392119275544
25.02.2010,1.09,1.09,1.1,1.08,3395350,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8044528003536194,-0.8051392119275544
28.02.2010,1.09,1.09,1.1,1.09,1566120,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8044528003536194,-0.7951096520901588
01.03.2010,1.09,1.09,1.09,1.08,2161410,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8142854994751066,-0.8051392119275544
02.03.2010,1.09,1.09,1.1,1.09,3599140,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8044528003536194,-0.7951096520901588
03.03.2010,1.09,1.09,1.09,1.09,122660,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8142854994751066,-0.7951096520901588
04.03.2010,1.09,1.09,1.09,1.08,2387040,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8142854994751066,-0.8051392119275544
08.03.2010,1.09,1.1,1.11,1.08,5605490,1.1,-0.7960934976614626,-0.8028867379201771,-0.7960934976614626,-0.7946201012321321,-0.8051392119275544
09.03.2010,1.11,1.1,1.11,1.09,6956250,1.1,-0.7960934976614626,-0.7830169569192871,-0.7960934976614626,-0.7946201012321321,-0.7951096520901588
10.03.2010,1.09,1.09,1.1,1.08,2574750,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8044528003536194,-0.8051392119275544
11.03.2010,1.09,1.09,1.09,1.08,1285500,1.09,-0.8060132101666475,-0.8028867379201771,-0.8060132101666475,-0.8142854994751066,-0.8051392119275544
14.03.2010,1.09,1.1,1.1,1.09,4247890,1.1,-0.7960934976614626,-0.8028867379201771,-0.7960934976614626,-0.8044528003536194,-0.7951096520901588
15.03.2010,1.09,1.11,1.12,1.09,10884740,1.11,-0.7861737851562777,-0.8028867379201771,-0.7861737851562777,-0.7847874021106448,-0.7951096520901588
16.03.2010,1.12,1.11,1.13,1.1,16425240,1.11,-0.7861737851562777,-0.773082066418842,-0.7861737851562777,-0.7749547029891577,-0.7850800922527632
17.03.2010,1.12,1.14,1.16,1.11,38377740,1.14,-0.7564146476407233,-0.773082066418842,-0.7564146476407233,-0.7454566056246958,-0.7750505324153676
18.03.2010,1.15,1.15,1.16,1.13,13167830,1.15,-0.7464949351355384,-0.7432773949175073,-0.7464949351355384,-0.7454566056246958,-0.7549914127405765
21.03.2010,1.15,1.16,1.17,1.14,16185050,1.16,-0.7365752226303536,-0.7432773949175073,-0.7365752226303536,-0.7356239065032085,-0.7449618529031808
22.03.2010,1.16,1.17,1.18,1.16,13478700,1.17,-0.7266555101251686,-0.7333425044170624,-0.7266555101251686,-0.7257912073817213,-0.7249027332283896
23.03.2010,1.17,1.16,1.19,1.15,18818850,1.16,-0.7365752226303536,-0.7234076139166173,-0.7365752226303536,-0.715958508260234,-0.7349322930657852
24.03.2010,1.15,1.16,1.16,1.15,4145170,1.16,-0.7365752226303536,-0.7432773949175073,-0.7365752226303536,-0.7454566056246958,-0.7349322930657852
25.03.2010,1.14,1.15,1.17,1.14,19238220,1.15,-0.7464949351355384,-0.7532122854179524,-0.7464949351355384,-0.7356239065032085,-0.7449618529031808
29.03.2010,1.16,1.16,1.18,1.15,8167270,1.16,-0.7365752226303536,-0.7333425044170624,-0.7365752226303536,-0.7257912073817213,-0.7349322930657852
30.03.2010,1.15,1.15,1.15,1.14,6486500,1.15,-0.7464949351355384,-0.7432773949175073,-0.7464949351355384,-0.7552893047461832,-0.7449618529031808
